Phase fields,     scores,     Norm. scores,
As As Cd Cl     ,  6.242,      0.0,
Cd Ge S Se      ,  6.328,    0.006,
As Cd Ge P      ,  6.333,    0.007,
As Ge P Zn      ,  6.333,    0.007,
As Cd Ga Se     ,  6.442,    0.015,
As Ga Se Zn     ,  6.443,    0.015,
Ge Sb Se Te     ,  6.469,    0.017,
Cd S Se Si      ,  6.585,    0.026,
As P Si Zn      ,   6.59,    0.026,
Cd S Se Zn      ,  6.696,    0.034,
As Cd P Zn      ,  6.701,    0.034,
As Cd In Se     ,  6.736,    0.037,
As In Se Zn     ,  6.737,    0.037,
Cl Ga P Se      ,  6.742,    0.037,
As Cd Ga S      ,  6.786,    0.041,
As Ga S Zn      ,  6.786,    0.041,
Cd Ga S Se      ,  6.798,    0.042,
Cl Ga Sb Se     ,  6.805,    0.042,
Ga P Se Zn      ,  6.815,    0.043,
Ge Se Sn Te     ,  6.877,    0.047,
Al Cl P Se      ,  6.877,    0.047,
Cd Se Te Zn     ,  6.908,     0.05,
Al S Se Zn      ,  6.932,    0.052,
Al Cl Sb Se     ,  6.939,    0.052,
As Cd Ga Te     ,  6.995,    0.056,
As Ga Te Zn     ,  6.996,    0.056,
As As Cd I      ,  7.018,    0.058,
Cd Cl S Sb      ,  7.034,    0.059,
As Br Cd P      ,  7.038,    0.059,
Ni P S Se       ,  7.061,    0.061,
As Cd In S      ,  7.066,    0.061,
Cd In S Se      ,  7.077,    0.062,
In S Se Zn      ,  7.078,    0.062,
Br Cd Sb Se     ,   7.11,    0.065,
Cl Ga S Sb      ,  7.131,    0.066,
Ga P S Zn       ,  7.141,    0.067,
Cl O Sb Se      ,  7.174,     0.07,
In Sb Se Te     ,  7.204,    0.072,
Br P S S        ,  7.216,    0.073,
Cd Se Sn Te     ,  7.217,    0.073,
Se Sn Te Zn     ,  7.217,    0.073,
As Cd Cl O      ,  7.237,    0.074,
Cd Cl O Se      ,  7.249,    0.075,
Cl O Se Zn      ,  7.249,    0.075,
As Cd In Te     ,  7.267,    0.077,
I S Sb Se       ,  7.284,    0.078,
S Se Sn Sn      ,  7.318,     0.08,
Cl Ga Sb Te     ,  7.331,    0.081,
Al Br Sb Se     ,  7.333,    0.081,
As Cu Ge Se     ,  7.341,    0.082,
Br Cl S Sb      ,  7.355,    0.083,
As Cd I P       ,  7.362,    0.084,
O P P S         ,  7.364,    0.084,
In S Se Sn      ,  7.379,    0.085,
Br Cd P P       ,   7.38,    0.085,
Cl In S Sb      ,  7.398,    0.086,
Br Cd S Sb      ,  7.423,    0.088,
Br In Sb Se     ,   7.47,    0.092,
Cl O P Sb       ,    7.5,    0.094,
As Cl F Se      ,  7.501,    0.094,
In S Sb Te      ,  7.513,    0.095,
Cd S Sn Te      ,  7.525,    0.096,
S Sn Te Zn      ,  7.525,    0.096,
Cl O Se Sn      ,  7.544,    0.097,
In Ni S Se      ,  7.553,    0.098,
Cd Cl O P       ,  7.571,    0.099,
As Cl In O      ,  7.592,    0.101,
Cl In O Se      ,  7.603,    0.102,
As Br Cd O      ,  7.616,    0.103,
Cd Cl O Sb      ,  7.627,    0.103,
Cl O Sb Zn      ,  7.628,    0.103,
Cu Ge P Se      ,   7.67,    0.107,
Cl O Sb Te      ,  7.675,    0.107,
Cd I P S        ,  7.675,    0.107,
Cl Ni O Se      ,  7.714,     0.11,
I Sb Se Sn      ,  7.719,     0.11,
As F S S        ,  7.723,    0.111,
Cd I S Sb       ,  7.731,    0.111,
Cl Mg O P       ,  7.736,    0.112,
Cd Cl O Te      ,  7.744,    0.112,
Cl O Te Zn      ,  7.745,    0.112,
Ag S Sb Se      ,  7.753,    0.113,
Al Cl O S       ,  7.766,    0.114,
