phase fields,pareto front,magpie37,random200,megnet16,leaf36,mat2vec
Ca Li Mg O      ,25,10.255,27.908,6.228,11.402,27.025
Ba Mg S Sn      ,25,10.439,29.04,6.165,10.895,26.903
K Mg O Sr       ,25,12.653,27.368,6.211,10.894,26.55
Ba K Mg S       ,25,12.948,28.9,6.166,10.634,26.962
I Mg P Zn       ,26,8.608,29.277,5.741,12.613,28.124
Al I Mg P       ,26,8.646,29.184,5.373,12.553,27.818
Br Mg Si Zr     ,27,8.613,29.711,5.347,12.615,29.014
I Mg Si Sn      ,27,8.666,29.216,4.688,12.211,28.324
I Mg Sn Zr      ,27,9.077,29.576,5.339,11.879,28.789
Cl Li Mg Si     ,27,9.403,29.478,5.273,11.244,28.998
Ca I K Mg       ,27,12.021,29.175,5.309,11.829,29.011
Br Mg Zn Zr     ,28,8.656,30.027,6.179,11.736,28.951
Al Br Mg Zr     ,28,8.694,29.936,5.838,11.672,28.653
Al Ca Cl Mg     ,28,8.838,29.57,5.98,11.657,27.555
Cl Mg Sn Zr     ,28,8.852,29.725,5.607,11.181,28.405
Cl Li Mg Zn     ,28,9.442,29.796,6.114,10.249,28.935
Al Cl Li Mg     ,28,9.477,29.705,5.77,10.175,28.638
Ca Li Mg S      ,28,9.743,29.357,5.848,11.24,28.18
Li Mg S Sr      ,28,10.417,29.097,6.072,10.678,28.743
Ba Cl Mg Sn     ,28,10.64,29.26,6.15,10.735,28.405
Ba I Mg Sn      ,28,10.827,29.109,5.906,11.459,28.789
K Mg S Y        ,28,11.86,29.208,6.151,11.663,26.825
Cl K Mg Y       ,28,12.036,29.426,6.136,11.513,28.331
Ba Cl K Mg      ,28,13.11,29.121,6.15,10.47,28.461
Ba I K Mg       ,28,13.263,28.97,5.907,11.212,28.844
Br Mg P Sn      ,29,8.679,29.334,5.017,11.826,29.673
Mg O P Si       ,30,8.681,27.41,5.576,13.097,25.016
Ca Mg P S       ,31,8.709,28.983,5.719,12.818,26.941
Cl Mg P Zr      ,32,8.753,29.467,5.731,12.505,28.271
Al Ca I Mg      ,32,9.063,29.421,5.729,12.328,27.951
Ca Cl Mg Si     ,33,8.759,29.343,5.501,12.601,27.93
I Mg Si Zr      ,34,8.793,29.456,5.258,13.055,28.149
Ca Cl Mg Zn     ,35,8.801,29.662,6.313,11.722,27.864
Br Mg P Zr      ,36,8.805,29.573,5.554,12.695,29.506
Cl Li Mg P      ,36,9.579,29.339,5.482,11.334,29.491
I Li Mg Si      ,36,9.615,29.328,4.986,11.938,29.375
Al I Li Mg      ,36,9.687,29.556,5.51,10.937,29.019
Br K Mg Si      ,36,11.43,29.336,4.788,11.498,29.237
Br Ca Mg Si     ,37,8.811,29.45,5.317,12.789,29.18
