phase fields,pareto front,magpie37,random200,megnet16,leaf36,mat2vec
I La Mg Zn      ,92,9.666,29.433,6.951,12.348,28.855
Cl La Mg Zr     ,92,9.795,29.621,6.942,12.237,28.998
Br Mg Sr Zr     ,92,9.925,29.551,6.121,11.969,30.168
I Li Mg Zr      ,92,9.987,29.687,5.603,11.598,29.824
Br Mg Si Ta     ,92,10.086,29.652,6.077,11.968,30.087
Ca I Li Mg      ,92,10.157,29.426,5.574,11.787,29.986
B Cl Li Mg      ,92,10.259,29.503,8.034,11.014,30.206
I Mg Ta Zn      ,92,10.275,29.715,6.751,11.54,29.192
I Li Mg Y       ,92,10.372,29.526,6.131,12.151,29.701
I Mg Sn Ta      ,92,10.484,29.517,6.07,11.19,29.87
Ca I Mg Ta      ,92,10.75,29.494,6.495,12.287,29.867
Ba Br Mg Zr     ,92,10.785,29.606,6.442,11.888,29.468
F Mg Sn Sr      ,92,10.786,29.056,8.01,11.182,29.787
F Li Mg Zr      ,92,10.8,29.69,8.043,11.238,30.104
Cl La Mg Ta     ,92,11.112,29.562,7.519,11.57,30.072
Ba Br La Mg     ,92,11.476,29.263,7.251,12.031,30.204
F K Mg Sr       ,92,13.229,28.916,8.01,10.928,29.84
Ca Cl Mg Y      ,93,9.584,29.54,6.557,12.803,28.272
B Mg O P        ,94,9.602,27.437,8.236,12.9,26.407
I Mg Y Zr       ,95,9.615,29.653,6.354,13.25,28.489
Br Li Mg P      ,96,9.626,29.446,5.297,11.543,30.678
I La Mg Si      ,97,9.628,29.111,6.223,13.185,28.918
Br Ca Mg Y      ,98,9.631,29.647,6.403,12.989,29.508
Br La Mg P      ,99,9.639,29.23,6.475,12.829,30.24
B Ca Cl Mg      ,100,9.672,29.368,8.185,12.396,29.182
B Mg S Y        ,101,9.681,29.25,8.586,12.878,27.413
B Mg O Zr       ,101,9.805,27.967,8.491,12.505,26.364
Mg N P Sn       ,101,10.857,29.122,8.498,11.85,27.286
K Mg N P        ,101,13.287,28.982,8.499,11.611,27.344
B I Mg Zr       ,102,9.703,29.481,8.024,12.857,29.392
F Mg Si Zr      ,102,9.707,29.458,7.807,12.737,28.445
F Mg P Zr       ,102,9.877,29.32,7.95,12.816,28.947
Cl La Mg Y      ,102,10.188,29.46,7.375,12.763,28.871
F Mg Si Sr      ,102,10.548,28.933,7.957,12.424,29.169
Ba Br Mg Y      ,102,11.142,29.444,6.907,12.429,29.343
Br Li Mg Sn     ,103,9.716,29.704,5.163,10.094,30.802
B Br Ca Mg      ,104,9.719,29.475,8.063,12.588,30.38
Br Ca Mg Sr     ,104,10.097,29.288,6.095,12.153,30.328
Br Mg Sr Y      ,104,10.312,29.389,6.609,12.506,30.046
Ca F Li Mg      ,104,10.958,29.428,8.023,11.434,30.264
Br La Mg Sn     ,105,9.729,29.49,6.366,11.542,30.366
F Mg Zn Zr      ,106,9.745,29.777,8.399,11.868,28.381
Cl Li Mg Zr     ,107,9.783,29.835,5.859,10.882,29.454
Ca I Mg Y       ,108,9.792,29.391,6.329,13.417,28.658
I La Mg P       ,109,9.8,28.971,6.402,13.262,29.412
Br Li Mg Zr     ,110,9.829,29.94,5.686,11.099,30.641
Br K Mg Sr      ,110,12.449,29.174,5.64,10.785,30.383
Br La Mg Zr     ,111,9.842,29.728,6.797,12.431,30.204
B Ca I Mg       ,112,9.878,29.218,8.004,13.029,29.556
Ca F Mg Si      ,112,9.882,29.195,7.787,12.91,28.615
Ca F Mg P       ,112,10.05,29.055,7.93,12.988,29.114
I Mg Sr Y       ,112,10.463,29.131,6.537,12.95,29.212
Ba I Mg Y       ,112,11.282,29.187,6.838,12.876,28.489
B Cl Mg Y       ,113,9.897,29.468,8.575,12.742,28.888
B Mg S Sr       ,113,10.145,28.887,8.359,12.034,28.294
Al F Mg Sr      ,113,10.614,29.164,8.295,11.465,28.811
Ba F Mg Si      ,113,11.36,28.989,8.206,12.347,28.445
Al Ba F Mg      ,113,11.422,29.22,8.534,11.381,28.077
Li Mg N Si      ,113,11.483,29.374,8.535,11.48,27.864
K Mg N Sn       ,113,13.352,29.244,8.416,10.171,27.483
Ca F Mg Zn      ,114,9.92,29.516,8.38,12.053,28.551
B Br Mg Y       ,115,9.943,29.575,8.458,12.929,30.099
La Mg S Y       ,115,9.978,29.242,7.388,12.898,27.394
I La Mg Zr      ,115,9.999,29.473,6.727,12.878,29.374
Ca F Mg Zr      ,115,10.245,29.555,8.195,12.596,29.076
B Cl Mg Sr      ,115,10.351,29.108,8.347,11.889,29.725
F Mg Sn Y       ,115,10.351,29.417,8.247,12.085,28.952
B I Mg Sr       ,115,10.544,28.956,8.169,12.548,30.093
F Mg P Sr       ,115,10.705,28.792,8.097,12.506,29.659
F Mg Sr Zr      ,115,10.888,29.297,8.356,12.097,29.622
F Mg Si Ta      ,115,11.034,29.399,8.324,12.097,29.539
Ca F Mg Sr      ,115,11.045,29.032,8.337,12.28,29.784
F Li Mg Y       ,115,11.157,29.528,8.42,11.809,29.981
B Ba I Mg       ,115,11.357,29.012,8.412,12.471,29.392
Ba F Mg P       ,115,11.507,28.848,8.342,12.429,28.947
Br Ca Li Mg     ,116,10.003,29.681,5.658,11.298,30.799
Br Ca La Mg     ,117,10.015,29.466,6.773,12.608,30.363
B La Mg S       ,118,10.063,29.067,8.865,12.494,28.332
B Ba Mg S       ,118,10.988,28.943,8.596,11.954,27.547
Cl Mg Ta Zn     ,119,10.077,29.863,6.965,10.82,28.813
Al Cl Mg Ta     ,119,10.11,29.772,6.665,10.75,28.514
B I Mg Y        ,120,10.098,29.319,8.402,13.359,29.266
F Mg Si Y       ,120,10.102,29.296,8.195,13.243,28.316
F Mg P Y        ,120,10.266,29.156,8.331,13.319,28.82
Br Mg Ta Zn     ,121,10.122,29.968,6.82,11.039,30.026
Al Br Mg Ta     ,121,10.154,29.877,6.513,10.97,29.739
F Mg Y Zn       ,122,10.139,29.616,8.76,12.409,28.251
Al F Mg Y       ,122,10.171,29.524,8.524,12.348,27.946
Al Mg N Si      ,122,10.528,29.369,8.638,12.034,25.661
Al Mg N Sn      ,122,10.767,29.49,8.687,10.747,26.362
Ca Mg N Sn      ,122,11.192,29.359,8.728,11.611,27.422
Al K Mg N       ,122,13.213,29.352,8.687,10.482,26.422
K Mg N Zr       ,122,13.435,29.484,8.746,11.17,27.304
Ca K Mg N       ,122,13.562,29.221,8.728,11.367,27.48
Ca I La Mg      ,123,10.17,29.209,6.703,13.049,29.538
B F Mg Si       ,124,10.186,29.122,9.548,12.85,29.224
Mg N P Sr       ,124,11.709,28.835,8.958,12.405,27.864
Mg N Sn Sr      ,124,11.783,29.099,8.879,11.069,28.001
Ca Mg N Sr      ,124,12.021,29.075,9.176,12.177,27.997
Ba Mg N P       ,124,12.446,28.892,9.18,12.327,27.105
Ba Mg N Sr      ,124,13.263,28.869,9.534,11.578,27.824
K Mg N Sr       ,124,14.054,28.959,8.88,10.812,28.057
Ba K Mg N       ,124,14.674,29.015,9.104,10.723,27.303
B Mg O Y        ,125,10.197,27.795,8.849,13.02,26.224
Br Li Mg Y      ,126,10.22,29.781,6.208,11.677,30.521
I Li Mg Sr      ,126,10.806,29.166,5.809,11.253,30.515
B F Mg Zn       ,127,10.222,29.444,10.037,11.989,29.161
Al B F Mg       ,127,10.254,29.351,9.832,11.925,28.866
Al F La Mg      ,127,10.535,29.343,8.805,11.947,28.848
F Mg Sr Zn      ,127,10.583,29.257,8.538,11.531,29.106
B Mg S Ta       ,127,10.65,29.353,8.709,11.696,28.675
B Ba Cl Mg      ,127,11.178,29.163,8.585,11.808,29.015
Ba F Mg Zn      ,127,11.393,29.313,8.77,11.448,28.381
Al La Mg N      ,127,11.555,29.386,9.603,11.841,26.999
Mg N Sr Zn      ,127,11.598,29.3,9.358,11.422,27.275
Li Mg N P       ,127,11.628,29.234,8.666,11.568,28.376
La Mg N Sn      ,127,11.713,29.278,9.358,11.567,28.039
Ba Mg N Zn      ,127,12.341,29.355,9.571,11.337,26.499
La Li Mg N      ,127,12.431,29.39,9.511,11.278,29.101
Li Mg N Sr      ,127,12.498,29.212,9.04,10.766,29.064
Ba Mg N Sn      ,127,12.516,29.155,9.103,10.982,27.245
Ba Mg N Zr      ,127,12.604,29.395,9.41,11.913,27.064
Mg N Sr Ta      ,127,12.984,29.28,9.636,11.311,28.941
Ba Li Mg N      ,127,13.191,29.267,9.26,10.677,28.337
Ba Mg N Ta      ,127,13.653,29.335,9.843,11.226,28.211
K Mg N Y        ,127,13.723,29.322,9.094,11.744,27.169
K Li Mg N       ,127,13.986,29.357,8.586,9.841,28.566
K La Mg N       ,127,13.995,29.14,9.358,11.322,28.096
K Mg N Ta       ,127,14.423,29.425,9.211,10.435,28.441
Br La Mg Y      ,128,10.232,29.567,7.239,12.949,30.082
Br Mg P Ta      ,129,10.25,29.514,6.26,12.053,30.562
B Cl La Mg      ,130,10.271,29.287,8.855,12.355,29.762
Al Mg N P       ,130,10.685,29.23,8.767,12.118,26.217
B Br Li Mg      ,131,10.303,29.609,7.908,11.229,31.365
Br Li Mg Sr     ,131,10.66,29.424,5.889,10.739,31.315
Ba Br Li Mg     ,131,11.465,29.479,6.222,10.649,30.641
Ba Br Mg Ta     ,131,11.994,29.547,7.059,11.2,30.525
Br K Li Mg      ,131,12.372,29.568,5.164,9.812,30.853
B Br La Mg      ,132,10.315,29.394,8.741,12.547,30.938
B Br Mg Sr      ,132,10.395,29.216,8.227,12.089,30.903
B I Li Mg       ,132,10.453,29.354,7.849,11.721,30.568
Br La Mg Sr     ,132,10.672,29.207,6.968,12.111,30.886
F La Mg Sn      ,132,10.709,29.235,8.537,11.675,29.824
I La Li Mg      ,132,10.729,29.345,6.517,11.744,30.551
F Mg P Ta       ,132,11.184,29.26,8.458,12.181,30.023
B Ba Br Mg      ,132,11.219,29.271,8.468,12.009,30.22
I Mg Sr Ta      ,132,11.365,29.235,6.698,11.776,30.399
F La Li Mg      ,132,11.49,29.348,8.705,11.389,30.824
F Li Mg Sr      ,132,11.562,29.169,8.188,10.882,30.789
Ba F Mg Zr      ,132,11.677,29.352,8.594,12.018,28.909
B Br K Mg       ,132,12.144,29.361,7.724,11.273,30.435
Ba F Li Mg      ,132,12.308,29.224,8.43,10.794,30.104
Br K La Mg      ,132,12.382,29.352,6.367,11.296,30.418
F K La Mg       ,132,13.166,29.097,8.538,11.432,29.877
F K Mg Ta       ,132,13.62,29.382,8.376,10.555,30.202
Br Mg Sn Ta     ,133,10.334,29.772,6.147,10.673,30.686
B F Mg P        ,134,10.349,28.982,9.665,12.928,29.713
I La Mg Y       ,135,10.384,29.31,7.174,13.378,29.249
Cl Mg Ta Zr     ,136,10.397,29.902,6.742,11.421,29.333
B F Mg Sn       ,137,10.433,29.244,9.593,11.653,29.841
Br Mg Ta Zr     ,138,10.441,30.007,6.592,11.629,30.526
Cl Li Mg Ta     ,138,11.101,29.776,6.532,10.126,30.511
F Mg Y Zr       ,139,10.457,29.655,8.584,12.937,28.781
B I La Mg       ,140,10.465,29.136,8.687,12.989,30.129
F La Mg Si      ,140,10.469,29.114,8.487,12.87,29.206
F La Mg P       ,140,10.627,28.973,8.619,12.949,29.696
Mg N Si Zn      ,141,10.497,29.461,8.871,12.097,25.993
F La Mg Zn      ,142,10.504,29.436,9.034,12.011,29.143
B F Mg Zr       ,143,10.538,29.483,9.884,12.534,29.675
Mg N P Zn       ,143,10.655,29.323,8.997,12.181,26.541
Mg N Sn Y       ,143,11.387,29.459,9.094,11.98,27.11
La Mg N Zn      ,143,11.526,29.478,9.813,11.905,27.315
Mg N Sr Zr      ,143,11.877,29.34,9.193,11.993,27.824
Ca Li Mg N      ,143,11.941,29.471,8.891,11.323,28.507
Mg N Si Ta      ,143,12.011,29.441,9.164,11.993,27.736
Mg N P Ta       ,143,12.149,29.303,9.286,12.077,28.251
Mg N Sr Y       ,143,12.202,29.177,9.525,12.529,27.692
Ba F La Mg      ,143,12.318,29.006,9.216,12.159,29.658
La Mg N Sr      ,143,12.508,28.994,9.777,12.135,28.602
Ba Ca Mg N      ,143,12.74,29.131,9.393,12.098,27.242
Ba Mg N Y       ,143,12.911,29.232,9.734,12.452,26.928
K Mg N Zn       ,143,13.188,29.445,8.92,10.554,26.744
Al Mg N Zn      ,144,10.563,29.688,9.176,11.11,25.59
Br La Li Mg     ,145,10.583,29.601,6.589,11.252,31.349
I Mg Ta Zr      ,146,10.589,29.755,6.52,12.105,29.705
Br Ca Mg Ta     ,147,10.604,29.748,6.568,11.818,30.683
Ca F Mg Y       ,148,10.62,29.393,8.565,13.107,28.949
Mg N P Si       ,148,10.62,28.999,8.448,13.029,26.61
B Ca F Mg       ,149,10.7,29.22,9.868,12.71,29.838
F Mg Sr Y       ,149,11.242,29.134,8.72,12.629,29.497
Ba F Mg Y       ,149,12.008,29.189,8.948,12.553,28.781
Mg N Sn Zn      ,150,10.736,29.582,8.919,10.817,26.685
Cl Mg Ta Y      ,151,10.767,29.742,7.187,11.983,29.207
Mg N Si Zr      ,152,10.804,29.501,8.697,12.638,26.568
Br Mg Ta Y      ,153,10.809,29.848,7.047,12.181,30.405
F La Mg Zr      ,154,10.812,29.475,8.863,12.555,29.658
Mg N Zn Zr      ,155,10.838,29.819,9.232,11.761,26.499
Al Mg N Zr      ,155,10.869,29.727,9.007,11.696,26.174
B Cl Mg Ta      ,156,10.846,29.57,8.698,11.547,30.088
Li Mg N Sn      ,156,11.703,29.494,8.585,10.123,28.51
B Br Mg Ta      ,157,10.888,29.677,8.583,11.752,31.252
Br Mg Sr Ta     ,157,11.227,29.492,6.768,11.286,31.201
F Mg Sn Ta      ,157,11.262,29.52,8.375,10.817,30.149
I Li Mg Ta      ,157,11.281,29.628,6.303,10.891,30.869
F Li Mg Ta      ,157,12.007,29.631,8.546,10.508,31.139
Br K Mg Ta      ,157,12.863,29.635,6.147,10.407,30.738
B F Mg Y        ,158,10.904,29.321,10.193,13.048,29.551
Ca Mg N P       ,158,11.114,29.098,8.807,12.891,27.283
La Mg N Si      ,158,11.494,29.157,9.312,12.772,27.382
La Mg N P       ,158,11.639,29.016,9.433,12.851,27.903
Ca La Mg N      ,158,11.952,29.255,9.64,12.631,28.036
Ba La Mg N      ,158,13.2,29.049,9.981,12.055,27.863
I Mg Ta Y       ,159,10.953,29.594,6.98,12.637,29.581
Mg N P Zr       ,160,10.958,29.362,8.826,12.718,27.105
Ca F La Mg      ,161,10.97,29.212,8.845,12.731,29.821
Ca Mg N Zn      ,162,10.996,29.558,9.214,11.948,26.681
B I Mg Ta       ,163,11.03,29.421,8.528,12.224,30.451
Mg N Sn Zr      ,164,11.037,29.621,8.746,11.419,27.246
F Mg Ta Zn      ,165,11.067,29.718,8.881,11.178,29.477
Al F Mg Ta      ,165,11.097,29.626,8.648,11.11,29.185
Al Li Mg N      ,165,11.544,29.601,8.851,10.435,27.488
Br Li Mg Ta     ,166,11.142,29.882,6.377,10.359,31.659
Br La Mg Ta     ,167,11.153,29.669,7.385,11.775,31.236
Mg N Si Y       ,168,11.161,29.339,9.047,13.147,26.429
F La Mg Y       ,169,11.168,29.313,9.207,13.068,29.534
Mg N Y Zn       ,170,11.194,29.658,9.562,12.307,26.36
Al Mg N Y       ,170,11.223,29.566,9.345,12.246,26.033
B F Li Mg       ,171,11.233,29.356,9.742,11.366,30.84
Ba F Mg Ta      ,171,12.801,29.293,9.066,11.337,29.986
B F La Mg       ,172,11.244,29.139,10.429,12.67,30.405
B F Mg Sr       ,172,11.317,28.959,10.002,12.216,30.37
F La Mg Sr      ,172,11.573,28.95,8.995,12.238,30.353
B Ba F Mg       ,172,12.078,29.015,10.201,12.137,29.675
B F K Mg        ,172,12.943,29.105,9.593,11.409,29.894
B Mg N Zn       ,173,11.27,29.486,10.744,11.883,27.333
Ca Mg N Zr      ,174,11.29,29.598,9.047,12.496,27.242
I La Mg Ta      ,175,11.292,29.413,7.321,12.245,30.435
Mg N P Y        ,176,11.31,29.199,9.17,13.224,26.969
F Mg Ta Zr      ,177,11.36,29.757,8.707,11.761,29.986
B Mg N P        ,178,11.385,29.025,10.397,12.831,27.921
B Mg N Sn       ,179,11.461,29.286,10.33,11.544,28.057
Mg N Y Zr       ,180,11.483,29.697,9.4,12.839,26.928
Ca F Mg Ta      ,181,11.51,29.496,8.689,11.949,30.146
Li Mg N Zn      ,182,11.515,29.693,9.08,10.507,27.798
B Mg N Zr       ,183,11.557,29.526,10.601,12.433,27.881
Ca Mg N Y       ,184,11.632,29.436,9.383,13.011,27.107
F Mg Ta Y       ,185,11.699,29.596,9.056,12.307,29.863
B Ca Mg N       ,186,11.705,29.263,10.586,12.611,28.054
B F Mg Ta       ,187,11.772,29.424,10.297,11.883,30.725
F Mg Sr Ta      ,187,12.086,29.237,8.841,11.422,30.673
Li Mg N Zr      ,188,11.797,29.732,8.909,11.126,28.337
La Mg N Zr      ,189,11.807,29.518,9.656,12.454,27.863
B Mg N Y        ,190,11.891,29.364,10.889,12.951,27.749
F La Mg Ta      ,191,12.018,29.416,9.322,11.906,30.709
Mg N Ta Zn      ,192,12.042,29.76,9.673,11.065,27.67
Al Mg N Ta      ,192,12.069,29.668,9.459,10.996,27.359
Li Mg N Y       ,193,12.124,29.571,9.251,11.702,28.207
La Mg N Y       ,194,12.134,29.355,9.972,12.971,27.731
B La Mg N       ,195,12.204,29.182,11.111,12.57,28.657
B Mg N Sr       ,195,12.272,29.002,10.711,12.113,28.619
B Ba Mg N       ,195,12.977,29.058,10.897,12.033,27.881
B K Mg N        ,195,13.785,29.148,10.33,11.299,28.114
Mg N Sn Ta      ,196,12.221,29.562,9.21,10.7,28.386
Mg N Ta Zr      ,197,12.311,29.799,9.513,11.654,28.212
Ca Mg N Ta      ,198,12.45,29.538,9.496,11.843,28.382
Mg N Ta Y       ,199,12.625,29.638,9.834,12.205,28.081
B Mg N Ta       ,200,12.692,29.466,10.987,11.777,28.996
Li Mg N Ta      ,201,12.911,29.673,9.366,10.387,29.435
La Mg N Ta      ,202,12.92,29.458,10.079,11.799,28.979
