Phase fields,     scores,     Norm. scores,
As Cu Ge Se     ,  5.132,      0.0,
As Cd Ga Se     ,  5.269,     0.01,
As Ga Se Zn     ,  5.269,     0.01,
As Cd Ge P      ,  5.437,    0.022,
As Ge P Zn      ,  5.437,    0.022,
As As Cd Cl     ,  5.507,    0.027,
Cd Ge S Se      ,  5.547,     0.03,
Cu Ge P Se      ,  5.593,    0.033,
As Cd In Se     ,  5.624,    0.036,
As In Se Zn     ,  5.624,    0.036,
Ag Ga S Se      ,  5.641,    0.037,
As Cd Ga S      ,  5.684,     0.04,
As Ga S Zn      ,  5.684,     0.04,
As Cu In Se     ,  5.705,    0.042,
Ga P Se Zn      ,  5.719,    0.043,
As P Si Zn      ,  5.735,    0.044,
Cd Ga S Se      ,  5.754,    0.045,
Cl Ga P Se      ,  5.759,    0.046,
Cl Ga Sb Se     ,  5.832,    0.051,
Cu Ga S Se      ,  5.833,    0.051,
Cd S Se Si      ,  5.839,    0.051,
Ag Cl Ge S      ,  5.851,    0.052,
Ge Sb Se Te     ,   5.86,    0.053,
Ag Ga Se Te     ,   5.89,    0.055,
As Cd P Zn      ,  5.901,    0.056,
Al S Se Zn      ,  5.913,    0.057,
Al Cl P Se      ,  5.916,    0.057,
As Cd Ga Te     ,  5.932,    0.058,
As Ga Te Zn     ,  5.932,    0.058,
Ag S Sb Se      ,  5.952,     0.06,
Ag In S Se      ,  5.974,    0.061,
Cu Ge P S       ,  5.986,    0.062,
Al Cl Sb Se     ,  5.988,    0.062,
Al Cu S Se      ,  5.989,    0.062,
Ag Cl In Se     ,  5.991,    0.062,
Cd S Se Zn      ,  6.003,    0.063,
As Cd In S      ,  6.015,    0.064,
As Cl Cu S      ,   6.05,    0.067,
Cu P S Se       ,  6.065,    0.068,
Cu Ga Se Te     ,  6.075,    0.069,
Cd In S Se      ,  6.081,    0.069,
In S Se Zn      ,  6.082,    0.069,
Cl Cu P Se      ,  6.082,    0.069,
Ga P S Zn       ,  6.104,    0.071,
Ge Se Sn Te     ,  6.127,    0.072,
Cu S Sb Se      ,  6.135,    0.073,
Ag S Se Te      ,  6.154,    0.074,
Cu In S Se      ,  6.156,    0.074,
Ag Cl Se Te     ,   6.17,    0.075,
Ag Sb Se Te     ,  6.189,    0.077,
Cl Ga S Sb      ,   6.21,    0.078,
Ag In Se Te     ,   6.21,    0.078,
Cd Se Te Zn     ,  6.238,     0.08,
As Cd In Te     ,  6.249,    0.081,
Ag Cl P S       ,  6.272,    0.083,
Ag Br Ge S      ,  6.313,    0.086,
As Cu In Te     ,  6.322,    0.086,
Ag Ge I Se      ,  6.322,    0.086,
Ag Cl In S      ,  6.359,    0.089,
Ge Pb S Se      ,  6.361,    0.089,
In Sb Se Te     ,  6.368,     0.09,
As As Cd I      ,  6.373,     0.09,
Cu In Se Te     ,  6.386,    0.091,
In S Se Sn      ,  6.393,    0.092,
As Br Cd P      ,  6.395,    0.092,
Ag Au S Se      ,  6.395,    0.092,
As Cl Ga Hg     ,  6.413,    0.093,
Cu Rh S Se      ,  6.433,    0.095,
Cl Ga Sb Te     ,  6.437,    0.095,
Cd Cl S Sb      ,   6.44,    0.095,
Al Br Sb Se     ,   6.44,    0.095,
Ag Br In Se     ,  6.443,    0.095,
Cl Cu P S       ,  6.445,    0.095,
Br Cu Ge S      ,  6.486,    0.098,
Cu Ge I Se      ,  6.495,    0.099,
As Br Cu S      ,  6.498,    0.099,
Cl In S Sb      ,  6.514,      0.1,
Br Cd Sb Se     ,  6.523,    0.101,
Br Cu P Se      ,  6.528,    0.101,
Ag Cl S Te      ,  6.528,    0.101,
Cl In In S      ,  6.534,    0.102,
Ag As Cl Hg     ,  6.538,    0.102,
Cd Se Sn Te     ,  6.542,    0.102,
Se Sn Te Zn     ,  6.542,    0.102,
Ni P S Se       ,  6.545,    0.103,
Ag O P Se       ,  6.579,    0.105,
Ag Cl In Te     ,  6.582,    0.105,
Ge Pb Se Te     ,  6.583,    0.105,
Ga S Se Tl      ,  6.584,    0.105,
Br In Sb Se     ,  6.596,    0.106,
Ag Br Se Te     ,   6.61,    0.107,
Br Cu In Se     ,  6.613,    0.108,
Br In In Se     ,  6.615,    0.108,
S Se Sn Sn      ,  6.619,    0.108,
In Ni S Se      ,  6.629,    0.109,
As Cl Hg S      ,  6.656,    0.111,
As Cd Cl O      ,  6.663,    0.111,
Ag Ge I S       ,  6.672,    0.112,
As Hg S Sb      ,  6.673,    0.112,
As As Br Hg     ,  6.676,    0.112,
Cl Cu S Te      ,  6.696,    0.114,
In S Sb Te      ,  6.716,    0.115,
Cd Cl O Se      ,  6.723,    0.116,
Cl O Se Zn      ,  6.723,    0.116,
Cu Cu S Te      ,   6.73,    0.116,
Ag S Te Te      ,   6.73,    0.116,
As Cl Cu O      ,  6.731,    0.116,
As Cl In O      ,  6.734,    0.116,
As Br Hg Se     ,  6.736,    0.116,
Br Cu S Si      ,  6.737,    0.117,
Cu I Se Si      ,  6.746,    0.117,
Cl Cu In Te     ,  6.748,    0.117,
Bi Cl Ga Se     ,  6.749,    0.117,
As Cd I P       ,   6.75,    0.118,
Cd Pb S Se      ,  6.762,    0.118,
Cl Cu Hg Se     ,  6.765,    0.119,
Br Cd P P       ,  6.771,    0.119,
Cl O Sb Se      ,  6.774,    0.119,
Ag S Sn Te      ,  6.786,     0.12,
Ag O S Si       ,  6.787,     0.12,
Ag Br In S      ,  6.787,     0.12,
Cl Cu O Se      ,  6.791,     0.12,
Cl In O Se      ,  6.793,    0.121,
Ag I In Se      ,  6.796,    0.121,
Ag Cl O Si      ,  6.802,    0.121,
As Cd Cr Se     ,  6.816,    0.122,
Br P S S        ,  6.819,    0.123,
Cu Ge I S       ,  6.836,    0.124,
Au Cl P S       ,  6.841,    0.124,
As Cu I S       ,  6.848,    0.125,
S Sb Se Tl      ,  6.853,    0.125,
Ag Bi S Se      ,  6.853,    0.125,
Br Cd S Sb      ,  6.863,    0.126,
Ag Al Cl O      ,  6.865,    0.126,
Br Cu P S       ,  6.868,    0.126,
Ag Bi Cl Se     ,  6.868,    0.126,
Cu I P Se       ,  6.876,    0.127,
Cd S Sn Te      ,  6.881,    0.127,
S Sn Te Zn      ,  6.881,    0.127,
As Cr Cu Se     ,  6.883,    0.127,
Al Bi Cl Se     ,  6.884,    0.127,
I S Sb Se       ,   6.89,    0.128,
Cd Hg Se Te     ,  6.894,    0.128,
Br Cl S Sb      ,  6.896,    0.128,
Ge Pb S Te      ,   6.92,     0.13,
As Cl Hg Sn     ,  6.924,     0.13,
Br In S Sb      ,  6.932,    0.131,
Ga Ga I Te      ,  6.937,    0.131,
Al Cd O S       ,  6.943,    0.132,
Cu I In Se      ,  6.957,    0.133,
Ag Br Cl Te     ,   6.96,    0.133,
Cd Pb Se Te     ,  6.971,    0.134,
Al Cl O S       ,  6.976,    0.134,
Pb S Se Te      ,  6.989,    0.135,
Ag Br In Te     ,  6.996,    0.135,
Bi S Sb Se      ,  6.997,    0.135,
O P P S         ,  6.998,    0.136,
Ag Br S Sn      ,    7.0,    0.136,
Hg O Se Se      ,  7.004,    0.136,
Cl O Se Sn      ,  7.006,    0.136,
Cd Cl O P       ,  7.024,    0.137,
Bi Cl Cu Se     ,  7.027,    0.138,
Cl Hg S Zn      ,  7.029,    0.138,
Pb S Se Sn      ,  7.044,    0.139,
As Br Cd Hg     ,  7.047,    0.139,
Ga S Se V       ,  7.049,    0.139,
As Cl F Se      ,  7.052,    0.139,
Ag Bi Se Te     ,   7.06,     0.14,
As Br Hg S      ,  7.065,     0.14,
Cl Hg In P      ,  7.067,    0.141,
As Br Cd O      ,  7.072,    0.141,
Cl O P Sb       ,  7.073,    0.141,
As Hg I Se      ,  7.074,    0.141,
Cu I S Si       ,  7.075,    0.141,
Cd Cl O Sb      ,  7.084,    0.142,
Cl O Sb Zn      ,  7.084,    0.142,
Cl Cu Hg S      ,  7.093,    0.142,
Cl Hg In S      ,  7.096,    0.143,
Br Cu S Te      ,  7.103,    0.143,
Ag I S Sb       ,  7.104,    0.143,
Br Hg Se Zn     ,  7.105,    0.143,
As Br Cu Hg     ,  7.112,    0.144,
As Br Hg In     ,  7.115,    0.144,
Ga Mo S Se      ,  7.118,    0.144,
Ag O P Te       ,  7.121,    0.144,
Cd I P S        ,  7.136,    0.146,
As Br In O      ,  7.139,    0.146,
Al Cd O Te      ,  7.148,    0.146,
Cl Cu O Sb      ,  7.148,    0.146,
I Sb Se Sn      ,  7.149,    0.146,
Ag Br Te Te     ,   7.15,    0.147,
Ag O S Te       ,   7.15,    0.147,
Br Cu In Te     ,  7.152,    0.147,
Al Cl Nb Se     ,  7.153,    0.147,
Cl Pb S Sb      ,  7.153,    0.147,
Ag Cl O Te      ,  7.164,    0.148,
Cl Cu In O      ,  7.167,    0.148,
Au Cl O Se      ,  7.167,    0.148,
Br Cu Hg Se     ,  7.169,    0.148,
Bi S Se Te      ,  7.169,    0.148,
Ag Bi Cl S      ,  7.192,     0.15,
Cd I S Sb       ,  7.195,     0.15,
Al Al I Te      ,  7.197,     0.15,
Cd Cr S Se      ,  7.198,     0.15,
Cr S Se Zn      ,  7.199,     0.15,
Bi Sb Se Te     ,    7.2,     0.15,
Cu I P S        ,    7.2,     0.15,
Cl Mg O P       ,  7.202,     0.15,
As Cu Er P      ,  7.203,     0.15,
Al Bi Cl S      ,  7.207,    0.151,
Cl Nb P Se      ,  7.217,    0.151,
Bi In Se Te     ,  7.218,    0.151,
Cl Ni O Se      ,  7.222,    0.152,
Ag Mo S Se      ,  7.231,    0.152,
Al Cl O Sn      ,  7.232,    0.153,
As Cu Ho P      ,   7.24,    0.153,
Pb Se Sn Te     ,  7.245,    0.153,
Ag Cl Mo Se     ,  7.245,    0.153,
Cd Cl O Te      ,  7.254,    0.154,
Cl O Te Zn      ,  7.254,    0.154,
As Cl Hg Hg     ,  7.257,    0.154,
Cu I S Sb       ,  7.258,    0.154,
Cr Cu S Se      ,  7.262,    0.155,
Bi Ga S Te      ,  7.264,    0.155,
Ag Bi Br Se     ,  7.266,    0.155,
Cl Hg P Sn      ,  7.272,    0.155,
Cu Nb S Se      ,  7.277,    0.156,
Bi Cl Ga Te     ,  7.279,    0.156,
As Cl Hg O      ,  7.281,    0.156,
Bi Cd Cl S      ,  7.281,    0.156,
Cl O P Sn       ,  7.296,    0.157,
Cl O Sb Te      ,  7.302,    0.158,
