element,Pettifor,Number,AtomicVolume,AtomicWeight,BCCbandgap,BCCefflatcnt,BCCenergydiff,BCCenergy_pa,BCCfermi,BCCmagmom,BCCvolume_padiff,BCCvolume_pa,Column,CovalentRadius,Electronegativity,FirstIonizationEnergy,GSbandgap,GSefflatcnt,GSenergy_pa,GSestBCClatcnt,GSestFCClatcnt,GSmagmom,GSvolume_pa,ICSDVolume,MendeleevNumber,NdUnfilled,NdValence,NfUnfilled,NfValence,NpUnfilled,NpValence,NsUnfilled,NsValence,NUnfilled,NValance,Polarizability,Row
Mo,56.0,42.0,15.5008806878023,95.96,0.0,6.30832861684347,0.0,-10.84610777,8.63699786,0.0,0.0,15.69,6.0,154.0,2.16,7.09243,0.0,6.30832861684347,-10.84610777,3.154164308,3.973998007,0.0,15.69,15.59,50.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,12.8,5.0
Tc,59.0,43.0,14.1510115085267,98.0,0.0,6.13614657751566,0.263389815,-10.09176138,9.04413786,0.0,0.154999999999999,14.44,7.0,147.0,1.9,7.28,0.0,6.11411226938958,-10.355151195,3.057056135,3.851649375,0.0,14.285,14.22,53.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,11.4,5.0
Ru,61.0,44.0,13.5678744093001,101.07,0.0,6.06013600394769,0.62370119,-8.57093238,8.76028027,5.73e-05,0.4,13.91,8.0,146.0,2.2,7.3605,0.0,6.00148111583404,-9.19463357,3.000740558,3.780696194,0.0,13.51,14.03,56.0,3.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,8.0,9.6,5.0
Rh,63.0,45.0,13.7255098107475,102.9055,0.0,6.06448955142487,0.34366161,-6.90998391,7.36882436,0.3703569,0.299999999999999,13.94,9.0,142.0,2.28,7.4589,0.0,6.02066945458439,-7.25364552,3.010334727,3.79278409,0.0,13.64,11.58,59.0,2.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,9.0,8.6,5.0
Pd,65.0,46.0,14.6983862685637,106.42,0.0,6.14039304709075,0.0467616700000004,-5.0910129,5.18698918,0.0,0.0600000000000005,14.47,10.0,139.0,2.2,8.3369,0.0,6.13189422232316,-5.13777457,3.065947111,3.862851303,0.0,14.41,14.72,62.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.8,5.0
Ag,67.0,47.0,17.0756479498908,107.8682,0.0,6.37595141509567,0.0454143900000004,-2.71997917,4.0527598,0.0,-0.129999999999999,16.2,11.0,145.0,1.93,7.57623,0.0,6.39296101106242,-2.76539356,3.196480506,4.027313074,0.0,16.33,17.05,65.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11.0,6.99,5.0
Cd,75.0,48.0,21.580025455795,112.411,0.0,6.79976931166655,0.0718351850000001,-0.74033904,3.9382943,0.0,0.154999999999998,19.65,12.0,144.0,1.69,8.99382,0.0,6.78184314221099,-0.812174225,3.390921571,4.272293466,0.0,19.495,21.59,70.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,7.32,5.0
In,80.0,49.0,26.0826581603887,114.818,0.0,7.31163466517838,0.0128968399999998,-2.65390512,8.39826763,0.0,0.169999999999998,24.43,13.0,142.0,1.78,5.78636,0.0,7.29463545323234,-2.66680196,3.647317727,4.595332379,0.0,24.26,26.14,75.0,0.0,10.0,0.0,0.0,5.0,1.0,0.0,2.0,5.0,13.0,9.65,5.0
Sn,83.0,50.0,26.9667852620646,118.71,0.0,7.39058944993754,0.0661216499999999,-3.89492544,9.05054728,0.0,-8.055,25.23,14.0,139.0,1.96,7.34392,0.0,8.10568112345761,-3.96104709,4.052840562,5.106259136,0.0,33.285,27.05,80.0,0.0,10.0,0.0,0.0,4.0,2.0,0.0,2.0,4.0,14.0,7.06,5.0
Sb,91.0,51.0,30.1914234437891,121.76,0.0,7.56791645753124,0.22744721,-3.88991513,8.38916182,0.0,-4.47,27.09,15.0,139.0,2.05,8.60839,0.0,7.96316398213234,-4.11736234,3.981581991,5.016478962,0.0,31.56,30.21,85.0,0.0,10.0,0.0,0.0,3.0,3.0,0.0,2.0,3.0,15.0,6.6,5.0
Te,94.0,52.0,33.9566887225472,127.6,0.0,7.67895529771151,0.30718408667,-2.83411842,7.95791419,0.0,-6.4633333333,28.3,16.0,138.0,2.1,9.0096,0.464,8.22395007379751,-3.14130250667,4.111975037,5.180763906,0.0,34.7633333333,33.94,90.0,0.0,10.0,0.0,0.0,2.0,4.0,0.0,2.0,2.0,16.0,5.5,5.0
I,99.0,53.0,42.6588574686339,126.90447,0.0,8.27073449931633,0.4518987675,-1.05350365,4.49323253,0.0,-7.655,35.36,17.0,139.0,2.66,10.45126,1.062,8.82903631832734,-1.5054024175,4.414518159,5.561944354,0.0,43.015,42.51,96.0,0.0,10.0,0.0,0.0,1.0,5.0,0.0,2.0,1.0,17.0,5.025,5.0
Xe,5.0,54.0,36952.9240243401,131.293,0.0,10.7060436931533,-1.00178392,-0.95305264,2.48552208,0.0,23.045,76.695,18.0,140.0,2.6,12.12984,6.456,9.5037842725958,0.04873128,4.751892136,5.987008929,0.0,53.65,57.83,102.0,0.0,10.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,18.0,4.044,5.0
Cs,8.0,55.0,117.456015807924,132.9054519,0.0,12.3605405376588,0.00202482999999998,-0.85260163,0.47781163,0.0,2.265,118.03,1.0,244.0,0.79,3.893905,0.0,12.2809629055338,-0.85462646,6.140481453,7.736521839,0.0,115.765,67.55,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,59.42,6.0
Ba,14.0,56.0,64.9692816746952,137.327,0.0,10.0577986216445,0.0,-1.92352226,1.59964069,0.0,0.0,63.59,2.0,215.0,0.89,5.211664,0.0,10.0577986216445,-1.92352226,5.028899311,6.3360161,0.0,63.59,62.88,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,39.7,6.0
La,32.0,57.0,37.5306461188031,138.90547,0.0,8.4320768992023,0.131681664999999,-4.79586452,7.77495265,0.0008051,0.572499999999998,37.47,3.0,207.0,1.1,5.5769,0.0,8.38891205220146,-4.927546185,4.194456026,5.28468344,0.0,36.8975,37.42,13.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,3.0,31.1,6.0
Ce,31.0,58.0,34.7845014783339,140.116,0.0,8.38682742661131,0.121388169999999,-4.65518148,3.65500445,0.0,-0.370000000000005,36.87,3.0,204.0,1.12,5.5387,0.0,8.41478876292688,-4.77656965,4.207394381,5.300984746,0.0,37.24,34.47,15.0,9.0,1.0,13.0,1.0,0.0,0.0,0.0,2.0,22.0,4.0,29.6,6.0
Pr,30.0,59.0,35.2391757331551,140.90765,0.0,8.31185223060113,0.12529012,-4.64853984,3.59202414,0.0,0.215000000000003,35.89,3.0,203.0,1.13,5.473,0.0,8.29522152003546,-4.77382996,4.14761076,5.225662103,0.0,35.675,34.5,17.0,0.0,0.0,11.0,3.0,0.0,0.0,0.0,2.0,11.0,5.0,28.2,6.0
Nd,29.0,60.0,34.1690548824543,144.242,0.0,8.24021490626229,0.13159904,-4.6307523,3.44641484,0.0,0.159999999999997,34.97,3.0,201.0,1.14,5.525,0.0,8.22762840089464,-4.76235134,4.1138142,5.183081107,0.0,34.81,34.2,19.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,2.0,10.0,6.0,31.4,6.0
Pm,28.0,61.0,33.1475485627589,145.0,0.0,8.17130561560935,0.1365725925,-4.60804875,3.36326605,0.0,0.2575,34.1,3.0,199.0,1.155,5.582,0.0,8.15068557846985,-4.7446213425,4.075342789,5.134610166,0.0,33.8425,33.67,21.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,2.0,9.0,7.0,30.1,6.0
Sm,27.0,62.0,33.9568190130002,150.36,0.0,8.12875014260009,0.140138335,-4.5732413,3.25688831,0.0,0.340000000000003,33.57,3.0,198.0,1.17,5.6437,0.0,8.10121406381752,-4.713379635,4.050607032,5.103445064,0.0,33.23,33.14,23.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,2.0,8.0,8.0,28.8,6.0
Eu,17.0,63.0,48.1212923577191,151.964,0.0,8.35562387818653,0.0,-1.82958684,2.43429944,0.0,0.0,36.46,3.0,198.0,1.185,5.67038,0.0,8.35562387818653,-1.82958684,4.177811939,5.263713205,0.0,36.46,48.53,25.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,2.0,7.0,9.0,27.7,6.0
Gd,26.0,64.0,33.0497243138068,157.25,0.0,8.05215918830477,0.14373427,-4.51068704,3.3984822,0.0,0.580000000000005,32.63,3.0,196.0,1.2,6.1498,0.0,8.00416449840962,-4.65442131,4.002082249,5.042307669,0.0,32.05,32.98,27.0,9.0,1.0,7.0,7.0,0.0,0.0,0.0,2.0,16.0,10.0,23.5,6.0
Tb,25.0,65.0,32.109492755383,158.92535,0.0,8.00998752597674,0.14441081667,-4.48480688,3.36716234,0.0,0.383333333299998,32.12,3.0,194.0,1.21,5.8638,0.0,7.9779950840129,-4.62921769667,3.988997542,5.025821971,0.0,31.7366666667,31.95,29.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,2.0,5.0,11.0,25.5,6.0
Dy,24.0,66.0,31.5569998455358,162.5,0.0,7.9336173583474,0.146173713330001,-4.45538074,3.35771331,0.0,-0.0299999999999976,31.21,3.0,192.0,1.22,5.9389,0.0,7.93615855562507,-4.60155445333,3.968079278,4.99946661,0.0,31.24,31.6,31.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,2.0,4.0,12.0,24.5,6.0
Ho,23.0,67.0,31.1403799107649,164.93032,0.0,7.94292713763147,0.14269267667,-4.4347242,3.13511407,0.0,0.586666666700001,31.32,3.0,192.0,1.23,6.0215,0.0,7.89302023755781,-4.57741687667,3.946510119,4.972291172,0.0,30.7333333333,31.11,33.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,2.0,3.0,13.0,23.6,6.0
Er,22.0,68.0,30.6360683670134,167.259,0.0,7.88845185556048,0.141755915,-4.42187783,3.16018015,0.0,0.0949999999999989,30.68,3.0,189.0,1.24,6.1077,0.0,7.88030129316004,-4.563633745,3.940150647,4.964278739,0.0,30.585,30.67,35.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,2.0,2.0,14.0,22.7,6.0
