element,Pettifor,Number,AtomicVolume,AtomicWeight,BCCbandgap,BCCefflatcnt,BCCenergydiff,BCCenergy_pa,BCCfermi,BCCmagmom,BCCvolume_padiff,BCCvolume_pa,Column,CovalentRadius,Electronegativity,FirstIonizationEnergy,GSbandgap,GSefflatcnt,GSenergy_pa,GSestBCClatcnt,GSestFCClatcnt,GSmagmom,GSvolume_pa,ICSDVolume,MendeleevNumber,NdUnfilled,NdValence,NfUnfilled,NfValence,NpUnfilled,NpValence,NsUnfilled,NsValence,NUnfilled,NValance,Polarizability,Row
Po,93.0,84.0,37.740406388696,209.0,0.0,8.43432665301749,0.11121118875,-3.92813716,7.310142205,0.0,-1.23125,37.5,16.0,140.0,2.0,8.414,0.0,8.52564343575276,-4.03934834875,4.262821718,5.370818814,0.0,38.73125,37.38,91.0,0.0,10.0,0.0,14.0,2.0,4.0,0.0,2.0,2.0,30.0,6.8,6.0
Rn,6.0,86.0,37887.7995482819,222.0,0.0,8.43432665301749,0.11121118875,-3.92813716,7.310142205,0.0,-1.23125,37.5,18.0,150.0,0.0,10.7485,0.0,8.52564343575276,-4.03934834875,4.262821718,5.370818814,0.0,38.73125,41.71,103.0,0.0,10.0,0.0,14.0,0.0,6.0,0.0,2.0,0.0,32.0,5.3,6.0
Ra,13.0,88.0,75.0581202258386,226.0,0.0,8.43432665301749,0.11121118875,-3.92813716,7.310142205,0.0,-1.23125,37.5,2.0,221.0,0.9,5.278423,0.0,8.52564343575276,-4.03934834875,4.262821718,5.370818814,0.0,38.73125,68.22,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,38.3,7.0
Ac,33.0,89.0,37.4330862969509,227.0,0.0,8.96878072039237,0.1441117175,-3.96089058,6.15712712,0.0,0.577500000000001,45.09,3.0,215.0,1.1,5.17,0.0,8.93032620748247,-4.1050022975,4.465163104,5.625752986,0.0,44.5125,37.45,14.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,3.0,32.1,7.0
Th,34.0,90.0,32.86568321477,232.03806,0.0,8.07839591723356,0.14599625,-7.26654681,7.42513365,0.0,0.580000000000005,32.95,3.0,206.0,1.3,6.3067,0.0,8.03071525405441,-7.41254306,4.015357627,5.059033597,0.0,32.37,32.86,16.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,4.0,32.1,7.0
Pa,35.0,91.0,24.9611606283359,231.03586,0.0,7.32458092629781,0.17978156,-9.31763091,12.94746448,0.0,-0.620000000000001,24.56,3.0,200.0,1.5,5.89,0.0,7.38570407738098,-9.49741247,3.692852039,4.652702018,0.0,25.18,24.94,18.0,9.0,1.0,12.0,2.0,0.0,0.0,0.0,2.0,21.0,5.0,25.4,7.0
U,36.0,92.0,20.7488474020455,238.02891,0.0,6.86602354655925,0.274925654999999,-11.0174143,14.86914267,0.0,0.205000000000002,20.23,3.0,196.0,1.38,6.1941,0.0,6.84275255995857,-11.292339955,3.42137628,4.310663995,0.0,20.025,21.18,20.0,9.0,1.0,11.0,3.0,0.0,0.0,0.0,2.0,20.0,6.0,24.9,7.0
Np,37.0,93.0,19.2448390132676,237.0,0.0,6.58545926462568,0.4417328362,-12.49858152,18.54401272,9.09e-05,-0.603749999999998,17.85,3.0,190.0,1.36,6.2657,0.0,6.65888536568129,-12.9403143562,3.329442683,4.194834921,0.0,18.45375,19.22,22.0,9.0,1.0,10.0,4.0,0.0,0.0,0.0,2.0,19.0,7.0,24.8,7.0
Pu,38.0,94.0,20.4471640587929,244.0,0.0,6.43444964983017,0.612362865000001,-13.71427144,19.07201771,4.8e-06,-1.43,16.65,3.0,187.0,1.28,6.026,0.0,6.61362352755971,-14.326634305,3.306811764,4.166321749,0.3180036375,18.08,20.04,24.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,2.0,8.0,8.0,24.5,7.0
Am,39.0,95.0,29.5186850847065,243.0,0.0,6.43444964983017,0.612362865000001,-13.71427144,19.07201771,4.8e-06,-1.43,16.65,3.0,180.0,1.3,5.9738,0.0,6.61362352755971,-14.326634305,3.306811764,4.166321749,0.3180036375,18.08,29.27,26.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,2.0,7.0,9.0,23.3,7.0
Cm,40.0,96.0,30.3599360941782,247.0,0.0,6.43444964983017,0.612362865000001,-13.71427144,19.07201771,4.8e-06,-1.43,16.65,3.0,169.0,1.3,5.9914,0.0,6.61362352755971,-14.326634305,3.306811764,4.166321749,0.3180036375,18.08,21.04,28.0,9.0,1.0,7.0,7.0,0.0,0.0,0.0,2.0,16.0,10.0,23.0,7.0
