Phase fields,     scores,     Norm. scores,
As Cu Ge Se     ,  2.636,      0.0,
As Ga Se Zn     ,  2.781,    0.013,
As Cd Ga Se     ,  3.012,    0.033,
As Cu In Se     ,  3.297,    0.057,
As In Se Zn     ,   3.35,    0.062,
As Ga Te Zn     ,  3.425,    0.068,
As As Cd Cl     ,  3.436,    0.069,
Cu Ga Se Te     ,  3.452,    0.071,
Ag Ga Se Te     ,  3.538,    0.078,
As Cd In Se     ,  3.544,    0.079,
Br Cu In Se     ,  3.569,    0.081,
Cu Ge I Se      ,  3.586,    0.082,
As Cd Ga Te     ,  3.615,    0.085,
As Ge P Zn      ,  3.622,    0.085,
Cu Ge P Se      ,  3.648,    0.088,
Cl Ga Sb Se     ,  3.648,    0.088,
As Ga S Zn      ,  3.649,    0.088,
Ag Br In Se     ,  3.652,    0.088,
Ag Ge I Se      ,  3.668,    0.089,
Cu Ga S Se      ,  3.675,     0.09,
Ge Sb Se Te     ,  3.733,    0.095,
Ga P Se Zn      ,  3.754,    0.097,
Ag Ga S Se      ,  3.756,    0.097,
Ag Br Se Te     ,  3.766,    0.098,
As As Cd I      ,  3.773,    0.098,
Br Cd Sb Se     ,  3.779,    0.099,
Al Br Sb Se     ,  3.784,    0.099,
Br Cu Ge S      ,  3.795,      0.1,
As Cd Ge P      ,  3.802,    0.101,
As Br Cu S      ,  3.825,    0.103,
As Cd Ga S      ,  3.828,    0.103,
Cd Ge S Se      ,  3.842,    0.104,
Cd Se Te Zn     ,  3.854,    0.105,
As Cu In Te     ,  3.856,    0.106,
Ag Cl In Se     ,  3.866,    0.106,
Ag Br Ge S      ,  3.873,    0.107,
Br In Sb Se     ,  3.897,    0.109,
Cd Ga S Se      ,  3.898,    0.109,
Br In In Se     ,  3.915,    0.111,
Br Cu P Se      ,  3.925,    0.112,
Cu In Se Te     ,  3.925,    0.112,
As Cr Cu Se     ,  3.955,    0.114,
Br Ni O Se      ,   3.97,    0.115,
Ag Cl Se Te     ,  3.974,    0.116,
Ag Sb Se Te     ,  3.983,    0.117,
Al Cl Sb Se     ,  3.991,    0.117,
Ag In Se Te     ,  4.001,    0.118,
Cl Ga P Se      ,  4.015,    0.119,
Al Cu S Se      ,  4.016,    0.119,
As Cd P Zn      ,  4.017,    0.119,
As Cl Cu O      ,  4.024,     0.12,
As Cl Cu S      ,   4.03,    0.121,
As Br Cd O      ,  4.033,    0.121,
Ge Se Sn Te     ,  4.045,    0.122,
Ga Ga I Te      ,  4.049,    0.122,
Cd S Se Zn      ,  4.055,    0.123,
Al S Se Zn      ,   4.06,    0.123,
As Br Cd P      ,  4.068,    0.124,
As Cd In Te     ,  4.069,    0.124,
Ag Cl Ge S      ,  4.076,    0.125,
Cl Cu O Se      ,   4.09,    0.126,
Br Cu In Te     ,   4.09,    0.126,
Cu I In Se      ,  4.096,    0.126,
Cu S Sb Se      ,  4.105,    0.127,
Br Nb Se Se     ,  4.106,    0.127,
Cu In S Se      ,  4.122,    0.129,
