phases,cgcnn,mat2vec,pareto_cgcnn_mat2vec,anion radii diff %,distance from LSSI,leaf,Predicted_Order?,pareto_cgcnn_mat2vec_distance from LSSI,distance_from_LiTa2PO8
Li Mo S Te      ,0.172,0.417,21,21.8,8.5,0.448,False,13,17.25
Al I Li S       ,0.312,0.341,21,21.2,1.75,0.202,True,11,11.5
Br Li Sn Te     ,0.114,0.616,21,13.7,1.25,0.084,False,9,11.0
Ce Li Se Te     ,0.111,0.638,21,12.5,15.0,0.955,True,14,23.75
Br Cl Li Mo     ,0.162,0.545,21,9.0,8.75,0.047,True,13,18.0
Br Cl Li W      ,0.142,0.59,21,9.0,8.5,0.05,True,13,17.75
Cl K Li S       ,0.525,0.286,21,1.8,19.25,0.091,True,9,29.0
F Li Sn Te      ,0.162,0.572,22,73.9,1.75,0.157,True,0,11.5
F Gd Li S       ,0.142,0.602,22,42.9,15.5,0.297,True,12,25.25
Cl F Ge Li      ,0.156,0.575,22,40.3,2.25,0.159,True,9,11.5
Cl Li N W       ,0.218,0.417,22,26.5,9.5,0.004,True,10,19.25
I Li S Si       ,0.257,0.372,22,21.2,0.0,0.234,False,14,9.75
Ge Li Se Te     ,0.119,0.638,22,12.5,1.75,0.162,False,9,10.5
Cl Ga Li Se     ,0.153,0.581,22,10.2,2.25,0.08,True,14,12.0
Cl Li Se Zn     ,0.229,0.394,22,10.2,3.5,0.135,True,10,13.25
Cl Li Mg Se     ,0.17,0.488,22,10.2,3.75,0.207,True,11,13.5
Li Mg S Se      ,0.173,0.418,22,8.2,4.0,0.304,True,12,12.75
Br Li S Zn      ,0.233,0.392,22,7.1,3.0,0.13,True,12,12.75
Cl Li S Zr      ,0.343,0.333,22,1.8,9.5,0.947,True,5,19.25
Br In Li Se     ,0.166,0.533,22,1.1,1.75,0.062,False,13,11.5
Br Ge Li Se     ,0.112,0.693,22,1.1,0.75,0.148,False,12,10.5
Al Br Li Se     ,0.169,0.495,22,1.1,2.25,0.169,True,11,12.0
Li N Te Zn      ,0.314,0.374,23,56.8,6.0,0.141,True,8,14.75
Cl F Gd Li      ,0.139,0.668,23,40.3,16.75,0.134,True,14,26.0
Br Li N Si      ,0.189,0.418,23,37.9,2.25,0.229,True,6,12.0
Ga Li N S       ,0.233,0.406,23,28.8,4.25,0.103,True,14,13.0
Cl Gd Li N      ,0.17,0.545,23,26.5,17.25,0.274,True,9,27.0
Cl Li Te Zn     ,0.237,0.403,23,24.0,3.75,0.052,True,11,13.5
Li Mg S Te      ,0.181,0.427,23,21.8,4.25,0.295,False,12,13.0
Br Ge Li Te     ,0.12,0.702,23,13.7,1.0,0.137,False,13,10.75
Br Ce Li Te     ,0.112,0.703,23,13.7,14.25,0.213,True,12,24.0
In Li Se Te     ,0.173,0.475,23,12.5,2.75,0.077,False,15,11.5
Li Se Te W      ,0.152,0.608,23,12.5,8.5,0.972,False,11,17.25
F Li N Sb       ,0.188,0.424,23,10.9,2.75,0.249,True,10,11.0
F In Li N       ,0.286,0.38,23,10.9,4.0,0.456,True,10,13.75
Li S Se Ti      ,0.356,0.339,23,8.2,9.5,0.318,False,13,18.25
Br Ga Li S      ,0.156,0.579,23,7.1,1.75,0.111,True,14,11.5
Br Li Se W      ,0.145,0.664,23,1.1,7.5,0.964,False,15,17.25
Ce F Li Se      ,0.152,0.651,24,54.6,14.5,0.097,True,13,24.25
F Gd Li Se      ,0.143,0.741,24,54.6,15.75,0.131,True,13,25.5
Br F Li Sn      ,0.155,0.629,24,52.9,2.25,0.321,True,12,11.5
F Li Mo S       ,0.211,0.43,24,42.9,8.0,0.314,True,11,17.75
Gd Li N S       ,0.173,0.476,24,28.8,17.5,0.168,True,10,26.25
Cl K Li N       ,0.589,0.329,24,26.5,21.25,0.038,True,15,31.0
Ca Cl Li N      ,0.299,0.383,24,26.5,19.75,0.217,True,15,29.5
Cl Ga Li Te     ,0.16,0.589,24,24.0,2.5,0.192,True,13,12.25
Li S Te Ti      ,0.363,0.348,24,21.8,9.75,0.309,False,6,18.5
I In Li S       ,0.309,0.381,24,21.2,1.25,0.337,False,10,11.0
Al Li Se Te     ,0.176,0.436,24,12.5,3.25,0.183,False,14,12.0
Br Cl Li Mg     ,0.171,0.554,24,9.0,4.5,0.217,True,13,13.75
Br Cl Ga Li     ,0.154,0.646,24,9.0,3.0,0.425,True,14,12.25
Ca Li S Se      ,0.228,0.421,24,8.2,18.25,0.261,True,11,27.0
F Gd Li Te      ,0.151,0.75,25,73.9,16.0,0.237,True,12,25.75
F Ge Li Se      ,0.159,0.65,25,54.6,1.25,0.211,True,10,11.0
Br F Gd Li      ,0.144,0.804,25,52.9,16.5,0.462,True,11,25.75
F Li S Ti       ,0.398,0.361,25,42.9,9.25,0.193,True,15,19.0
Li N Se Sn      ,0.185,0.437,25,39.4,3.5,0.088,True,14,12.25
Ce Cl Li N      ,0.179,0.449,25,26.5,16.0,0.008,True,14,25.75
Ba Cl Li N      ,0.39,0.366,25,26.5,20.25,0.128,True,14,30.0
B Cl Li N       ,0.317,0.388,25,26.5,2.75,0.136,True,8,12.0
Cl Li N V       ,0.25,0.424,25,26.5,10.25,0.209,True,15,20.0
Al Cl I Li      ,0.309,0.412,25,23.4,3.0,0.187,True,13,12.25
Br Li Te W      ,0.153,0.673,25,13.7,7.75,0.958,False,12,17.5
Li Mo Se Te     ,0.173,0.563,25,12.5,8.75,0.47,False,15,17.5
Li S Se V       ,0.176,0.461,25,8.2,8.75,0.161,True,13,17.5
Br Li Mg S      ,0.174,0.486,25,7.1,3.25,0.282,True,12,13.0
Br Li Mo Se     ,0.166,0.62,25,1.1,7.75,0.459,False,12,17.5
Ce F Li Te      ,0.16,0.659,26,73.9,14.75,0.043,True,10,24.5
F Ge Li Te      ,0.167,0.658,26,73.9,1.5,0.377,True,16,11.25
Li N Sn Te      ,0.192,0.445,26,56.8,3.75,0.076,True,15,12.5
Br Ce F Li      ,0.153,0.715,26,52.9,15.25,0.119,True,13,24.5
F Li Mg S       ,0.22,0.44,26,42.9,3.75,0.192,True,12,13.5
Cl F Li Zn      ,0.274,0.416,26,40.3,4.75,0.082,True,2,14.0
Li N Se Ti      ,0.426,0.381,26,39.4,11.5,0.316,True,13,20.25
Br In Li N      ,0.243,0.427,26,37.9,3.5,0.025,True,14,13.25
Cl Ge Li N      ,0.187,0.448,26,26.5,2.75,0.974,True,7,12.5
Cl Li Mg Te     ,0.178,0.496,26,24.0,4.0,0.235,False,10,13.75
Cl I Li P       ,0.185,0.462,26,23.4,2.25,0.209,True,8,9.5
Li S Te V       ,0.184,0.469,26,21.8,9.0,0.151,True,14,17.75
Ca Li S Te      ,0.235,0.429,26,21.8,18.5,0.251,False,14,27.25
Al Br Li Te     ,0.177,0.504,26,13.7,2.5,0.158,True,16,12.25
F Li N Zn       ,0.35,0.387,26,10.9,5.5,0.171,True,12,15.25
Cl Li Se V      ,0.174,0.53,26,10.2,8.5,0.101,True,13,18.25
Ba Li S Se      ,0.322,0.403,26,8.2,18.75,0.176,True,15,27.5
B Li S Se       ,0.246,0.426,26,8.2,1.25,0.184,True,10,9.5
Al I Li N       ,0.383,0.384,27,56.1,3.75,0.199,True,17,13.5
I Li N P        ,0.264,0.433,27,56.1,2.5,0.981,True,11,10.75
Al F Li Se      ,0.215,0.449,27,54.6,2.75,0.196,True,16,12.5
Br F Ge Li      ,0.16,0.714,27,52.9,2.0,0.256,True,12,11.25
F Li S W        ,0.191,0.476,27,42.9,7.75,0.342,True,12,17.5
Ce Li N Se      ,0.183,0.527,27,39.4,16.5,0.18,True,14,25.25
Br Li N Sn      ,0.186,0.504,27,37.9,2.75,0.061,True,15,12.5
Li N S Ta       ,0.325,0.413,27,28.8,11.0,0.108,True,14,19.75
Li N S Sr       ,0.351,0.395,27,28.8,20.25,0.16,True,11,29.0
Ba Li S Te      ,0.329,0.412,27,21.8,19.0,0.166,True,11,27.75
B Li S Te       ,0.253,0.434,27,21.8,1.5,0.174,True,13,9.75
I Li S Zn       ,0.371,0.388,27,21.2,2.75,0.375,True,14,12.5
Br In Li Te     ,0.174,0.541,27,13.7,2.0,0.05,False,2,11.75
Ga Li Se Te     ,0.164,0.664,27,12.5,3.0,0.155,False,10,11.75
K Li S Se       ,0.528,0.367,27,8.2,19.75,0.251,True,10,28.5
Br Li S V       ,0.177,0.528,27,7.1,8.0,0.136,True,14,17.75
Cl Li S Sr      ,0.275,0.424,27,1.8,18.0,0.223,True,17,27.75
Cl Li S Ta      ,0.248,0.442,27,1.8,8.75,0.23,True,8,18.5
Br Ga Li Se     ,0.157,0.719,27,1.1,2.0,0.141,True,12,11.75
Al F Li Te      ,0.222,0.458,28,73.9,3.0,0.186,True,15,12.75
Li N Te Ti      ,0.432,0.39,28,56.8,11.75,0.306,False,16,20.5
I Li N Si       ,0.331,0.414,28,56.1,2.0,0.295,True,16,11.75
F In Li Se      ,0.212,0.487,28,54.6,2.25,0.481,True,16,12.0
Ca F Li S       ,0.273,0.442,28,42.9,18.0,0.264,True,17,27.75
Ge Li N Se      ,0.19,0.526,28,39.4,3.25,0.14,True,12,12.0
Gd Li N Se      ,0.174,0.62,28,39.4,17.75,0.157,True,14,26.5
Li Mo N Se      ,0.242,0.449,28,39.4,10.25,0.454,True,15,19.0
Cl Li Te V      ,0.181,0.538,28,24.0,8.75,0.077,True,17,18.5
Cl I Li Sb      ,0.209,0.494,28,23.4,2.75,0.226,True,14,9.33
Cl I Li Si      ,0.255,0.443,28,23.4,1.25,0.275,True,12,10.5
K Li S Te       ,0.534,0.376,28,21.8,20.0,0.241,True,15,28.75
Br Ga Li Te     ,0.165,0.728,28,13.7,2.25,0.13,False,15,12.0
Cl Li Se Ti     ,0.354,0.41,28,10.2,9.25,0.087,True,7,19.0
Br Cl Li V      ,0.175,0.596,28,9.0,9.25,0.032,True,12,18.5
Li S Se Zr      ,0.346,0.413,28,8.2,10.0,0.237,False,11,18.75
Br Li S Ti      ,0.357,0.408,28,7.1,8.75,0.297,True,14,18.5
F In Li Te      ,0.219,0.496,29,73.9,2.5,0.472,True,15,12.25
Ge Li N Te      ,0.198,0.534,29,56.8,3.5,0.129,True,15,12.25
Ce Li N Te      ,0.19,0.535,29,56.8,16.75,0.243,True,17,25.5
B F Li S        ,0.291,0.447,29,42.9,1.0,0.187,True,15,10.25
F Li S V        ,0.223,0.482,29,42.9,8.5,0.979,True,14,18.25
Cl F Li Mo      ,0.208,0.499,29,40.3,9.25,0.109,True,5,18.5
Cl F Li W       ,0.188,0.545,29,40.3,9.0,0.116,True,14,18.25
Br Li N Zn      ,0.307,0.434,29,37.9,5.0,0.127,True,16,14.75
Cl Li Te Ti     ,0.361,0.419,29,24.0,9.5,0.045,False,10,19.25
Li S Te Zr      ,0.353,0.422,29,21.8,10.25,0.227,True,17,19.0
Br Li Mo Te     ,0.174,0.629,29,13.7,8.0,0.451,False,16,17.75
Li Mg Se Te     ,0.182,0.573,29,12.5,4.5,0.32,False,13,13.25
F Li N Sn       ,0.231,0.458,29,10.9,3.25,0.207,True,16,13.0
F Li N Ti       ,0.466,0.403,29,10.9,11.25,0.207,False,16,21.0
Br Cl Li Zn     ,0.23,0.462,29,9.0,4.25,0.069,True,15,13.5
Gd Li N Te      ,0.182,0.629,30,56.8,18.0,0.155,True,13,26.75
Li Mo N Te      ,0.249,0.458,30,56.8,10.5,0.445,True,13,19.25
I In Li N       ,0.38,0.422,30,56.1,3.25,0.334,True,15,13.0
Al Br F Li      ,0.216,0.516,30,52.9,3.5,0.172,True,15,12.75
F K Li S        ,0.566,0.389,30,42.9,19.5,0.056,True,16,29.25
Ba F Li S       ,0.365,0.425,30,42.9,18.5,0.179,True,17,28.25
F Ga Li S       ,0.203,0.534,30,42.9,2.25,0.181,True,18,12.0
Cl F Li Mg      ,0.217,0.509,30,40.3,5.0,0.12,True,15,14.25
Li N Se W       ,0.222,0.496,30,39.4,10.0,0.96,True,9,18.75
Br Ce Li N      ,0.184,0.593,30,37.9,15.75,0.13,True,13,25.5
Cl Ga Li N      ,0.23,0.476,30,26.5,4.0,0.473,True,12,13.75
I Li S Ti       ,0.487,0.404,30,21.2,8.5,0.314,False,15,18.25
Ca Cl Li Se     ,0.225,0.49,30,10.2,18.0,0.247,True,16,27.75
Br Li Mg Se     ,0.175,0.63,30,1.1,3.5,0.308,True,14,13.25
I Li P Te       ,0.196,0.548,30,0.5,1.5,0.199,False,10,9.25
I Li N Zn       ,0.44,0.429,31,56.1,4.75,0.299,True,16,14.5
Br F In Li      ,0.213,0.554,31,52.9,3.0,0.064,True,12,12.25
F Li S Zr       ,0.388,0.435,31,42.9,9.75,0.274,True,15,19.5
Cl F Li Ti      ,0.396,0.432,31,40.3,10.5,0.096,True,18,19.75
K Li N Se       ,0.592,0.409,31,39.4,21.75,0.248,True,11,30.5
Li Mg N Se      ,0.25,0.459,31,39.4,6.0,0.301,True,14,14.75
Br Ge Li N      ,0.191,0.592,31,37.9,2.5,0.114,True,18,12.25
Br Gd Li N      ,0.175,0.685,31,37.9,17.0,0.143,True,18,26.75
Cl I In Li      ,0.306,0.451,31,23.4,2.5,0.005,True,17,11.75
Br Li Mg Te     ,0.183,0.638,31,13.7,3.75,0.298,False,16,13.5
Br I Li P       ,0.19,0.605,31,13.2,2.0,0.136,False,18,9.25
Li Se Te Zn     ,0.24,0.482,31,12.5,4.25,0.174,False,12,13.0
Li Se Te V      ,0.185,0.614,31,12.5,9.25,0.18,False,15,18.0
Br Ca Li S      ,0.229,0.488,31,7.1,17.5,0.239,True,13,27.25
Br Li Se V      ,0.178,0.67,31,1.1,8.25,0.166,False,14,18.0
K Li N Te       ,0.598,0.418,32,56.8,22.0,0.238,True,17,30.75
Li N Te W       ,0.229,0.504,32,56.8,10.25,0.954,True,19,19.0
F Li Mo Se      ,0.212,0.576,32,54.6,8.25,0.155,True,17,18.0
F Li Se W       ,0.192,0.62,32,54.6,8.0,0.21,True,14,17.75
Cl F Li V       ,0.22,0.551,32,40.3,9.75,0.127,True,14,19.0
Cl F Ga Li      ,0.2,0.602,32,40.3,3.5,0.145,True,14,12.75
Ba Li N Se      ,0.393,0.445,32,39.4,20.75,0.173,True,19,29.5
Cs Li N S       ,0.72,0.406,32,28.8,22.0,0.238,True,6,30.75
Ca Cl Li Te     ,0.233,0.499,32,24.0,18.25,0.237,True,19,28.0
Cl I Li Zn      ,0.369,0.458,32,23.4,4.0,0.435,True,3,13.25
I Li S Sn       ,0.254,0.459,32,21.2,0.5,0.224,False,3,10.25
I Li Sb Se      ,0.213,0.571,32,12.0,1.75,0.998,False,19,8.83
Cl K Li Se      ,0.526,0.437,32,10.2,19.5,0.112,True,17,29.25
B Cl Li Se      ,0.244,0.495,32,10.2,1.0,0.169,True,19,10.25
B Br Li S       ,0.247,0.493,32,7.1,0.5,0.16,True,14,9.75
Br K Li S       ,0.529,0.436,32,7.1,19.0,0.228,True,10,28.75
F Li Te W       ,0.199,0.629,33,73.9,8.25,0.161,True,17,18.0
F Li Mo Te      ,0.219,0.584,33,73.9,8.5,0.237,True,19,18.25
Ba Li N Te      ,0.4,0.454,33,56.8,21.0,0.162,True,16,29.75
I Li N Ti       ,0.552,0.445,33,56.1,10.5,0.28,True,15,20.25
Li N Se V       ,0.253,0.502,33,39.4,10.75,0.158,True,19,19.5
Ca Li N Se      ,0.303,0.462,33,39.4,20.25,0.258,True,8,29.0
Br Li N Ti      ,0.427,0.45,33,37.9,10.75,0.294,True,18,20.5
Br Li N W       ,0.223,0.562,33,37.9,9.25,0.946,True,11,19.0
B Cl Li Te      ,0.251,0.504,33,24.0,1.25,0.158,True,20,10.5
Cl K Li Te      ,0.532,0.446,33,24.0,19.75,0.935,True,20,29.5
Br Li Te V      ,0.186,0.679,33,13.7,8.5,0.155,True,15,18.25
Ce F Li N       ,0.229,0.548,33,10.9,16.25,0.124,True,15,26.0
F K Li N        ,0.629,0.431,33,10.9,21.5,0.249,True,17,31.25
Br Ca Cl Li     ,0.226,0.557,33,9.0,18.75,0.224,True,17,28.0
I Li Sb Te      ,0.22,0.579,33,0.5,2.0,0.371,False,18,9.08
Li Mg N Te      ,0.258,0.468,34,56.8,6.25,0.292,False,14,15.0
I Li N Sb       ,0.287,0.466,34,56.1,2.0,0.19,True,18,10.25
F Ga Li Se      ,0.204,0.676,34,54.6,2.5,0.132,True,15,12.25
F Li Mg Se      ,0.221,0.585,34,54.6,4.0,0.141,True,13,13.75
Br F Li W       ,0.193,0.685,34,52.9,8.75,0.148,True,14,18.0
Br F Li Mo      ,0.213,0.641,34,52.9,9.0,0.261,True,20,18.25
