phases,cgcnn,mat2vec,pareto_cgcnn_mat2vec,anion radii diff %,distance from LSSI,leaf,Predicted_Order?
Cl Li Sb Te     ,0.063,0.44,10,24.0,2.5,0.128,False
Cl K Li O       ,0.502,0.175,10,32.5,19.5,0.144,True
Ge Li O Se      ,0.081,0.38,10,46.0,1.0,0.156,True
Ba Li N O       ,0.368,0.183,10,4.8,20.25,0.157,True
Br Li Sb Se     ,0.06,0.575,10,1.1,2.0,0.174,False
Ce Li O Se      ,0.074,0.381,10,46.0,14.25,0.179,True
Li N S Si       ,0.187,0.194,10,28.8,2.75,0.224,False
Br Li S Si      ,0.109,0.376,10,7.1,0.25,0.232,True
Li S Si Te      ,0.116,0.316,10,21.8,1.25,0.244,False
F Li O Sn       ,0.125,0.31,10,5.9,1.5,0.257,True
Li Mo N O       ,0.214,0.188,10,4.8,9.75,0.441,True
F In Li O       ,0.184,0.229,10,5.9,2.25,0.468,True
Li O Se W       ,0.115,0.349,10,46.0,7.75,0.969,True
Br Ce Li O      ,0.075,0.45,11,44.4,14.0,0.101,True
Cl F Li P       ,0.079,0.42,11,40.3,3.0,0.122,True
Ce Li O Te      ,0.082,0.39,11,64.3,14.5,0.129,True
Ge Li O Te      ,0.089,0.389,11,64.3,1.25,0.145,True
Al Li S Se      ,0.167,0.275,11,8.2,2.75,0.165,False
Li O Se Zn      ,0.205,0.213,11,46.0,3.5,0.168,False
Gd Li O Se      ,0.064,0.479,11,46.0,15.5,0.173,True
Cl Li O Y       ,0.556,0.184,11,32.5,16.75,0.177,True
F Li S Sb       ,0.108,0.382,11,42.9,2.25,0.212,True
Li N O Zr       ,0.391,0.193,11,4.8,11.5,0.219,True
Ca Cl Li O      ,0.198,0.232,11,32.5,18.0,0.231,True
Li N P Se       ,0.116,0.369,11,39.4,3.5,0.231,True
Cl Ga Li O      ,0.124,0.329,11,32.5,2.25,0.27,True
Li Mg N O       ,0.223,0.198,11,4.8,5.5,0.287,False
Cl Li N Sb      ,0.137,0.322,11,26.5,2.5,0.29,True
Li Mo O Te      ,0.144,0.31,11,64.3,8.25,0.457,True
Cl Li N Si      ,0.184,0.268,11,26.5,2.5,0.944,True
Li N O W        ,0.194,0.237,11,4.8,9.5,0.951,True
Li O Te W       ,0.123,0.358,11,64.3,8.0,0.963,True
I Li O P        ,0.161,0.284,11,63.5,1.25,0.989,True
Ce Cl Li S      ,0.099,0.408,12,1.8,14.0,0.012,True
In Li N S       ,0.241,0.203,12,28.8,4.0,0.02,True
Cl Li Si Te     ,0.113,0.387,12,24.0,1.0,0.041,True
Li S Se Sn      ,0.104,0.395,12,8.2,1.5,0.091,False
Br Ge Li O      ,0.082,0.449,12,44.4,0.75,0.131,True
Al Li S Te      ,0.175,0.284,12,21.8,3.0,0.154,False
Li O Te Zn      ,0.213,0.222,12,64.3,3.75,0.157,False
Br Gd Li O      ,0.065,0.545,12,44.4,15.25,0.159,True
Gd Li O Te      ,0.072,0.487,12,64.3,15.75,0.171,True
Li Sb Se Te     ,0.067,0.518,12,12.5,3.0,0.188,False
Li N P Te       ,0.123,0.378,12,56.8,3.75,0.221,False
Ca Li N O       ,0.276,0.201,12,4.8,19.75,0.243,True
Li Mg O Se      ,0.146,0.311,12,46.0,3.75,0.315,True
Br Li Mo O      ,0.138,0.371,12,44.4,7.75,0.447,True
Li N S Sn       ,0.184,0.285,13,28.8,3.25,0.056,True
In Li S Se      ,0.164,0.315,13,8.2,2.25,0.057,False
Li S Sn Te      ,0.112,0.404,13,21.8,1.75,0.08,False
Cl Li Se Sn     ,0.101,0.465,13,10.2,1.25,0.081,True
Cl Li S W       ,0.14,0.376,13,1.8,7.5,0.114,True
Al Cl Li N      ,0.241,0.236,13,26.5,4.25,0.115,True
Li O S Ta       ,0.225,0.263,13,34.9,8.75,0.125,True
Cl F Li Sb      ,0.105,0.453,13,40.3,3.5,0.126,True
Cl Li S Zn      ,0.228,0.241,13,1.8,3.25,0.135,True
Gd Li N O       ,0.146,0.371,13,4.8,17.25,0.138,True
Ce F Li O       ,0.123,0.403,13,5.9,14.5,0.158,True
F Li P Se       ,0.083,0.498,13,54.6,2.0,0.158,True
Br Li Sb Te     ,0.068,0.584,13,13.7,2.25,0.164,False
F Ge Li O       ,0.131,0.402,13,5.9,1.25,0.164,True
B Li N O        ,0.294,0.207,13,4.8,2.75,0.165,True
Li O Se V       ,0.149,0.355,13,46.0,8.5,0.174,True
Cl Ge Li S      ,0.106,0.407,13,1.8,0.75,0.177,True
Al I Li O       ,0.286,0.232,13,63.5,2.0,0.214,True
Li Mg O Te      ,0.153,0.32,13,64.3,4.0,0.306,False
In Li S Te      ,0.172,0.324,14,21.8,2.5,0.045,False
Br Li S Sn      ,0.105,0.463,14,7.1,0.75,0.064,True
Li N S Zn       ,0.306,0.21,14,28.8,5.5,0.122,True
F Li S Si       ,0.156,0.329,14,42.9,0.75,0.125,True
Cl Li Mo S      ,0.16,0.328,14,1.8,7.75,0.137,True
Br Li O Zn      ,0.206,0.285,14,44.4,3.25,0.143,True
Ba Cl Li O      ,0.294,0.213,14,32.5,18.5,0.144,True
Ga Li O Se      ,0.128,0.409,14,46.0,2.25,0.15,True
F Li O Zn       ,0.251,0.236,14,5.9,3.75,0.165,True
Li N Sb Se      ,0.141,0.402,14,39.4,3.0,0.167,True
Br F Li P       ,0.084,0.565,14,52.9,2.75,0.199,True
I Li O Sb       ,0.185,0.318,14,63.5,1.75,0.205,True
Cl Gd Li S      ,0.089,0.504,14,1.8,15.25,0.213,True
Ca Li O Se      ,0.201,0.314,14,46.0,18.0,0.273,True
Br Cl Li Si     ,0.106,0.447,14,9.0,1.5,0.279,True
I Li O Si       ,0.231,0.264,14,63.5,0.25,0.285,True
Br Li Mg O      ,0.147,0.381,14,44.4,3.5,0.293,True
Ce Li S Se      ,0.102,0.486,14,8.2,14.5,0.307,True
Br Li O W       ,0.116,0.418,14,44.4,7.5,0.955,True
F Li Mo O       ,0.184,0.323,14,5.9,8.25,0.962,False
Cl Li Sn Te     ,0.109,0.474,15,24.0,1.5,0.027,True
F Li Mg O       ,0.193,0.333,15,5.9,4.0,0.091,False
Ga Li O Te      ,0.136,0.417,15,64.3,2.5,0.139,False
Al Br Li S      ,0.168,0.346,15,7.1,2.0,0.14,True
Cl F Li Si      ,0.154,0.4,15,40.3,2.0,0.144,True
Al Cl Li Se     ,0.164,0.348,15,10.2,2.5,0.149,True
Li N Sb Te      ,0.149,0.411,15,56.8,3.25,0.156,False
Li O Te V       ,0.157,0.364,15,64.3,8.75,0.163,True
Cl Gd Li Se     ,0.09,0.648,15,10.2,15.5,0.164,True
Al F Li S       ,0.214,0.298,15,42.9,2.5,0.168,True
Li O S Sr       ,0.252,0.244,15,34.9,18.0,0.176,True
Cl In Li N      ,0.238,0.277,15,26.5,3.75,0.188,True
Br Li N P       ,0.117,0.438,15,37.9,2.75,0.208,True
Cl Li Mg S      ,0.169,0.338,15,1.8,3.5,0.219,True
Cl Li O Zr      ,0.318,0.224,15,32.5,9.75,0.24,True
F Li P Te       ,0.091,0.507,15,73.9,2.25,0.24,True
Ca Li O Te      ,0.209,0.323,15,64.3,18.25,0.263,True
Br In Li S      ,0.165,0.385,16,7.1,1.5,0.029,True
Ce Cl Li Se     ,0.1,0.555,16,10.2,14.25,0.046,True
Br Cl Li Sn     ,0.103,0.532,16,9.0,2.0,0.114,True
F Li Sb Se      ,0.109,0.53,16,54.6,2.5,0.114,True
Al Cl Li Te     ,0.172,0.357,16,24.0,2.75,0.138,True
Ge Li S Se      ,0.11,0.485,16,8.2,1.25,0.143,False
Br Li O V       ,0.15,0.424,16,44.4,8.25,0.149,True
Gd Li S Se      ,0.093,0.581,16,8.2,15.75,0.16,True
B Li O Se       ,0.22,0.319,16,46.0,1.0,0.196,True
Br Cl Gd Li     ,0.091,0.712,16,9.0,16.25,0.212,True
F Li S Sn       ,0.153,0.417,16,42.9,1.25,0.223,True
Li N Se Si      ,0.188,0.349,16,39.4,3.0,0.251,False
Li Nb O Se      ,0.159,0.386,16,46.0,8.75,0.261,True
Li Se Si Te     ,0.117,0.466,16,12.5,1.5,0.271,False
Li N S Ti       ,0.425,0.227,16,28.8,11.25,0.29,False
Li O Se Ti      ,0.332,0.23,16,46.0,9.25,0.329,True
I In Li O       ,0.283,0.273,16,63.5,1.5,0.347,True
Li Mo N S       ,0.241,0.298,16,28.8,10.0,0.431,False
F In Li S       ,0.211,0.338,16,42.9,2.0,0.458,True
Li S Se W       ,0.143,0.455,16,8.2,8.0,0.962,False
Cl Li N Zn      ,0.303,0.284,17,26.5,5.25,0.025,True
Br Ce Li S      ,0.103,0.553,17,7.1,13.75,0.066,True
Cl Li O Ta      ,0.222,0.336,17,32.5,9.0,0.109,True
Br Ga Li O      ,0.129,0.477,17,44.4,2.0,0.124,True
Ge Li S Te      ,0.118,0.494,17,21.8,1.5,0.132,False
Br Li N Sb      ,0.142,0.47,17,37.9,2.25,0.142,True
Cl In Li Se     ,0.161,0.387,17,10.2,2.0,0.144,True
Br Gd Li S      ,0.094,0.646,17,7.1,15.0,0.146,True
Ce Li S Te      ,0.11,0.495,17,21.8,14.75,0.149,True
Li S Se Zn      ,0.232,0.323,17,8.2,3.75,0.155,False
Al Li N Se      ,0.245,0.318,17,39.4,4.75,0.161,True
Cl Li S V       ,0.173,0.382,17,1.8,8.25,0.166,True
B Li O Te       ,0.227,0.328,17,64.3,1.25,0.186,True
Ba Li O Se      ,0.297,0.296,17,46.0,18.5,0.189,True
Gd Li S Te      ,0.101,0.589,17,21.8,16.0,0.189,True
Cl Ga Li S      ,0.152,0.435,17,1.8,2.0,0.254,True
Li Mg N S       ,0.249,0.309,17,28.8,5.75,0.275,True
Cl Li N Sn      ,0.181,0.357,17,26.5,3.0,0.286,True
Li O Te Ti      ,0.339,0.239,17,64.3,9.5,0.32,False
Li N S W        ,0.221,0.346,17,28.8,9.75,0.944,True
Li S Te W       ,0.151,0.463,17,21.8,8.25,0.956,False
Br Ce Cl Li     ,0.101,0.62,18,9.0,15.0,0.018,True
Cl Li S Ti      ,0.353,0.257,18,1.8,9.0,0.062,True
Br Li Se Sn     ,0.106,0.608,18,1.1,1.0,0.096,False
Ge Li N S       ,0.189,0.378,18,28.8,3.0,0.11,True
Li S Te Zn      ,0.239,0.332,18,21.8,4.0,0.144,False
Ce Li N S       ,0.182,0.379,18,28.8,16.25,0.157,True
Cl F Li Sn      ,0.15,0.487,18,40.3,2.5,0.165,True
Li N O Sr       ,0.326,0.288,18,4.8,20.0,0.172,True
Br Gd Li Se     ,0.095,0.784,18,1.1,15.25,0.175,True
Ba Li O Te      ,0.304,0.305,18,64.3,18.75,0.178,False
I Li O Zn       ,0.347,0.28,18,63.5,3.0,0.18,True
F Li Se Si      ,0.157,0.479,18,54.6,1.0,0.183,True
F Li O Ti       ,0.374,0.253,18,5.9,9.5,0.195,False
Ca Cl Li S      ,0.224,0.341,18,1.8,17.75,0.22,True
Ca Li N S       ,0.302,0.311,18,28.8,20.0,0.231,True
Br Li Nb O      ,0.16,0.454,18,44.4,8.5,0.238,True
Li N Si Te      ,0.196,0.358,18,56.8,3.25,0.241,False
Br Li Se Si     ,0.11,0.525,18,1.1,0.5,0.258,False
Cl Ge Li Se     ,0.107,0.554,18,10.2,1.0,0.258,False
Cl Li O Sr      ,0.25,0.318,18,32.5,18.25,0.275,True
F Li N P        ,0.164,0.391,18,10.9,3.25,0.279,True
F Gd Li O       ,0.114,0.5,18,5.9,15.75,0.312,True
Cl Gd Li Te     ,0.098,0.656,18,24.0,15.75,0.337,True
Br Ce Li Se     ,0.104,0.694,19,1.1,14.0,0.011,True
