phases,pareto_magpie_mat2vec,anion radii diff %,cation radii diff %,cation charge diff,distance from LSSI,distance from LSGSI,Predicted_Order?
Li Zn B S Cl,8,1.8,114.6,1.0,6.4,2.6,True
Li Zn Br Cl O,8,44.4,,,7.1,5.6,True
Li Ti S Cl O,8,34.9,,,8.8,9.4,False
Li Si S Cl F,8,42.9,,,6.2,4.0,True
Li In Si N O,8,4.8,74.1,1.0,7.4,2.8,False
Li Sb N Cl O,8,32.5,,,6.0,2.6,True
Li Ca S N O,8,34.9,,,12.2,14.6,True
Li Si S Br O,8,44.4,,,5.2,2.8,True
Li Zn N Cl O,8,32.5,,,6.5,3.2,True
Li In Sb S O,8,34.9,13.3,0.0,5.8,2.4,True
Li Sb S Cl F,8,42.9,,,7.4,5.2,True
Li Sb P Br Cl,8,9.0,50.9,2.0,6.6,3.4,False
Li B Sb S Cl,8,1.8,102.4,0.0,5.5,2.0,False
Li Mg S Cl O,8,34.9,,,6.6,5.0,True
Ba Li Ti Cl O,8,32.5,75.0,2.0,19.3,21.4,False
Li B P Cl O,8,32.5,34.1,2.0,5.6,1.8,True
Li Al Sb N O,8,4.8,23.0,0.0,7.0,3.2,True
K Ba Li S O,8,34.9,2.0,1.0,27.2,29.4,False
Li In S Cl O,8,34.9,,,5.9,3.6,True
Li Ti Cl O F,9,40.3,,,9.8,10.6,True
Li Ca Sb Cl O,9,32.5,37.3,1.0,12.3,15.4,False
Li Mg Si Cl O,9,32.5,59.3,2.0,6.6,2.8,False
Li Al Se N O,9,46.0,,,6.2,2.4,True
Li Y Al Cl O,9,32.5,54.1,0.0,13.2,14.6,True
Li B Te S Cl,9,24.0,,,5.5,2.6,False
Li Al Si S F,9,42.9,25.0,1.0,6.2,1.8,False
Li B S O F,9,42.9,,,5.8,3.4,True
Li Zn In S O,9,34.9,6.8,1.0,7.4,3.4,False
Li Al Te P O,9,64.3,22.7,2.0,6.4,2.8,False
Li Sn S Br Cl,9,9.0,,,6.0,3.6,False
Li Ca Si S O,9,34.9,111.1,2.0,12.2,14.0,False
