phases,pareto_magpie_mat2vec,anion radii diff %,cation radii diff %,cation charge diff,distance from LSSI,distance from LSGSI,Predicted_Order?
Li In Si Te Br,94,13.7,74.1,1.0,6.0,1.4,False
Li Ca B N O,94,4.8,178.0,1.0,13.8,15.8,True
Li Mg Te Br N,94,56.8,,,6.7,3.4,True
Li In Te N F,94,73.9,,,6.4,2.4,True
Li Ti I N Cl,94,56.1,,,9.0,8.2,False
Li Ti B Te O,94,64.3,107.7,1.0,9.1,7.6,False
Li Y Mg S Br,94,7.1,20.9,1.0,13.9,15.2,False
Li Sn Se Br N,94,39.4,,,5.5,1.2,True
Li Ti Te P Cl,94,24.0,54.8,1.0,9.1,8.2,False
Li Mg Sb Br F,94,52.9,3.6,1.0,7.2,4.8,False
Li Y Br N Cl,94,37.9,,,12.2,14.4,False
Cs Li N Cl O,94,32.5,,,13.5,16.4,True
Li Al Sn I N,94,56.1,23.0,1.0,7.6,3.2,False
Ba Li Mo S N,94,28.8,92.3,4.0,20.0,22.0,False
Cs Sr Li O F,94,5.9,37.1,1.0,27.7,30.0,False
Cs Li V O F,94,5.9,132.8,4.0,19.9,22.2,False
Li Mg Sb N F,94,10.9,3.6,1.0,7.7,4.4,False
Ba Li Ca Te N,94,56.8,30.7,0.0,28.4,30.4,False
Li Sc P O F,94,5.9,60.9,2.0,9.3,8.8,True
Cs Li Al Te S,94,21.8,168.1,2.0,15.4,17.6,False
Li Mg Al S I,94,21.2,27.4,1.0,7.5,3.6,False
Ba Li I N O,94,63.5,,,12.1,14.8,True
Li Mg Ga S N,94,28.8,13.2,1.0,9.5,5.6,False
Li Al Sn Se I,94,12.0,23.0,1.0,6.2,1.8,False
Li Y Mo Br O,94,44.4,34.2,3.0,17.4,18.8,False
Li Ti In Te S,94,21.8,10.4,1.0,10.3,8.6,False
Li Nb Sb Br O,94,44.4,1.2,2.0,8.4,7.8,False
Li V Se S F,94,54.6,,,8.6,8.6,True
K Li P Se N,94,39.4,176.4,4.0,14.8,17.6,True
Sr Li Al S I,94,21.2,95.6,1.0,13.3,15.2,False
Li Y In Te O,94,64.3,10.6,0.0,13.1,14.4,False
Li Ge Te Mo O,94,64.3,0.6,2.0,8.8,6.6,False
Li Ga W S O,94,34.9,0.9,3.0,9.3,7.0,False
K Li Mg S N,94,28.8,76.7,1.0,17.2,19.4,False
K Li Te P F,94,73.9,176.4,4.0,13.6,16.6,False
Li Zn Te I O,94,64.3,,,6.1,4.0,True
Cs Li Zn S Cl,94,1.8,105.7,1.0,15.6,17.8,False
Li Ta S N O,94,34.9,,,8.6,7.4,True
Ba Li Sn S I,94,21.2,79.5,2.0,12.4,14.4,False
Li Nb Te Br O,94,64.3,,,8.4,8.4,True
Cs Li V N O,94,4.8,132.8,4.0,21.2,23.4,True
Li Ti Nb S Cl,94,1.8,3.9,1.0,15.1,13.4,False
Li Ge Sb Se Cl,94,10.2,7.8,1.0,5.6,1.8,False
Li Zr Se N Cl,94,39.4,,,9.1,8.2,False
Li La V N O,95,4.8,50.7,2.0,18.4,18.6,False
Li La N Cl O,95,32.5,,,10.7,11.6,True
Li Mg B Se N,95,39.4,109.8,1.0,8.5,4.8,True
Li Al Ga Te N,95,56.8,12.6,0.0,9.4,5.0,False
Ba Li Zn Br N,95,37.9,69.3,0.0,16.0,18.0,True
Ba Li Mg Te Cl,95,24.0,73.3,0.0,15.2,17.2,False
Li Ga Si Se N,95,39.4,40.7,1.0,7.9,3.4,False
Ba Li Ga Te S,95,21.8,96.1,1.0,14.2,16.2,False
Li Mg Te Se F,95,73.9,,,6.9,4.8,False
Li Nb Zn N O,95,4.8,7.3,3.0,12.3,10.4,True
Li Ta Mo Cl O,95,32.5,5.8,1.0,14.5,12.8,False
Li Te Mo I O,95,64.3,,,7.9,7.6,True
Li W I O F,95,73.1,,,8.8,9.0,True
K Ba Li Cl O,95,32.5,2.0,1.0,27.3,29.6,True
Li Al Sb Te Se,95,12.5,23.0,0.0,6.8,3.6,False
Li Al In Te Cl,95,24.0,39.3,0.0,7.4,3.0,False
K Li W S N,95,28.8,98.3,5.0,20.4,22.6,False
K Li Te S I,95,21.8,,,12.6,16.6,False
Li Mg Se Br N,95,39.4,,,6.5,3.2,True
Li Ca Zr Se S,95,8.2,32.6,2.0,19.8,21.6,False
Li Ca Ti Se F,95,54.6,33.9,2.0,19.4,21.2,False
Li Zn Te P I,95,0.5,60.0,3.0,6.4,3.2,False
Li Zn Sb S O,95,34.9,6.0,1.0,6.4,3.6,False
Li Zn Sb S O,95,34.9,6.0,1.0,6.4,3.6,False
Li Al Te W O,95,64.3,13.6,3.0,9.9,7.6,False
Li Sb Te Br F,95,73.9,,,7.2,4.6,True
Li In Si Cl F,95,40.3,74.1,1.0,6.7,2.4,True
Sr Li S Br N,95,37.9,,,12.1,14.6,False
Li Ga Sb N Cl,95,26.5,9.2,0.0,6.9,3.0,False
K Li Mg Te S,95,21.8,76.7,1.0,16.0,18.2,False
Li Zn B Br N,95,37.9,114.6,1.0,7.8,4.0,True
K Li Mg Cl O,95,32.5,76.7,1.0,15.5,17.8,False
Li Nb Si I O,95,63.5,51.9,1.0,8.2,6.4,False
Sr Li S I Cl,95,23.4,,,12.6,17.0,False
Li Zr Sn S Cl,95,1.8,3.6,0.0,9.3,7.8,False
Li Mg Te Br F,95,73.9,,,7.2,5.4,False
Ba Li Si I N,95,56.1,175.9,2.0,13.6,15.6,False
Li Nb Sn S Cl,95,1.8,1.2,1.0,8.9,7.0,False
Cs Li S N Cl,95,28.8,,,13.4,16.2,True
Li Mg B Te N,95,56.8,109.8,1.0,8.7,5.0,False
Li Y P S I,95,21.2,89.1,2.0,11.3,13.4,False
Li V Se N Cl,95,39.4,,,8.6,7.2,True
Ba Li Sb Te Cl,95,24.0,79.5,1.0,12.8,16.0,False
Li Ca Ti Se F,95,54.6,33.9,2.0,19.4,21.2,False
Li Y P N F,95,10.9,89.1,2.0,13.3,15.2,True
Li Y Mg S F,95,42.9,20.9,1.0,14.3,15.6,False
Li Si W S Cl,95,1.8,42.0,2.0,8.1,5.8,False
K Li Sn Se O,95,46.0,83.1,3.0,13.6,15.8,True
Li Sb Mo I O,95,63.5,7.1,3.0,7.9,7.0,False
Li Ga Sn Te O,95,64.3,9.2,1.0,6.7,2.2,False
Li Sn I N Cl,96,56.1,,,5.8,1.8,True
Li Zr Sb O F,96,5.9,3.6,1.0,9.2,9.0,True
Li Ge Sb Te Cl,96,24.0,7.8,1.0,5.8,2.0,False
Li Zr B N F,96,10.9,109.8,1.0,10.7,9.4,True
Li Ti Se S O,96,46.0,,,8.7,9.0,False
Ba Li Zn Te Cl,96,24.0,69.3,0.0,15.0,17.0,False
Li Zn Sn I O,96,63.5,6.0,2.0,6.5,2.6,False
Li La Se S Cl,96,10.2,,,10.6,12.8,False
Li La Se S Cl,96,10.2,,,10.6,12.8,False
Li Sb Se Br F,96,54.6,,,7.2,4.8,True
Li In Sb N F,96,10.9,13.3,0.0,7.0,3.0,True
Li Sn Sb I O,96,63.5,0.0,1.0,5.2,1.6,False
Li Si W Br O,96,44.4,42.0,2.0,8.0,5.8,True
Li Ga Si Te Br,96,13.7,40.7,1.0,6.1,1.6,False
Ba Li B S N,96,28.8,263.4,1.0,14.2,16.4,True
Li Sn P Se O,96,46.0,50.9,1.0,5.7,1.6,False
Li Gd Si O F,96,5.9,99.1,1.0,11.5,12.4,True
K Li Te N F,96,73.9,,,13.6,16.4,True
K Li Al Te Se,96,12.5,125.2,2.0,15.2,17.4,False
Li Mg Te Mo O,96,64.3,11.0,4.0,11.0,8.8,False
Li Ca I N O,96,63.5,,,11.9,14.4,True
Sr Li Zn Cl O,96,32.5,50.0,0.0,14.6,16.6,True
Ba Li Ga Se S,96,8.2,96.1,1.0,14.0,16.0,False
Li In Si Te F,96,73.9,74.1,1.0,6.4,1.8,False
Cs Li Te Br O,96,64.3,,,13.3,17.4,True
Li Ca Sn Se N,96,39.4,37.3,2.0,14.6,16.4,False
Li Mg Zn Br F,96,52.9,2.3,0.0,9.4,5.8,False
K Ba Li S Cl,96,1.8,2.0,1.0,27.2,29.4,False
K Li V S N,96,28.8,95.5,4.0,21.0,23.2,False
Li Mg Se Br F,96,54.6,,,7.2,5.6,True
K Li P S I,96,21.2,176.4,4.0,12.6,15.6,False
Sr Li La N O,96,4.8,12.6,1.0,24.5,26.4,False
Li Ti Te Br O,96,64.3,,,8.6,8.8,False
Li Ti Nb N O,96,4.8,3.9,1.0,16.7,15.0,False
Li Ti Sn Br O,96,44.4,2.6,0.0,9.0,7.4,False
Li In Mo N O,96,4.8,21.3,3.0,10.8,8.6,False
Ba Li Mg Te N,96,56.8,73.3,0.0,17.0,19.0,False
Li Ga Te N Cl,96,56.8,,,6.3,2.4,True
Li Ca In S Cl,96,1.8,21.3,1.0,13.2,15.0,False
Li Ca Si I N,96,56.1,111.1,2.0,13.4,15.2,False
Li Ge Mo Se O,96,46.0,0.6,2.0,8.6,6.4,False
Li V B S I,96,21.2,89.6,2.0,8.0,6.2,False
Cs Li B Se O,96,46.0,341.5,2.0,13.6,16.0,True
Li Ti B Se F,96,54.6,107.7,1.0,9.1,7.6,False
Sr Li Sn Cl O,96,32.5,59.0,2.0,12.8,14.8,True
Li In Sb N F,96,10.9,13.3,0.0,7.0,3.0,True
Ba Li Zr Te O,96,64.3,73.3,2.0,20.0,22.0,False
Li Ti Sb Br Cl,96,9.0,2.6,1.0,9.2,9.0,False
Ba Li Y S Br,96,7.1,43.3,1.0,25.0,27.0,False
Li Sn Ge N Cl,96,26.5,7.8,0.0,7.3,2.4,True
Cs Li Al Se S,96,8.2,168.1,2.0,15.2,17.4,False
Li V In Te O,96,64.3,20.9,2.0,9.8,7.8,False
Li Zr Ge I O,96,63.5,11.7,0.0,8.8,7.4,False
Li Ca Zn Br N,96,37.9,29.5,0.0,15.8,17.6,False
K Li V N Cl,96,26.5,95.5,4.0,20.8,23.0,True
Li Zr Nb O F,96,5.9,4.9,1.0,15.6,14.2,False
Li V In N Cl,96,26.5,20.9,2.0,11.0,9.0,False
K Li Zn Se Cl,97,10.2,72.7,1.0,15.4,17.6,True
Li Zn Mo S Br,97,7.1,13.5,4.0,10.2,8.0,False
Ba Li Mg Se Cl,97,10.2,73.3,0.0,15.0,17.0,False
Li Al Sb Cl F,97,40.3,23.0,0.0,6.9,4.0,True
Li Mg Sn Br N,97,37.9,3.6,2.0,8.3,4.4,False
Li V Ge Se Cl,97,10.2,1.0,1.0,8.8,6.8,False
Li Y Ga S Cl,97,1.8,36.8,0.0,12.9,14.2,False
Li Y Si S Br,97,7.1,92.6,1.0,11.5,12.8,False
Li Ti Sb S Br,97,7.1,2.6,1.0,8.5,8.0,False
K Li Sb N F,97,10.9,83.1,2.0,14.2,17.0,True
Li Ca V S I,97,21.2,46.6,3.0,18.0,19.8,False
Li Al Te Cl F,97,73.9,,,6.9,4.6,True
Li Sc Ge Cl O,97,32.5,14.9,1.0,9.3,8.0,True
Li Y Mg N Cl,97,26.5,20.9,1.0,15.7,17.0,False
Li Si Te Mo O,97,64.3,43.5,2.0,8.6,6.4,False
Li Si W N Cl,97,26.5,42.0,2.0,9.7,7.4,False
Ba Li Zn Se N,97,39.4,69.3,0.0,16.6,18.6,False
Li Si Se I N,97,56.1,,,5.1,1.0,False
Cs Li Ti S Cl,97,1.8,112.5,3.0,20.2,22.4,False
Li Mg Zr S N,97,28.8,0.0,2.0,13.1,11.6,False
Li Mo Cl O F,97,40.3,,,9.3,9.6,True
Li Al Sn Te Br,97,13.7,23.0,1.0,6.6,2.2,False
Li Ca Mo S N,97,28.8,47.1,4.0,19.8,21.6,False
K Li Se S I,97,21.2,,,12.6,16.8,False
K Li S Cl F,97,42.9,,,13.9,18.6,True
Li Ca Sb Te F,97,73.9,37.3,1.0,12.8,15.8,False
Ba Li Ti Se F,97,54.6,75.0,2.0,19.6,21.6,False
Li In W Se O,97,46.0,22.6,3.0,9.3,7.0,False
Li Mg Ge Se Cl,97,10.2,11.7,2.0,6.9,3.0,False
Li Gd Te Cl O,97,64.3,,,11.3,14.0,True
Ba Sr Li Se O,97,46.0,12.9,0.0,26.6,28.6,False
Li Al Te Mo N,97,56.8,14.8,3.0,11.8,9.6,False
Li In Si Se Br,97,1.1,74.1,1.0,5.8,1.2,False
Li Al Ga Se N,97,39.4,12.6,0.0,9.2,4.8,False
Li Mg Br N O,97,44.4,,,6.4,3.2,True
K Li P Se F,97,54.6,176.4,4.0,13.4,16.4,True
Cs Li La S O,97,34.9,54.4,2.0,24.0,26.2,False
Li In Si Se Br,97,1.1,74.1,1.0,5.8,1.2,False
Sr Li P S I,97,21.2,140.0,3.0,11.9,14.6,False
Li Mg Ti Br Cl,97,9.0,1.0,2.0,11.6,10.2,False
Li Mg Sn Se F,97,54.6,3.6,2.0,7.3,3.4,False
Li Ti P I Br,97,13.2,54.8,1.0,8.8,8.2,False
Li Ti Sn N Cl,97,26.5,2.6,0.0,10.7,9.0,False
Cs Li Si S N,98,28.8,235.2,3.0,15.2,17.4,False
Li B Sb Te F,98,73.9,102.4,0.0,6.1,2.6,True
Li Y Ga Br O,98,44.4,36.8,0.0,12.8,14.2,False
Li Zr Nb S O,98,34.9,4.9,1.0,15.3,13.8,False
Li Y Al Te Cl,98,24.0,54.1,0.0,13.5,14.8,False
Ba Li Te Mo S,98,21.8,92.3,4.0,18.8,20.8,False
Li Al V Br N,98,37.9,15.2,2.0,11.2,9.2,False
Ba Li Ti Se S,98,8.2,75.0,2.0,19.6,21.6,False
Li Mg B Te F,98,73.9,109.8,1.0,7.1,3.4,False
Li Ca Zr S I,98,21.2,32.6,2.0,19.0,20.8,False
Li Zn Te Br F,98,73.9,,,7.1,5.2,True
Li Sc In S N,98,28.8,6.2,0.0,11.8,10.4,False
Ba Li Te Se F,98,73.9,,,12.8,16.6,True
Sr Li P S O,98,34.9,140.0,3.0,12.3,15.0,True
Li Zr S I Br,98,21.2,,,9.0,10.0,False
Li Zr B S I,98,21.2,109.8,1.0,8.5,7.2,False
Li Zr Zn Br Cl,98,9.0,2.3,2.0,11.6,10.4,False
K Sr Li I O,98,63.5,15.2,1.0,26.7,29.0,False
Li Gd P N O,98,4.8,95.5,2.0,12.6,14.0,False
Li Y Al Se N,98,39.4,54.1,0.0,15.1,16.4,False
Li Zn Mo S N,98,28.8,13.5,4.0,12.2,10.0,False
Li Zr Si N F,98,10.9,59.3,0.0,10.7,9.2,True
Ba Sr Li N F,98,10.9,12.9,0.0,28.2,30.2,False
Ba Sr Li N F,98,10.9,12.9,0.0,28.2,30.2,False
Li Mg Si I N,98,56.1,59.3,2.0,7.7,3.8,False
Li Sn Sb Br F,98,52.9,0.0,1.0,6.2,2.8,True
Cs Ba Li N O,98,4.8,21.5,1.0,29.2,31.4,True
Li Gd In S O,98,34.9,14.4,0.0,12.2,13.0,False
Li Mg Te N F,98,73.9,,,7.1,3.8,False
Li Ca Y S Br,98,7.1,9.6,1.0,24.8,26.6,False
Li Ca Br N O,98,44.4,,,12.1,14.6,True
Li B W S F,98,42.9,87.0,3.0,8.3,6.2,True
Li Si Sb Br N,98,37.9,53.7,1.0,6.1,2.0,False
K Li Ga Te S,98,21.8,100.0,2.0,14.8,17.0,False
Li La P I O,98,63.5,113.1,2.0,10.3,11.4,False
Li V P I Br,98,13.2,41.4,0.0,8.5,7.6,False
Li Zn Mo N Cl,98,26.5,13.5,4.0,12.0,9.8,True
Li Zr Zn N O,98,4.8,2.3,2.0,12.7,11.2,False
Li Ca Mg Te F,98,73.9,32.6,0.0,15.2,17.0,False
Li In Sb Te N,98,56.8,13.3,0.0,7.4,3.4,False
K Li Mg N O,98,4.8,76.7,1.0,17.0,19.2,False
Li Si Te Se I,98,12.5,,,5.1,2.2,False
Li Nb Al N F,98,10.9,21.5,2.0,11.7,9.8,False
Li Mg S I Cl,98,23.4,,,6.8,5.4,True
Li Hf Al S O,98,34.9,25.9,1.0,10.2,8.6,False
Li Ti In Se Cl,98,10.2,10.4,1.0,9.9,8.2,False
Li Ga Se N Cl,98,39.4,,,6.1,2.2,True
Cs Li P S Cl,98,1.8,229.1,4.0,13.4,16.4,False
Li Sb Te P F,98,73.9,50.9,2.0,6.7,3.2,False
K Li W I O,98,63.5,98.3,5.0,18.3,20.6,False
Li Ti Sb N O,98,4.8,2.6,1.0,9.7,8.6,False
Li Y Ga Br O,98,44.4,36.8,0.0,12.8,14.2,False
Li Zn Si I Br,98,13.2,63.0,2.0,6.5,2.8,False
Sr Li Ti Cl O,98,32.5,55.0,2.0,19.2,21.2,False
Li Ca Te Mo S,98,21.8,47.1,4.0,18.6,20.4,False
Li V Te P Cl,98,24.0,41.4,0.0,8.8,7.6,False
K Li Mg Se S,98,8.2,76.7,1.0,15.8,18.0,False
Li In W I O,98,63.5,22.6,3.0,8.8,6.6,False
Li Ca Zr Te O,98,64.3,32.6,2.0,19.8,21.6,False
Li Mg Sb Se Br,99,1.1,3.6,1.0,6.5,3.8,False
Li Ca Mg Se F,99,54.6,32.6,0.0,15.0,16.8,False
Li Ti Si Se Cl,99,10.2,57.7,0.0,8.9,7.2,False
Li Mg V Cl F,99,40.3,10.6,3.0,11.7,10.0,False
Li V P I N,99,56.1,41.4,0.0,9.4,8.0,False
Li Si W N O,99,4.8,42.0,2.0,9.7,7.4,True
K Li Nb Se O,99,46.0,85.4,4.0,19.6,21.8,False
Li La Si N Cl,99,26.5,117.0,1.0,12.2,12.4,False
Li Mg B Se F,99,54.6,109.8,1.0,6.9,3.2,False
Li Zr Se S F,99,54.6,,,9.1,9.6,True
Ba Li Y Te O,99,64.3,43.3,1.0,25.6,27.6,False
K Li V S F,99,42.9,95.5,4.0,19.4,21.6,True
Ba Li Sb Se Cl,99,10.2,79.5,1.0,12.6,15.8,False
Li Y Zn O F,99,5.9,18.2,1.0,14.2,15.6,False
Sr Li Si Br Cl,99,9.0,144.4,2.0,12.8,15.0,False
Li Y Nb O F,99,5.9,26.8,2.0,18.4,19.8,False
Sr Li Mo S O,99,34.9,70.3,4.0,18.1,20.0,False
Li Mg Sb Te Br,99,13.7,3.6,1.0,6.7,4.0,False
Li Y B S Br,99,7.1,153.7,0.0,11.5,13.0,False
Li Sn Se N O,99,46.0,,,5.7,1.4,True
Li Sc S N O,99,34.9,,,9.0,8.2,True
Li In S I N,99,56.1,,,5.4,1.4,True
Li Mg Sc Br O,99,44.4,2.9,1.0,11.3,10.0,False
Li Y Mo S Cl,99,1.8,34.2,3.0,17.5,18.8,False
Li Si B Te I,99,0.5,31.7,1.0,5.3,0.8,False
Li In Se N F,99,54.6,,,6.2,2.2,True
Li Al V Se Br,99,1.1,15.2,2.0,9.8,7.8,False
Li Y Ge S N,99,28.8,35.1,1.0,13.7,15.0,False
Li Nb Ga S O,99,34.9,7.9,2.0,9.7,7.8,False
Ba Li Ti Br N,99,37.9,75.0,2.0,20.6,22.6,False
Li Ti Si S N,99,28.8,57.7,0.0,10.5,8.8,False
Li Nb Ga S O,99,34.9,7.9,2.0,9.7,7.8,False
Li Ca Zn Te F,99,73.9,29.5,0.0,15.0,16.8,False
Li Mg Ta O F,99,5.9,4.9,3.0,11.3,9.6,False
Li Mg V S N,99,28.8,10.6,3.0,12.6,10.6,False
Li Si Te I Br,99,13.7,,,5.4,2.8,False
Li Ca Sc S F,99,42.9,28.8,1.0,19.8,21.6,False
Ba Li Sc Br O,99,44.4,68.4,1.0,19.7,21.8,False
Li Mg Se N F,99,54.6,,,6.9,3.6,True
Li Mg Ge Te Cl,99,24.0,11.7,2.0,7.1,3.2,False
Li V P S N,99,28.8,41.4,0.0,10.0,8.6,False
Ba Li V S Br,99,7.1,91.6,3.0,18.4,20.4,False
Li In Sb Se N,99,39.4,13.3,0.0,7.2,3.2,False
Li Gd Ti N O,99,4.8,26.2,1.0,19.6,20.4,False
K Li Si Te S,99,21.8,181.5,3.0,13.6,15.8,False
Sr Li Mg I O,99,63.5,53.5,0.0,14.4,16.4,False
Li Zr Ga S Br,99,7.1,13.2,1.0,9.9,8.4,False
Li B Sb Se F,99,54.6,102.4,0.0,5.9,2.4,True
Li Ca Ti Te Cl,99,24.0,33.9,2.0,19.4,21.2,False
Li Ti Se Br F,99,54.6,,,9.4,10.0,True
Ba Li Mg Se N,99,39.4,73.3,0.0,16.8,18.8,False
Li Y B Se O,99,46.0,153.7,0.0,11.9,13.4,True
Li Mg Sn Br F,100,52.9,3.6,2.0,7.6,4.0,True
Li Ti P Se F,100,54.6,54.8,1.0,9.1,8.2,False
Li Ti Te N Cl,100,56.8,,,9.1,8.0,False
Li Zn Ge Te Cl,100,24.0,14.3,2.0,7.0,3.0,False
Li In Sb Te Cl,100,24.0,13.3,0.0,6.2,2.8,False
Li In Sb Te Cl,100,24.0,13.3,0.0,6.2,2.8,False
K Li Ga Se S,100,8.2,100.0,2.0,14.6,16.8,False
Li Zr Ga Se O,100,46.0,13.2,1.0,10.3,8.8,False
Li Ca In Cl O,100,32.5,21.3,1.0,13.3,15.2,False
Li V Se I O,100,63.5,,,8.1,8.2,True
K Sr Li S N,100,28.8,15.2,1.0,28.8,31.0,True
Li Ca In Cl O,100,32.5,21.3,1.0,13.3,15.2,False
Li La Sn S Cl,100,1.8,41.2,1.0,11.0,11.2,False
Li Si Mo Cl F,100,40.3,43.5,2.0,9.1,7.2,False
Li Ca Sb Se F,100,54.6,37.3,1.0,12.6,15.6,False
Li Sb Te P S,100,21.8,50.9,2.0,6.7,3.2,False
Ba Li Ca Se N,100,39.4,30.7,0.0,28.2,30.2,False
Li Ta P O F,100,5.9,49.1,0.0,8.9,8.0,True
Li Y Si S O,100,34.9,92.6,1.0,11.7,13.0,False
Li Sb P Se S,100,8.2,50.9,2.0,6.5,3.0,False
K Li Sb Te O,100,64.3,83.1,2.0,13.4,16.8,False
Li Mo P S Br,100,7.1,40.9,1.0,8.0,6.6,False
Li Al Te Mo Cl,100,24.0,14.8,3.0,10.0,7.8,False
Li Sc S Br F,100,52.9,,,9.7,10.8,True
Li Sc P N Cl,100,26.5,60.9,2.0,10.4,9.6,True
Ba Li W Se O,100,46.0,94.3,4.0,18.2,20.2,False
Li Ga Si Se Br,100,1.1,40.7,1.0,5.9,1.4,False
Li Zn Si Se I,100,12.0,63.0,2.0,6.2,2.2,False
Li Mo Se I O,100,63.5,,,7.9,7.8,True
Li Ca B Te N,100,56.8,178.0,1.0,14.4,16.4,True
Li Ca Sb Br N,100,37.9,37.3,1.0,13.0,15.4,False
Li Ti Ga S I,100,21.2,12.1,1.0,9.5,7.8,False
Li Zr Zn S Br,100,7.1,2.3,2.0,10.9,9.4,False
Li Zn In Te N,100,56.8,6.8,1.0,9.6,5.6,False
Li La Si S N,100,28.8,117.0,1.0,12.4,12.6,False
Li Mg Zr Cl F,100,40.3,0.0,2.0,12.2,11.0,False
Li Y B N F,100,10.9,153.7,0.0,13.5,15.0,True
Li V Sb Cl F,100,40.3,6.8,2.0,9.3,8.8,True
Li Mg In Te Cl,100,24.0,9.3,1.0,7.9,4.0,False
Li Y Se Cl F,100,54.6,,,12.6,16.2,True
Li La Sn Br O,100,44.4,41.2,1.0,10.9,11.2,False
Li Mg Al Br O,100,44.4,27.4,1.0,7.8,4.0,False
Li Ti Al Cl F,100,40.3,26.2,1.0,11.0,9.6,False
Ba Li Ti Se N,100,39.4,75.0,2.0,21.2,23.2,False
Li Zr P S N,100,28.8,56.4,1.0,10.5,9.6,False
Li Y Si S F,100,42.9,92.6,1.0,11.9,13.2,False
Li In Ge S N,100,28.8,22.1,1.0,7.8,3.2,False
Li Ca Te Br N,100,56.8,,,12.4,14.8,False
K Li Cl O F,100,40.3,,,14.1,18.8,True
K Li Se N F,100,54.6,,,13.4,16.2,True
Cs Li Sb Br O,100,44.4,118.1,2.0,13.3,16.8,True
Li Gd Sb Cl O,100,32.5,29.5,0.0,11.3,13.4,True
Li Ca Ge S N,100,28.8,48.1,2.0,14.2,16.0,False
Li Ta Al N F,101,10.9,21.5,2.0,11.8,10.0,False
Li Ti Si Te Cl,101,24.0,57.7,0.0,9.1,7.4,False
Li Y Sb O F,101,5.9,25.3,0.0,12.0,14.6,True
K Li Ti Te O,101,64.3,78.5,3.0,20.2,22.4,False
Li Sn Se N F,101,54.6,,,5.9,1.6,True
Ba Li Ga S N,101,28.8,96.1,1.0,15.4,17.4,False
Li Mg Sn N F,101,10.9,3.6,2.0,8.7,4.8,False
Sr Li Si S Br,101,7.1,144.4,2.0,12.1,14.0,False
Li Ca Ga S N,101,28.8,50.0,1.0,15.2,17.0,False
Li Mg Ti Se O,101,46.0,1.0,2.0,11.3,9.6,False
Ba Li In O F,101,5.9,58.5,1.0,13.7,15.8,False
Li Si Se I Br,101,13.2,,,5.4,3.0,False
Li Zn Mo S F,101,42.9,13.5,4.0,10.6,8.4,True
Li B Sb Br N,101,37.9,102.4,0.0,6.3,2.2,True
Li Y Ge Br O,101,44.4,35.1,1.0,11.8,13.2,False
Li Ca Mo S Cl,101,1.8,47.1,4.0,18.0,19.8,False
K Li Sb Se O,101,46.0,83.1,2.0,13.2,16.6,False
K Li W N Cl,101,26.5,98.3,5.0,20.2,22.4,False
Li Al In Se Cl,101,10.2,39.3,0.0,7.2,2.8,False
Li Mg B S Br,101,7.1,109.8,1.0,6.3,2.6,False
Li Si Ge Te F,101,73.9,42.6,0.0,6.0,1.0,False
Li B Te Mo S,101,21.8,89.0,3.0,8.8,6.8,False
Sr Li Ca N F,101,10.9,15.8,0.0,27.9,29.8,False
Sr Li Ca Se O,101,46.0,15.8,0.0,26.3,28.2,False
Li Y Sb O F,101,5.9,25.3,0.0,12.0,14.6,True
Li Mo W S O,101,34.9,1.1,0.0,13.8,11.6,False
Li Zn Ga Se N,101,39.4,15.8,1.0,9.6,5.6,False
Li B Te Br N,101,56.8,,,5.7,1.6,True
K Li Si Te N,101,56.8,181.5,3.0,15.2,17.4,False
Li Zn In Te Cl,101,24.0,6.8,1.0,7.8,3.8,False
Li Sb P Se F,101,54.6,50.9,2.0,6.5,3.0,False
Li Ti Mo S N,101,28.8,9.9,2.0,16.3,14.6,False
Cs Ba Li S N,101,28.8,21.5,1.0,29.4,31.6,False
Li Al Se Cl F,101,54.6,,,6.9,4.8,True
Li Ti P Se S,101,8.2,54.8,1.0,9.1,8.2,False
Li Ta P S Cl,101,1.8,49.1,0.0,8.6,7.6,False
Li In Sn N F,101,10.9,13.3,1.0,8.0,3.4,False
Li Zn Te P F,101,73.9,60.0,3.0,7.0,3.8,True
Li V Ga I O,101,63.5,2.3,2.0,9.3,7.4,False
Li Sb Te S O,101,64.3,,,6.5,3.6,True
Li Ca Ti Se N,101,39.4,33.9,2.0,21.0,22.8,False
Li V Sb S Br,101,7.1,6.8,2.0,8.2,7.4,False
Li Ti Mo N Cl,101,26.5,9.9,2.0,16.1,14.4,False
Li Zn Sn N O,101,4.8,6.0,2.0,8.4,4.4,True
Li Ti Te Br Cl,101,24.0,,,9.2,9.6,False
Li Ca Mo Se S,101,8.2,47.1,4.0,18.4,20.2,False
Ba Li Ga S N,101,28.8,96.1,1.0,15.4,17.4,False
Li Mg Mo Se O,101,46.0,11.0,4.0,10.8,8.6,False
Ba Li La N O,101,4.8,27.1,1.0,24.6,26.6,True
Li Mo P S N,101,28.8,40.9,1.0,9.8,8.2,False
Ba Li In S F,101,42.9,58.5,1.0,13.6,15.6,False
Sr Li Mg S F,101,42.9,53.5,0.0,14.9,16.8,False
Cs Li Si I O,101,63.5,235.2,3.0,13.1,15.4,False
Cs Li Si N Cl,102,26.5,235.2,3.0,15.0,17.2,False
Cs Li Te S Cl,102,24.0,,,13.4,17.4,False
K Li Ti S I,102,21.2,78.5,3.0,19.4,21.6,False
K Li Ta Br O,102,44.4,85.4,4.0,19.5,21.8,True
