phases
Ag Al Ba
Ag Al Ca
Ag Al Ce
Ag Al Co
Ag Al Cu
Ag Al Dy
Ag Al Eu
Ag Al Fe
Ag Al Gd
Ag Al Ge
Ag Al Hf
Ag Al Ho
Ag Al La
Ag Al Li
Ag Al Mg
Ag Al Mn
Ag Al Nd
Ag Al Pr
Ag Al Sc
Ag Al Sm
Ag Al Sn
Ag Al Sr
Ag Al Tb
Ag Al Th
Ag Al Ti
Ag Al Y
Ag Al Yb
Ag Al Zr
Ag Au Cd
Ag Au Cu
Ag Au Hg
Ag Au Mn
Ag Au Pd
Ag Au Sb
Ag Au Sn
Ag Au U
Ag Au Zn
Ag Ba Bi
Ag Ba Ga
Ag Ba Ge
Ag Ba Sb
Ag Ba Sn
Ag Ba Sr
Ag Bi Ca
Ag Bi Cu
Ag Bi Eu
Ag Bi K
Ag Bi Li
Ag Bi Sr
Ag Bi Tl
Ag Bi Yb
Ag Ca Cd
Ag Ca Cu
Ag Ca Ga
Ag Ca Ge
Ag Ca Hg
Ag Ca In
Ag Ca Mg
Ag Ca Pd
Ag Ca Pt
Ag Ca Sb
Ag Ca Sr
Ag Ca Zn
Ag Cd Ce
Ag Cd Eu
Ag Cd In
Ag Cd Mg
Ag Cd Sb
Ag Cd Yb
Ag Cd Zn
Ag Ce Cu
Ag Ce Ga
Ag Ce Ge
Ag Ce In
Ag Ce Mg
Ag Ce Pb
Ag Ce Pd
Ag Ce Sb
Ag Ce Sn
Ag Ce Zn
Ag Co Sm
Ag Cr Nb
Ag Cu Dy
Ag Cu Er
Ag Cu Ga
Ag Cu Gd
Ag Cu Ho
Ag Cu La
Ag Cu Mg
Ag Cu Nd
Ag Cu Pr
Ag Cu Sm
Ag Cu Sr
Ag Cu Tb
Ag Cu Ti
Ag Cu Tm
Ag Cu U
Ag Cu Y
Ag Cu Yb
Ag Cu Zn
Ag Cu Zr
Ag Dy Ga
Ag Dy Ge
Ag Dy In
Ag Dy Pb
Ag Dy Sb
Ag Dy Sn
Ag Er Ga
Ag Er Ge
Ag Er In
Ag Er Pb
Ag Er Pd
Ag Er Sn
Ag Eu Ga
Ag Eu Ge
Ag Eu In
Ag Eu Mg
Ag Eu Sb
Ag Eu Sn
Ag Eu Zn
Ag Fe Nd
Ag Fe Pr
Ag Ga Gd
Ag Ga Hf
Ag Ga Ho
Ag Ga La
Ag Ga Li
Ag Ga Lu
Ag Ga Mg
Ag Ga Mo
Ag Ga Na
Ag Ga Nd
Ag Ga Pr
Ag Ga Sm
Ag Ga Sr
Ag Ga Tb
Ag Ga Ti
Ag Ga Tm
Ag Ga Y
Ag Ga Yb
Ag Gd Ge
Ag Gd In
Ag Gd Mg
Ag Gd Pb
Ag Gd Sn
Ag Gd Tl
Ag Gd Zn
Ag Ge Ho
Ag Ge La
Ag Ge Li
Ag Ge Nd
Ag Ge Pr
Ag Ge Sc
Ag Ge Sm
Ag Ge Sr
Ag Ge Tb
Ag Ge Tm
Ag Ge Yb
Ag Hf Pd
Ag Hg Ti
Ag Ho In
Ag Ho Pb
Ag Ho Sn
Ag In K
Ag In La
Ag In Li
Ag In Mg
Ag In Na
Ag In Nd
Ag In Pr
Ag In Sc
Ag In Sm
Ag In Sr
Ag In Tb
Ag In Tm
Ag In Y
Ag In Yb
Ag In Zn
Ag In Zr
Ag K Sb
Ag La Mg
Ag La Pb
Ag La Sb
Ag La Sn
Ag Li Mg
Ag Li Pb
Ag Li Sb
Ag Li Sn
Ag Li Tl
Ag Li Zn
Ag Lu Pb
Ag Lu Sn
Ag Mg Nd
Ag Mg Pd
Ag Mg Pr
Ag Mg Sb
Ag Mg Sm
Ag Mg Sn
Ag Mg Sr
Ag Mg Tb
Ag Mg Tm
Ag Mg Y
Ag Mg Yb
Ag Mg Zn
Ag Mn Sn
Ag Mn Zn
Ag Na Sb
Ag Nd Pb
Ag Nd Sn
Ag Pb Pd
Ag Pb Pr
Ag Pb Sm
Ag Pb Tb
Ag Pb Tm
Ag Pb Y
Ag Pb Yb
Ag Pb Zr
Ag Pd Sn
Ag Pd Sr
Ag Pd Tb
Ag Pd Th
Ag Pd Yb
Ag Pd Zr
Ag Pr Sb
Ag Pr Sn
Ag Rb Sb
Ag Sb Sn
Ag Sb Sr
Ag Sb Y
Ag Sb Yb
Ag Sb Zr
Ag Sm Sn
Ag Sn Sr
Ag Sn Tb
Ag Sn Tm
Ag Sn Y
Ag Sn Yb
Ag Sr Zn
Ag Tb Zn
Ag Zn Zr
Al Am Pd
Al Au Ba
Al Au Ca
Al Au Ce
Al Au Cu
Al Au Dy
Al Au Er
Al Au Eu
Al Au Ga
Al Au Gd
Al Au Hf
Al Au Ho
Al Au In
Al Au Ir
Al Au La
Al Au Lu
Al Au Mn
Al Au Na
Al Au Nd
Al Au Pr
Al Au Sc
Al Au Sm
Al Au Sr
Al Au Tb
Al Au Th
Al Au Ti
Al Au Tm
Al Au U
Al Au V
Al Au Yb
Al Au Zr
Al Ba Ca
Al Ba Co
Al Ba Cu
Al Ba Fe
Al Ba Ga
Al Ba Ge
Al Ba In
Al Ba Mg
Al Ba Ni
Al Ba Pb
Al Ba Pt
Al Ba Sb
Al Ba Sn
Al Ba Sr
Al Ba Zn
Al Be Ce
Al Be Cr
Al Be Cu
Al Be Fe
Al Be La
Al Be Mn
Al Be Ni
Al Be U
Al Bi Ca
Al Bi Gd
Al Bi Pd
Al Ca Cd
Al Ca Co
Al Ca Cr
Al Ca Cu
Al Ca Dy
Al Ca Er
Al Ca Fe
Al Ca Ga
Al Ca Gd
Al Ca Ge
Al Ca In
Al Ca Ir
Al Ca La
Al Ca Li
Al Ca Mg
Al Ca Mn
Al Ca Ni
Al Ca Pb
Al Ca Pd
Al Ca Pt
Al Ca Rh
Al Ca Sb
Al Ca Sm
Al Ca Sn
Al Ca Sr
