vectors,scores,scaled
O F Si K Sc,13.573,0.372
O F P Ca Mn,10.924,0.194
O Na Si Cl Ga,10.18,0.144
O Na Si Ga Br,10.594,0.171
N O F Rb Te,14.904,0.461
O Cl W Pb Bi,14.759,0.452
O F Na Si Ca,11.55,0.236
O F Na P Mn,11.481,0.231
O Te Te I Ta,12.44,0.296
C N S Ni Cs,16.203,0.549
C O F K Ca,14.33,0.423
N O Cl Co Rb,15.71,0.515
N S S Cl Re,11.909,0.26
C F S Cl As,10.165,0.143
S Se Ag Pb Bi,12.825,0.321
O Cl Cu As Pb,11.145,0.209
O Cl Sr Ba Re,14.552,0.438
O Cl Ca Ba Re,14.009,0.401
O F S Nb Hg,12.511,0.3
O F S Ta Hg,13.501,0.367
O S Ca Ga La,11.479,0.231
O S Zn Ga La,10.825,0.187
O F Na Nb Nb,13.281,0.352
C O F Mn Te,11.594,0.239
O Cl Fe Ba Pt,15.977,0.533
C N N S Cl,11.675,0.244
P P Se Se I,8.681,0.043
C N S Zn Pb,12.609,0.307
Li S Cl K Fe,15.928,0.53
O Na P Cl Zr,10.997,0.199
O F Ca Nb Nb,12.802,0.32
C C N Cl Cd,11.936,0.262
O Mg Si S Ca,9.429,0.093
O Al Cl Cr Ba,12.396,0.293
O Cl Ca Cs Bi,16.753,0.586
O F Si Y Er,12.094,0.272
C O Cl Sn Re,12.619,0.308
O F Na P Ti,11.512,0.233
Li O Cl Fe Mo,14.644,0.444
O Cl Cs Am Am,22.913,1.0
O Na Al Cl Ge,10.124,0.14
O Na Al Ge Br,10.541,0.168
O Na Al Ge I,10.825,0.187
N O Cl Tc Cs,16.024,0.537
F As Se Se I,9.497,0.098
B O Cl Ba Ho,12.956,0.33
B O Cl Ba Yb,13.3,0.353
N N P Cl Mo,11.883,0.258
O Cl La Ce Ta,17.604,0.643
S Cl Br Ag Hg,11.278,0.217
N S Cl Se Te,9.657,0.108
O Na P P Eu,12.049,0.269
O Na P P Sr,11.493,0.232
O F P Ca Sb,10.372,0.156
O Cl Nb Cs Pu,19.962,0.801
N S S Cl Se,9.288,0.084
C O S Fe Mo,14.473,0.432
O Cu Br I Ba,12.69,0.312
O F Na Si La,12.504,0.3
O F Na Si Gd,13.741,0.383
O Cl Cu As Ag,9.69,0.111
C N F Te Hg,13.269,0.351
C O F S Se,10.494,0.165
O Mg Si Cl Ca,9.468,0.096
C O Cl Co Sn,12.338,0.289
O S Lu Pu Pu,20.588,0.844
N O K Br Ru,14.114,0.408
N O K Ru I,14.327,0.423
O Na Al Si Br,10.571,0.17
O F Fe Zn Ta,15.125,0.476
O F Fe Zn Nb,14.248,0.417
O Cl Mn Mn Fe,13.646,0.377
C N S Mo Cs,17.033,0.604
O F Cu Y Ba,13.565,0.371
O F Na As Sb,10.863,0.19
N S Cl Se Sb,9.519,0.099
N F S As Se,9.971,0.13
O Si Cl Cr Pb,11.814,0.254
N O Al Si Nd,12.617,0.307
F Cl Mn Zn Ba,12.396,0.293
O Br Ru Ba Ta,14.466,0.432
O Cl Ru Ru Ba,12.864,0.324
C O F P Ca,11.342,0.222
O Al Si Br Ag,9.735,0.114
O Nb Te Te I,11.358,0.223
O S La Ta Ta,14.898,0.461
Li C O F S,11.872,0.257
O Cl Ru Ba Pt,13.863,0.391
N Cl Ga Se Se,9.422,0.093
C Cl Cs Lu Lu,18.479,0.702
Li N Cl Mo Ba,14.205,0.414
C O F Ba Sm,14.576,0.439
C O F Ba La,14.351,0.424
C O F Cu Ba,13.345,0.356
O F V Ni Nb,11.651,0.242
C O F Y Ba,14.019,0.402
C O F Ba Gd,15.441,0.497
C O F Na La,13.504,0.367
O Br Ru Ru Ba,13.194,0.346
N O S S Cl,9.678,0.11
O Cl Ca Cu Bi,12.099,0.273
N F As Se Se,9.91,0.125
F Al Cl K Ba,14.622,0.442
O F Se Nb La,12.472,0.298
B O P Zn Ga,9.491,0.097
F Cl Br Sr Ba,13.303,0.354
Li Be O P Cl,10.446,0.162
Li Be O Cl As,10.348,0.155
B C N Cl Sr,12.661,0.31
O Cu As As Pu,15.11,0.475
C O F Sc Ba,13.706,0.381
C O F Na Eu,13.71,0.381
O Cl Mn Mn Yb,11.878,0.258
N O Na Al P,11.223,0.214
C O F K Cu,14.158,0.411
C O F S Pd,11.891,0.259
N O Ca Zr Ta,13.692,0.38
Be B O F Na,11.835,0.255
O S Cr Hg Hg,13.298,0.353
C O Fe Fe Se,16.163,0.546
C O S Fe Fe,16.2,0.549
N Br Nb Cs Pr,18.606,0.71
N Cl Rb U U,17.287,0.622
O F Fe Co Nb,15.72,0.516
O P Cl Sr Eu,12.223,0.281
O P Cl Ca Eu,11.572,0.237
C N O F I,12.255,0.283
Na Na Rb Rb Sb,18.434,0.699
Na Na Rb Sb Au,16.78,0.588
F Cl Ca Sr Sm,13.371,0.358
F Cl Br Sr Sm,13.051,0.337
O Cl Ca Cu Sr,11.585,0.238
B N N Ni La,12.973,0.331
C O P Cl Cr,11.022,0.2
C O P Cl W,12.396,0.293
C O P Cr Br,11.406,0.226
C O P Br W,12.739,0.316
C O Cl Sn W,12.783,0.319
C O Co Se Se,11.825,0.254
O F Zr W U,14.768,0.452
F Cl Mn Ni Ba,12.396,0.293
O F V Sr Nd,14.119,0.408
O F P Sr Nd,13.504,0.367
Li O F Si Sr,12.175,0.278
O K Se Se Mo,13.196,0.346
N O Na Br Pr,14.332,0.423
O P Cl Cu Ba,11.684,0.245
C O F K Gd,16.149,0.545
C C O Co Se,12.901,0.327
O F S Sb Cs,15.409,0.495
Mo Te Te Te I,11.423,0.227
O S Ti Ti La,11.996,0.266
O Br Cs La Ta,17.962,0.667
Li Be O P Br,10.851,0.189
O F S Ni As,9.306,0.085
O F S Fe As,12.928,0.328
O P Cl Cl Ce,14.613,0.442
O P Cl Cl La,10.547,0.168
O F K Ti Nb,14.459,0.431
O F P K Ga,12.86,0.324
N O Al Si La,11.675,0.244
N Na I Cs La,17.899,0.663
N O Na Rb W,16.956,0.599
N O Na Cs W,18.135,0.679
C O F S Ir,12.378,0.291
S Cl Ca Ge La,11.017,0.2
Be O Si S Cd,9.101,0.071
Be O Si Se Cd,9.034,0.067
Be O Si Cd Te,9.477,0.096
O F Cl Sb Te,9.899,0.125
O F Br Sb Te,10.324,0.153
C O F Sb Hg,12.497,0.299
S K Br Cs Re,18.719,0.718
N O F S Cs,16.016,0.536
O Ti Te Te I,10.758,0.182
O F S Cs Au,16.752,0.586
O F S Cs Pt,16.747,0.585
O P Cu Br Ba,12.047,0.269
O Cl Ca Cu Gd,13.196,0.346
O F P Cl As,9.145,0.074
O F S As Gd,12.513,0.301
C O Fe Se W,15.362,0.492
F Cl Mn Fe Ba,15.304,0.488
O Cl Nb Cs Lu,17.318,0.624
O F Cu Sr Nd,13.99,0.4
O P Cl Ba Eu,13.038,0.336
O F P Fe Sr,14.23,0.416
O S Cu Ga Sr,10.927,0.194
C O F Na Ce,16.872,0.594
Be O Si Mn Se,9.672,0.109
Be O Si Mn Te,10.087,0.137
Be O S Mn Ge,9.701,0.111
Be O Mn Ge Se,9.639,0.107
Li N O Ca Mo,13.083,0.339
Li N O Ca W,14.102,0.407
N Ge Ge Sr Ba,13.094,0.34
O P P Cu La,11.054,0.202
O S Mn Cu Sr,11.48,0.231
O S Cu Zn Sr,10.904,0.192
F Cl Fe Co Ba,16.292,0.555
O Cl Ru Ba W,14.258,0.418
O S Fe Cu Sr,14.123,0.409
O S Cr Cu Sr,11.916,0.26
C F S Cl Sb,10.498,0.165
O P P K Ba,14.094,0.407
O K As As Ba,13.948,0.397
C O Y Y I,13.152,0.343
S Fe Se Se Nb,13.22,0.348
O K Se Se Nb,13.169,0.345
O Se Se Nb Cs,15.632,0.51
O Mn Zn As Ba,11.839,0.255
O F Al P Sr,11.042,0.202
O Cl As Rb Nb,14.269,0.419
O Cl As Nb Cs,15.652,0.512
B Na Cl Zr I,12.032,0.268
O Cl Cu Te Ba,12.0,0.266
N Na Br Cs La,17.728,0.651
O Cl Ca Cu Sm,12.173,0.278
S Cl K Cs Re,18.488,0.702
O Cl Cs Ta Pu,20.597,0.844
S Fe Cu Cu As,13.051,0.337
O F Al Si Ca,10.312,0.152
O F Sc As Rb,14.555,0.438
O F Sc As Cs,15.913,0.529
C N S Fe Hg,15.376,0.493
C N S Mn Hg,12.991,0.333
Li O Si Cl Ga,10.148,0.141
Li O Si Ga Br,10.564,0.169
Li O Si Ga I,10.848,0.188
Li O Al Cl Ge,10.092,0.138
Li O Al Ge Br,10.51,0.166
Li O Al Ge I,10.795,0.185
O Cl Cu Nb La,12.409,0.294
O Cu Br Nb La,12.751,0.317
O S Cu Cu Sr,11.339,0.222
O S Ni Cu Sr,10.905,0.192
O S Sc Cu Sr,11.762,0.25
N O Al Si Sr,11.351,0.222
O F Fe In Ba,15.256,0.485
Si S I La Ce,16.185,0.547
O Cl Cs Pb Bi,17.507,0.636
O F Na P V,11.498,0.232
O F P Fe Ba,14.936,0.463
C N S Zn Cd,10.934,0.194
O F Na Si Pu,16.327,0.557
C O F Na Y,13.15,0.343
N N O Cs W,17.945,0.666
O Na Si S Sm,12.101,0.273
O Cl Nb La Ce,16.857,0.593
O Cl Nb Ce Pr,17.783,0.655
N O Al Si Y,11.264,0.216
O F Ca Mn La,12.672,0.311
O F Mn Sr La,13.269,0.351
O F Cu Sr La,13.147,0.343
N O Mg P Cs,15.551,0.505
O Mn Cu Se Sr,11.427,0.227
B O F Ga Ba,12.555,0.303
B O F Al Ba,12.536,0.302
O Si Se Ba Sm,12.994,0.333
N O Si Ti La,12.244,0.282
N O Zn Ge Cd,9.954,0.128
S S K Se Nb,12.978,0.332
C O F S K,13.695,0.38
S Te Au Pb Bi,14.386,0.426
O F Rb Sr Nb,15.972,0.533
Li O F Sr Nb,13.376,0.359
O Mn Zn As Sr,10.935,0.194
S Se Te Te Bi,11.025,0.2
O Cl Nb Pb Bi,13.763,0.385
O S Cl Sb Pb,10.872,0.19
N O Al Si Ce,15.447,0.498
S Br Sb La Ce,16.15,0.545
F Na Br Nb Nb,13.399,0.36
O F Na Ca Ge,11.522,0.234
N O Cl Rb Pd,15.151,0.478
C N S Cl Ba,12.914,0.327
C N Na Mg S,12.027,0.268
N Na S Cl Zr,11.775,0.251
As Br Sb Sb Hg,10.924,0.194
O F Na P Er,12.055,0.27
O F S K Sn,13.092,0.339
O Cl Mn Mn Sr,11.65,0.242
O Cu Se Y Bi,12.569,0.304
O S V V Eu,12.201,0.28
C O F Co Ba,14.578,0.439
O F Na Mg P,10.859,0.189
C O F Zn Ba,12.978,0.332
C O F Mn Ba,13.465,0.365
O F K Sr Nb,15.018,0.469
O Rb Cs Au Au,20.435,0.833
O F P Fe Co,14.715,0.449
B Cl Zr I Cs,16.176,0.547
O Cl V Cs Pu,19.618,0.778
O Cl V Rb Pu,18.534,0.705
O F Al Sr Ba,13.278,0.352
O F Al Ca Sr,11.841,0.255
O Rb I Pb Bi,16.727,0.584
O Cl Rb Pb Bi,16.283,0.554
O F Cu Cu Ta,12.944,0.33
O Na S Cl Cu,10.649,0.175
O F S Rb Pu,18.512,0.704
O S Cu Se La,11.043,0.202
C O F S Cl,10.586,0.171
O S K Ti Y,13.924,0.395
O F Na Si Sm,12.761,0.317
O Cl Ti Pb Bi,13.272,0.352
O F Si S Ca,10.154,0.142
O Cl Mn Nb La,12.538,0.302
Li N O Al Si,11.189,0.211
O Cl Fe Nb La,14.995,0.467
N N O Si Lu,12.969,0.331
Be O Si S Fe,12.744,0.316
Be O Si Fe Se,12.697,0.313
Be O Si Fe Te,13.016,0.334
O F Sr Pd Ba,14.254,0.418
N O Sr La Ta,14.927,0.463
O F Ca V Pb,12.799,0.32
C O F S Hg,12.322,0.288
Li O S Ti Y,12.136,0.275
S Ga Se Ag Cd,9.126,0.073
O Cl Co Ba Pt,14.793,0.454
O S Ti Ti Sm,12.264,0.284
O S Ti Cu La,11.831,0.255
O S Ti Ag La,11.848,0.256
O F Mn Ga Sr,11.79,0.252
O Cl Fe Co Sr,15.317,0.489
S K Cu Sb Tl,14.258,0.418
N O P Cl Re,12.146,0.276
O F Ti Y Cd,11.757,0.25
O F Ti Cd Nd,13.059,0.337
O F Ti Cd Eu,12.38,0.292
O F Ti Cd Gd,13.421,0.362
O F Ti Cd Yb,12.065,0.27
C O F Rb Sb,14.882,0.46
C O F Na Sn,12.282,0.285
C O F Cs Pt,17.489,0.635
C O F Na Sb,12.081,0.271
C N Si Ca Y,12.676,0.311
O Cl Co Co Ba,14.791,0.454
N O Si Cl Ce,15.366,0.492
N O Si Cl Pr,12.881,0.325
N O Si Cl Nd,12.518,0.301
O Cl Ti W Bi,13.821,0.388
O Ti Br W Bi,14.129,0.409
O Fe Cu Se Sr,14.08,0.406
O Fe Se Sr Ag,14.094,0.407
O Si S Cl Ca,9.351,0.088
O Cl Cu Pb Bi,13.123,0.342
O Cu Br Pb Bi,13.447,0.363
O Br Cs Pb Bi,17.751,0.653
F S S Cl As,8.827,0.053
F S S As Br,9.302,0.085
F Cl As Se Se,8.69,0.043
O S Cl K Bi,13.854,0.391
S Cl Sb Sb Pb,10.787,0.184
S Cl Se Pb Bi,12.326,0.288
O Cl V Cu Pb,11.969,0.264
Li O F Ca Ta,13.755,0.384
F Na S Cu Sr,12.497,0.299
O F P Cd Pb,11.542,0.235
C N S K Au,15.361,0.492
C N S Rb Au,16.295,0.555
C N S Cs Au,17.518,0.637
N O F Si K,13.601,0.374
O S Mn Cu Ba,12.344,0.289
N O Sc Ba Ta,15.011,0.468
O F Ti Fe Pb,15.17,0.479
O F Al S K,12.859,0.324
O F Fe As Tb,14.132,0.409
O Cl Br Sb Hg,11.155,0.209
O Cl Cu Se Nd,12.065,0.27
O Cl Cu Se Y,10.642,0.175
O F K Ti Ba,15.26,0.485
O F Fe As Sm,14.642,0.444
O Co Zn Br Te,11.678,0.244
O F P Ca Pu,15.944,0.531
O P Cl Ca Pu,15.444,0.498
O F P Ca U,12.491,0.299
O P Cl Ca U,11.846,0.256
O F P Sr U,13.096,0.34
O P Cl Sr U,12.483,0.298
O Fe As Sr Nd,15.737,0.517
O F P Sr Cd,11.085,0.204
F Fe Co As Sr,15.543,0.504
O F Fe As Ce,17.613,0.643
O F Fe As Pr,15.491,0.501
O Ca Cu Br Nb,11.817,0.254
O Ca Cu Br Ta,12.86,0.324
O Cu Br Sr Nb,12.455,0.297
O Cu Br Sr Ta,13.449,0.363
B O F Ca Ba,13.104,0.34
O F Fe As Nd,15.192,0.481
O Fe Br W Bi,16.327,0.557
O F Fe As La,14.419,0.429
O F Fe As Gd,15.504,0.502
B O F Sr Ba,13.682,0.379
O Ca Fe As Nd,15.237,0.484
C O S S Fe,13.367,0.358
C C F S Pt,13.339,0.356
O Na Si Cl Cr,11.236,0.215
O Na Si Cr Br,11.612,0.24
O Si Cl K Cr,13.122,0.341
O Si K Cr Br,13.446,0.363
C C F S Mo,12.702,0.313
N O Na Cl Nd,13.696,0.38
Li O F P Fe,14.101,0.407
O V Fe As Sr,14.161,0.411
O Sc Fe As Sr,14.377,0.426
Cl K Br Tl Pb,15.484,0.5
N O F K Os,15.246,0.484
N O F Cs Os,17.418,0.63
O Na Cl K Cu,13.771,0.385
C O Si Cl Ba,12.204,0.28
Li O F Sr Mo,13.402,0.36
Li O F Sr W,14.399,0.427
O F Na Sr Mo,13.426,0.362
O F Na Sr W,14.421,0.429
Li O F Mo Ba,14.15,0.411
Li O F Ba W,15.097,0.474
O F Na Mo Ba,14.173,0.412
O F Na Ba W,15.119,0.476
N O Zr Yb W,14.525,0.436
N O Y Zr W,14.271,0.419
N O Zr Gd W,15.67,0.513
N O Zr Sm W,14.818,0.456
N O Zr Nd W,15.361,0.492
O F Ti As Sr,11.554,0.236
O F Ti Sr Sb,11.848,0.256
Li O F S Co,12.762,0.317
O F S S Ba,11.823,0.254
O Fe As Y La,14.927,0.463
S Se Nb Nb Sb,11.254,0.216
N O Al Si Ca,10.647,0.175
Li O F S Fe,14.118,0.408
B O Na S I,11.372,0.224
B O Na S Br,11.102,0.206
B O S Cl Cs,15.216,0.482
B O S Cl Rb,13.79,0.386
B O Na S Cl,10.707,0.179
O Cl Mn Co Ba,13.695,0.38
O P Sc Fe Sr,14.448,0.431
O Cr Fe As Sr,14.503,0.434
N Cl Ca Br Sr,12.162,0.277
O Mn Cu As Sr,11.369,0.224
O Fe Co As Nd,16.177,0.547
O Na Si Cl Ho,11.381,0.224
O S Ca Fe Cu,13.563,0.371
O Ca Fe Cu Se,13.519,0.368
O Si Cl Mn Ba,11.816,0.254
O Si Cl Fe Ba,14.398,0.427
C N Cl Cu Cs,16.521,0.57
C N Cu Br Cs,16.78,0.587
Li C N I Eu,14.268,0.419
O F Ga In Pt,12.091,0.272
O F Na Si Ce,16.083,0.541
N S S Cl Te,9.719,0.113
O Cl Cu Te Dy,10.964,0.196
O Cl Cu Te Er,10.943,0.195
O Cu Br Te Er,11.329,0.221
O Cl Mn Te Sm,11.857,0.256
O Cu Br Te Dy,11.349,0.222
O Cl Cu Te Nd,12.4,0.293
C N Se Cd Hg,12.475,0.298
O K Ba Bi Bi,17.046,0.605
O F Si Ba La,13.415,0.361
C C O F S,11.693,0.245
O Cl Ca Cu Te,10.388,0.158
S Cl Cu Cu W,12.179,0.278
O F Na Si Sn,11.174,0.21
P P Br Ag Hg,11.202,0.212
P P Ag I Hg,11.47,0.23
C N Zn Se Cd,10.879,0.191
C O F S Rb,14.735,0.45
Li O F P V,11.47,0.23
C C N I Eu,14.119,0.409
C N In I Eu,13.533,0.369
O Cl Se Cs La,16.03,0.537
N O Na P Ti,11.813,0.253
C N Co Se Hg,14.099,0.407
O Cu Br Sr Te,11.49,0.232
C O F S Ca,11.363,0.223
C O F S Cu,11.145,0.209
C O F S Zn,10.702,0.179
C O F Mg S,10.655,0.176
C O F S Ba,12.853,0.323
Be O Na Si Cl,10.472,0.163
B C N F K,14.796,0.454
C O F Na Yb,13.426,0.362
N S Cl Fe Te,13.35,0.357
Li C C O F,12.898,0.326
C C O F Ag,12.249,0.283
B O Al Cl Ba,11.894,0.259
B O Cl Ga Ba,11.915,0.26
F S Fe Fe Ba,17.354,0.626
O F P K Ti,13.36,0.357
