vectors,scores,scaled
O F Na Ti Zn,11.396,0.238
C N S Co Hg,14.425,0.504
O F Na Al As,10.575,0.166
C O Fe Br Hg,15.58,0.605
O F Si Ca Nb,11.274,0.228
N O F S Xe,15.194,0.571
O F K Rb Mo,16.751,0.708
N O P Cl W,12.292,0.317
O F S Rb Sb,13.667,0.438
C N O Cr Co,13.929,0.46
N O P Cl V,10.296,0.142
B C N Cl Ca,11.741,0.269
N O K Cu Cs,17.58,0.781
O F P Ca Nd,12.421,0.328
N O Si Cr Sm,12.541,0.339
O Si Cl Ca Pb,11.449,0.243
O F Mg S As,9.137,0.04
C O P Cl Fe,13.719,0.442
C O Cl Fe As,13.695,0.44
O Na Al S Cl,9.922,0.109
C O Si Cl Os,11.897,0.282
C N S K Pt,15.123,0.565
C N S Rb Pt,16.016,0.644
Cl Cu Rb I Cs,18.09,0.825
C O F La Ce,16.507,0.687
C O F K Rb,16.553,0.691
N P S Cl Sb,9.56,0.077
N F Cl Te W,13.032,0.382
C N S Zn Ag,11.253,0.226
C O Cl Ge Os,11.929,0.285
C O F Ba Ce,16.838,0.716
N O Cl Mo Cs,16.032,0.645
O Cl Cu Br Pb,11.79,0.273
C O K Br Ir,14.747,0.532
O F P K Fe,15.77,0.622
O F Na P Cr,11.618,0.258
O F P K Mn,13.02,0.381
O F P K Cr,13.333,0.408
O F Al P K,12.462,0.332
O F P Ca Ba,12.17,0.306
Li O F Ge Ho,11.768,0.271
N O Cl K Bi,14.473,0.508
C O Cl K Os,14.553,0.515
C O Cl Cs Os,16.691,0.703
O F Na P Fe,14.35,0.497
O F S K Zr,13.16,0.393
N O Cl K Pd,13.746,0.444
C O K Br Os,14.902,0.546
C O S Fe W,15.807,0.625
O F Na Al P,10.607,0.169
O Cl Ca As Pb,11.43,0.241
N Al S Cl Se,9.426,0.066
O Cl Nb Ba Ir,13.883,0.456
O Cl Ru Ba Ta,14.028,0.469
O F Fe Ni Ta,15.534,0.601
O F Fe Ni Nb,14.578,0.517
O F P Ca Cd,10.172,0.131
Li O Al Si Cl,9.854,0.103
O Al Si Cl K,11.855,0.279
O Na Al Si I,10.705,0.178
O Na Cl Ca Cu,11.115,0.214
O Cl Cu Br Ba,11.886,0.281
O F K Ti Cs,17.471,0.771
C N O K Br,13.926,0.46
C O S W Os,14.263,0.49
Li O F Al P,10.577,0.166
N O F S I,11.031,0.206
O Cl K Cr Hg,14.405,0.502
C N S Rb Ag,14.839,0.54
C N S Ag Cs,16.1,0.651
O P Br Sr Eu,12.283,0.316
O Na Si S Pr,12.608,0.345
O F P Sr Eu,12.453,0.331
N O F S K,13.212,0.398
O Cl V Cu As,9.812,0.099
Li O F P Ni,10.638,0.172
O S Cl Ti La,11.112,0.213
O P Cl K Mo,12.973,0.377
O P Cl Rb Mo,14.004,0.467
O Cl Cu La Ta,13.338,0.409
O Cl Ca Cu Nb,11.213,0.222
O F Na P Y,11.797,0.273
O F Na S Ca,11.207,0.222
O Na S Cl Ca,10.54,0.163
O Cl Cu Se Bi,11.452,0.243
O Cu Se I Bi,12.165,0.306
O F Si K Sc,13.167,0.394
O F P Ca Mn,10.736,0.181
S Cl Br I Hg,11.617,0.258
N O Na Al Ge,10.963,0.2
O Na Si Cl Ga,9.987,0.115
O Na Si Ga Br,10.489,0.159
N O Na Si Ga,11.019,0.205
N O F Rb Te,14.525,0.513
O Cl W Pb Bi,15.063,0.56
O F Na Si Ca,11.176,0.219
O F Na P Mn,11.257,0.226
C N S Ni Cs,15.811,0.626
C O F K Ca,13.855,0.454
N O Cl Co Rb,15.572,0.605
C F S Cl As,10.059,0.121
O Cl Cu As Pb,11.305,0.23
O Cl Sr Ba Re,14.347,0.497
O Cl Ca Ba Re,13.823,0.451
Li O Na S K,13.843,0.453
O F S Nb Hg,12.501,0.335
O F S Ta Hg,13.604,0.432
O S Ca Ga La,11.305,0.23
O S Zn Ga La,10.783,0.185
N O Cu Se Pb,12.283,0.316
C O F Mn Te,11.514,0.249
O Cl Fe Ba Pt,16.257,0.665
C O P Cr Br,11.295,0.229
C N S Zn Pb,12.684,0.351
O Na P Cl Zr,10.746,0.181
O Mg Si S Ca,9.214,0.047
O Al Cl Cr Ba,12.105,0.301
O Cl Ca Cs Bi,16.435,0.68
O F Si Y Er,11.892,0.282
C O Cl Sn Re,12.669,0.35
O F Na P Ti,11.209,0.222
Li O Cl Fe Mo,14.878,0.544
O Na K I Au,15.232,0.575
O Na Al Cl Ge,9.925,0.109
O Na Al Ge Br,10.43,0.154
O Na Al Ge I,10.74,0.181
N O Cl Tc Cs,15.595,0.607
B O Cl Ba Ho,12.672,0.35
B O Cl Ba Yb,13.051,0.384
O Cl La Ce Ta,17.093,0.738
C N O Fe Tl,16.137,0.654
S Cl Br Ag Hg,11.466,0.245
N S Cl Se Te,9.735,0.093
O Al Si Ca Br,9.827,0.101
N O Cu Se Ag,10.799,0.186
O F P Ca Sb,10.214,0.135
O Cl Nb Cs Pu,19.351,0.936
C O S Fe Mo,14.799,0.537
O Cu Br I Ba,12.575,0.342
O F Na Si La,12.176,0.307
O F Na Si Gd,13.295,0.405
O Cl Cu As Ag,9.672,0.087
C N F Te Hg,13.281,0.404
C O F S Se,10.361,0.148
O Mg Si Cl Ca,9.204,0.046
C O P Cl Os,11.908,0.283
N O K Br Ru,13.807,0.45
N O K Ru I,14.043,0.47
O Na Al Si Br,10.394,0.15
O F Fe Zn Ta,15.528,0.601
O F Fe Zn Nb,14.571,0.517
C N S Mo Cs,16.619,0.696
O F Cu Y Ba,13.228,0.399
O Na S K Cu,13.34,0.409
O F Na As Sb,10.728,0.18
N S Cl Se Sb,9.597,0.081
N F S As Se,9.978,0.114
O Si Cl Cr Pb,11.87,0.28
N O Al Si Nd,12.189,0.308
N O Na Al Si,10.929,0.197
F Cl Mn Zn Ba,12.21,0.31
O Br Ru Ba Ta,14.39,0.501
C O F P Ca,11.044,0.207
Li C O F S,11.541,0.251
O Cl Ru Ba Pt,13.73,0.443
O S Ni Zr W,12.422,0.328
Li N Cl Mo Ba,13.853,0.454
C O F Ba Sm,14.105,0.476
C O F Ba La,13.981,0.465
C O F Cu Ba,13.01,0.38
O F V Ni Nb,11.505,0.248
C O F Y Ba,13.642,0.435
C O F Ba Gd,14.965,0.551
C O F Na La,13.135,0.391
C O S Co Sn,12.58,0.342
O Cl Ca Cu Bi,12.091,0.299
C O S Fe Se,13.752,0.445
C O S Fe Te,14.051,0.471
F Al Cl K Ba,14.165,0.481
O F Se Nb La,12.304,0.318
F Cl Br Sr Ba,12.984,0.378
Li Be O P Cl,10.147,0.129
Li Be O Cl As,10.113,0.126
B C N Cl Sr,12.353,0.322
C O F Sc Ba,13.335,0.408
C O F Na Eu,13.259,0.402
N O Na Al P,10.941,0.198
C O F K Cu,13.751,0.445
C O F S Pd,11.661,0.262
N O Ca Zr Ta,13.561,0.428
Be B O F Na,11.472,0.245
N Br Nb Cs Pr,18.033,0.82
O F Fe Co Nb,16.222,0.662
Li O Mg S Cr,11.024,0.206
Li O S Cr Zn,11.145,0.216
Li O S Cr Ni,11.154,0.217
Li O Mg Al S,9.953,0.112
O Na Mg S Fe,13.896,0.458
O Na Mg S In,10.365,0.148
O P Cl Sr Eu,11.857,0.279
O P Cl Ca Eu,11.218,0.223
C N O F I,12.052,0.296
F Cl Ca Sr Sm,12.893,0.37
F Cl Br Sr Sm,12.689,0.352
O Cl Ca Cu Sr,11.262,0.227
C O P Cl Cr,10.83,0.189
C O P Cl W,12.376,0.324
C O P Br W,12.785,0.36
C O Cl Sn W,12.825,0.364
O F Zr W U,14.707,0.529
F Cl Mn Ni Ba,12.218,0.31
O F V Sr Nd,13.616,0.433
O F P Sr Nd,13.001,0.379
Li O F Si Sr,11.79,0.273
N O Na Br Pr,13.829,0.452
O P Cl Cu Ba,11.435,0.242
C O F K Gd,15.614,0.608
O F S Sb Cs,15.027,0.557
O Br Cs La Ta,17.666,0.788
Li Be O P Br,10.641,0.172
O F S Ni As,9.293,0.054
O F S Fe As,13.359,0.41
O S Cu Y Ba,12.676,0.351
O S Ca Cu Ba,12.111,0.301
O F K Ti Nb,14.065,0.472
O F P K Ga,12.541,0.339
N O Al Si La,11.46,0.244
N Na I Cs La,17.451,0.769
N O Na Rb W,16.608,0.695
N O Na Cs W,17.744,0.795
C O F S Ir,12.334,0.321
S Cl Ca Ge La,10.882,0.193
Be O Si S Cd,9.047,0.032
O F Cl Sb Te,9.892,0.106
O F Br Sb Te,10.399,0.151
C O F Sb Hg,12.523,0.337
O Al S Ca Sr,10.827,0.188
S K Br Cs Re,18.375,0.85
N O F S Cs,15.536,0.601
O S Cu Ba Hg,13.235,0.4
O F S Cs Au,16.422,0.679
O F S Cs Pt,16.412,0.678
O P Cu Br Ba,11.875,0.28
O Cl Ca Cu Gd,12.804,0.362
O F P Cl As,9.043,0.032
O F S As Gd,12.229,0.311
F Cl Mn Fe Ba,15.536,0.601
O Cl Nb Cs Lu,16.931,0.724
O F Cu Sr Nd,13.488,0.422
O P Cl Ba Eu,12.658,0.349
O F P Fe Sr,14.464,0.507
O S Cu Ga Sr,10.787,0.185
C O F Na Ce,16.143,0.655
Be O S Mn Ge,9.715,0.091
Li N O Ca Mo,12.739,0.356
Li N O Ca W,13.897,0.458
O S Mn Cu Sr,11.34,0.233
O S Cu Zn Sr,10.746,0.181
F Cl Fe Co Ba,16.706,0.704
O Cl Ru Ba W,14.143,0.479
O S Fe Cu Sr,14.414,0.503
O S Cr Cu Sr,11.698,0.265
C F S Cl Sb,10.403,0.151
O S Cu Sr La,12.262,0.314
O F Al P Sr,10.761,0.183
O Cl As Rb Nb,13.936,0.461
O Cl As Nb Cs,15.272,0.578
B Na Cl Zr I,11.875,0.28
O Cl Cu Te Ba,11.823,0.276
N Na Br Cs La,17.262,0.753
O Cl Ca Cu Sm,11.787,0.273
S Cl K Cs Re,18.093,0.826
O Cl Cs Ta Pu,20.081,1.0
O F Al Si Ca,10.04,0.119
O F Sc As Rb,14.169,0.482
O F Sc As Cs,15.484,0.597
C N S Fe Hg,15.796,0.624
C N S Mn Hg,13.051,0.384
Li O Si Cl Ga,9.954,0.112
Li O Si Ga Br,10.457,0.156
Li O Si Ga I,10.767,0.183
Li O Al Cl Ge,9.892,0.106
Li O Al Ge Br,10.399,0.151
Li O Al Ge I,10.71,0.178
O Cl Cu Nb La,12.21,0.31
O Cu Br Nb La,12.624,0.346
O S Ni Cu Sr,10.756,0.182
O S Sc Cu Sr,11.52,0.249
N O Al Si Sr,11.079,0.211
O F Fe In Ba,15.482,0.597
Si S I La Ce,15.682,0.614
O Cl Cs Pb Bi,17.385,0.764
O F Na P V,11.215,0.222
O F P Fe Ba,15.128,0.566
C N S Zn Cd,10.887,0.194
O F Na Si Pu,15.802,0.625
C O F Na Y,12.774,0.359
O Na Si S Sm,11.722,0.267
O Cl Nb La Ce,16.228,0.662
