Phase fields,     scores,     Norm. scores,
As Cu Ge Se     ,  2.977,      0.0,
As Ga Se Zn     ,  3.162,    0.015,
As Cd Ga Se     ,  3.372,    0.032,
As Cu In Se     ,  3.648,    0.054,
As In Se Zn     ,  3.712,    0.059,
As Ga Te Zn     ,  3.804,    0.067,
Cu Ga Se Te     ,  3.829,    0.069,
As As Cd Cl     ,  3.869,    0.072,
As Cd In Se     ,  3.893,    0.074,
Ag Ga Se Te     ,  3.898,    0.074,
As Ge P Zn      ,  3.905,    0.075,
Cu Ge P Se      ,   3.93,    0.077,
As Ga S Zn      ,  3.975,    0.081,
As Cd Ga Te     ,  3.981,    0.081,
Cu Ga S Se      ,  3.999,    0.082,
Br Cu In Se     ,  3.999,    0.083,
Cu Ge I Se      ,  4.016,    0.084,
Ge Sb Se Te     ,  4.038,    0.086,
Ag Ga S Se      ,  4.064,    0.088,
Ag Br In Se     ,  4.065,    0.088,
Cl Ga Sb Se     ,  4.066,    0.088,
Ga P Se Zn      ,  4.071,    0.088,
As Cd Ge P      ,  4.077,    0.089,
Ag Ge I Se      ,  4.081,    0.089,
As Cd Ga S      ,  4.144,    0.094,
Cd Ge S Se      ,  4.145,    0.094,
Br Cu Ge S      ,  4.165,    0.096,
Ag Br Se Te     ,  4.175,    0.097,
As As Cd I      ,  4.186,    0.098,
Al Br Sb Se     ,  4.187,    0.098,
Br Cd Sb Se     ,   4.19,    0.098,
As Br Cu S      ,  4.191,    0.098,
As Cu In Te     ,  4.217,      0.1,
Cd Ga S Se      ,  4.223,    0.101,
Ag Br Ge S      ,  4.228,    0.101,
Cd Se Te Zn     ,  4.265,    0.104,
Br In Sb Se     ,  4.277,    0.105,
Br Cu P Se      ,  4.283,    0.105,
Cu In Se Te     ,  4.295,    0.106,
Ag Cl In Se     ,  4.307,    0.107,
Br In In Se     ,   4.31,    0.108,
Ge Se Sn Te     ,  4.316,    0.108,
Ag Sb Se Te     ,  4.324,    0.109,
As Cd P Zn      ,  4.354,    0.111,
Ag In Se Te     ,  4.356,    0.111,
Al Cu S Se      ,  4.361,    0.112,
Cl Ga P Se      ,  4.378,    0.113,
Ag Cl Se Te     ,  4.411,    0.116,
Al S Se Zn      ,  4.415,    0.116,
Cu S Sb Se      ,  4.415,    0.116,
Cd S Se Zn      ,  4.417,    0.116,
As Br Cd P      ,  4.419,    0.116,
Al Cl Sb Se     ,  4.423,    0.117,
As Cl Cu S      ,  4.426,    0.117,
As Cd In Te     ,  4.431,    0.117,
Cu In S Se      ,  4.447,    0.119,
Ag Cl Ge S      ,  4.462,     0.12,
As Cr Cu Se     ,  4.474,    0.121,
Ag S Sb Se      ,  4.474,    0.121,
Ga Ga I Te      ,  4.479,    0.121,
In S Se Zn      ,    4.5,    0.123,
As P Si Zn      ,    4.5,    0.123,
Ag In S Se      ,  4.506,    0.123,
Cl Cu P Se      ,  4.513,    0.124,
Br Cu In Te     ,  4.524,    0.125,
In Ni S Se      ,  4.532,    0.126,
Cu I In Se      ,  4.535,    0.126,
In Sb Se Te     ,  4.555,    0.127,
As Cd In S      ,  4.578,    0.129,
Se Sn Te Zn     ,  4.578,    0.129,
As As Br Hg     ,  4.581,     0.13,
Ag Br In Te     ,  4.582,     0.13,
Cl Ga Sb Te     ,  4.584,     0.13,
Ag I In Se      ,  4.593,    0.131,
Cu I Se Si      ,  4.597,    0.131,
Ag S Se Te      ,  4.605,    0.131,
Cu Ge P S       ,  4.609,    0.132,
Ag Br Cl Te     ,  4.635,    0.134,
Cd In S Se      ,   4.65,    0.135,
As Br Hg Se     ,  4.653,    0.135,
Cu Cu S Te      ,  4.655,    0.135,
As Cd Cr Se     ,  4.676,    0.137,
Cu Rh S Se      ,  4.677,    0.137,
Ag Br Te Te     ,   4.68,    0.138,
Cu Ge I S       ,  4.683,    0.138,
Br Ni O Se      ,  4.701,    0.139,
Cu P S Se       ,  4.703,    0.139,
As Cu I S       ,  4.705,     0.14,
Cd S Se Si      ,   4.71,     0.14,
Al Cl P Se      ,  4.711,     0.14,
Ag Br In S      ,  4.725,    0.141,
Cl Ga S Sb      ,  4.726,    0.141,
Cd Se Sn Te     ,  4.726,    0.141,
Br Cu S Si      ,  4.728,    0.141,
Ga P S Zn       ,   4.73,    0.142,
Ag Ge I S       ,  4.739,    0.142,
Cl Cu In Te     ,  4.743,    0.143,
As Br Cd O      ,  4.745,    0.143,
As Br Cu Hg     ,  4.758,    0.144,
Br Nb Se Se     ,  4.764,    0.144,
As Cl Cu O      ,  4.764,    0.144,
Br Cu S Te      ,  4.765,    0.144,
Br Cr Cu Se     ,  4.765,    0.144,
Ni P S Se       ,  4.784,    0.146,
Cu I P Se       ,  4.787,    0.146,
Ag Cl In Te     ,  4.798,    0.147,
As Br In O      ,  4.822,    0.149,
Br Cu Hg Se     ,  4.827,    0.149,
Br Cd S Sb      ,  4.833,     0.15,
Cl Cu O Se      ,  4.833,     0.15,
As Cl Ga Hg     ,  4.844,    0.151,
Br Hg Se Zn     ,  4.876,    0.153,
Cl O Se Zn      ,  4.882,    0.154,
Ag Br I Te      ,  4.902,    0.155,
Cu Se Te V      ,  4.906,    0.156,
Br In S Sb      ,  4.908,    0.156,
As Cd I P       ,  4.909,    0.156,
Cl Ni O Se      ,  4.912,    0.156,
Br Cu P S       ,  4.913,    0.156,
Ga S Se V       ,  4.918,    0.157,
Ag Cl In S      ,  4.934,    0.158,
Ag Br S Sn      ,  4.936,    0.158,
In S Se Sn      ,  4.939,    0.158,
As Br Cd Hg     ,  4.948,    0.159,
As Cd Cl O      ,  4.954,     0.16,
Br Cl S Sb      ,  4.957,     0.16,
