phases,pareto_cgcnn_mat2vec,anion radii diff %,distance from LSSI,Predicted_Order?
Cl Li Se Sn     ,13,10.2,1.25,True
Cl Li S W       ,13,1.8,7.5,True
Al Cl Li N      ,13,26.5,4.25,True
Li O S Ta       ,13,34.9,8.75,True
Cl F Li Sb      ,13,40.3,3.5,True
Cl Li S Zn      ,13,1.8,3.25,True
Gd Li N O       ,13,4.8,17.25,True
Ce F Li O       ,13,5.9,14.5,True
F Li P Se       ,13,54.6,2.0,True
Br Li Sb Te     ,13,13.7,2.25,False
F Ge Li O       ,13,5.9,1.25,True
B Li N O        ,13,4.8,2.75,True
Li O Se V       ,13,46.0,8.5,True
Cl Ge Li S      ,13,1.8,0.75,True
Al I Li O       ,13,63.5,2.0,True
Li Mg O Te      ,13,64.3,4.0,False
In Li S Te      ,14,21.8,2.5,False
Br Li S Sn      ,14,7.1,0.75,True
Li N S Zn       ,14,28.8,5.5,True
F Li S Si       ,14,42.9,0.75,True
Cl Li Mo S      ,14,1.8,7.75,True
Br Li O Zn      ,14,44.4,3.25,True
Ba Cl Li O      ,14,32.5,18.5,True
Ga Li O Se      ,14,46.0,2.25,True
F Li O Zn       ,14,5.9,3.75,True
Li N Sb Se      ,14,39.4,3.0,True
Br F Li P       ,14,52.9,2.75,True
I Li O Sb       ,14,63.5,1.75,True
Cl Gd Li S      ,14,1.8,15.25,True
Ca Li O Se      ,14,46.0,18.0,True
Br Cl Li Si     ,14,9.0,1.5,True
I Li O Si       ,14,63.5,0.25,True
Br Li Mg O      ,14,44.4,3.5,True
Ce Li S Se      ,14,8.2,14.5,True
Br Li O W       ,14,44.4,7.5,True
F Li Mo O       ,14,5.9,8.25,False
Cl Li Sn Te     ,15,24.0,1.5,True
F Li Mg O       ,15,5.9,4.0,False
Ga Li O Te      ,15,64.3,2.5,False
Al Br Li S      ,15,7.1,2.0,True
Cl F Li Si      ,15,40.3,2.0,True
Al Cl Li Se     ,15,10.2,2.5,True
Li N Sb Te      ,15,56.8,3.25,False
Li O Te V       ,15,64.3,8.75,True
Cl Gd Li Se     ,15,10.2,15.5,True
Al F Li S       ,15,42.9,2.5,True
Li O S Sr       ,15,34.9,18.0,True
Cl In Li N      ,15,26.5,3.75,True
Br Li N P       ,15,37.9,2.75,True
Cl Li Mg S      ,15,1.8,3.5,True
Cl Li O Zr      ,15,32.5,9.75,True
F Li P Te       ,15,73.9,2.25,True
Ca Li O Te      ,15,64.3,18.25,True
Br In Li S      ,16,7.1,1.5,True
Ce Cl Li Se     ,16,10.2,14.25,True
Br Cl Li Sn     ,16,9.0,2.0,True
F Li Sb Se      ,16,54.6,2.5,True
Al Cl Li Te     ,16,24.0,2.75,True
Ge Li S Se      ,16,8.2,1.25,False
Br Li O V       ,16,44.4,8.25,True
Gd Li S Se      ,16,8.2,15.75,True
B Li O Se       ,16,46.0,1.0,True
Br Cl Gd Li     ,16,9.0,16.25,True
F Li S Sn       ,16,42.9,1.25,True
Li N Se Si      ,16,39.4,3.0,False
Li Nb O Se      ,16,46.0,8.75,True
Li Se Si Te     ,16,12.5,1.5,False
Li N S Ti       ,16,28.8,11.25,False
Li O Se Ti      ,16,46.0,9.25,True
I In Li O       ,16,63.5,1.5,True
Li Mo N S       ,16,28.8,10.0,False
F In Li S       ,16,42.9,2.0,True
Li S Se W       ,16,8.2,8.0,False
Cl Li N Zn      ,17,26.5,5.25,True
Br Ce Li S      ,17,7.1,13.75,True
Cl Li O Ta      ,17,32.5,9.0,True
Br Ga Li O      ,17,44.4,2.0,True
Ge Li S Te      ,17,21.8,1.5,False
Br Li N Sb      ,17,37.9,2.25,True
Cl In Li Se     ,17,10.2,2.0,True
Br Gd Li S      ,17,7.1,15.0,True
Ce Li S Te      ,17,21.8,14.75,True
Li S Se Zn      ,17,8.2,3.75,False
Al Li N Se      ,17,39.4,4.75,True
Cl Li S V       ,17,1.8,8.25,True
B Li O Te       ,17,64.3,1.25,True
Ba Li O Se      ,17,46.0,18.5,True
Gd Li S Te      ,17,21.8,16.0,True
Cl Ga Li S      ,17,1.8,2.0,True
Li Mg N S       ,17,28.8,5.75,True
Cl Li N Sn      ,17,26.5,3.0,True
Li O Te Ti      ,17,64.3,9.5,False
Li N S W        ,17,28.8,9.75,True
Li S Te W       ,17,21.8,8.25,False
Br Ce Cl Li     ,18,9.0,15.0,True
Cl Li S Ti      ,18,1.8,9.0,True
Br Li Se Sn     ,18,1.1,1.0,False
Ge Li N S       ,18,28.8,3.0,True
Li S Te Zn      ,18,21.8,4.0,False
Ce Li N S       ,18,28.8,16.25,True
Cl F Li Sn      ,18,40.3,2.5,True
Li N O Sr       ,18,4.8,20.0,True
Br Gd Li Se     ,18,1.1,15.25,True
Ba Li O Te      ,18,64.3,18.75,False
I Li O Zn       ,18,63.5,3.0,True
F Li Se Si      ,18,54.6,1.0,True
F Li O Ti       ,18,5.9,9.5,False
Ca Cl Li S      ,18,1.8,17.75,True
Ca Li N S       ,18,28.8,20.0,True
Br Li Nb O      ,18,44.4,8.5,True
Li N Si Te      ,18,56.8,3.25,False
Br Li Se Si     ,18,1.1,0.5,False
Cl Ge Li Se     ,18,10.2,1.0,False
Cl Li O Sr      ,18,32.5,18.25,True
F Li N P        ,18,10.9,3.25,True
F Gd Li O       ,18,5.9,15.75,True
Cl Gd Li Te     ,18,24.0,15.75,True
Br Ce Li Se     ,19,1.1,14.0,True
Ce Cl Li Te     ,19,24.0,14.5,True
I Li O Sn       ,19,63.5,0.75,True
Li Se Sn Te     ,19,12.5,2.0,False
Br Ge Li S      ,19,7.1,0.5,False
Cl Li Se W      ,19,10.2,7.75,True
Al Br Cl Li     ,19,9.0,3.25,True
Br Cl In Li     ,19,9.0,2.75,True
Ce F Li S       ,19,42.9,14.25,True
B Cl Li S       ,19,1.8,0.75,True
Ba Li N S       ,19,28.8,20.5,True
F Li O V        ,19,5.9,8.75,True
Al Li N Te      ,19,56.8,5.0,True
Al Cl F Li      ,19,40.3,3.75,True
B Li N S        ,19,28.8,3.0,True
Cl Li Mo Se     ,19,10.2,8.0,True
Gd Li Se Te     ,19,12.5,16.25,True
F Li Sb Te      ,19,73.9,2.75,True
K Li N S        ,19,28.8,21.5,True
Br Li Si Te     ,19,13.7,0.75,True
Li O Se Zr      ,19,46.0,9.75,True
Li Nb O Te      ,19,64.3,9.0,False
K Li O Se       ,19,46.0,19.5,True
Ca F Li O       ,19,5.9,18.25,True
Br Li O Ti      ,19,44.4,9.0,True
Br Li S W       ,19,7.1,7.25,True
In Li N Se      ,20,39.4,4.25,True
Cl Ge Li Te     ,20,24.0,1.25,False
Cl Li Te W      ,20,24.0,8.0,True
Li N S V        ,20,28.8,10.5,True
Ba Cl Li S      ,20,1.8,18.25,True
Ga Li S Se      ,20,8.2,2.5,False
Al F Li N       ,20,10.9,4.5,True
Br Gd Li Te     ,20,13.7,15.5,True
Cs Li O S       ,20,34.9,19.75,True
F Li N Si       ,20,10.9,2.75,True
Br Cl Ge Li     ,20,9.0,1.75,True
Li N S Zr       ,20,28.8,11.75,False
Cl In Li Te     ,20,24.0,2.25,False
Cl Li Mo N      ,20,26.5,9.75,True
I Li O Ti       ,20,63.5,8.75,False
Li O Te Zr      ,20,64.3,10.0,True
Br Ca Li O      ,20,44.4,17.75,True
K Li O Te       ,20,64.3,19.75,True
F Ge Li S       ,20,42.9,1.0,True
F Li S Zn       ,20,42.9,3.5,True
Br F Li Sb      ,20,52.9,3.25,True
Li O Se Y       ,20,46.0,16.75,True
Br Li Mo S      ,20,7.1,7.5,True
In Li N Te      ,21,56.8,4.5,True
Br Cl Li Mo     ,21,9.0,8.75,True
Ce Cl F Li      ,21,40.3,15.5,True
Br Cl Li W      ,21,9.0,8.5,True
Br Li Sn Te     ,21,13.7,1.25,False
Cl K Li S       ,21,1.8,19.25,True
Cl F In Li      ,21,40.3,3.25,True
Ga Li S Te      ,21,21.8,2.75,False
F Li Si Te      ,21,73.9,1.25,True
I Li Mo O       ,21,63.5,7.5,True
Al Br Li N      ,21,37.9,4.0,True
Cl Li Nb S      ,21,1.8,8.5,True
Li N Se Zn      ,21,39.4,5.75,True
B Br Li O       ,21,44.4,0.75,True
Ba F Li O       ,21,5.9,18.75,False
Al I Li S       ,21,21.2,1.75,True
Cl Li Mo Te     ,21,24.0,8.25,False
F K Li O        ,21,5.9,19.75,True
Cl Li Mg N      ,21,26.5,5.5,True
Li N S Y        ,21,28.8,18.75,True
Li O Te Y       ,21,64.3,17.0,True
Li Mo S Te      ,21,21.8,8.5,False
Ce Li Se Te     ,21,12.5,15.0,True
Br F Li Si      ,21,52.9,1.75,True
F Li Se Sn      ,21,54.6,1.5,True
Cl Li N W       ,22,26.5,9.5,True
Br In Li Se     ,22,1.1,1.75,False
Cl Ga Li Se     ,22,10.2,2.25,True
Br Li S Zn      ,22,7.1,3.0,True
Cl Li Se Zn     ,22,10.2,3.5,True
Br Ge Li Se     ,22,1.1,0.75,False
Li O Se Ta      ,22,46.0,9.0,True
F Li Sn Te      ,22,73.9,1.75,True
Cl F Ge Li      ,22,40.3,2.25,True
Ge Li Se Te     ,22,12.5,1.75,False
Ba Br Li O      ,22,44.4,18.25,True
Al Br Li Se     ,22,1.1,2.25,True
