phases,magpie,mat2vec,pareto_magpie_mat2vec,anion radii diff %,cation radii diff %,cation charge diff,distance from LSSI,distance from LSGSI,Predicted_Order?
Li Mg Al S Br,0.145,0.383,75,7.1,27.4,1.0,7.7,3.8,False
Li Mg S Br N,0.154,0.372,75,37.9,,,6.3,3.0,True
Li Sn B Te Cl,0.133,0.453,76,24.0,102.4,1.0,5.9,1.2,False
Li Al Si Se I,0.139,0.414,76,12.0,25.0,1.0,5.8,1.4,False
Li Zr Te Cl O,0.187,0.327,76,64.3,,,9.0,9.4,True
Li V B Se Cl,0.122,0.486,76,10.2,89.6,2.0,8.6,6.8,False
Ba Li Zn Se Cl,0.168,0.341,76,10.2,69.3,0.0,14.8,16.8,False
Li Ti Mo Br O,0.247,0.289,76,44.4,9.9,2.0,14.4,12.8,False
Li Sb Br N F,0.161,0.358,76,52.9,,,6.6,3.4,True
Li Y Mo O F,0.326,0.273,76,5.9,34.2,3.0,17.8,19.2,False
Li Sn P Se F,0.118,0.499,76,54.6,50.9,1.0,5.9,1.8,False
Li Sn Sb Cl F,0.142,0.395,76,40.3,0.0,1.0,6.4,3.0,True
Li Mg Sn Cl F,0.145,0.391,76,40.3,3.6,2.0,7.8,4.2,True
Li Ca Nb Te O,0.244,0.293,76,64.3,39.0,3.0,19.0,20.8,False
Sr Li In Br O,0.233,0.299,76,44.4,40.4,1.0,13.2,15.2,False
Li Sn Sb Br O,0.141,0.406,76,44.4,0.0,1.0,5.4,1.8,True
Li Ca Zn Se F,0.147,0.383,76,54.6,29.5,0.0,14.8,16.6,False
Li Zn Sn S Br,0.119,0.49,76,7.1,6.0,2.0,6.6,2.6,False
Li Nb Si Br O,0.215,0.307,76,44.4,51.9,1.0,8.4,6.6,False
Li Mg Te Se Br,0.107,0.54,76,13.7,,,6.5,4.4,False
Li Ca Y N Cl,0.257,0.28,76,26.5,9.6,1.0,26.6,28.4,False
Li Nb Zn S O,0.212,0.31,76,34.9,7.3,3.0,10.7,8.8,False
Li Y S Br F,0.174,0.337,76,52.9,,,12.4,16.2,True
Li Zn B Te O,0.15,0.377,76,64.3,114.6,1.0,6.8,3.0,False
Li Mg Ge S N,0.134,0.451,76,28.8,11.7,2.0,8.5,4.6,False
Li Mg Ge S N,0.134,0.451,76,28.8,11.7,2.0,8.5,4.6,False
Li Mg V S I,0.114,0.505,76,21.2,10.6,3.0,10.4,8.4,False
Li Y Si Br O,0.204,0.313,76,44.4,92.6,1.0,11.6,13.0,False
Li Ca Sb Te S,0.137,0.434,76,21.8,37.3,1.0,12.8,15.8,False
Li In Sn S I,0.138,0.425,76,21.2,13.3,1.0,5.8,1.2,False
K Li Sn S F,0.201,0.324,76,42.9,83.1,3.0,13.6,15.8,True
K Li Sn S F,0.201,0.324,76,42.9,83.1,3.0,13.6,15.8,True
Li Sb Te O F,0.173,0.34,76,73.9,,,6.8,4.0,True
Li Ca Te P I,0.135,0.442,76,0.5,107.3,3.0,12.2,14.8,False
Li V Si N Cl,0.164,0.35,76,26.5,44.0,1.0,10.0,8.0,False
Sr Li Ga Cl O,0.202,0.315,76,32.5,73.7,1.0,13.6,15.6,True
Li Ge Mo S O,0.179,0.333,76,34.9,0.6,2.0,8.4,6.2,False
Ba Li W S N,0.342,0.268,76,28.8,94.3,4.0,19.8,21.8,False
Li B Mo Se O,0.206,0.311,76,46.0,89.0,3.0,8.4,6.4,True
Cs K Li Te O,0.433,0.265,76,64.3,19.1,0.0,28.8,31.0,False
Li Mo Se Br O,0.2,0.326,76,46.0,,,8.1,8.0,True
Li In W Br O,0.306,0.278,76,44.4,22.6,3.0,9.0,6.8,False
Li Sb Br N F,0.161,0.358,76,52.9,,,6.6,3.4,True
Ba Li Sb Se O,0.224,0.305,76,46.0,79.5,1.0,12.6,15.8,False
Li Sn P Se S,0.113,0.514,76,8.2,50.9,1.0,5.9,1.8,False
Li Sn Ge Te O,0.131,0.478,76,64.3,7.8,0.0,6.1,1.2,False
K Li Se S N,0.258,0.279,76,39.4,,,13.4,16.2,True
Li Y Al Se Cl,0.177,0.336,76,10.2,54.1,0.0,13.3,14.6,False
Sr Li I N O,0.231,0.301,76,63.5,,,12.0,14.6,True
Li Zr Ga S Cl,0.143,0.397,77,1.8,13.2,1.0,10.1,8.6,False
Li Mg B Te Se,0.114,0.526,77,12.5,109.8,1.0,7.3,3.6,False
Li W I N O,0.304,0.28,77,63.5,,,7.8,6.2,True
Li Sn Ge Se Cl,0.107,0.55,77,10.2,7.8,0.0,5.9,1.0,False
Li Ti Mo S Cl,0.21,0.313,77,1.8,9.9,2.0,14.5,12.8,False
Li Ca Sb Te Cl,0.144,0.395,77,24.0,37.3,1.0,12.6,15.6,False
Li Ca Mg Te Cl,0.146,0.392,77,24.0,32.6,0.0,15.0,16.8,False
Li V B Se S,0.115,0.524,77,8.2,89.6,2.0,8.8,7.0,True
Li Ti Nb O F,0.292,0.281,77,5.9,3.9,1.0,15.4,13.8,False
Li Al P I N,0.187,0.328,77,56.1,22.7,2.0,7.0,3.2,False
Li B Sb N F,0.168,0.343,77,10.9,102.4,0.0,6.7,2.6,True
Li Ca Sn Te O,0.18,0.336,77,64.3,37.3,2.0,13.0,14.8,False
Li Sn Te S Br,0.119,0.506,77,21.8,,,5.3,2.2,False
Li V Ga S N,0.134,0.457,77,28.8,2.3,2.0,11.4,9.4,False
Ba Li W I O,0.366,0.269,77,63.5,94.3,4.0,17.7,19.8,False
Li Ta S O F,0.258,0.288,77,42.9,,,8.9,9.4,True
K Li B Te S,0.174,0.339,77,21.8,270.7,2.0,13.6,16.0,False
K Li B Te S,0.174,0.339,77,21.8,270.7,2.0,13.6,16.0,False
Li Mg Zn Te Cl,0.133,0.462,77,24.0,2.3,0.0,9.1,5.2,False
Li Y I O F,0.259,0.287,77,73.1,,,12.4,16.2,True
Li Si Ge N Cl,0.153,0.379,77,26.5,42.6,0.0,7.0,2.0,False
Li Ga Mo S O,0.199,0.327,77,34.9,2.0,3.0,9.4,7.2,False
Li Ga Mo S O,0.199,0.327,77,34.9,2.0,3.0,9.4,7.2,False
Li Zn Sn Br O,0.151,0.383,77,44.4,6.0,2.0,6.7,2.8,True
K Li Al Cl O,0.349,0.271,77,32.5,125.2,2.0,14.5,16.8,True
Li Sn Mo S Cl,0.165,0.359,77,1.8,7.1,2.0,8.6,6.4,False
Li Y P N O,0.263,0.282,77,4.8,89.1,2.0,13.1,15.0,False
Li Mg Zr S F,0.152,0.381,77,42.9,0.0,2.0,11.5,10.0,False
Li Ti Si Br F,0.164,0.365,77,52.9,57.7,0.0,9.4,8.0,False
Li Ta Al S F,0.234,0.303,77,42.9,21.5,2.0,10.2,8.4,False
Sr Li Se Cl O,0.182,0.335,77,46.0,,,12.4,16.4,True
Li Ca Sb Se S,0.136,0.443,77,8.2,37.3,1.0,12.6,15.6,False
Cs Li Te S O,0.322,0.278,77,64.3,,,13.4,17.4,True
Li Y B S N,0.208,0.319,77,28.8,153.7,0.0,13.5,15.0,True
Li V Se Cl F,0.14,0.422,77,54.6,,,9.3,9.6,True
Li Y In Se O,0.216,0.309,77,46.0,10.6,0.0,12.9,14.2,False
Ba Sr Li S F,0.247,0.291,77,42.9,12.9,0.0,26.6,28.6,False
Li Si Mo I O,0.217,0.307,77,63.5,43.5,2.0,7.9,5.8,False
Li Si Ge Se N,0.122,0.489,77,39.4,42.6,0.0,7.4,2.4,False
Ba Li Si Se F,0.203,0.322,77,54.6,175.9,2.0,12.8,14.8,False
Li V Si S F,0.139,0.425,77,42.9,44.0,1.0,8.6,6.6,False
Li Ti W Cl O,0.391,0.268,77,32.5,11.1,2.0,14.4,12.8,False
K Li Te S Br,0.167,0.354,77,21.8,,,12.8,16.8,False
Li Si Sb S I,0.124,0.486,77,21.2,53.7,1.0,4.9,1.4,False
Li La P S O,0.332,0.273,77,34.9,113.1,2.0,10.6,11.6,False
Li Si Sb I O,0.156,0.378,77,63.5,53.7,1.0,5.0,1.6,False
Li In Te P F,0.157,0.377,77,73.9,70.9,2.0,6.4,2.6,False
Li Ca Mg N O,0.238,0.301,77,4.8,32.6,0.0,16.2,18.0,False
Li Zn Sn O F,0.184,0.335,78,5.9,6.0,2.0,7.1,3.2,True
Li V Ge S Br,0.107,0.551,78,7.1,1.0,1.0,8.4,6.4,False
Li Ti Se N Cl,0.18,0.338,78,39.4,,,8.9,7.8,False
Li V Te S Cl,0.133,0.476,78,24.0,,,8.4,8.2,False
Li Sb Te P Br,0.118,0.535,78,13.7,50.9,2.0,6.3,2.8,False
Li Si Te P O,0.143,0.399,78,64.3,1.9,1.0,5.7,1.8,False
Li Nb Zn O F,0.248,0.292,78,5.9,7.3,3.0,11.0,9.2,False
K Li P S Br,0.169,0.346,78,7.1,176.4,4.0,12.8,15.8,False
Li Nb P S O,0.214,0.318,78,34.9,49.1,0.0,8.5,7.4,False
Li Ti Te S Cl,0.146,0.396,78,24.0,,,8.7,8.8,False
Li Sb P Se Br,0.117,0.544,78,1.1,50.9,2.0,6.1,2.6,False
Li In B S N,0.217,0.309,78,28.8,129.3,0.0,7.6,3.2,True
Li Ca Sc S Cl,0.154,0.38,78,1.8,28.8,1.0,19.6,21.4,False
Ba Li Te Se Cl,0.167,0.358,78,24.0,,,12.6,16.4,False
Ba Li Te Se Cl,0.167,0.358,78,24.0,,,12.6,16.4,False
K Li Se S Br,0.165,0.363,78,8.2,,,12.8,17.0,False
Li La Te O F,0.278,0.282,78,73.9,,,10.9,13.0,True
K Li Sn S N,0.262,0.288,78,28.8,83.1,3.0,15.2,17.4,True
Sr Li Mg N O,0.263,0.286,78,4.8,53.5,0.0,16.3,18.2,False
Sr Li Mg N O,0.263,0.286,78,4.8,53.5,0.0,16.3,18.2,False
Li In S Br N,0.21,0.325,78,37.9,,,5.6,1.6,True
Li Zn In Se Cl,0.152,0.387,78,10.2,6.8,1.0,7.6,3.6,False
Li Nb Si N O,0.308,0.281,78,4.8,51.9,1.0,10.1,8.2,False
Ba Li V I O,0.247,0.293,78,63.5,91.6,3.0,18.3,20.4,False
Li V Ge Se O,0.119,0.51,78,46.0,1.0,1.0,8.8,6.8,False
Li Ca Zr Se O,0.19,0.33,78,46.0,32.6,2.0,19.6,21.4,False
Ba Li Sn Te O,0.236,0.307,78,64.3,79.5,2.0,13.2,15.2,False
Li Si B Se Br,0.122,0.492,78,1.1,31.7,1.0,5.3,0.8,False
K Li La Te O,0.391,0.27,78,64.3,29.7,2.0,24.0,26.2,False
Li Ca Si Se Br,0.125,0.487,78,1.1,111.1,2.0,12.2,14.0,False
Li Ca Nb Se O,0.243,0.302,78,46.0,39.0,3.0,18.8,20.6,False
Ba Li V I O,0.247,0.293,78,63.5,91.6,3.0,18.3,20.4,False
Sr Li Ge Cl O,0.176,0.339,78,32.5,71.4,2.0,12.6,14.6,True
K Li Y S N,0.351,0.275,78,28.8,46.2,2.0,27.6,29.8,False
Li Sb P I F,0.134,0.461,78,73.1,50.9,2.0,6.6,3.4,False
Li Si Sb Se Cl,0.136,0.454,78,10.2,53.7,1.0,5.5,2.0,False
Li Sn Se S O,0.137,0.444,78,46.0,,,5.5,2.6,True
Li Mg Si Te F,0.139,0.427,78,73.9,59.3,2.0,7.1,3.2,False
Ba Li Zr Se O,0.246,0.301,78,46.0,73.3,2.0,19.8,21.8,False
Li Si Te N F,0.175,0.343,78,73.9,,,5.9,1.8,True
Li Sn Te Cl F,0.151,0.388,78,73.9,,,6.4,3.6,True
Ba Li Al Te N,0.244,0.303,79,56.8,120.7,1.0,16.0,18.0,False
Ba Li Mg Cl O,0.255,0.292,79,32.5,73.3,0.0,14.9,17.0,False
K Li Sn N Cl,0.248,0.298,79,26.5,83.1,3.0,15.0,17.2,False
Li Zr Mo O F,0.285,0.283,79,5.9,11.0,2.0,15.0,13.6,False
Li Ti B N F,0.221,0.311,79,10.9,107.7,1.0,10.5,9.0,True
Li Zr B I O,0.191,0.33,79,63.5,109.8,1.0,8.6,7.4,False
K Li Ta O F,0.375,0.275,79,5.9,85.4,4.0,19.9,22.2,False
K Li Sc N O,0.363,0.276,79,4.8,71.8,2.0,22.0,24.2,True
Cs Li V Cl O,0.329,0.281,79,32.5,132.8,4.0,19.7,22.0,True
Cs Li Sb S O,0.317,0.282,79,34.9,118.1,2.0,13.4,16.8,True
Li Sc Al S N,0.184,0.338,79,28.8,31.1,0.0,12.2,10.8,False
K Li Zr I O,0.264,0.288,79,63.5,76.7,3.0,19.9,22.2,False
Li Nb Te S O,0.212,0.327,79,64.3,,,8.5,8.4,False
Li Ti Br N F,0.214,0.326,79,52.9,,,9.4,8.6,True
Sr Li Ca S N,0.217,0.318,79,28.8,15.8,0.0,27.9,29.8,False
K Sr Li Br O,0.278,0.285,79,44.4,15.2,1.0,26.9,29.2,False
Li Ca Ti Te O,0.219,0.317,79,64.3,33.9,2.0,19.4,21.2,False
Li Ti Sb O F,0.22,0.313,79,5.9,2.6,1.0,9.0,8.6,False
Li Ta B O F,0.271,0.286,79,5.9,100.0,2.0,8.9,7.4,True
Li Ti Br N F,0.214,0.326,79,52.9,,,9.4,8.6,True
Li Y Sn Cl O,0.238,0.308,79,32.5,25.3,1.0,12.2,13.6,False
Li Ca Gd S O,0.436,0.27,79,34.9,6.0,1.0,24.0,25.8,False
Li Ga Te P I,0.107,0.573,79,0.5,38.2,2.0,5.9,2.2,False
Li V Te Cl O,0.165,0.368,79,64.3,,,8.5,8.4,True
Li Zn Se I Cl,0.135,0.468,79,23.4,,,6.7,5.0,False
Li Si B Se N,0.15,0.396,79,39.4,31.7,1.0,7.3,2.8,True
Li Al In Te Se,0.159,0.382,79,12.5,39.3,0.0,7.8,3.4,False
Li In Te Se N,0.154,0.387,79,56.8,,,6.6,2.6,True
Li Si Ge Te Br,0.116,0.556,79,13.7,42.6,0.0,5.6,0.6,False
Li Al V Te O,0.172,0.346,79,64.3,15.2,2.0,10.2,8.2,False
Li Zr Al Se F,0.169,0.36,79,54.6,27.4,1.0,10.7,9.2,False
Li Ca Zn Te Cl,0.147,0.399,79,24.0,29.5,0.0,14.8,16.6,False
Li Sn B Te S,0.126,0.492,79,21.8,102.4,1.0,6.1,1.4,False
Li Ti Ga Se S,0.122,0.531,79,8.2,12.1,1.0,10.3,8.6,False
Li Zr In Se S,0.139,0.429,79,8.2,9.3,1.0,10.3,8.8,False
Li Zr Se Br Cl,0.137,0.462,79,10.2,,,9.4,10.2,False
Li Ga S N Cl,0.178,0.34,79,28.8,,,5.9,2.0,True
Li V Si S I,0.124,0.509,79,21.2,44.0,1.0,8.0,6.0,False
Li Ca Sb Se Cl,0.143,0.404,79,10.2,37.3,1.0,12.4,15.4,False
Ba Li Zn Se S,0.161,0.381,79,8.2,69.3,0.0,15.0,17.0,False
Li Zn Te P Br,0.121,0.539,79,13.7,60.0,3.0,6.6,3.4,False
Li Ca Mg Se Cl,0.145,0.4,79,10.2,32.6,0.0,14.8,16.6,False
Li Mg Sn Se Br,0.109,0.557,79,1.1,3.6,2.0,6.9,3.0,False
Li Zn Te O F,0.176,0.345,79,73.9,,,6.7,4.6,True
Li Ti Ge I O,0.155,0.384,79,63.5,10.6,0.0,8.6,7.0,False
Li Mg In Te N,0.167,0.362,79,56.8,9.3,1.0,9.7,5.8,False
Li La Te S O,0.33,0.282,80,64.3,,,10.6,12.6,True
Sr Li Mg Br O,0.178,0.347,80,44.4,53.5,0.0,14.6,16.6,False
Li V P Br N,0.139,0.44,80,37.9,41.4,0.0,9.6,8.2,False
Li Ga Sb Te S,0.109,0.565,80,21.8,9.2,0.0,6.5,3.2,False
Li Zr Mo S O,0.249,0.301,80,34.9,11.0,2.0,14.7,13.2,False
Sr Li B S F,0.17,0.369,80,42.9,222.0,1.0,12.5,14.6,True
Li Ta B N O,0.294,0.284,80,4.8,100.0,2.0,10.2,8.6,True
Li Ti Si N F,0.222,0.315,80,10.9,57.7,0.0,10.5,8.8,False
Li Sc Br O F,0.189,0.338,80,52.9,,,9.9,11.0,True
Li Ca Mg S F,0.181,0.341,80,42.9,32.6,0.0,14.8,16.6,False
Cs Li W N O,0.511,0.273,80,4.8,136.1,5.0,20.6,22.8,False
Li Mg Zn Se S,0.126,0.495,80,8.2,2.3,0.0,9.1,5.2,False
Li Gd P Cl O,0.403,0.276,80,32.5,95.5,2.0,11.3,13.0,False
K Li Ti S Br,0.214,0.327,80,7.1,78.5,3.0,19.6,21.8,False
Li Y In I O,0.261,0.292,80,63.5,10.6,0.0,12.4,13.8,False
Li Si Sn Br N,0.144,0.408,80,37.9,53.7,0.0,6.9,2.0,False
Li Ti Sn S Cl,0.155,0.387,80,1.8,2.6,0.0,9.1,7.4,False
Li Ca V Se O,0.169,0.37,80,46.0,46.6,3.0,18.6,20.4,False
Li Ca Si Se N,0.172,0.348,80,39.4,111.1,2.0,14.2,16.0,False
Li Mo S N Cl,0.252,0.298,80,28.8,,,8.2,6.6,True
Li Al Si Cl F,0.195,0.33,80,40.3,25.0,1.0,6.9,2.8,True
Li Ca V N Cl,0.193,0.331,80,26.5,46.6,3.0,20.0,21.8,False
Li Zr Se Cl F,0.162,0.382,80,54.6,,,9.8,10.6,True
Li Ca Te Se F,0.147,0.4,80,73.9,,,12.6,16.2,False
Li La P Br O,0.245,0.304,80,44.4,113.1,2.0,10.5,11.6,False
Li Zr Si N O,0.256,0.297,80,4.8,59.3,0.0,10.5,9.0,False
Li In P Se F,0.156,0.385,80,54.6,70.9,2.0,6.2,2.4,False
Li La Sb O F,0.272,0.286,80,5.9,41.2,0.0,10.9,12.4,False
Li Mg Zr S I,0.137,0.467,80,21.2,0.0,2.0,10.9,9.4,False
Li P Se I F,0.138,0.466,80,73.1,,,6.6,4.2,True
Li Si Se Br N,0.143,0.411,80,39.4,,,5.3,1.2,False
Cs Li Al S N,0.362,0.281,80,28.8,168.1,2.0,16.6,18.8,False
Li V Se Br O,0.14,0.433,80,46.0,,,8.3,8.4,True
Li Ga P Se F,0.136,0.494,80,54.6,38.2,2.0,6.3,2.6,False
Li Ca Ti Se S,0.15,0.398,80,8.2,33.9,2.0,19.4,21.2,False
Li Ca Te Se F,0.147,0.4,80,73.9,,,12.6,16.2,False
Li Ca Si Se N,0.172,0.348,80,39.4,111.1,2.0,14.2,16.0,False
Cs Li Al N O,0.408,0.275,80,4.8,168.1,2.0,16.4,18.6,True
Li Mg Si Te I,0.124,0.511,80,0.5,59.3,2.0,6.5,2.6,False
Li Mg In Se N,0.165,0.371,80,39.4,9.3,1.0,9.5,5.6,False
K Li Ta S O,0.374,0.277,80,34.9,85.4,4.0,19.6,21.8,False
Li Ga Sb Se S,0.107,0.574,80,8.2,9.2,0.0,6.3,3.0,False
Ba Li W N Cl,0.368,0.278,80,26.5,94.3,4.0,19.6,21.6,False
Li Zr Zn O F,0.223,0.312,80,5.9,2.3,2.0,11.4,10.0,False
Sr Li N Cl F,0.242,0.309,80,40.3,,,13.2,16.0,True
Li La V Cl O,0.268,0.288,80,32.5,50.7,2.0,16.9,17.2,False
Li Zn Sb S F,0.142,0.434,81,42.9,6.0,1.0,6.6,3.8,True
Li Sc P Br Cl,0.131,0.497,81,9.0,60.9,2.0,9.5,9.2,True
Li Sb Te N Cl,0.167,0.375,81,56.8,,,6.3,2.8,True
Ba Li Si Se N,0.228,0.32,81,39.4,175.9,2.0,14.4,16.4,False
Li Ti Nb S O,0.257,0.299,81,34.9,3.9,1.0,15.1,13.4,False
Sr Li Al Se Cl,0.165,0.383,81,10.2,95.6,1.0,13.9,15.8,False
Li Zn Ga Se Cl,0.132,0.495,81,10.2,15.8,1.0,7.8,3.8,False
Li Sc B N O,0.222,0.321,81,4.8,115.9,0.0,10.6,9.4,True
Li Al W Se O,0.265,0.292,81,46.0,13.6,3.0,9.7,7.4,False
Li Zn Ge Se N,0.125,0.521,81,39.4,14.3,2.0,8.6,4.6,False
Li Zn B Se Br,0.124,0.523,81,1.1,114.6,1.0,6.4,2.6,False
Li P W S Cl,0.195,0.335,81,1.8,39.4,1.0,8.1,6.6,True
Li Al V Te Cl,0.147,0.416,81,24.0,15.2,2.0,10.2,8.2,False
Li In W S N,0.273,0.286,81,28.8,22.6,3.0,10.9,8.6,False
Li Ca Zn Te S,0.14,0.438,81,21.8,29.5,0.0,15.0,16.8,False
Li Si P Se O,0.143,0.419,81,46.0,1.9,1.0,5.5,1.6,False
Li Zr Ge Se S,0.11,0.576,81,8.2,11.7,0.0,9.5,8.0,False
Li V P N O,0.199,0.333,81,4.8,41.4,0.0,9.8,8.4,True
Li Zn Ga Te S,0.112,0.569,81,21.8,15.8,1.0,8.2,4.2,False
Ba Sr Li S N,0.271,0.289,81,28.8,12.9,0.0,28.2,30.2,False
Li Sn Te Br O,0.151,0.399,81,64.3,,,5.4,2.4,True
Cs Sr Li Cl O,0.376,0.278,81,32.5,37.1,1.0,27.5,29.8,False
Li B Se N F,0.173,0.348,81,54.6,,,5.9,1.8,True
Li Al Zn I N,0.191,0.338,81,56.1,30.4,1.0,9.0,5.0,False
Li Sb Se O F,0.172,0.35,81,54.6,,,6.8,4.2,True
Li Nb Sb S O,0.206,0.331,81,34.9,1.2,2.0,8.5,7.8,False
Li Ga Sb Se O,0.139,0.47,81,46.0,9.2,0.0,6.1,2.8,True
Li V Ga Se S,0.109,0.607,81,8.2,2.3,2.0,10.0,8.0,False
Li B S Br N,0.17,0.37,81,37.9,,,5.3,1.2,True
Li Mg Si N F,0.189,0.339,81,10.9,59.3,2.0,8.3,4.4,True
Li V B I O,0.169,0.371,81,63.5,89.6,2.0,8.1,6.4,True
Li Mg Te Se S,0.126,0.511,81,21.8,,,6.9,4.8,False
Cs K Li Se O,0.432,0.275,81,46.0,19.1,0.0,28.6,30.8,False
Ba Li Ti Se Cl,0.215,0.33,81,10.2,75.0,2.0,19.4,21.4,False
K Li B S N,0.262,0.296,81,28.8,270.7,2.0,14.8,17.2,True
Li V Zn Cl O,0.216,0.329,81,32.5,13.2,3.0,10.7,8.8,True
Li Y Te Cl O,0.231,0.318,81,64.3,,,11.8,15.0,True
Li La Al N O,0.351,0.283,81,4.8,73.6,0.0,13.6,13.8,False
K Sr Li S Cl,0.242,0.31,81,1.8,15.2,1.0,27.0,29.2,False
Sr Li P N Cl,0.181,0.342,81,26.5,140.0,3.0,13.7,16.2,True
Li Al Mo O F,0.36,0.282,81,5.9,14.8,3.0,9.9,7.8,True
Li Ti Ge S I,0.129,0.5,81,21.2,10.6,0.0,8.5,6.8,False
Li Mg Si Br N,0.156,0.386,81,37.9,59.3,2.0,7.9,4.0,False
K Li Zr S N,0.311,0.284,81,28.8,76.7,3.0,22.0,24.2,False
Li Si Sb N O,0.237,0.312,81,4.8,53.7,1.0,6.3,2.2,False
Ba Li V N Cl,0.249,0.302,81,26.5,91.6,3.0,20.2,22.2,False
Li Ca V Se S,0.137,0.478,81,8.2,46.6,3.0,18.8,20.6,False
Li Sn B Te O,0.158,0.385,81,64.3,102.4,1.0,5.9,1.2,False
Sr Li S Br F,0.162,0.384,81,52.9,,,13.0,17.4,True
Ba Li Si Br N,0.248,0.308,81,37.9,175.9,2.0,13.8,15.8,False
K Li La Se O,0.39,0.28,82,46.0,29.7,2.0,23.8,26.0,False
Li Ca W S F,0.266,0.299,82,42.9,48.7,4.0,18.0,19.8,True
K Ba Li Te N,0.336,0.284,82,56.8,2.0,1.0,29.4,31.6,False
Li Al Ga N O,0.239,0.312,82,4.8,12.6,0.0,8.8,4.4,False
Li Nb Te O F,0.248,0.309,82,73.9,,,8.8,8.8,False
Li Nb Te O F,0.248,0.309,82,73.9,,,8.8,8.8,False
Li Al B Te N,0.189,0.34,82,56.8,64.6,0.0,8.2,4.0,True
Li Ca B S N,0.181,0.35,82,28.8,178.0,1.0,14.0,16.0,True
Li Si Sn Te Cl,0.141,0.44,82,24.0,53.7,0.0,5.9,1.0,False
Li Si Ge Se Br,0.117,0.576,82,1.1,42.6,0.0,5.4,0.4,False
Li Ge P N Cl,0.152,0.402,82,26.5,40.0,1.0,6.8,2.4,True
Li Ta Si Cl O,0.256,0.302,82,32.5,51.9,1.0,8.7,7.0,False
Li Ca Sn Se F,0.149,0.417,82,54.6,37.3,2.0,13.0,14.8,False
Li Zr Se S Br,0.13,0.501,82,8.2,,,8.7,9.2,False
Li Zr Si S F,0.161,0.386,82,42.9,59.3,0.0,9.1,7.6,False
Li Ta Al S N,0.259,0.301,82,28.8,21.5,2.0,11.8,10.0,False
Li Mg Si Se I,0.124,0.531,82,12.0,59.3,2.0,6.3,2.4,False
Li V Ge S I,0.116,0.577,82,21.2,1.0,1.0,8.2,6.2,False
Ba Li Zn S I,0.188,0.342,82,21.2,69.3,0.0,14.2,16.2,False
K Li Sn S Br,0.169,0.372,82,7.1,83.1,3.0,13.2,15.4,False
Li Nb P Br O,0.214,0.331,82,44.4,49.1,0.0,8.4,7.4,False
Ba Li Mg S F,0.238,0.313,82,42.9,73.3,0.0,15.0,17.0,False
Ba Li B Te S,0.165,0.384,82,21.8,263.4,1.0,13.0,15.2,False
K Li Si S I,0.183,0.344,82,21.2,181.5,3.0,12.6,14.8,False
Li Ti Zn S Cl,0.213,0.332,82,1.8,3.3,2.0,10.9,9.2,False
Li Y Si N O,0.297,0.287,82,4.8,92.6,1.0,13.3,14.6,False
Li Zn Si Se Br,0.123,0.571,82,1.1,63.0,2.0,6.4,2.4,False
Li Ca Zr N F,0.25,0.304,82,10.9,32.6,2.0,21.2,23.0,False
Li Zr Ge Br O,0.156,0.397,82,44.4,11.7,0.0,9.0,7.6,False
K Li Sn S Br,0.169,0.372,82,7.1,83.1,3.0,13.2,15.4,False
Li Zr In S F,0.208,0.334,82,42.9,9.3,1.0,10.1,8.6,False
Li Ta S Cl F,0.228,0.325,82,42.9,,,9.5,10.2,True
Li Mg Zn Se O,0.158,0.388,82,46.0,2.3,0.0,8.9,5.0,False
Li V I O F,0.195,0.338,82,73.1,,,9.1,9.6,True
Li Zr B N Cl,0.193,0.339,82,26.5,109.8,1.0,10.5,9.2,True
Li Si Mo S N,0.232,0.32,82,28.8,43.5,2.0,10.0,7.8,False
Li V B Se O,0.147,0.418,82,46.0,89.6,2.0,8.6,6.8,True
Li Zn P I F,0.14,0.442,82,73.1,60.0,3.0,6.9,4.0,True
Ba Li Ti Te O,0.273,0.289,82,64.3,75.0,2.0,19.6,21.6,False
Li Ti Sn O F,0.231,0.324,82,5.9,2.6,0.0,9.4,7.8,False
Li Y Al S I,0.198,0.337,82,21.2,54.1,0.0,12.7,14.0,False
Cs Li In Te O,0.395,0.279,82,64.3,92.6,2.0,14.8,17.0,False
Li Mg Ga Te Se,0.109,0.609,82,12.5,13.2,1.0,8.5,4.6,False
Li Zn Sb S I,0.127,0.518,82,21.2,6.0,1.0,6.0,3.2,False
Li Ca Mg Te Se,0.137,0.48,82,12.5,32.6,0.0,15.4,17.2,False
Li Gd Ti Cl O,0.444,0.275,82,32.5,26.2,1.0,18.1,19.0,False
Sr Li La Cl O,0.317,0.286,82,32.5,12.6,1.0,23.0,25.0,False
Li Mg Ti Se Cl,0.143,0.422,82,10.2,1.0,2.0,11.3,9.6,False
Li Y P S F,0.173,0.357,82,42.9,89.1,2.0,11.9,14.0,False
Li Y S Br N,0.201,0.335,82,37.9,,,11.5,13.4,False
Li Al Sb Te N,0.174,0.353,82,56.8,23.0,0.0,7.6,3.8,False
Li Sn Mo Br O,0.203,0.335,83,44.4,7.1,2.0,8.5,6.4,False
Li Ga Sn Te S,0.121,0.576,83,21.8,9.2,1.0,6.9,2.4,False
Li Mg Si Se F,0.14,0.447,83,54.6,59.3,2.0,6.9,3.0,False
Li Mg B S F,0.16,0.39,83,42.9,109.8,1.0,6.7,3.0,True
K Li Ge Te S,0.147,0.434,83,21.8,97.4,3.0,13.8,16.0,False
