phases,magpie,mat2vec,pareto_magpie_mat2vec,anion radii diff %,cation radii diff %,cation charge diff,distance from LSSI,distance from LSGSI,Predicted_Order?
Li Al S Br O,0.081,0.112,7,44.4,,,5.9,3.8,True
Li Sb Br Cl O,0.044,0.195,7,44.4,,,7.2,5.0,True
Li Zr Al Cl O,0.107,0.077,7,32.5,27.4,1.0,10.4,9.0,False
Li Sb P S Br,0.018,0.403,7,7.1,50.9,2.0,5.9,2.4,False
Ba Li Si O F,0.181,0.05,7,5.9,175.9,2.0,12.7,14.8,True
Ba Li Si N O,0.207,0.048,7,4.8,175.9,2.0,14.0,16.0,True
Li Ca Zn Cl O,0.083,0.103,7,32.5,29.5,0.0,14.5,16.4,True
Li Si Ge S O,0.023,0.276,7,34.9,42.6,0.0,5.4,0.4,False
Li Al Sn O F,0.088,0.097,7,5.9,23.0,1.0,6.7,2.4,True
Li Si B Cl O,0.056,0.12,7,32.5,31.7,1.0,5.4,1.0,True
Ba Li P Cl O,0.142,0.061,7,32.5,170.9,3.0,12.5,15.4,True
Li Mg Si S Cl,0.036,0.266,7,1.8,59.3,2.0,6.5,2.6,False
K Li S Cl O,0.175,0.054,7,34.9,,,13.1,17.6,True
Li Ca S O F,0.12,0.065,7,42.9,,,12.5,16.6,False
Li Ca Al S O,0.092,0.09,7,34.9,68.9,1.0,13.6,15.4,False
Li Si Br Cl O,0.048,0.137,7,44.4,,,6.0,3.8,True
Li Al Te N O,0.114,0.075,7,64.3,,,6.4,2.6,True
Li Ti Al S O,0.095,0.086,7,34.9,26.2,1.0,10.1,8.4,False
Li P Br Cl O,0.047,0.163,7,44.4,,,6.8,4.6,True
Li Al P Se O,0.046,0.188,7,46.0,22.7,2.0,6.2,2.6,False
Li Zn B S Cl,0.029,0.284,8,1.8,114.6,1.0,6.4,2.6,True
Li Zn Br Cl O,0.05,0.174,8,44.4,,,7.1,5.6,True
Li Ti S Cl O,0.088,0.11,8,34.9,,,8.8,9.4,False
Li Si S Cl F,0.047,0.178,8,42.9,,,6.2,4.0,True
Li In Si N O,0.129,0.067,8,4.8,74.1,1.0,7.4,2.8,False
Li Sb N Cl O,0.101,0.104,8,32.5,,,6.0,2.6,True
Li Ca S N O,0.148,0.063,8,34.9,,,12.2,14.6,True
Li Si S Br O,0.046,0.191,8,44.4,,,5.2,2.8,True
Li Zn N Cl O,0.107,0.081,8,32.5,,,6.5,3.2,True
Li In Sb S O,0.052,0.168,8,34.9,13.3,0.0,5.8,2.4,True
Li Sb S Cl F,0.042,0.236,8,42.9,,,7.4,5.2,True
Li Sb P Br Cl,0.021,0.378,8,9.0,50.9,2.0,6.6,3.4,False
Li B Sb S Cl,0.022,0.305,8,1.8,102.4,0.0,5.5,2.0,False
Li Mg S Cl O,0.064,0.121,8,34.9,,,6.6,5.0,True
Ba Li Ti Cl O,0.193,0.06,8,32.5,75.0,2.0,19.3,21.4,False
Li B P Cl O,0.054,0.146,8,32.5,34.1,2.0,5.6,1.8,True
Li Al Sb N O,0.108,0.079,8,4.8,23.0,0.0,7.0,3.2,True
K Ba Li S O,0.27,0.059,8,34.9,2.0,1.0,27.2,29.4,False
Li In S Cl O,0.125,0.069,8,34.9,,,5.9,3.6,True
Li Ti Cl O F,0.13,0.071,9,40.3,,,9.8,10.6,True
Li Ca Sb Cl O,0.076,0.126,9,32.5,37.3,1.0,12.3,15.4,False
Li Mg Si Cl O,0.065,0.138,9,32.5,59.3,2.0,6.6,2.8,False
Li Al Se N O,0.113,0.085,9,46.0,,,6.2,2.4,True
Li Y Al Cl O,0.154,0.067,9,32.5,54.1,0.0,13.2,14.6,True
Li B Te S Cl,0.029,0.301,9,24.0,,,5.5,2.6,False
Li Al Si S F,0.054,0.154,9,42.9,25.0,1.0,6.2,1.8,False
Li B S O F,0.097,0.12,9,42.9,,,5.8,3.4,True
Li Zn In S O,0.059,0.146,9,34.9,6.8,1.0,7.4,3.4,False
Li Al Te P O,0.048,0.179,9,64.3,22.7,2.0,6.4,2.8,False
Li Sn S Br Cl,0.023,0.335,9,9.0,,,6.0,3.6,False
Li Ca Si S O,0.078,0.121,9,34.9,111.1,2.0,12.2,14.0,False
Li B P S Cl,0.032,0.293,9,1.8,34.1,2.0,5.5,1.6,True
Li P S Br Cl,0.024,0.308,9,9.0,,,6.6,4.4,False
Li Sb S Br O,0.042,0.248,9,44.4,,,6.4,4.0,False
Li B Sb Cl O,0.052,0.179,10,32.5,102.4,0.0,5.6,2.2,True
Li Si B S O,0.054,0.174,10,34.9,31.7,1.0,5.3,0.8,False
Li Si P S Br,0.023,0.35,10,7.1,1.9,1.0,5.1,1.2,False
Li Ge Se S O,0.024,0.336,10,46.0,,,5.4,2.4,True
Li Al Sn N O,0.117,0.095,10,4.8,23.0,1.0,8.0,3.6,False
Li Mg Zn S Cl,0.039,0.301,10,1.8,2.3,0.0,8.7,4.8,False
Li In Si Cl O,0.126,0.086,10,32.5,74.1,1.0,5.9,1.4,True
Li Si P Br Cl,0.025,0.323,10,9.0,1.9,1.0,5.8,2.2,False
Li Sn Cl O F,0.08,0.122,10,40.3,,,6.6,4.2,True
Li Zn B Cl O,0.058,0.157,10,32.5,114.6,1.0,6.5,2.8,True
Li Zn Ge S O,0.026,0.31,10,34.9,14.3,2.0,6.6,2.6,True
Li Zn S Cl F,0.049,0.214,10,42.9,,,7.3,5.8,True
Ba Li Zn Cl O,0.145,0.072,10,32.5,69.3,0.0,14.7,16.8,False
Li Ca Sb S Cl,0.048,0.255,10,1.8,37.3,1.0,12.2,15.2,False
Li In P S O,0.062,0.155,10,34.9,70.9,2.0,5.8,2.0,False
Li Al Sb S F,0.05,0.213,10,42.9,23.0,0.0,6.2,3.0,True
Li Ti N Cl O,0.158,0.069,10,32.5,,,8.8,7.8,True
Li Sn N Cl O,0.109,0.12,10,32.5,,,5.6,1.4,True
Li Mg Al Te S,0.046,0.295,10,21.8,27.4,1.0,8.5,4.6,False
Li Ca Se Cl O,0.081,0.132,11,46.0,,,12.3,16.2,False
Li P Se S Br,0.024,0.408,11,8.2,,,5.9,3.2,False
Li Ca Te Cl O,0.082,0.122,11,64.3,,,12.3,16.0,True
Li In Se S O,0.057,0.174,11,46.0,,,5.8,3.2,True
Li In P N O,0.128,0.094,11,4.8,70.9,2.0,7.2,3.2,True
K Li S N O,0.28,0.069,11,34.9,,,13.0,15.8,True
Li Ca Si N O,0.149,0.079,11,4.8,111.1,2.0,13.8,15.6,False
Li Te P S Br,0.025,0.4,11,21.8,,,5.9,3.0,False
Li Ca P O F,0.12,0.108,11,5.9,107.3,3.0,12.5,15.2,False
Li Zn S Br O,0.049,0.226,11,44.4,,,6.3,4.6,True
Li Al B S O,0.113,0.12,11,34.9,64.6,0.0,6.0,1.8,True
Li B Se S Cl,0.028,0.311,11,10.2,,,5.5,2.8,True
