Phase fields,     scores,     Norm. scores,
As Cu Ge Se     ,  2.634,      0.0,
As Ga Se Zn     ,   2.78,    0.013,
As Cd Ga Se     ,  3.011,    0.033,
As Cu In Se     ,  3.297,    0.057,
As In Se Zn     ,   3.35,    0.062,
As Ga Te Zn     ,  3.425,    0.068,
As As Cd Cl     ,  3.436,    0.069,
Cu Ga Se Te     ,  3.452,    0.071,
Ag Ga Se Te     ,  3.538,    0.078,
As Cd In Se     ,  3.545,    0.079,
Br Cu In Se     ,  3.569,    0.081,
Cu Ge I Se      ,  3.585,    0.082,
As Cd Ga Te     ,  3.615,    0.085,
As Ge P Zn      ,   3.62,    0.085,
Cu Ge P Se      ,  3.646,    0.088,
As Ga S Zn      ,  3.648,    0.088,
Cl Ga Sb Se     ,  3.648,    0.088,
Ag Br In Se     ,  3.652,    0.088,
Ag Ge I Se      ,  3.668,    0.089,
Cu Ga S Se      ,  3.673,     0.09,
Ge Sb Se Te     ,  3.734,    0.095,
Ga P Se Zn      ,  3.752,    0.097,
Ag Ga S Se      ,  3.755,    0.097,
Ag Br Se Te     ,  3.766,    0.098,
As As Cd I      ,  3.774,    0.099,
Br Cd Sb Se     ,   3.78,    0.099,
Al Br Sb Se     ,  3.784,    0.099,
Br Cu Ge S      ,  3.793,      0.1,
As Cd Ge P      ,  3.801,    0.101,
As Br Cu S      ,  3.824,    0.103,
As Cd Ga S      ,  3.827,    0.103,
Cd Ge S Se      ,  3.842,    0.104,
Cd Se Te Zn     ,  3.855,    0.106,
As Cu In Te     ,  3.856,    0.106,
Ag Cl In Se     ,  3.867,    0.107,
Ag Br Ge S      ,  3.872,    0.107,
Cd Ga S Se      ,  3.897,    0.109,
Br In Sb Se     ,  3.898,    0.109,
Br In In Se     ,  3.917,    0.111,
Br Cu P Se      ,  3.923,    0.112,
Cu In Se Te     ,  3.926,    0.112,
As Cr Cu Se     ,  3.953,    0.114,
Br Ni O Se      ,   3.97,    0.116,
Ag Cl Se Te     ,  3.975,    0.116,
Ag Sb Se Te     ,  3.983,    0.117,
Al Cl Sb Se     ,  3.991,    0.117,
Ag In Se Te     ,  4.002,    0.118,
Al Cu S Se      ,  4.014,    0.119,
Cl Ga P Se      ,  4.014,    0.119,
As Cd P Zn      ,  4.016,     0.12,
As Cl Cu O      ,  4.023,     0.12,
As Cl Cu S      ,  4.029,    0.121,
As Br Cd O      ,  4.034,    0.121,
Ge Se Sn Te     ,  4.045,    0.122,
Ga Ga I Te      ,  4.049,    0.122,
Cd S Se Zn      ,  4.054,    0.123,
Al S Se Zn      ,  4.058,    0.123,
As Br Cd P      ,  4.068,    0.124,
As Cd In Te     ,   4.07,    0.124,
Ag Cl Ge S      ,  4.075,    0.125,
Cl Cu O Se      ,   4.09,    0.126,
Br Cu In Te     ,  4.091,    0.126,
Cu I In Se      ,  4.096,    0.126,
Cu S Sb Se      ,  4.104,    0.127,
Br Nb Se Se     ,  4.105,    0.127,
Cu In S Se      ,  4.122,    0.129,
Cl Cu P Se      ,  4.124,    0.129,
Cl O Se Zn      ,  4.133,     0.13,
As Br F Se      ,  4.133,     0.13,
Ag Br Cl Te     ,  4.138,     0.13,
As Br In O      ,  4.145,    0.131,
Cl Ga Sb Te     ,  4.161,    0.132,
As Cd Cr Se     ,  4.162,    0.132,
Ag Br In Te     ,  4.164,    0.132,
In S Se Zn      ,  4.165,    0.132,
Cl Ni O Se      ,  4.168,    0.133,
Ag I In Se      ,  4.169,    0.133,
Ag S Sb Se      ,  4.177,    0.133,
Br Cr Cu Se     ,  4.183,    0.134,
Cu I Se Si      ,  4.189,    0.135,
Ag In S Se      ,  4.194,    0.135,
In Ni S Se      ,  4.199,    0.135,
As P Si Zn      ,   4.22,    0.137,
In Sb Se Te     ,  4.227,    0.138,
As Cd Cl O      ,  4.229,    0.138,
Se Sn Te Zn     ,  4.248,     0.14,
Br Cu O Sb      ,  4.257,     0.14,
As Cd In S      ,   4.26,    0.141,
Ag Br Te Te     ,  4.265,    0.141,
Cu Se Te V      ,  4.277,    0.142,
Cl Cu In Te     ,  4.284,    0.143,
Cu Cu S Te      ,  4.288,    0.143,
Cd Cl O Se      ,  4.292,    0.143,
Cu Ge I S       ,  4.293,    0.144,
Ag S Se Te      ,  4.294,    0.144,
As Cu I S       ,   4.32,    0.146,
Cd In S Se      ,  4.323,    0.146,
As Cl F Se      ,  4.324,    0.146,
Al Cl P Se      ,  4.328,    0.147,
As Cl In O      ,  4.335,    0.147,
Cu Ge P S       ,  4.344,    0.148,
Cl Ga S Sb      ,  4.346,    0.148,
Ag Br In S      ,   4.35,    0.148,
As As Br Hg     ,   4.35,    0.148,
Ag Cl In Te     ,  4.354,    0.149,
Ga S Se V       ,  4.356,    0.149,
Ag Ge I S       ,  4.363,     0.15,
Cu Rh S Se      ,  4.366,     0.15,
Br Cu S Si      ,  4.369,     0.15,
Br Cu O Te      ,  4.372,     0.15,
Br Cu S Te      ,  4.377,    0.151,
Cl O Sb Se      ,   4.38,    0.151,
Ag As I O       ,  4.384,    0.151,
Cl In O Se      ,  4.397,    0.152,
Cd Se Sn Te     ,  4.403,    0.153,
Cu I P Se       ,  4.409,    0.153,
Cd S Se Si      ,  4.411,    0.154,
As Br Hg Se     ,  4.412,    0.154,
Br O Te Zn      ,  4.413,    0.154,
Ag Br I Te      ,  4.422,    0.155,
Ag Al Cl O      ,  4.428,    0.155,
Cu P S Se       ,  4.432,    0.156,
Ga P S Zn       ,  4.434,    0.156,
Cl Cu O Sb      ,  4.442,    0.156,
Br Ni O Te      ,  4.445,    0.157,
Ag I O Se       ,  4.445,    0.157,
Br Cd S Sb      ,  4.457,    0.158,
Cu S Se V       ,  4.457,    0.158,
Cl Cu In O      ,  4.459,    0.158,
As Br Cu Hg     ,  4.474,    0.159,
Se Te Ti Ti     ,  4.475,    0.159,
Cu Nb Se Te     ,  4.481,     0.16,
Cl O Sb Zn      ,  4.482,     0.16,
Cr Cu Se Te     ,  4.491,    0.161,
Ag O P Se       ,  4.495,    0.161,
Ni P S Se       ,  4.504,    0.162,
Br Cl I Sb      ,  4.511,    0.162,
As O Y Zn       ,  4.519,    0.163,
Cr Se Te Zn     ,   4.53,    0.164,
Ag Cl In S      ,  4.531,    0.164,
Ce O Se Se      ,  4.532,    0.164,
Br Cu Hg Se     ,  4.534,    0.164,
Br Cl S Sb      ,  4.534,    0.164,
As Cd I P       ,  4.538,    0.165,
Br F Sb Se      ,  4.542,    0.165,
Cl Cu O Te      ,  4.553,    0.166,
As Cl Ga Hg     ,  4.554,    0.166,
Al Cl Nb Se     ,  4.555,    0.166,
Br In S Sb      ,  4.558,    0.166,
Cl Cu S Te      ,  4.558,    0.166,
Cu I In Te      ,  4.559,    0.166,
Br Hg Se Zn     ,  4.573,    0.168,
Br Cu P S       ,   4.58,    0.168,
O Pr Se Se      ,   4.58,    0.168,
Cl O Te Zn      ,  4.592,    0.169,
As Br F Te      ,  4.592,    0.169,
As F I Se       ,  4.597,     0.17,
Ag Br I S       ,  4.597,     0.17,
As Ce Ni O      ,  4.604,     0.17,
Ag Br S Sn      ,  4.604,     0.17,
Nd O Se Se      ,  4.609,    0.171,
B O Se Zn       ,  4.609,    0.171,
Ag Cl O Si      ,   4.61,    0.171,
Ag Cl O Te      ,  4.619,    0.172,
Cl Ni O Te      ,  4.623,    0.172,
Ag Cl S Te      ,  4.624,    0.172,
Ag I In Te      ,  4.624,    0.172,
Cd Cl O Sb      ,   4.63,    0.173,
Ga La O Se      ,   4.63,    0.173,
Ce O Se Zn      ,  4.631,    0.173,
Cd Cl S Sb      ,  4.635,    0.173,
I Sb Se Sn      ,  4.638,    0.173,
Cl O Se Sn      ,  4.649,    0.174,
As Nd O Zn      ,  4.649,    0.174,
Al Al I Te      ,  4.651,    0.174,
Cu Nb S Se      ,  4.653,    0.175,
I S Sb Se       ,  4.654,    0.175,
As Br Cd Hg     ,  4.659,    0.175,
Br In O Te      ,   4.66,    0.175,
Cr Cu S Se      ,  4.663,    0.176,
As Br O Pr      ,  4.665,    0.176,
Al Cd O Te      ,  4.665,    0.176,
La O Se Se      ,  4.666,    0.176,
Cd Cr Se Te     ,  4.676,    0.177,
In S Se Sn      ,  4.677,    0.177,
O Se Se Sm      ,  4.689,    0.178,
As Cu O Sm      ,   4.69,    0.178,
Cr S Se Zn      ,  4.701,    0.179,
As La O Zn      ,  4.705,    0.179,
Cl Cu Hg Se     ,  4.708,    0.179,
Br Ca Cu O      ,   4.71,     0.18,
Cu I S Sb       ,  4.713,     0.18,
B Br Cu O       ,  4.714,     0.18,
Ag As Cl Hg     ,  4.715,     0.18,
As Cd Ce O      ,  4.717,     0.18,
Cu La O Se      ,  4.725,    0.181,
Ga Mo Se Te     ,  4.726,    0.181,
Al I Sb Te      ,  4.729,    0.181,
Cl In S Sb      ,  4.731,    0.181,
Cd Cl O Te      ,  4.736,    0.182,
As La Ni O      ,  4.736,    0.182,
Ag S Te Te      ,  4.737,    0.182,
Ca Cl Ge O      ,  4.741,    0.182,
Bi Br Cu Se     ,  4.743,    0.182,
Cl In In S      ,  4.747,    0.183,
Cu O Se Sm      ,  4.747,    0.183,
As Br La O      ,   4.75,    0.183,
B Br O Zn       ,  4.751,    0.183,
Cl Cu P S       ,  4.752,    0.183,
As Br Hg In     ,  4.756,    0.184,
As Br F O       ,  4.756,    0.184,
Br Cd O P       ,  4.756,    0.184,
As Br F S       ,  4.761,    0.184,
La O Se Zn      ,  4.763,    0.184,
As Cl F Te      ,  4.764,    0.184,
As Ca Cl O      ,  4.765,    0.184,
Cl Cu O V       ,  4.771,    0.185,
Ag Cl Mo Se     ,  4.771,    0.185,
Cd Ce O Se      ,  4.774,    0.185,
Ag I S Sb       ,  4.777,    0.185,
Br Cd O V       ,   4.78,    0.186,
B Br Ni O       ,  4.781,    0.186,
Br Cd P P       ,  4.786,    0.186,
As Ce Cl O      ,   4.79,    0.186,
Cl O Se Y       ,  4.795,    0.187,
F Ge Mg O       ,  4.798,    0.187,
Ag Bi Br Se     ,  4.806,    0.188,
Cu I S Si       ,  4.809,    0.188,
As I Li Se      ,  4.811,    0.188,
Cl O Sb Te      ,  4.815,    0.189,
Ag Cl P S       ,  4.816,    0.189,
Cu I S Te       ,  4.817,    0.189,
Bi Cl Ga Se     ,  4.818,    0.189,
Cu Gd O Se      ,  4.821,    0.189,
Cl In O Te      ,  4.831,     0.19,
Al F Ge O       ,  4.831,     0.19,
Al Cd O S       ,  4.832,     0.19,
As Gd Ni O      ,  4.832,     0.19,
As Cl O Pr      ,  4.835,     0.19,
I In In Te      ,  4.836,     0.19,
As Cl Pr S      ,   4.84,    0.191,
Cd Cr S Se      ,  4.842,    0.191,
In S Sb Te      ,  4.842,    0.191,
F Ga Mg O       ,  4.843,    0.191,
As Hg I Se      ,  4.848,    0.192,
As Cd F O       ,  4.852,    0.192,
Cl Cu O Y       ,  4.852,    0.192,
Cu Dy O Se      ,  4.856,    0.192,
Ge Pb Se Te     ,  4.858,    0.192,
As Br Na O      ,  4.858,    0.192,
As Br Hg Ti     ,   4.86,    0.193,
S Sn Te Zn      ,   4.86,    0.193,
Br O Te Zr      ,  4.861,    0.193,
As Cl Nd O      ,  4.863,    0.193,
Ag I O Te       ,  4.875,    0.194,
Cd Cl I O       ,  4.878,    0.194,
Ca Cl Cu O      ,  4.878,    0.194,
Ag S Sn Te      ,  4.886,    0.195,
O S Se Zr       ,  4.887,    0.195,
Al Cl O Sn      ,  4.888,    0.195,
Ag O S Si       ,  4.888,    0.195,
Cd I S Sb       ,   4.89,    0.195,
Ga Mo S Se      ,   4.89,    0.195,
Br C Se Se      ,  4.891,    0.195,
Cl Mg O P       ,  4.894,    0.195,
Ag O S Te       ,  4.896,    0.196,
As Ni P Sr      ,  4.897,    0.196,
Cl F Ge O       ,  4.899,    0.196,
Br Gd O Se      ,  4.901,    0.196,
Al Cl O S       ,  4.903,    0.196,
Bi Cl Cu Se     ,   4.91,    0.197,
As Cu Ho P      ,  4.914,    0.197,
S Se Sn Sn      ,  4.914,    0.197,
As Cl La O      ,  4.917,    0.197,
Cl Nd O Se      ,  4.918,    0.198,
B Cl O Zn       ,  4.918,    0.198,
Bi Br Cd Se     ,  4.918,    0.198,
Ag O P Te       ,   4.92,    0.198,
Hg O Se Se      ,   4.92,    0.198,
As Cu Er P      ,  4.921,    0.198,
As Cl F O       ,  4.923,    0.198,
Cd Cl O P       ,  4.923,    0.198,
Cl Nb P Se      ,  4.927,    0.198,
As Cl F S       ,  4.927,    0.198,
Br O S Ti       ,   4.93,    0.199,
Ag Au S Se      ,  4.932,    0.199,
As Cl O Sm      ,  4.938,    0.199,
Eu O Se Se      ,  4.941,      0.2,
Cd Cl O V       ,  4.946,      0.2,
F O Sc Se       ,  4.946,      0.2,
Ce O Se Si      ,  4.946,      0.2,
Ag S Te V       ,  4.947,      0.2,
B Cl Ni O       ,  4.947,      0.2,
Cl Cl O Sn      ,  4.955,    0.201,
Ga S Se Tl      ,  4.957,    0.201,
Cl Ga N Se      ,  4.957,    0.201,
Br Nb Nb Se     ,  4.967,    0.202,
F I Sb Se       ,  4.968,    0.202,
As Br Li S      ,  4.968,    0.202,
Ce O Se Ti      ,   4.97,    0.202,
Ag Bi Cl Se     ,  4.971,    0.202,
Cu Mo S Se      ,   4.98,    0.203,
Ba Cl Ga Se     ,  4.987,    0.204,
As Br Hg Sn     ,  4.989,    0.204,
I Nb Se Te      ,   4.99,    0.204,
O Pr Se Si      ,   4.99,    0.204,
Br Cu O Sr      ,  4.992,    0.204,
Br Ce S Sb      ,  4.992,    0.204,
Cd Hg Se Te     ,  4.993,    0.204,
Cl O Se Sm      ,  4.993,    0.204,
Cu Eu O Se      ,  4.996,    0.204,
Cd S Sn Te      ,  4.996,    0.204,
As Br Hg O      ,    5.0,    0.205,
Cl O P Sb       ,    5.0,    0.205,
Cu I P S        ,  5.002,    0.205,
As Br Hg S      ,  5.004,    0.205,
Br Hg Se Zr     ,  5.007,    0.205,
Ce Cu O Te      ,  5.009,    0.205,
As Cl Gd O      ,  5.009,    0.205,
Bi Br In Se     ,   5.01,    0.205,
As F I Te       ,  5.013,    0.206,
Nd O Se Si      ,  5.017,    0.206,
Ge Pb S Se      ,  5.018,    0.206,
As Cl Hg Ti     ,  5.023,    0.207,
B Cl Mg O       ,  5.024,    0.207,
Ag Cl Cr O      ,  5.024,    0.207,
Cl O Te Zr      ,  5.025,    0.207,
Cl F Sb Sb      ,  5.025,    0.207,
Ag Mo S Se      ,   5.04,    0.208,
Nd O Se Ti      ,   5.04,    0.208,
As Cl O Sr      ,  5.044,    0.208,
Mo Ni S Se      ,  5.044,    0.208,
Br Cl Cr S      ,  5.046,    0.209,
F Ga O Te       ,  5.049,    0.209,
Ba Ge Se Te     ,   5.05,    0.209,
Al Ca Cl O      ,  5.052,    0.209,
Br Ca O Si      ,  5.056,    0.209,
Ag I O P        ,  5.057,     0.21,
Al Br N Se      ,  5.057,     0.21,
Cu F Se Sm      ,   5.06,     0.21,
Cl Gd O Se      ,  5.063,     0.21,
La O Se Si      ,   5.07,    0.211,
Be Cl I Zr      ,  5.073,    0.211,
As Cd Hg I      ,  5.075,    0.211,
Ag Bi Se Te     ,  5.077,    0.211,
Ce Ga O S       ,  5.077,    0.211,
Ag I O V        ,  5.079,    0.211,
Cu Nd O Te      ,  5.079,    0.211,
Cl O Se Tb      ,  5.081,    0.212,
Al Bi Cl Se     ,  5.083,    0.212,
Br Ce S Si      ,  5.083,    0.212,
Br Ce O Te      ,  5.086,    0.212,
O Se Si Sm      ,   5.09,    0.212,
Cl O S Ti       ,  5.091,    0.213,
La O Se Ti      ,  5.093,    0.213,
Cl Dy O Se      ,  5.096,    0.213,
Cl O Se Sr      ,  5.098,    0.213,
Br P S S        ,  5.099,    0.213,
F Ni O Sb       ,  5.103,    0.214,
Br Cl La O      ,  5.103,    0.214,
O Sb Se Sr      ,  5.104,    0.214,
Au Cl O Se      ,  5.106,    0.214,
Br Cu Mo O      ,  5.107,    0.214,
Ca O P Se       ,  5.111,    0.214,
Br Cu Hg S      ,  5.112,    0.214,
As Cl Hg Zr     ,  5.113,    0.214,
O Se Sm Ti      ,  5.113,    0.214,
Cl O P Ti       ,  5.114,    0.214,
Br La S Sb      ,  5.114,    0.215,
Br F O Sb       ,  5.115,    0.215,
Cl P S Ti       ,  5.118,    0.215,
Br F S Sb       ,   5.12,    0.215,
Cl O Te V       ,   5.12,    0.215,
Br S S V        ,  5.121,    0.215,
Cl F Sb Te      ,  5.123,    0.215,
Ag Nb S Te      ,  5.124,    0.215,
B Cu I O        ,  5.125,    0.215,
Br Pr S Si      ,  5.126,    0.216,
Cl Nb Nb Se     ,  5.127,    0.216,
Cu La O Te      ,  5.131,    0.216,
Cu La S Te      ,  5.136,    0.216,
Cu F O Te       ,  5.137,    0.216,
Br Nb O Te      ,  5.137,    0.216,
Br Cr O Si      ,  5.138,    0.217,
As F Sr Zn      ,  5.145,    0.217,
As Ce O Ru      ,  5.146,    0.217,
Ga Nd O S       ,  5.146,    0.217,
As Cl Hg Sn     ,  5.149,    0.217,
Cl Cu O Sr      ,  5.151,    0.218,
Bi Cu I Se      ,  5.151,    0.218,
Br Nd S Si      ,  5.152,    0.218,
Br Nd O Te      ,  5.155,    0.218,
Cu S Sm Te      ,  5.156,    0.218,
Al Ca O Te      ,  5.156,    0.218,
As Cl Hg O      ,  5.158,    0.218,
Gd O Se Si      ,  5.159,    0.218,
Cd Pb Se Te     ,   5.16,    0.218,
Cl Nb O Sc      ,   5.16,    0.219,
As Cl Hg S      ,  5.163,    0.219,
Cu F Se Sr      ,  5.163,    0.219,
Ce Cu O S       ,  5.164,    0.219,
Cl Hg Se Zr     ,  5.166,    0.219,
As Br O Pb      ,  5.166,    0.219,
Bi Cu O Se      ,  5.167,    0.219,
As F I S        ,  5.168,    0.219,
Cd I P S        ,  5.168,    0.219,
As Hg S Sb      ,  5.169,    0.219,
