element,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Mo,5.0208817,12.50968,0.0,0.0,0.0,5.4285502,0.0,0.0,0.0,0.0,15.430228,0.0,0.0,0.0,0.0,0.9109426,26.6405,0.0,21.037348,0.0,0.0,0.0,1.4991612,20.441504,14.205772,0.0,0.0,0.0,4.2645793,16.404484,0.0,0.0,0.0,0.0,3.9062753,0.0,0.0,0.0,0.0,9.48735,0.0,0.0,0.0,6.286796,8.028553,0.0,0.0,0.0,10.550422,12.6586075,0.0,16.637518,0.0,12.66254,0.0,0.0,0.0,0.0,0.0
Tc,0.0,9.452106,0.0,0.0,7.967751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.430098,4.6127415,0.0,0.0,8.152768,0.0,0.0,0.0,21.600061,0.0,0.0,0.0,2.9169886,0.0,0.0,0.30972567,0.0,0.0,0.0,0.0,0.0,3.8104692,0.0,0.0,0.0,0.0,3.3010862,0.3662481,4.162281,5.527769,0.0,1.3751945,1.4392253,0.0,0.0,0.0,0.0,1.0472553,4.4784913,0.0
Ru,0.0,15.896827,0.47740692,0.0,9.58705,0.0,0.0,0.0,0.0,0.0,3.6464481,2.2562156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5682247,0.0,0.0,20.506283,0.0,0.0,0.0,4.2461457,0.0,0.0,0.0,2.0053253,0.0,0.0,0.0,7.4732575,4.679939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6184797,24.244293,0.0,0.0,12.313336,0.0,0.0,0.0,0.0,0.41146812,1.4359668,0.0
Rh,0.0,28.906036,2.1092768,0.0,11.297708,0.0,0.0,0.0,0.0,0.0,0.0,8.416934,0.0,0.0,0.0,0.0,0.6677656,0.0,0.0,0.0,2.2054398,0.0,0.0,14.51882,0.0,0.0,0.0,7.305432,0.0,0.0,0.0,15.815422,0.0,0.0,0.51984155,5.739172,3.380756,0.0,1.7183725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1030657,9.410071,15.394444,0.0,0.0,3.8760314,0.0,0.0,0.0,0.0,2.7043202,0.0,0.0
Pd,0.0,31.590586,0.2648051,0.0,0.2364789,0.0,0.0,0.0,0.0,0.0,0.0,10.526015,0.0,0.0,0.0,0.0,2.9245558,0.0,0.0,0.0,0.0,0.0,0.0,14.563606,0.45541957,0.0,0.0,0.0,0.0,0.0,0.0,22.730074,0.0,0.0,0.0,3.46201,3.974244,0.0,2.7866848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4789423,16.037704,7.151892,0.0,0.0,0.0,0.0,0.0,0.0,0.0835052,0.0,0.0
Ag,6.778363,16.887243,0.0,0.0,0.0,5.3910995,0.0,0.0,0.0,0.0,1.3122543,6.359704,1.7594705,0.0,0.0,0.0,25.19792,0.0,6.368577,0.0,0.0,0.0,10.59089,8.991511,9.740443,0.0,0.0,0.0,4.1310377,0.7068262,0.0,19.415512,0.0,0.0,0.60995513,0.0,0.0,0.0,0.15926862,22.88374,0.0,0.0,0.0,16.461216,10.114405,0.0,0.0,0.0,4.423186,24.216967,0.0,0.0,0.0,2.1456861,0.0,0.0,0.0,0.0,0.0
Cd,0.10726249,22.51432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.115458,0.0,0.0,0.0,0.0,7.5620494,0.0,3.3370535,0.0,0.0,0.0,0.0,18.267622,4.179054,0.0,0.0,0.0,0.0,0.0,0.0,12.833141,0.0,0.0,0.0,2.112801,3.4485006,0.0,0.43880767,2.4648464,0.0,0.0,0.0,3.460778,0.0,0.0,0.0,0.0,19.03878,17.220396,0.0,3.7486885,0.0,0.0,0.0,0.0,0.0,0.0,0.0
In,0.032467034,26.244038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6589253,3.2324862,0.0,0.0,0.0,0.0,13.015581,0.0,8.334192,0.0,0.0,0.0,0.0,20.931082,7.543806,0.0,0.0,0.0,0.0,0.0,0.0,12.279458,0.0,0.0,0.0,1.032046,2.8198612,0.0,0.08050727,0.89810157,0.0,0.0,0.0,4.5687523,0.0,0.0,0.0,0.0,19.097958,19.178034,0.0,7.9801555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sn,4.7617383,22.421925,0.0,0.0,0.0,3.4275038,0.0,0.0,0.0,0.0,3.4794862,3.65833,0.0,0.0,0.0,0.0,18.404789,0.0,8.736575,0.0,0.0,0.0,0.0,18.85232,9.34836,0.0,0.0,0.0,0.63665825,0.0,0.0,12.644136,0.0,0.0,0.0,0.0,0.8987789,0.0,0.0,10.373136,0.0,0.0,0.0,10.764964,0.90277976,0.0,0.0,0.0,13.361403,23.798964,0.0,1.5411087,0.0,1.6516349,0.0,0.0,0.0,0.0,0.0
Sb,6.360688,19.568058,0.0,0.0,0.0,11.89328,0.0,0.0,0.0,0.0,9.529934,4.171752,0.0,0.0,0.0,0.0,22.948708,0.0,14.589624,0.0,0.0,0.0,0.0,26.15193,14.887196,0.0,0.0,0.0,3.4222448,8.899501,0.0,4.2187304,0.0,0.0,5.7019906,0.0,0.0,0.0,0.0,8.534004,0.0,0.0,0.0,4.8742747,4.501442,0.0,0.0,0.0,13.352709,15.897228,0.0,9.121519,0.0,10.446856,0.0,0.0,0.0,0.0,0.0
Te,3.9050539,21.626019,0.0,0.0,0.6197,10.172576,0.0,0.0,0.0,0.0,12.090558,9.257968,0.0,0.0,0.0,0.0,30.480124,0.0,15.590072,0.0,0.0,0.0,0.0,22.677963,13.661141,0.0,0.0,0.0,1.9645237,12.920288,0.0,6.82052,0.0,0.0,9.568114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.510358,0.0,0.0,1.2282623,7.1184998,0.0,0.0,8.070054,0.0,9.88626,0.0,0.0,0.0,0.0,0.0
I,8.889806,6.1827154,0.0,0.0,0.0,17.479412,0.0,0.0,0.0,0.0,5.513756,14.474603,4.0331984,0.0,0.0,0.0,27.90663,0.0,6.2382503,0.0,0.0,0.0,5.516206,10.799188,13.629766,0.0,0.0,0.0,7.150101,12.7198925,0.0,12.168376,0.0,0.0,14.38204,0.0,0.0,0.0,0.0,12.013346,0.0,0.0,0.0,0.0,16.820942,0.0,0.0,1.9421169,0.0,0.0,0.0,0.0,0.0,8.71711,0.0,0.0,0.0,0.0,0.0
Xe,0.0,11.870854,3.0081499,0.0,8.220118,0.0,0.0,0.0,0.0,0.0,0.0,4.7992916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.955184,3.5905719,0.0,0.0,7.586402,0.0,0.0,0.0,17.894335,0.0,0.0,0.0,8.700854,0.0,0.0,4.8133616,0.26500133,0.0,0.0,0.4757295,0.0,0.0,0.0,0.0,0.0,0.0,4.248692,2.3477983,7.058142,0.0,0.0,0.5860164,0.0,0.0,0.0,0.0,0.0,1.3667586,2.7015524,0.0
Cs,11.756835,12.377697,0.0,0.0,0.0,19.95772,0.0,0.0,0.0,0.0,0.0,19.712423,0.9384359,0.0,0.0,0.0,15.38176,0.0,0.0,0.0,0.0,0.0,7.38826,15.044859,12.070878,0.0,0.0,0.0,5.557761,0.0,0.0,22.629984,0.0,0.0,10.848876,0.0,0.0,0.0,0.0,20.793007,0.0,0.0,0.0,6.392914,10.585874,0.0,0.0,0.0,1.3516116,12.539386,0.0,0.0,0.0,2.2086039,0.0,0.0,0.0,0.0,0.0
Ba,11.715727,5.9619637,0.0,0.0,0.0,18.583504,0.0,0.0,0.0,0.0,0.0,11.945235,0.0,0.0,0.0,0.19121999,0.6145586,0.0,0.0,0.0,0.0,0.0,6.358609,17.938185,10.911346,0.0,0.0,0.0,6.430313,0.0,0.0,13.830748,0.0,0.0,7.8622947,0.0,0.0109416405,0.0,0.0,23.581968,0.0,0.0,0.0,9.515817,8.898423,0.0,0.0,0.0,7.854549,19.92467,0.0,0.0,0.0,4.149872,0.0,0.0,0.0,0.0,0.0
La,11.023902,12.642151,1.8032311,0.0,0.0,22.226618,0.0,0.0,0.0,0.0,0.0,17.007631,0.0,0.0,0.0,0.0,1.9942402,0.0,0.0,0.0,0.0,0.0,0.0,25.464756,11.368409,0.0,0.0,0.0,4.507275,0.0,0.0,13.048392,0.0,0.0,10.456249,0.1953385,0.9760617,0.0,0.0,12.189848,0.0,0.0,0.0,2.1509144,3.9435885,0.0,0.0,0.0,10.261727,12.617092,0.0,0.0,0.0,3.9596686,0.0,0.0,0.0,0.0,0.0
Ce,5.311915,10.134083,5.570664,0.0,0.0,19.096058,0.0,0.0,0.0,0.0,0.0,17.68539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.43583,5.0737586,0.0,0.0,0.0,0.89394206,0.0,0.0,10.57742,0.0,0.0,11.761527,3.726328,2.1245375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0205848,2.0840988,10.208057,0.0,0.0,0.0,0.0,0.78146565,0.0,0.0,0.38446704,4.1801715,0.0
Pr,2.8285658,16.970928,7.78557,0.0,1.7548541,16.193596,0.0,0.0,0.0,0.0,0.0,21.346409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.267097,1.4504769,0.0,0.0,0.0,0.0,0.0,0.0,12.726931,0.0,0.0,11.964854,4.8722467,2.0828552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.282021,5.5481877,9.48507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6105503,7.743814,0.0
Nd,5.444849,14.473673,6.051408,0.0,0.0,17.729273,0.0,0.0,0.0,0.0,0.0,18.52726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.25668,4.3510838,0.0,0.0,0.0,1.1159844,0.0,0.0,10.088541,0.0,0.0,10.950215,4.2287908,2.241865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0668514,1.650275,12.119605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2140796,5.4103656,0.0
Pm,0.0,0.28314817,0.0,10.094377,5.1631265,0.0,8.014513,6.582177,8.643478,8.684421,0.0,0.0,0.19541492,11.480028,7.739034,0.0,0.0,9.977333,0.0,31.284027,0.0,9.139722,0.0,0.0,0.0,14.529951,10.058232,31.261103,0.0,0.0,13.963666,0.0,2.2685575,11.597879,0.0,0.0,0.0,5.359582,0.0,0.0,5.9680257,9.296093,3.344103,0.0,0.0,10.382272,0.0,5.4948316,0.0,0.0,0.34868157,0.0,4.947631,0.0,9.469538,8.554217,0.0,0.0,12.523349
Sm,0.0,15.351883,10.055796,0.0,10.4435425,13.600206,0.0,0.0,0.0,0.0,0.0,20.887867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7239991,0.0,0.0,15.026006,0.0,0.0,0.0,2.578274,0.0,0.0,0.0,10.181662,0.0,0.0,13.398126,5.756525,0.48133004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.710274,12.760424,5.017285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2833307,15.52549,0.0
Eu,0.4274239,13.868051,6.6168966,0.0,5.5306177,10.449707,0.0,0.0,0.0,0.0,0.0,15.880994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.56896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1201725,0.0,0.0,9.09853,5.1004868,1.7158208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.166656,7.3582363,9.982562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9792999,9.065581,0.0
Gd,1.2337635,4.68861,7.1721716,0.0,4.1077847,15.450869,0.0,0.0,0.0,0.0,0.9350236,15.460313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.293434,0.0,0.0,0.0,0.0,0.372586,0.046916623,0.0,1.072154,0.0,0.0,13.074037,5.521395,2.0821242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6966515,7.024278,14.498191,0.0,0.0,0.30367953,0.0,1.1925447,0.0,0.0,1.029676,11.169426,0.0
Tb,0.2800625,4.3135138,7.33559,0.0,7.4023786,12.260402,0.0,0.0,0.0,0.0,0.0,16.149014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.756743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4681537,0.0,0.0,11.334636,4.208876,1.1041834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1495824,10.692882,10.388302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.311669,13.671047,0.0
Dy,0.0,3.557673,9.824741,0.0,10.156253,10.222948,0.0,0.0,0.0,0.0,0.0,17.473307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7862533,0.0,0.0,14.240167,0.0,0.0,0.0,3.4689236,0.0,0.0,0.0,1.326143,0.0,0.0,11.268724,4.711968,0.575415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.078889,13.631079,9.874049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.571895,18.007862,0.0
Ho,0.0,1.1993845,8.6879835,0.0,9.504153,7.684684,0.0,0.0,0.0,0.0,0.0,14.411235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94113964,0.0,0.0,14.388556,0.0,0.0,0.0,4.8118186,0.0,0.0,0.0,0.0,0.0,0.0,9.3895235,4.388625,1.0547574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.201462,12.530578,13.758816,0.0,0.0,0.34793404,0.0,0.0,0.0,0.0,2.901544,18.583124,0.0
Er,0.0,0.6251498,7.891999,0.0,8.092604,9.579303,0.0,0.0,0.0,0.0,0.2509292,13.881589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18863916,0.0,0.0,14.573036,0.0,0.0,0.0,2.6025212,0.0,0.0,0.0,0.0,0.0,0.0,9.935049,4.2430735,0.9445334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8920712,11.679184,12.361006,0.0,0.0,0.39433482,0.0,0.0,0.0,0.0,2.2923207,16.039267,0.0
Tm,0.0,0.9667116,9.018292,0.0,11.30795,0.98324764,0.0,0.0,0.0,0.0,0.0,11.01392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5082023,0.0,0.0,7.4856462,0.0,0.0,0.0,13.826694,0.0,0.0,0.0,0.0,0.0,0.0,5.8117046,2.0554736,0.0,0.0,0.0,0.0,1.4074124,0.0,0.0,0.0,0.0,0.0,8.635055,14.898841,11.05572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.861508,21.678707,0.0
Yb,0.0,0.089534685,6.392358,0.0,9.301,2.2297585,0.0,0.0,0.0,0.0,1.5232272,8.566688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7632984,0.0,0.0,12.83406,0.0,0.0,0.0,7.6204457,0.0,0.0,0.0,0.0,0.0,0.0,5.717996,3.5629396,1.1116488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.241351,11.356273,15.715898,0.0,0.0,3.0340614,0.0,0.0,0.0,0.0,2.4060407,17.317802,0.0
Lu,0.0,0.13517474,7.6180444,0.0,10.126428,1.7180107,0.0,0.0,0.0,0.0,0.0,10.975273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9526172,0.0,0.0,9.143133,0.0,0.0,0.0,11.01665,0.0,0.0,0.0,0.0,0.0,0.0,5.0045776,2.9356213,0.29574317,0.0,0.0,0.0,0.82565594,0.0,0.0,0.0,0.0,0.0,7.901847,13.26469,12.230734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2261896,20.676556,0.0
Hf,0.0,5.9717827,4.695015,0.0,9.576139,0.0,0.0,0.0,0.0,0.0,0.20803583,6.690286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1350505,0.0,0.0,10.439433,0.0,0.0,0.0,10.702972,0.0,0.0,0.0,1.4177958,0.0,0.0,4.3350263,3.009789,0.3811146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9351344,10.023173,9.908753,0.0,0.0,2.161958,0.0,0.0,0.0,0.0,3.4956307,9.426281,0.0
Ta,0.0,2.4958093,0.94238776,0.0,7.3840775,3.3995278,0.0,0.0,0.0,0.0,7.971198,2.2321222,0.0,0.0,0.0,0.0,0.0,0.0,2.636824,0.0,0.0,0.0,0.0,21.4164,0.0,0.0,0.0,1.2401445,0.0,5.4242287,0.0,0.0,0.0,0.0,5.6253896,5.334983,2.5308616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58162886,5.307796,19.985785,0.0,0.0,14.815957,0.0,4.1265965,0.0,0.0,0.0,4.7770348,0.0
W,5.636574,7.368857,0.0,0.0,0.0,9.802636,0.0,0.0,0.0,0.0,15.316705,1.1939305,0.0,0.0,0.0,0.0,28.631245,0.0,19.245703,0.0,0.0,0.0,1.6829565,18.226479,15.28043,0.0,0.0,0.0,4.896623,19.222374,0.0,0.0,0.0,0.0,8.802873,0.0,0.0,0.0,0.0,6.7770414,0.0,0.0,0.0,0.0,11.306911,0.0,0.0,0.0,5.4688106,1.7706988,0.0,14.508773,0.0,14.385439,0.0,0.0,0.0,0.0,0.0
Re,0.0,17.610882,0.0,0.0,11.205447,0.0,0.0,0.0,0.0,0.0,3.8181686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4938436,0.0,0.0,14.024605,0.0,0.0,0.0,15.769413,0.0,0.0,0.0,3.2950041,0.0,0.0,0.0,4.600316,2.6313238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.094052,6.4321775,16.26968,0.0,0.0,10.269188,0.0,0.0,0.0,0.0,1.7557628,0.0,0.0
Os,0.0,5.6256404,0.89140743,0.0,11.645566,0.0,0.0,0.0,0.0,0.0,3.8377533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2882407,0.0,0.0,12.976631,0.0,0.0,0.0,14.641489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1988416,1.5715158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7960251,9.929113,18.071852,0.0,0.0,11.545774,0.0,0.0,0.0,0.0,1.9750764,5.8497596,0.0
Ir,0.0,24.78745,1.6981658,0.0,13.80174,0.0,0.0,0.0,0.0,0.0,0.0,5.2302847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8406248,0.0,0.0,12.1092,0.0,0.0,0.0,13.924906,0.0,0.0,0.0,14.357521,0.0,0.0,0.0,4.7162104,2.3925176,0.0,1.3976074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3419192,11.328116,13.658286,0.0,0.0,3.6067617,0.0,0.0,0.0,0.0,3.2087262,0.6565652,0.0
Pt,0.0,27.671398,1.3378992,0.0,6.769367,0.0,0.0,0.0,0.0,0.0,0.0,8.021171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2254932,0.0,0.0,13.674749,0.0,0.0,0.0,2.6835775,0.0,0.0,0.0,16.533606,0.0,0.0,0.0,5.233333,3.756805,0.0,2.000194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8731896,5.2330437,15.662578,0.0,0.0,1.9958662,0.0,0.0,0.0,0.0,1.4503161,0.0,0.0
Au,0.0,27.120724,2.0761943,0.0,2.2738917,0.0,0.0,0.0,0.0,0.0,0.0,11.564961,0.0,0.0,0.0,0.0,0.38624188,0.0,0.0,0.0,0.09847403,0.0,0.0,12.977835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.45494,0.0,0.0,0.0,3.9737716,3.706318,0.0,1.9030633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17361662,3.499874,12.217382,0.9811541,0.0,0.0,0.0,0.0,0.0,0.0,0.67580754,0.0,0.0
Hg,0.0,21.201366,3.162206,0.0,3.749399,1.7307968,0.0,0.0,0.0,0.0,0.0,18.513798,0.0,0.0,0.0,0.0,10.221622,0.0,0.0,0.0,0.72927076,0.0,0.0,7.749712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.361702,0.0,0.0,3.9271908,1.5182217,1.0964177,0.0,1.4501164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.124618,8.70295,7.159365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4756157,2.882586,0.0
Tl,0.70989317,24.618584,5.1104083,0.0,3.9276335,15.911159,0.0,0.0,0.0,0.0,0.0,23.404856,0.0,0.0,0.0,0.0,15.134873,0.0,0.0,0.0,0.0,0.0,0.0,15.814465,8.918177,0.0,0.0,0.0,0.0,0.0,0.0,22.854885,0.0,0.0,13.407695,3.7464018,0.3928264,0.0,0.6006225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.721609,7.7530346,1.3277848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0999362,0.2575087,0.0
Pb,7.210004,17.620005,0.46135008,0.0,0.0,21.439783,0.0,0.0,0.0,0.0,5.114771,16.366238,0.0,0.0,0.0,0.0,19.287577,0.0,5.330482,0.0,0.0,0.0,0.0,27.854565,16.038706,0.0,0.0,0.0,3.1920116,7.911147,0.0,9.62913,0.0,0.0,14.752413,1.5854485,0.0,0.0,0.0,1.9020246,0.0,0.0,0.0,0.0,6.07682,0.0,0.2286872,1.78356,8.076259,0.24027087,0.0,0.33823213,0.0,8.92005,0.0,0.0,0.0,0.0,0.0
Bi,10.620921,15.51549,0.0,0.0,0.0,22.966902,0.0,0.0,0.0,0.0,7.7932024,11.911834,0.0,0.0,0.0,0.0,18.64847,0.0,9.877867,0.0,0.0,0.0,0.0,32.247837,18.179796,0.0,0.0,0.0,5.8401,10.955624,0.0,4.192902,0.0,0.0,13.055779,0.0,0.0,0.0,0.0,8.775753,0.0,0.0,0.0,0.0,7.3977456,0.0,0.0,0.0,12.242799,9.278286,0.0,4.1669374,0.0,13.750592,0.0,0.0,0.0,0.0,0.0
Po,0.0,0.8168651,0.0,4.6143336,3.0939581,0.0,3.6825352,2.8177147,4.0362453,4.2890363,0.0,0.0,0.0,5.3682914,3.625802,0.0,0.0,4.6612077,0.0,18.228285,0.024311347,4.068382,0.0,0.22711828,0.0,7.3414407,4.855894,19.13497,0.0,0.0,6.5999284,0.0,0.8458013,5.654923,0.0,0.0,0.0,2.3676276,0.0,0.0,3.2464924,4.129918,1.2175547,0.0,0.0,5.8221483,0.0,3.5739543,0.0,0.0,0.108176485,0.0,1.9559106,0.0,4.597814,4.001172,0.0,0.33518332,6.296474
At,0.0,0.0,0.0,2.0657535,0.9407378,0.0,1.5856886,1.3437804,1.7609309,1.7548385,0.0,0.0,0.046830505,2.3236413,1.5709172,0.0,0.0,2.020073,0.0,5.755291,0.0,1.8573912,0.0,0.0,0.0,2.8657367,2.0207906,5.793096,0.0,0.0,2.7928996,0.0,0.47743925,2.292265,0.0,0.0,0.0,1.0767812,0.0,0.0,1.1806706,1.875687,0.69090295,0.0,0.0,1.954262,0.0,0.98178536,0.0,0.0,0.08608855,0.0,1.016868,0.0,1.9394234,1.743926,0.0,0.0,2.4460742
Rn,0.0,0.0,0.0,2.0657535,0.9407378,0.0,1.5856886,1.3437804,1.7609309,1.7548385,0.0,0.0,0.046830505,2.3236413,1.5709172,0.0,0.0,2.020073,0.0,5.755291,0.0,1.8573912,0.0,0.0,0.0,2.8657367,2.0207906,5.793096,0.0,0.0,2.7928996,0.0,0.47743925,2.292265,0.0,0.0,0.0,1.0767812,0.0,0.0,1.1806706,1.875687,0.69090295,0.0,0.0,1.954262,0.0,0.98178536,0.0,0.0,0.08608855,0.0,1.016868,0.0,1.9394234,1.743926,0.0,0.0,2.4460742
Fr,0.0,0.0,0.0,2.0657535,0.9407378,0.0,1.5856886,1.3437804,1.7609309,1.7548385,0.0,0.0,0.046830505,2.3236413,1.5709172,0.0,0.0,2.020073,0.0,5.755291,0.0,1.8573912,0.0,0.0,0.0,2.8657367,2.0207906,5.793096,0.0,0.0,2.7928996,0.0,0.47743925,2.292265,0.0,0.0,0.0,1.0767812,0.0,0.0,1.1806706,1.875687,0.69090295,0.0,0.0,1.954262,0.0,0.98178536,0.0,0.0,0.08608855,0.0,1.016868,0.0,1.9394234,1.743926,0.0,0.0,2.4460742
Ra,0.0,0.052270267,0.0,7.5715656,3.5846956,0.0,5.8236065,4.960301,6.492808,6.4478836,0.0,0.0,0.17205325,8.587658,5.737196,0.0,0.0,7.4148774,0.0,22.080025,0.0,6.824126,0.0,0.0,0.0,10.719939,7.471887,22.204813,0.0,0.0,10.381318,0.0,1.6865164,8.537192,0.0,0.0,0.0,3.9526525,0.0,0.0,4.3808956,6.9211106,2.4968483,0.0,0.0,7.4052925,0.0,3.7641869,0.0,0.0,0.29743388,0.0,3.7442555,0.0,7.117156,6.465169,0.0,0.0,9.2160845
Ac,0.0,0.805065,0.0,8.6538,4.8858566,0.0,6.5154862,5.6085215,7.333619,7.8713937,0.0,0.0,0.0,9.795986,6.6817784,0.0,0.0,8.285358,0.0,27.974464,0.0,7.633068,0.0,0.0,0.0,12.613253,8.539439,28.8827,0.0,0.0,12.06285,0.0,1.9619826,9.792121,0.0,0.0,0.0,4.6202974,0.0,0.0,5.1904054,7.9914427,2.6997871,0.0,0.0,9.253213,0.0,4.727671,0.0,0.0,0.32103586,0.0,4.183639,0.0,8.259344,7.244185,0.0,0.0,10.898998
Th,0.0,12.515091,7.8548503,0.0,9.1172695,0.6148856,0.0,0.0,0.0,0.0,0.0,11.838226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.269948,3.5777652,0.0,0.0,9.250698,0.0,0.0,0.0,14.68183,0.0,0.0,0.0,9.568018,0.0,0.0,6.606588,1.2000314,0.0,0.0,0.0,0.0,0.72533077,0.0,0.0,0.0,0.0,1.2314218,7.369,11.830497,1.3691638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5759609,12.944014,0.0
Pa,0.0,1.2029588,0.02513301,0.87843865,2.8745387,0.0,1.0373755,0.86252326,0.6516182,1.7981796,0.0,0.0,0.0,1.205552,1.1578965,0.0,0.0,0.9224369,0.0,8.4380865,0.4024048,1.0787041,0.0,1.6844369,0.0,2.0756874,1.2912565,10.651131,0.0,0.0,1.5594795,0.005771458,0.21274522,1.1972365,0.36865282,0.0,0.0,0.44540954,0.0,0.0,1.3365909,0.90353507,0.0,0.0,0.0,2.5035021,0.0,2.777218,0.34358746,0.0,0.0,0.0,0.31078482,0.0,1.0442901,0.82908845,0.0,0.95213115,2.0147326
U,0.786844,2.2933738,4.2969337,0.0,3.2857409,7.135131,0.0,0.0,0.0,0.0,0.8401458,8.629012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.280739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.565435,4.544114,2.5674632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2945572,5.0075846,16.764597,0.0,0.0,4.501691,0.0,0.94597924,0.0,0.0,0.5315287,9.3125105,0.0
