element,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Mg,3.0739355,0.85449415,0.0,0.0,0.0,6.648464,0.0,0.0,0.0,0.0,5.809659,0.0,0.0,0.0,0.0,14.078906,0.0,0.0,12.844362,0.0,0.0,0.0,0.0,23.658712,8.182882,0.0,0.0,0.0,4.1337466,7.5229697,0.0,0.0,0.0,0.0,0.024552196,0.68809265,0.89283204,0.0,0.0,8.520326,0.0,0.0,0.0,10.085167,0.0,0.0,0.0,0.0,23.720758,22.183838,0.0,24.651905,0.0,9.486225,0.0,0.0,0.0,0.0,0.0
Al,1.6090641,13.027417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8761525,0.0,0.0,0.0,0.0,17.090769,10.157943,0.0,18.421625,0.0,0.0,0.0,7.459768,13.402365,9.237833,0.0,0.0,0.0,4.193715,3.5572398,0.0,1.9947997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.281687,0.0,0.0,0.0,27.318886,1.092621,0.0,0.0,0.0,14.902986,40.914135,0.0,17.174168,0.0,3.1872902,0.0,0.0,0.0,0.0,0.0
Si,2.2764513,35.013115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1723573,6.4666667,0.0,0.0,0.0,0.0,35.036453,0.0,11.164131,0.0,0.0,0.0,2.3528388,12.197659,8.817938,0.0,0.0,0.0,0.0,0.0,0.0,27.800665,0.0,0.0,0.0,0.0,0.0,0.0,2.3409252,14.423529,0.0,0.0,0.0,17.39359,0.84364635,0.0,0.0,0.0,6.6564646,31.586555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,0.24050759,38.832165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.358653,12.478329,0.2717622,0.0,0.0,0.0,48.14585,0.0,14.431905,0.0,0.0,0.0,0.0,11.606593,11.480335,0.0,0.0,0.0,0.0,3.6919093,0.0,29.72928,0.0,0.0,2.5823107,0.0,0.0,0.0,2.0829887,4.155177,0.0,0.0,0.0,4.7686796,3.1065102,0.0,0.0,1.0437874,0.0,10.7677,0.0,0.0,0.0,0.030518914,0.0,0.0,0.0,0.0,0.0
S,8.116145,14.3858795,0.0,0.0,0.0,5.7760468,0.0,0.0,0.0,0.0,15.827281,0.0,1.6766018,0.0,0.0,3.7363155,40.613842,0.0,23.903547,0.0,0.0,0.0,11.907317,13.551903,17.33935,0.0,0.0,0.0,7.4543405,18.718323,0.0,4.899014,0.0,0.0,3.7050776,0.0,0.0,0.0,0.0,22.464958,0.0,0.0,0.0,18.458096,15.053814,0.0,0.0,0.0,2.0007813,20.972805,0.0,10.347181,0.0,12.399679,0.0,0.0,0.0,0.0,0.0
Cl,11.216352,7.9039497,0.0,0.0,0.0,12.910232,0.0,0.0,0.0,0.0,7.231966,7.1748476,6.110407,0.0,0.0,0.0,36.737446,0.0,10.829202,0.0,0.0,0.0,17.174686,7.166598,15.588123,0.0,0.0,0.0,8.871176,12.379272,0.0,14.927817,0.0,0.0,8.138091,0.0,0.0,0.0,0.0,29.784332,0.0,0.0,0.0,15.403438,20.86473,0.0,0.0,0.0,0.0,15.071318,0.0,0.0,0.0,8.821534,0.0,0.0,0.0,0.0,0.0
Ar,0.0,1.5272571,0.06164715,1.3793359,2.0540504,0.0,1.0887623,1.0643014,1.3884965,1.1854212,0.0,0.0,0.03857582,1.506416,1.2853451,0.0,0.0,1.5731274,0.0,9.154341,0.3677851,1.1353723,0.0,0.17871593,0.0,2.5855584,1.456839,9.817944,0.0,0.0,2.1583874,0.42715353,0.10803006,1.535679,0.2225123,0.0,0.0,1.0574664,0.0,0.0,1.6631265,1.3438569,0.079371125,0.0,0.0,2.0827124,0.0,1.236633,0.0,0.0,0.0,0.0,0.5227022,0.0,1.2010045,1.4257523,0.0,0.0,1.9525912
K,14.4186735,0.0,0.0,0.0,0.0,17.876478,0.0,0.0,0.0,0.0,0.0599278,3.902084,3.430953,0.0,0.0,8.341835,13.723138,0.0,5.1014023,0.0,0.0,0.0,20.857265,9.663853,14.446079,0.0,0.0,0.0,12.316789,8.220956,0.0,9.95529,0.0,0.0,8.351516,0.0,0.0,0.0,0.0,38.735226,0.0,0.0,0.0,21.779633,20.056494,0.0,0.0,0.0,1.1330192,25.679537,0.0,0.0,0.0,9.243533,0.0,0.0,0.0,0.0,0.0
Ca,16.363007,0.0,0.0,0.0,0.0,24.693924,0.0,0.0,0.0,0.0,1.1619729,1.400472,0.0,0.0,0.0,12.701969,0.0,0.0,7.1730113,0.0,0.0,0.0,13.814409,21.090698,15.906429,0.0,0.0,0.0,13.689088,11.377509,0.0,0.0,0.0,0.0,11.143736,0.0,0.0,0.0,0.0,34.089764,0.0,0.0,0.0,16.268492,17.276571,0.0,0.0,0.0,8.25121,23.473074,0.0,5.4131274,0.0,15.91394,0.0,0.0,0.0,0.0,0.0
Sc,0.0,0.0,2.3702319,0.0,7.672279,0.0,0.0,0.0,0.0,0.0,3.0047207,3.7630146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2849406,0.0,0.0,12.774214,0.0,0.0,0.0,5.536301,0.0,0.0,0.0,0.0,0.0,0.0,1.5494791,4.5914097,2.2690039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0912318,7.411847,19.75647,0.0,0.0,9.732254,0.0,0.0,0.0,0.0,2.4969106,11.163065,0.0
