element,C-0,C-1,C-10,C-11,C-12,C-13,C-14,C-15,C-16,C-17,C-18,C-19,C-2,C-20,C-21,C-22,C-23,C-24,C-25,C-26,C-27,C-28,C-29,C-3,C-30,C-31,C-32,C-33,C-34,C-35,C-4,C-5,C-6,C-7,C-8,C-9,GV,KV,X,X_add_voro_coord,X_mult_voro_coord,X_subs_atom_mass,X_subs_atom_rad,X_subs_bp,X_subs_elec_aff,X_subs_first_ion_en,X_subs_hfus,X_subs_mol_vol,X_subs_mp,X_subs_polzbl,X_subs_therm_cond,X_subs_voro_coord,Z,atom_mass,atom_mass_add_X,atom_mass_add_atom_rad,atom_mass_add_therm_cond,atom_mass_add_voro_coord,atom_mass_divi_atom_rad,atom_mass_divi_bp,atom_mass_divi_first_ion_en,atom_mass_divi_hfus,atom_mass_divi_mol_vol,atom_mass_divi_mp,atom_mass_divi_polzbl,atom_mass_divi_therm_cond,atom_mass_divi_voro_coord,atom_mass_mult_X,atom_mass_mult_atom_rad,atom_mass_mult_therm_cond,atom_mass_mult_voro_coord,atom_mass_subs_X,atom_mass_subs_atom_rad,atom_mass_subs_bp,atom_mass_subs_elec_aff,atom_mass_subs_first_ion_en,atom_mass_subs_hfus,atom_mass_subs_mol_vol,atom_mass_subs_mp,atom_mass_subs_polzbl,atom_mass_subs_therm_cond,atom_mass_subs_voro_coord,atom_rad,atom_rad_add_X,atom_rad_add_therm_cond,atom_rad_add_voro_coord,atom_rad_divi_atom_mass,atom_rad_divi_bp,atom_rad_divi_first_ion_en,atom_rad_divi_hfus,atom_rad_divi_mol_vol,atom_rad_divi_mp,atom_rad_divi_polzbl,atom_rad_divi_therm_cond,atom_rad_divi_voro_coord,atom_rad_mult_X,atom_rad_mult_therm_cond,atom_rad_mult_voro_coord,atom_rad_subs_X,atom_rad_subs_atom_mass,atom_rad_subs_bp,atom_rad_subs_elec_aff,atom_rad_subs_first_ion_en,atom_rad_subs_hfus,atom_rad_subs_mol_vol,atom_rad_subs_mp,atom_rad_subs_polzbl,atom_rad_subs_therm_cond,atom_rad_subs_voro_coord,avg_ion_rad,block,bp,bp_add_X,bp_add_atom_mass,bp_add_atom_rad,bp_add_mp,bp_add_therm_cond,bp_add_voro_coord,bp_divi_atom_mass,bp_divi_atom_rad,bp_divi_first_ion_en,bp_divi_hfus,bp_divi_mol_vol,bp_divi_mp,bp_divi_polzbl,bp_divi_therm_cond,bp_divi_voro_coord,bp_mult_X,bp_mult_atom_mass,bp_mult_atom_rad,bp_mult_mp,bp_mult_therm_cond,bp_mult_voro_coord,bp_subs_X,bp_subs_atom_mass,bp_subs_atom_rad,bp_subs_elec_aff,bp_subs_first_ion_en,bp_subs_hfus,bp_subs_mol_vol,bp_subs_mp,bp_subs_polzbl,bp_subs_therm_cond,bp_subs_voro_coord,coulmn,e1,e2,e3,elec_aff,elec_aff_add_X,elec_aff_add_atom_mass,elec_aff_add_atom_rad,elec_aff_add_bp,elec_aff_add_mol_vol,elec_aff_add_mp,elec_aff_add_therm_cond,elec_aff_add_voro_coord,elec_aff_mult_X,elec_aff_mult_atom_mass,elec_aff_mult_atom_rad,elec_aff_mult_bp,elec_aff_mult_mol_vol,elec_aff_mult_mp,elec_aff_mult_therm_cond,elec_aff_mult_voro_coord,elec_aff_subs_X,elec_aff_subs_atom_mass,elec_aff_subs_atom_rad,elec_aff_subs_bp,elec_aff_subs_first_ion_en,elec_aff_subs_hfus,elec_aff_subs_mol_vol,elec_aff_subs_mp,elec_aff_subs_polzbl,elec_aff_subs_therm_cond,elec_aff_subs_voro_coord,first_ion_en,first_ion_en_add_X,first_ion_en_add_atom_mass,first_ion_en_add_atom_rad,first_ion_en_add_bp,first_ion_en_add_elec_aff,first_ion_en_add_mol_vol,first_ion_en_add_mp,first_ion_en_add_therm_cond,first_ion_en_add_voro_coord,first_ion_en_divi_atom_mass,first_ion_en_divi_atom_rad,first_ion_en_divi_bp,first_ion_en_divi_hfus,first_ion_en_divi_mol_vol,first_ion_en_divi_mp,first_ion_en_divi_polzbl,first_ion_en_divi_therm_cond,first_ion_en_divi_voro_coord,first_ion_en_mult_X,first_ion_en_mult_atom_mass,first_ion_en_mult_atom_rad,first_ion_en_mult_bp,first_ion_en_mult_elec_aff,first_ion_en_mult_mol_vol,first_ion_en_mult_mp,first_ion_en_mult_therm_cond,first_ion_en_mult_voro_coord,first_ion_en_subs_X,first_ion_en_subs_atom_mass,first_ion_en_subs_atom_rad,first_ion_en_subs_bp,first_ion_en_subs_elec_aff,first_ion_en_subs_hfus,first_ion_en_subs_mol_vol,first_ion_en_subs_mp,first_ion_en_subs_polzbl,first_ion_en_subs_therm_cond,first_ion_en_subs_voro_coord,hfus,hfus_add_X,hfus_add_atom_mass,hfus_add_atom_rad,hfus_add_bp,hfus_add_elec_aff,hfus_add_first_ion_en,hfus_add_mol_vol,hfus_add_mp,hfus_add_polzbl,hfus_add_therm_cond,hfus_add_voro_coord,hfus_divi_atom_mass,hfus_divi_atom_rad,hfus_divi_bp,hfus_divi_first_ion_en,hfus_divi_mol_vol,hfus_divi_mp,hfus_divi_polzbl,hfus_divi_therm_cond,hfus_divi_voro_coord,hfus_mult_X,hfus_mult_atom_mass,hfus_mult_atom_rad,hfus_mult_bp,hfus_mult_elec_aff,hfus_mult_first_ion_en,hfus_mult_mol_vol,hfus_mult_mp,hfus_mult_polzbl,hfus_mult_therm_cond,hfus_mult_voro_coord,hfus_subs_X,hfus_subs_atom_mass,hfus_subs_atom_rad,hfus_subs_bp,hfus_subs_elec_aff,hfus_subs_first_ion_en,hfus_subs_mol_vol,hfus_subs_mp,hfus_subs_polzbl,hfus_subs_therm_cond,hfus_subs_voro_coord,is_actinoid,is_alkali,is_alkaline,is_halogen,is_lanthanoid,is_metalloid,is_noble_gas,is_transition_metal,jv_enp,max_oxid_s,me1,me2,me3,min_oxid_s,mol_vol,mol_vol_add_X,mol_vol_add_atom_mass,mol_vol_add_atom_rad,mol_vol_add_bp,mol_vol_add_mp,mol_vol_add_therm_cond,mol_vol_add_voro_coord,mol_vol_divi_atom_mass,mol_vol_divi_atom_rad,mol_vol_divi_bp,mol_vol_divi_first_ion_en,mol_vol_divi_hfus,mol_vol_divi_mp,mol_vol_divi_polzbl,mol_vol_divi_therm_cond,mol_vol_divi_voro_coord,mol_vol_mult_X,mol_vol_mult_atom_mass,mol_vol_mult_atom_rad,mol_vol_mult_bp,mol_vol_mult_mp,mol_vol_mult_therm_cond,mol_vol_mult_voro_coord,mol_vol_subs_X,mol_vol_subs_atom_mass,mol_vol_subs_atom_rad,mol_vol_subs_bp,mol_vol_subs_elec_aff,mol_vol_subs_first_ion_en,mol_vol_subs_hfus,mol_vol_subs_mp,mol_vol_subs_polzbl,mol_vol_subs_therm_cond,mol_vol_subs_voro_coord,mop_eg,mp,mp_add_X,mp_add_atom_mass,mp_add_atom_rad,mp_add_therm_cond,mp_add_voro_coord,mp_divi_atom_mass,mp_divi_atom_rad,mp_divi_bp,mp_divi_first_ion_en,mp_divi_hfus,mp_divi_mol_vol,mp_divi_polzbl,mp_divi_therm_cond,mp_divi_voro_coord,mp_mult_X,mp_mult_atom_mass,mp_mult_atom_rad,mp_mult_therm_cond,mp_mult_voro_coord,mp_subs_X,mp_subs_atom_mass,mp_subs_atom_rad,mp_subs_bp,mp_subs_elec_aff,mp_subs_first_ion_en,mp_subs_hfus,mp_subs_mol_vol,mp_subs_polzbl,mp_subs_therm_cond,mp_subs_voro_coord,ndunfill,ndvalence,nfunfill,nfvalence,npunfill,npvalence,nsunfill,nsvalence,op_eg,oq_bg,oq_enp,polzbl,polzbl_add_X,polzbl_add_atom_mass,polzbl_add_atom_rad,polzbl_add_bp,polzbl_add_elec_aff,polzbl_add_first_ion_en,polzbl_add_mol_vol,polzbl_add_mp,polzbl_add_therm_cond,polzbl_add_voro_coord,polzbl_divi_atom_mass,polzbl_divi_atom_rad,polzbl_divi_bp,polzbl_divi_first_ion_en,polzbl_divi_hfus,polzbl_divi_mol_vol,polzbl_divi_mp,polzbl_divi_therm_cond,polzbl_divi_voro_coord,polzbl_mult_X,polzbl_mult_atom_mass,polzbl_mult_atom_rad,polzbl_mult_bp,polzbl_mult_elec_aff,polzbl_mult_first_ion_en,polzbl_mult_mol_vol,polzbl_mult_mp,polzbl_mult_therm_cond,polzbl_mult_voro_coord,polzbl_subs_X,polzbl_subs_atom_mass,polzbl_subs_atom_rad,polzbl_subs_bp,polzbl_subs_elec_aff,polzbl_subs_first_ion_en,polzbl_subs_hfus,polzbl_subs_mol_vol,polzbl_subs_mp,polzbl_subs_therm_cond,polzbl_subs_voro_coord,row,therm_cond,therm_cond_add_X,therm_cond_add_voro_coord,therm_cond_divi_atom_mass,therm_cond_divi_atom_rad,therm_cond_divi_bp,therm_cond_divi_first_ion_en,therm_cond_divi_hfus,therm_cond_divi_mol_vol,therm_cond_divi_mp,therm_cond_divi_polzbl,therm_cond_divi_voro_coord,therm_cond_mult_X,therm_cond_mult_voro_coord,therm_cond_subs_X,therm_cond_subs_atom_mass,therm_cond_subs_atom_rad,therm_cond_subs_bp,therm_cond_subs_elec_aff,therm_cond_subs_first_ion_en,therm_cond_subs_hfus,therm_cond_subs_mol_vol,therm_cond_subs_mp,therm_cond_subs_polzbl,therm_cond_subs_voro_coord,voro_coord,voro_coord_divi_atom_mass,voro_coord_divi_atom_rad,voro_coord_divi_bp,voro_coord_divi_first_ion_en,voro_coord_divi_hfus,voro_coord_divi_mol_vol,voro_coord_divi_mp,voro_coord_divi_polzbl,voro_coord_divi_therm_cond,voro_coord_subs_X,voro_coord_subs_atom_mass,voro_coord_subs_atom_rad,voro_coord_subs_bp,voro_coord_subs_elec_aff,voro_coord_subs_first_ion_en,voro_coord_subs_hfus,voro_coord_subs_mol_vol,voro_coord_subs_mp,voro_coord_subs_polzbl,voro_coord_subs_therm_cond
X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pr,58.7,25.6,0.0,0.0,17.9,17.9,65.1,0.0,0.0,0.0,0.0,-0.0,17.9,0.0,16.5,0.0,-0.0,-0.0,-0.0,0.0,-0.0,15.9,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,15.9,-0.0,0.0,25.6,58.7,17.9,-0.0,17.733,33.922,1.13,13.13,13.56,-139.77765,-0.7200000000000001,-3561.87,0.629999999999999,-4.343,1.0611,-19.67,-1206.87,-27.07,-11.87,-10.87,59.0,140.90765,142.03765,142.75764999999998,153.90765,152.90765,76.16629729729729,0.039547474038731,25.74596199524941,2045.1037735849056,6.774406249999999,0.116645405629139,4.996725177304964,10.83905,11.742304166666663,159.2256445,260.6791525,1831.79945,1690.8918,139.77765,139.05765,-3422.09235,140.40765,135.43464999999998,140.83874999999998,120.10765,-1067.09235,112.70765,127.90765,128.90765,1.85,2.98,14.85,13.85,0.01312916651438,0.000519225371877,0.338023022108532,26.850507982583455,0.088942307692307,0.001531456953642,0.065602836879432,0.142307692307692,0.154166666666666,2.0905,24.05,22.200000000000003,0.7200000000000001,-139.05765,-3561.15,1.35,-3.622999999999999,1.7811,-18.95,-1206.15,-26.35,-11.15,-10.15,1.06,4.0,3563.0,3564.13,3703.90765,3564.85,4771.0,3576.0,3575.0,25.286065022019745,1925.9459459459456,651.0140690663256,51712.626995645864,171.2980769230769,2.949503311258278,126.34751773049646,274.0769230769231,296.9166666666667,4026.19,502053.95695,6591.55,4304104.0,46319.0,42756.0,3561.87,3422.09235,3561.15,3562.5,3557.527,3562.9311,3542.2,2355.0,3534.8,3550.0,3551.0,5.0,211.8684,211.8682,221.7658,0.5,1.63,141.40765,2.35,3563.5,21.3,1208.5,13.5,12.5,0.5650000000000001,70.453825,0.925,1781.5,10.4,604.0,6.5,6.0,-0.629999999999999,-140.40765,-1.35,-3562.5,-4.973,0.4311,-20.3,-1207.5,-27.7,-12.5,-11.5,5.473,6.603,146.38065,7.323,3568.473,5.973,26.273,1213.473,18.473,17.473,0.038841042342271,2.958378378378378,0.001536065113668,79.43396226415094,0.263125,0.004530629139072,0.194078014184397,0.421,0.456083333333333,6.184489999999999,771.18756845,10.12505,19500.299,2.7365,113.8384,6611.384,71.149,65.676,4.343,-135.43464999999998,3.622999999999999,-3557.527,4.973,5.4041,-15.327000000000002,-1202.527,-22.727,-7.527,-6.527,0.0689,1.198899999999999,140.97655,1.9189,3563.0689,0.5689000000000001,5.5419,20.8689,1208.0689,28.2689,13.0689,12.0689,0.000488972742076,0.037243243243243,1.9337636822902057e-05,0.012589073634204,0.0033125,5.7036423841059615e-05,0.002443262411347,0.0053,0.005741666666666,0.077857,9.708537085,0.127465,245.4907,0.03445,0.3770896999999999,1.4331200000000002,83.2312,1.94298,0.8957,0.8267999999999991,-1.0611,-140.83874999999998,-1.7811,-3562.9311,-0.4311,-5.4041,-20.7311,-1207.9311,-28.1311,-12.9311,-11.9311,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.25245985,4.0,211.8684,211.8682,221.7658,2.0,20.8,21.93,161.70765,22.65,3583.8,1228.8,33.8,32.8,0.14761441270222,11.243243243243244,0.005837777154083,3.800475059382423,301.8867924528302,0.017218543046357,0.737588652482269,1.6,1.733333333333333,23.504,2930.87912,38.48,74110.40000000001,25126.4,270.40000000000003,249.6,19.67,-120.10765,18.95,-3542.2,20.3,15.327000000000002,20.7311,-1187.2,-7.399999999999999,7.800000000000001,8.8,0.000399999999999,1208.0,1209.13,1348.90765,1209.85,1221.0,1220.0,8.57299089155202,652.9729729729729,0.339040134717934,220.71989767951763,17532.65602322206,58.07692307692307,42.83687943262411,92.92307692307692,100.66666666666669,1365.04,170216.4412,2234.8,15704.0,14496.0,1206.87,1067.09235,1206.15,-2355.0,1207.5,1202.527,1207.9311,1187.2,1179.8,1195.0,1196.0,0.0,0.0,11.0,3.0,0.0,0.0,0.0,2.0,0.000399999999999,0.0,-4.7738299600000005,28.2,29.33,169.10764999999998,30.05,3591.2,28.7,33.673,49.0,1236.2,41.2,40.2,0.20013107875974,15.243243243243242,0.007914678641594,5.152567147816554,409.288824383164,1.35576923076923,0.023344370860927,2.169230769230769,2.35,31.865999999999996,3973.595729999999,52.17,100476.6,14.1,154.3386,586.5600000000001,34065.6,366.6,338.4,27.07,-112.70765,26.35,-3534.8,27.7,22.727,28.1311,7.399999999999999,-1179.8,15.2,16.2,8.0,13.0,14.13,25.0,0.092259007938887,7.027027027027026,0.003648610721302,2.375296912114014,188.67924528301887,0.625,0.010761589403973,0.460992907801418,1.083333333333333,14.689999999999998,156.0,11.87,-127.90765,11.15,-3550.0,12.5,7.527,12.9311,-7.800000000000001,-1195.0,-15.2,1.0,12.0,0.085162161174357,6.486486486486486,0.003367948358125,2.1925817650283213,174.1654571843251,0.5769230769230761,0.009933774834437,0.425531914893617,0.923076923076923,10.87,-128.90765,10.15,-3551.0,11.5,6.527,11.9311,-8.8,-1196.0,-16.2,-1.0
Ni,257.5,171.8,0.0,-0.0,171.8,171.8,257.5,-0.0,-0.0,-0.0,-0.0,-0.0,171.8,-0.0,116.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,116.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,116.0,0.0,0.0,171.8,257.5,171.8,-0.0,86.74,200.367,1.91,13.91,22.92,-56.7834,0.559999999999999,-3184.09,0.789999999999999,-5.7298,1.735199999999999,-4.68,-1726.09,-4.89,-89.09,-10.09,28.0,58.6934,60.60339999999999,60.0434,149.6934,70.6934,43.47659259259259,0.018422284996861,7.682583313699311,335.77459954233404,8.906433990895296,0.033966087962962,8.631382352941177,0.644982417582417,4.891116666666666,112.10439399999998,79.23609,5341.0994,704.3208,56.7834,57.343399999999995,-3127.3066,57.5734,51.0536,58.5186,52.10339999999999,-1669.3066,51.8934,-32.3066,46.6934,1.35,3.26,92.35,13.35,0.023000882552382,0.000423728813559,0.17670619649729,7.723112128146453,0.204855842185129,0.00078125,0.198529411764705,0.014835164835164,0.1125,2.5785,122.85,16.200000000000003,-0.559999999999999,-57.343399999999995,-3184.65,0.229999999999999,-6.2898,1.1752,-5.24,-1726.65,-5.449999999999999,-89.65,-10.65,0.74,3.0,3186.0,3187.91,3244.6934,3187.35,4914.0,3277.0,3198.0,54.28208282362242,2360.0,417.0266237336056,18226.544622425627,483.4597875569044,1.84375,468.5294117647059,35.010989010989015,265.5,6085.259999999999,186997.1724,4301.1,5505408.0,289926.0,38232.0,3184.09,3127.3066,3184.65,3184.88,3178.3602,3185.8252,3179.41,1458.0,3179.2,3095.0,3174.0,10.0,176.8416,176.8417,176.8417,1.12,3.03,59.813399999999994,2.47,3187.12,7.71,1729.12,92.12,13.12,2.1392,65.736608,1.512,3568.32,7.380800000000001,1935.36,101.92000000000002,13.44,-0.789999999999999,-57.5734,-0.229999999999999,-3184.88,-6.5198,0.9452,-5.47,-1726.88,-5.68,-89.88,-10.88,7.6398,9.5498,66.33319999999999,8.9898,3193.6398,8.7598,14.2298,1735.6398,98.6398,19.6398,0.130164550017548,5.659111111111111,0.002397928436911,43.70594965675057,1.159301972685887,0.004421180555555,1.1235,0.083953846153846,0.63665,14.592018,448.40583732,10.31373,24340.4028,8.556576000000002,50.346282,13201.5744,695.2218,91.6776,5.7298,-51.0536,6.2898,-3178.3602,6.5198,7.465,1.0498,-1720.3602,0.8398000000000001,-83.3602,-4.360199999999999,0.1748,2.0848,58.868199999999995,1.5248,3186.1748,1.2948,7.8146,6.7648,1728.1748,6.9748,91.1748,12.1748,0.002978188348264,0.129481481481481,5.486503452605147e-05,0.022880180109426,0.026525037936267,0.000101157407407,0.025705882352941,0.001920879120879,0.014566666666666,0.333868,10.25960632,0.23598,556.9128000000001,0.195776,1.33543704,1.151932,302.05440000000004,1.18864,15.9068,2.097599999999999,-1.735199999999999,-58.5186,-1.1752,-3185.8252,-0.9452,-7.465,-6.4152000000000005,-1727.8252,-6.6251999999999995,-90.8252,-11.8252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.3801824,4.0,176.8416,176.8417,176.8417,-1.0,6.59,8.5,65.2834,7.94,3192.59,1734.59,97.59,18.59,0.112278382237185,4.881481481481481,0.002068424356559,0.8625880258645511,37.70022883295194,0.003813657407407,0.9691176470588232,0.072417582417582,0.549166666666666,12.5869,386.789506,8.8965,20995.74,11387.52,599.6899999999999,79.08,4.68,-52.10339999999999,5.24,-3179.41,5.47,-1.0498,6.4152000000000005,-1721.41,-0.209999999999999,-84.41,-5.41,0.005399999999999,1728.0,1729.91,1786.6934,1729.35,1819.0,1740.0,29.44112966704945,1280.0,0.5423728813559321,226.18393151653183,9885.58352402746,262.2154779969651,254.1176470588235,18.98901098901099,144.0,3300.48,101422.1952,2332.8,157248.0,20736.0,1726.09,1669.3066,1726.65,-1458.0,1726.88,1720.3602,1727.8252,1721.41,1721.2,1637.0,1716.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.005399999999999,0.0,-5.54632457,6.8,8.709999999999999,65.4934,8.15,3192.8,7.92,14.4398,13.39,1734.8,97.8,18.8,0.115856297300889,5.037037037037036,0.002134337727558,0.8900756564307961,38.901601830663616,1.031866464339909,0.003935185185185,0.074725274725274,0.5666666666666661,12.988,399.11512,9.18,21664.8,7.616,51.95064,44.812,11750.4,618.8,81.6,4.89,-51.8934,5.449999999999999,-3179.2,5.68,-0.8398000000000001,6.6251999999999995,0.209999999999999,-1721.2,-84.2,-5.2,4.0,91.0,92.91,103.0,1.550429860938368,67.4074074074074,0.02856246076585,11.911306578706249,520.5949656750572,13.808801213960546,0.052662037037037,13.382352941176473,7.583333333333333,173.81,1092.0,89.09,32.3066,89.65,-3095.0,89.88,83.3602,90.8252,84.41,-1637.0,84.2,79.0,12.0,0.20445228935451,8.888888888888888,0.003766478342749,1.570721746642582,68.64988558352402,1.820940819423368,0.006944444444444,1.7647058823529411,0.131868131868131,10.09,-46.6934,10.65,-3174.0,10.88,4.360199999999999,11.8252,5.41,-1716.0,5.2,-79.0
