element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134
X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H,-1.6008940245265892,1.2898603712937091,-0.285849046901069,-0.205408911524091,-0.6363305053660151,-0.8383931302573031,-0.6858765698107451,-1.284546134311118,0.7238969978807479,0.8087484820066011,1.6329382371626302,0.129843131249002,-0.236247034542501,-1.604417658572757,-1.6125290904116971,-1.619171291876759,1.690221602874415,1.652249325373404,-1.705696374999324,-1.705425221467125,-1.7041669093841811,-1.702298931980698,-1.6997302920173218,-1.6966328135058415,-1.693038564207175,-1.6890684301350012,-1.6848085446449832,-1.6803385880317312,-1.6757058466386592,-1.6710153105222552,-1.666303378844469,-1.6615795307282468,-1.6568762552367962,-1.652263840177989,-1.6476492725464662,-1.6431659919031691,-1.6387133311591788,-1.6343351275421092,-1.6300223730596142,-1.6215534058924383,-1.613474342253406,-1.6094586404885858,-1.605507296345202,-1.597792212352999,-1.590257949317132,-1.5828863376921316,-1.5756938782231609,-1.572210788362147,-1.568718508506819,-1.5619306797696642,-1.5553289302093112,-1.5489045928773182,-1.5427510037849632,-1.539737479264334,-1.5367546699392258,-1.5310510200041811,-1.525494577284694,-1.512701764172824,-1.5007333541415602,-1.4909912498729008,-1.4818609938733518,-1.4663935109928632,-1.454018110243499,-1.4441872739675343,-1.4366428715978985,-1.431176215381844,-1.427112043415662,-1.4243206910647768,-1.422143404431801,-1.417230500316327,-1.41479231432147,-1.411468230790318,-1.406964742961566,-1.401044598202956,-1.3615749520676592,-1.319922961640661,-1.302379724129668,-1.307711825831392,-1.3152950392652571,-1.2830134411890892,-1.5112810411203148,-0.7282497269853551,2.25226643220394,-0.51096314088158,-0.6223084040819731,-0.44780316079175,-1.1959317511711232,-1.9677556434531465,-0.5701889578367061,-0.8759960598723291,-0.680729363320218,-2.777747472268995,-3.014000908150648,-0.101522432898648,-1.490699654150306,-0.021241743975955,-1.1416387730271291,-0.423971490452934,-0.139208348769235,-3.197464210316366,-1.8476032202711168,-2.3346143959824484,-0.5212082098994131,0.19585357030588,-1.28647639419574,1.1740456807905,-0.8017107639826191,-0.8065812553070221,-0.8574073327739091,-0.14640204879039,-0.159595509789458,-1.463566973912041,-0.101017297115612,0.248174528753224,1.264015086713665,0.558997763475386,-1.8341724175123384,-0.942545052792878,-1.1822363349050968,-1.063158127740069,-1.505897290802131,-0.9263892871979752,-1.308133786910176,-1.6019170841042802,-1.3887207925245115,0.05653652865963,-0.8493528164601001,-0.8221197353206221,0.3814454739134261,2.4977736233420496,0.539393760304807,-1.837302248140972,-1.837303066166104,-0.216545013446606,-1.1812061627814008
He,-1.5606721485065211,1.486857228000384,-0.286106011972066,-0.21714642847422,-1.131254231761806,-0.8383931302573031,-0.9250790745846,-1.3283028242039792,-0.253286304215021,3.1064210708495392,4.871571008577068,0.05809756940253,-0.2361526096328179,-1.8604237709357692,-1.844945559702509,-1.8183631276622052,4.076849903444147,3.550265729056193,-1.670527377576658,-1.670227691081306,-1.668835628145368,-1.666784823665843,-1.6639936118265208,-1.660566060728061,-1.656609447048637,-1.6522846992008602,-1.647610005113734,-1.642740470690575,-1.6377267580509631,-1.6326394505563822,-1.6275913857187891,-1.62255700797256,-1.617570612404054,-1.6127041643218731,-1.607944084210272,-1.603309476356492,-1.5988194025200233,-1.594441404935692,-1.590209131685163,-1.5819892501624722,-1.574382960154487,-1.5707216310638192,-1.5671349567790032,-1.560227112462865,-1.55368699781158,-1.5474176497086911,-1.541395426195768,-1.5385000736640828,-1.5356133221314443,-1.5300909139609111,-1.524778598976036,-1.5196149847955782,-1.5147409076798692,-1.5123406221324118,-1.509987589818935,-1.505485463059488,-1.501138757494771,-1.4910932032649251,-1.481557956560343,-1.4740329054427832,-1.4667909394728258,-1.4544706844683182,-1.444472078598403,-1.436520393457256,-1.430324070398771,-1.4258836136476192,-1.4228407351371115,-1.4206780927414542,-1.419001416157626,-1.417230500316327,-1.41479231432147,-1.411468230790318,-1.406964742961566,-1.401044598202956,-1.3615749520676592,-1.319922961640661,-1.302379724129668,-1.307711825831392,-1.3152950392652571,-1.2830134411890892,-2.0765693694782947,-0.9375414373799732,-0.4394666209178421,-0.51096314088158,-0.6223084040819731,-0.44780316079175,-1.069227630506507,0.442745019776957,-0.5701889578367061,-0.8759960598723291,-0.680729363320218,-2.846236046308502,-2.624033985670199,-0.101522432898648,-1.490699654150306,-0.021241743975955,-1.1416387730271291,-0.423971490452934,-0.139208348769235,-0.8242516461958761,-2.246504936964941,-1.5818433580148672,-0.5212082098994131,-0.5930852485889859,-1.286461440515634,1.1740456807905,-0.8017107639826191,-0.8065812553070221,-0.8574073327739091,-0.14640204879039,-0.159595509789458,-1.463566973912041,-0.101017297115612,0.248174528753224,0.0390417048328479,-0.305540203951187,-1.068681151075406,-0.942545052792878,-1.1822363349050968,-1.063158127740069,-1.5695795872653733,-0.9646645805757672,-1.309936014888792,-1.612118408370872,-1.403156368022249,0.05653652865963,-0.8493528164601001,-0.8221197353206221,0.3814454739134261,6.17693998397996,1.40395958964803,-1.0413044979704908,-1.041304394642573,-0.216545013446606,-0.8404559945830951
Li,-1.5212059649927832,-1.6979252887575371,-0.2299745618635419,-0.217135748295012,-0.6363305053660151,-0.8383931302573031,-0.6858765698107451,-1.0726777442102071,-1.230469606310792,-0.9083294204082808,-0.7864589469422391,-0.01364799244394,-0.235431546686151,0.26668583913926,0.270921354124224,0.224959574911081,-0.8767913948313991,-0.922071773874516,-1.635358380153992,-1.6354525310601171,-1.6351968633730851,-1.63494946760671,-1.634509074492163,-1.633748108910126,-1.63264670430234,-1.63112591592016,-1.6291382523788231,-1.6266584634684789,-1.623734462255496,-1.6203576821431789,-1.6165577145263528,-1.612411911988366,-1.6080222172183438,-1.603375512774589,-1.598603985772919,-1.5936807735907612,-1.588736321655182,-1.5837333017941109,-1.578740966141144,-1.568870390550018,-1.5594163030168322,-1.5547811802828302,-1.5502441978277417,-1.5415109319522329,-1.5332090731737371,-1.5253882692814753,-1.5179479287299982,-1.5143733103865438,-1.510892855449396,-1.504254937068182,-1.49804705914692,-1.4921720069956992,-1.4866261009351298,-1.483991750659998,-1.4814574086128782,-1.4765947483885131,-1.472000744778061,-1.4618340437653092,-1.4527642285629891,-1.445961706518686,-1.4397455739861662,-1.4298154567786692,-1.422411921435365,-1.4169175739707471,-1.4130652551832452,-1.4106164932604282,-1.4093696859509142,-1.4088102723977258,-1.408444335556396,-1.4078508893738315,-1.40653608004677,-1.404084543577636,-1.400289276967284,-1.395365030883552,-1.3580777327650648,-1.317719379925856,-1.3009238242165349,-1.3049375501252318,-1.3152950392652571,-1.2830134411890892,-1.5112810411203148,-0.7282497269853551,2.25226643220394,-0.51096314088158,-0.6223084040819731,-0.44780316079175,-1.1959317511711232,-1.9677556434531465,-0.5701889578367061,-0.8759960598723291,-0.680729363320218,-0.563283578324926,-0.200668110255975,-0.101522432898648,-1.490699654150306,-0.021241743975955,-1.1416387730271291,-0.423971490452934,-0.139208348769235,-0.199722024058904,0.219432948051426,-0.5530562727925071,-0.5212082098994131,-0.437614306689302,-1.196195643394312,1.1740456807905,-0.8017107639826191,-0.8065812553070221,-0.8574073327739091,-0.14640204879039,-0.159595509789458,-1.463566973912041,-0.101017297115612,0.248174528753224,-1.185931677047968,-1.1700781713777608,-0.303189884638473,-0.942545052792878,-1.1822363349050968,-1.063158127740069,0.7151738434163231,-0.7526564499701559,-0.5923806546331739,-0.5888544419461371,-0.9027304529498252,0.05653652865963,-0.8493528164601001,-0.8221197353206221,0.3814454739134261,-0.3223819091215419,0.9185409525501872,-0.5949376735323451,-0.5949373564383941,-0.216545013446606,-0.5836457676867249
Be,-1.493387524841943,0.469040135015894,-0.2861042725162009,-0.217125068115803,-1.131254231761806,-0.8383931302573031,-0.9250790745846,-0.8170526642164331,-0.285325101005047,-0.080673165287438,0.3716690595781179,-0.191865278491797,-0.236475943414459,-0.956872786125137,-1.044643566389806,-1.034446870700126,0.483031706656005,0.779598105289363,-1.6001893827313252,-1.600219803143912,-1.5998303213745522,-1.599399986674011,-1.5988079178403205,-1.5980741623507158,-1.5972235193730309,-1.5961867968617731,-1.595036555022066,-1.5937233938835018,-1.592270305043466,-1.5906051914887032,-1.5887287622696633,-1.586612210964888,-1.5842854436442302,-1.581737686156615,-1.5789858710635012,-1.575962382025951,-1.57275483775478,-1.569361900209358,-1.5658087794638451,-1.558159422891748,-1.550258235193224,-1.546125344106057,-1.541972056905458,-1.533546599820049,-1.5251173546082308,-1.5167520132230068,-1.508559494131028,-1.504503270863914,-1.500580613987489,-1.492887107235382,-1.4854852453174483,-1.478424870452956,-1.4717048347856871,-1.468442183098636,-1.465322362312823,-1.4593148303683248,-1.4537060764883711,-1.441101505596919,-1.4299742991693392,-1.4215519683238191,-1.41418030312813,-1.4030258959457391,-1.3954584203197982,-1.390606234037745,-1.387884360852396,-1.386799785456412,-1.3870274580323407,-1.388012211003271,-1.3892153673184422,-1.390163623025126,-1.390165960364176,-1.3890157941640011,-1.386620465645658,-1.38266952746371,-1.3500547002473509,-1.3123328468452211,-1.2971384844423892,-1.2997357831761842,-1.313898028605893,-1.281880675275707,-0.945992712762334,-0.9375414373799732,-0.4394666209178421,-0.51096314088158,-0.6223084040819731,-0.44780316079175,-1.069227630506507,0.442745019776957,-0.5701889578367061,-0.8759960598723291,-0.680729363320218,-1.293828368079671,-1.064166295748399,-1.397586595420857,-1.490699654150306,-1.109398355835122,-1.5225912679653208,-0.423971490452934,-1.3027408160941891,-1.1989694194780591,-0.7778213436831329,-1.2556425748955828,-1.842685593513476,-1.261915143741745,-0.9745908806458152,-0.338450196350854,0.521164176529761,1.9572513253600732,1.588190418082529,-0.14640204879039,-0.159595509789458,0.827752158446137,-0.101017297115612,1.487164305471702,1.107635506048028,1.1242725883312228,-1.2903197416009409,1.4528702089550891,0.187116542215195,-0.1736379662227219,1.005452212382813,-0.40049529342728,0.140232344804212,0.1276520196177419,0.320104273612381,3.1514223501129486,-0.0452726000371,0.1636324059893769,-0.522370004949958,-0.3223819091215419,0.429456423045846,-1.627738062639366,-1.627737000527528,-0.216545013446606,-1.104851775355594
B,-1.469227257479994,0.633204182271457,0.3147913886495119,2.346085901383955,-0.6363305053660151,-0.340438422589329,-0.6858765698107451,-1.0586076719976492,0.467586623560546,0.4999215211406151,0.071086218191155,-0.370082564539653,-0.236404767062084,-0.956872786125137,-0.93501315634697,-0.995893612161008,0.170827423151243,-0.79117409086191,-1.5650203853086582,-1.564987075227708,-1.5644285186163012,-1.563744387887782,-1.56282257287682,-1.561757441979424,-1.560542919157185,-1.5592945593467051,-1.5580201826775508,-1.5567127471258022,-1.555438732777621,-1.554170522882972,-1.552878745289462,-1.551541336083196,-1.5501566415748251,-1.5487196788129092,-1.54717482450281,-1.5455372597621018,-1.5437809255463233,-1.54186703387214,-1.539822404348141,-1.535242933948472,-1.530246161060156,-1.527485300854095,-1.5246482015708311,-1.518591353927392,-1.512143481824432,-1.50543713229079,-1.4985105666456988,-1.4950146821440908,-1.491521261675159,-1.484422749091478,-1.477395437211268,-1.4704741011838316,-1.4636944708528292,-1.460350061204458,-1.4570945572459069,-1.4507021267494309,-1.4445865457907745,-1.4303556266589368,-1.417292806200291,-1.406970361560044,-1.397630154098981,-1.3830809207102328,-1.3729971693901593,-1.3663858615166378,-1.362609156055888,-1.3612528040085143,-1.361509129086128,-1.362984035426893,-1.3648335383108408,-1.3667145956688878,-1.3678171882757644,-1.3677688574907758,-1.3664351279962812,-1.3637933184315758,-1.336477260601988,-1.302783992747731,-1.2901501648593507,-1.290719387131166,-1.310638337067376,-1.280181526405634,-0.3807043844043541,0.108917114593117,-0.4394666209178421,2.827329379544744,-0.6223084040819731,-0.44780316079175,-0.9425235098418908,0.442745019776957,-0.038012597189113,-0.8759960598723291,-0.680729363320218,-1.5677826642376995,-1.5376975587603738,-1.8550210057228127,-2.063783274052484,-1.6140506975669089,-1.7799916023830182,-0.423971490452934,-2.000860296489162,-1.6985931171876358,-1.231118749017025,-0.277040225537728,-1.493437999272616,-1.283863982598171,-0.8712990948102629,-0.5694654167787839,2.6333174428940667,1.559637583875772,1.245135484681388,-0.25614442793985,5.459148128647852,2.6046935263973783,-0.1010172970166169,-0.7253174386595871,1.3682681404907555,1.390284270616323,-1.3201198882262228,1.838339331535221,0.405419174799589,-0.0846859500709879,0.301316730375079,2.591095945487455,1.165890544016555,1.099509188228323,1.191102243919997,4.266823718246216,1.139437304633474,1.027137945784045,-0.5739454651763221,0.224914287424301,-0.32879930483001,-1.742625120832298,-1.742624748644121,-0.216545013446606,-1.147819832593254
C,-1.45311385815103,0.79736822952702,-0.286108779288215,-0.217141088384616,-0.141406778970225,-0.340438422589329,-0.9250790745846,-1.189477607558991,1.2845759417061888,1.105222364437948,0.9433658363337152,0.66504099823463,-0.236334663720047,-1.239232468878459,-1.1981261404497772,-1.201510991036307,1.065813035864893,0.1251096902263319,-1.5298513878859918,-1.529719149781118,-1.529026715858049,-1.528018043865866,-1.5266951337574912,-1.525155044358408,-1.523467131279856,-1.521751282346077,-1.5199836740873218,-1.518306857732395,-1.516682294423509,-1.515197373267825,-1.513790176355167,-1.51251881332751,-1.5113111623654898,-1.5102051215948693,-1.509110992377365,-1.5080484580102782,-1.5069956147232049,-1.505918401896831,-1.5048078989105491,-1.502279723403254,-1.4996344713905043,-1.49808973839238,-1.496453627013725,-1.492884259656288,-1.488862839024235,-1.484469965175578,-1.4797336974477588,-1.477277219813568,-1.474703634244292,-1.469413276801417,-1.4639794200413918,-1.4583684137805208,-1.452699853690082,-1.449877903459052,-1.4469967964819652,-1.441326272176963,-1.4357450495656652,-1.422179414423515,-1.4090222673074342,-1.39797730011983,-1.3875385998129142,-1.370201324155939,-1.357033637479451,-1.3477414020939151,-1.341672232679677,-1.3384539042303092,-1.337414569566099,-1.338073363022235,-1.339446273055504,-1.341255651682115,-1.342479089984444,-1.343056108452414,-1.3422762986836398,-1.340406864763445,-1.317962570176493,-1.288583132807875,-1.2790853255195391,-1.27858193091672,-1.304584624210132,-1.2762168457087972,0.184583943953626,-0.1003745958015,-0.4394666209178421,2.159670875459479,-0.6223084040819731,-0.44780316079175,-0.8158193891772741,0.442745019776957,0.4941637634584779,-0.8759960598723291,-0.680729363320218,-1.750418861676386,-1.816245360532124,-2.27433588183294,-2.6846238622798437,-1.8979176397910391,-1.913839776280221,-0.423971490452934,-2.320831725003525,-2.073310890469819,-1.5937566732841382,-0.829072320047287,-1.144190405031757,-1.410679495990854,-0.905054580377437,-0.104529124093641,-0.55714564892991,1.162023842391472,0.9020805512802472,-0.3658868070893101,4.734501741325304,1.918856507188127,-0.101017297033116,-0.4155699944814431,2.3482468459954102,1.456787191187598,-1.543620987915838,1.326216068678759,0.10773376672996,-0.27148518398963,0.8952474848061441,6.503997684852745,2.181780569903066,1.116659608850863,2.821460119813061,5.382225086379484,1.8816651967162443,0.7100376703382121,-0.294568508593818,1.292213694336538,-0.985706468845148,-2.016572037173631,-2.016571837758396,-0.216545013446606,-1.239594811989371
N,-1.4263052017697562,0.961532276782582,-0.28460138264866,-0.2120306226333539,0.353516947425564,-0.8383931302573031,-0.2074715602630369,-1.2434934390361558,2.069526463061808,1.759935521473839,1.906999063133097,-0.7390753400027091,-0.236604704654935,-1.4651202150811171,-1.461239124552583,-1.445681628450725,1.9261092837446792,0.5614353002683531,-1.494682390463326,-1.4944864218649132,-1.493589652340078,-1.492256327226106,-1.490532171099206,-1.48848122742496,-1.4862117126473071,-1.4838463167423608,-1.4814735308115818,-1.479166630109668,-1.476963423025266,-1.4749549831479691,-1.4730823314438242,-1.4714444734064809,-1.469934783227413,-1.4686326246580108,-1.467490888461965,-1.466495080910624,-1.4655872312505949,-1.464776742458125,-1.464018643447245,-1.462549506159206,-1.4612638631480732,-1.4605525478436,-1.4597703633426533,-1.4580624297227949,-1.456089118577356,-1.453850511877374,-1.451238147207669,-1.449812762011468,-1.44834477405895,-1.4451028528299732,-1.4416193914249331,-1.4379528901088352,-1.4340090045134115,-1.432001189732045,-1.429953485986212,-1.4257361884111162,-1.421454077679798,-1.410557512746024,-1.399220147138122,-1.3891769471390492,-1.3791289712411912,-1.3611488077206348,-1.3462843245345522,-1.334585732127414,-1.326582558174299,-1.320540482976006,-1.317481797599529,-1.31633527625402,-1.316321239357572,-1.3170026576736622,-1.317568038293539,-1.317740609437508,-1.3168459520387548,-1.31501585792376,-1.2957449416658993,-1.270464794263921,-1.264235146405582,-1.262629845606305,-1.296202560253946,-1.270553016141887,-0.3807043844043541,-0.309666306196118,-0.4394666209178421,1.492012371374214,-0.6223084040819731,-0.44780316079175,-0.689115268512658,0.442745019776957,1.026340124106071,-0.8759960598723291,-0.680729363320218,-1.864566485075564,-1.927664481240824,-2.541172621175748,-2.9711656722309323,-2.08716226794046,-1.996207883293884,-0.423971490452934,-2.4662732834191443,-2.198216814897213,-1.79320753163105,-1.2054578390310773,-0.794942810790897,-0.373596860024727,-1.28628042672428,0.3604071685915,-0.616508272310885,0.7644101009071721,0.5590256178791051,-0.4756291862387701,4.009855354002759,1.2330194879788758,-0.101017297049615,-0.105822550303298,2.994615779413373,1.057769667759948,-1.4095203281020692,0.814092805822297,-0.189951641339667,-0.4582844179082729,-2.207509158036007,-0.94047573345969,-1.2967147922922782,-1.5656598245067042,-1.334515538128718,3.8609023342736664,0.7159867764580481,0.3929373948923801,-0.015191552011315,1.9892621966301631,-0.7267141538902341,-0.7741488915437491,-0.7741491804144259,-0.216545013446606,-0.6929123694691101
O,-1.39954086831737,1.125696324038146,-0.286111325219072,-0.217156040635508,-0.141406778970225,-0.340438422589329,0.031730944510817,-1.269222032450279,2.710302398862313,2.427001756944369,1.638832018366296,0.874708393585049,-0.083343061476984,-1.418060267955564,-1.417386960535449,-1.407128369911606,1.690221602874415,0.1251096902263319,-1.4595133930406592,-1.459253693948709,-1.458187849581826,-1.456600728439877,-1.454511302596749,-1.4519859587725907,-1.4492077770720662,-1.4463030397417331,-1.443291288471964,-1.440356854690136,-1.43754068487137,-1.434899246043512,-1.432449801694205,-1.430256143642933,-1.428289975309015,-1.4265569224509669,-1.4250501064411911,-1.4237578469135448,-1.422624538869965,-1.4217027937307118,-1.4209113545229162,-1.4195810893905652,-1.4187806040774482,-1.41843033516158,-1.418106491262876,-1.4174443358486568,-1.4167606540411002,-1.415980298145054,-1.415005394584508,-1.4144332000511228,-1.413842134401355,-1.412426493483741,-1.4108178239150682,-1.4089197584551307,-1.4068365935254792,-1.405715015997362,-1.404575515812284,-1.4020785088503551,-1.399433747458772,-1.39227783824826,-1.38396559762463,-1.3763297165101722,-1.3681628155836651,-1.352096291285332,-1.337460261669337,-1.324827884205241,-1.314699439501315,-1.30720719783786,-1.302039375361692,-1.2988273036677271,-1.296966591588652,-1.2959655302740658,-1.295219266205127,-1.2942333603522371,-1.292528183059584,-1.290125989376963,-1.271264406547744,-1.24891866194138,-1.245599627517478,-1.24320991566319,-1.285026474979033,-1.2626236547482128,-0.945992712762334,-0.518958016590736,-0.4394666209178421,0.8243538672889491,-0.6223084040819731,-0.44780316079175,-0.562411147848042,0.442745019776957,1.558516484753663,-0.8759960598723291,-0.680729363320218,-1.978714108474743,-2.1505027226582243,-2.655531223751237,-3.018922640556113,-2.229095739052525,-2.057983963554132,-0.423971490452934,-2.6989797768841357,-2.323122739324608,-1.938262701337895,-1.280734942827835,-0.4456952165500379,-0.6979519231252441,-1.2862503843421251,0.8253434612766429,-0.6758708956918611,0.366796359422871,0.215970684477964,-0.5853715653882301,3.2852089666802105,0.5471824687696251,-0.101017297066114,0.203924893874846,1.910384020131628,0.3678018668329699,-0.877773961757193,0.301969542965835,-0.487637049409296,-0.6450836518269161,-2.197180020582927,-0.950293559642098,-1.29368665856127,-1.5574720866613512,-1.3436344889599845,2.339579582167849,-0.3878393194599159,0.075837119446548,0.264185404571187,-0.3223819091215419,0.169561255608651,-1.448137347336613,-1.448138165200182,-0.216545013446606,-1.032090535573355
F,-1.3592606874990298,1.322693180744821,-0.286103956251498,-0.217135748295012,-0.6363305053660151,-0.340438422589329,-0.2074715602630369,-1.294950625864402,3.575349912192995,3.143480306153458,2.7586504470628266,2.9187470947148157,-0.159853527073125,-1.61571204588289,-1.60375865760827,-1.5741924902477868,2.6060208344883837,0.779598105289363,-1.424344395617992,-1.424020966032504,-1.4228213075832934,-1.420980502271491,-1.418561481172206,-1.4156692384012992,-1.4124193984030882,-1.40894060704265,-1.405400513631123,-1.4018408145623311,-1.398414079961823,-1.395142153763692,-1.392080875010617,-1.3892957935644228,-1.386721861327852,-1.3844425121462158,-1.3824139248715182,-1.380665455847237,-1.3791437435199958,-1.377823724466337,-1.3767467170023302,-1.375035088238148,-1.374050226513068,-1.373737082031013,-1.373497563776212,-1.3731980462254132,-1.3731377019980129,-1.373168483352541,-1.3732528085539129,-1.373236513347973,-1.37326780117273,-1.373205019991352,-1.372981640660699,-1.3726539915308051,-1.372125016483092,-1.3718127275387482,-1.371504013627734,-1.370625787406671,-1.369628452008092,-1.36634756515878,-1.3617270374905042,-1.3573158151794331,-1.351881774668811,-1.3398054762878058,-1.32743291750432,-1.3156799017782042,-1.305268392935453,-1.2967237751719891,-1.2901016163267691,-1.285196935748198,-1.281508009279709,-1.2786802472514671,-1.27628686692004,-1.2737398611496928,-1.2707534487449008,-1.26740772009935,-1.246372433864578,-1.2251689479040342,-1.224052308803109,-1.221015710013917,-1.270125027945815,-1.252428761527775,-1.5112810411203148,-0.7282497269853551,-0.4394666209178421,0.156695363203684,-0.6223084040819731,-0.44780316079175,-0.4357070271834249,0.442745019776957,2.090692845401256,-0.8759960598723291,-0.680729363320218,-2.184179830593265,-2.122647942481049,-2.5792921553675767,-3.018922640556113,-2.3394884388063533,-2.109464030437671,-0.423971490452934,-1.5742317251366789,-2.572934588179396,-2.047054078618029,-1.4061967824890993,-0.096447622309178,-0.7552627801392451,-1.286205320768893,1.2902797539617858,-0.7352335190728371,-0.030817382061428,-0.127084248923176,-0.6951139445376899,2.560562579357663,-0.138654550439625,-0.101017297082613,0.5136723380529901,0.826152260849884,-0.322165934094006,-0.346027595412317,-0.210153719890626,-0.785322457478925,-0.831882885745559,-2.182285480309123,-0.947590100258536,-1.294370430694079,-1.560787834648375,-1.345071414545517,0.8182568300620321,-1.22522463360458,-0.241263155999284,0.5435623611536899,0.3850810221089769,0.963119553303131,-1.3649723542557342,-1.3649725637326109,-0.216545013446606,-0.996009344652532
