Phase fields,     scores,     Norm. scores,
As Cu Ge Se     ,   2.29,      0.0,
As Ga Se Zn     ,    2.4,    0.015,
Cu Ga S Se      ,  2.637,    0.046,
As Cd Ga Se     ,  2.668,     0.05,
As Ga S Zn      ,   2.72,    0.057,
Ag Ga S Se      ,  2.761,    0.062,
Cd Ge S Se      ,  2.882,    0.079,
As Cu In Se     ,  2.919,    0.083,
Cd Ga S Se      ,  2.927,    0.085,
Br Cu Ge S      ,  2.942,    0.086,
As Cd Ga S      ,  2.959,    0.089,
As In Se Zn     ,  2.962,    0.089,
Cu Ge P Se      ,  2.984,    0.092,
Cu Ga Se Te     ,  2.985,    0.092,
Al Cu S Se      ,  2.993,    0.093,
As Br Cu S      ,  3.005,    0.095,
Cu Ge I Se      ,  3.023,    0.097,
Al S Se Zn      ,  3.035,    0.099,
Ag Br Ge S      ,  3.053,    0.101,
Cd S Se Zn      ,  3.054,    0.101,
As Ge P Zn      ,  3.057,    0.102,
As Ga Te Zn     ,  3.058,    0.102,
Ga P Se Zn      ,  3.069,    0.103,
Ag Ga Se Te     ,  3.094,    0.107,
Ag Ge I Se      ,  3.131,    0.112,
Cu In S Se      ,  3.157,    0.115,
As Cd In Se     ,  3.183,    0.119,
In S Se Zn      ,  3.197,     0.12,
Cu Rh S Se      ,  3.206,    0.121,
Br Cu In Se     ,  3.209,    0.122,
Cu S Sb Se      ,  3.223,    0.124,
As Co Ni S      ,  3.228,    0.124,
Cu Ge P S       ,  3.247,    0.127,
In Ni S Se      ,   3.26,    0.129,
Ag In S Se      ,  3.261,    0.129,
As Cl Cu S      ,  3.261,    0.129,
As Cd Ge P      ,  3.272,     0.13,
As Cd Ga Te     ,  3.272,     0.13,
Cu P S Se       ,  3.276,    0.131,
Cu Ge I S       ,  3.282,    0.132,
As As Cd Cl     ,  3.287,    0.132,
Ag Cl Ge S      ,  3.306,    0.135,
Ag Br In Se     ,  3.311,    0.135,
Cu Cu S Te      ,  3.324,    0.137,
Br Cu P Se      ,  3.325,    0.137,
Ag S Sb Se      ,  3.325,    0.137,
Ga P S Zn       ,  3.325,    0.137,
Ag S Se Te      ,  3.337,    0.139,
As Cu I S       ,  3.339,    0.139,
Cd Se Te Zn     ,  3.359,    0.142,
As As Cd I      ,  3.364,    0.142,
Ni P S Se       ,  3.374,    0.144,
Cu Fe S Se      ,   3.38,    0.145,
Ag Ge I S       ,  3.382,    0.145,
Ag Br Se Te     ,  3.386,    0.145,
Ge Sb Se Te     ,  3.402,    0.148,
Cd In S Se      ,  3.403,    0.148,
As Cd P Zn      ,  3.424,    0.151,
As Cd In S      ,  3.431,    0.151,
Cl Ga Sb Se     ,  3.438,    0.152,
Ge Se Sn Te     ,  3.444,    0.153,
Cu In Se Te     ,  3.453,    0.154,
As Cu In Te     ,   3.48,    0.158,
Cl Ga P Se      ,  3.487,    0.159,
Al Br Sb Se     ,  3.495,     0.16,
Br Cd Sb Se     ,  3.511,    0.162,
Cd S Se Si      ,  3.519,    0.163,
Cu I In Se      ,  3.523,    0.164,
Br Cu S Te      ,  3.526,    0.164,
Ga S Se V       ,  3.529,    0.164,
Ga Ga I Te      ,  3.533,    0.165,
Ag Cl In Se     ,  3.545,    0.166,
Ag In Se Te     ,  3.548,    0.167,
Ag Br In S      ,  3.549,    0.167,
Cl Cu P Se      ,  3.558,    0.168,
Br Cu P S       ,  3.562,    0.169,
Br Cu S Si      ,  3.568,     0.17,
Br In In Se     ,  3.578,    0.171,
As Br Cd P      ,  3.586,    0.172,
Se Sn Te Zn     ,  3.589,    0.172,
Cu S Se V       ,  3.599,    0.174,
Ag Sb Se Te     ,  3.607,    0.175,
Ag Cl Se Te     ,  3.615,    0.176,
Ag I In Se      ,  3.616,    0.176,
Cu I P Se       ,   3.63,    0.178,
In S Se Sn      ,  3.631,    0.178,
Cu I Se Si      ,  3.635,    0.178,
Br In Sb Se     ,  3.637,    0.179,
Ag Br S Sn      ,  3.647,     0.18,
As Cr Cu Se     ,   3.66,    0.182,
As P Si Zn      ,  3.664,    0.182,
Cl Ga S Sb      ,  3.668,    0.183,
Ag Br I S       ,  3.686,    0.185,
As Cd In Te     ,  3.704,    0.188,
Br P S S        ,  3.708,    0.188,
Al Cl Sb Se     ,  3.717,    0.189,
Br Cu In Te     ,  3.726,    0.191,
S Se Sn Sn      ,  3.727,    0.191,
I S Sb Se       ,  3.727,    0.191,
Fe In S Se      ,  3.732,    0.191,
Br Cd S Sb      ,  3.737,    0.192,
Br Ni O Se      ,  3.746,    0.193,
Cl Cu S Te      ,  3.747,    0.193,
Al Cl P Se      ,  3.763,    0.195,
Ag Cl In S      ,  3.769,    0.196,
Cd Se Sn Te     ,  3.774,    0.197,
Cl Cu P S       ,  3.781,    0.198,
Cu I S Sb       ,  3.804,    0.201,
Br Nb Se Se     ,  3.806,    0.201,
S Sn Te Zn      ,   3.81,    0.202,
Cu I S Te       ,  3.814,    0.202,
Ag Br In Te     ,  3.814,    0.202,
Ag Cl S Te      ,  3.834,    0.205,
Ag S Te Te      ,  3.837,    0.205,
Cu Nb S Se      ,  3.839,    0.206,
Cu I P S        ,  3.848,    0.207,
Cr Cu S Se      ,  3.853,    0.207,
Cu I S Si       ,  3.854,    0.207,
In Sb Se Te     ,  3.854,    0.207,
Br In S Sb      ,  3.855,    0.208,
Cu Se Te V      ,  3.861,    0.208,
Ag S Sn Te      ,  3.864,    0.209,
Ag Cl P S       ,  3.868,    0.209,
As Cd I P       ,   3.87,     0.21,
Cl Cu O Se      ,  3.871,     0.21,
As Cd Cr Se     ,  3.874,     0.21,
Ag Br Cl Te     ,  3.877,    0.211,
Ag Br Te Te     ,   3.88,    0.211,
Cr S Se Zn      ,  3.886,    0.212,
As Cu Mn P      ,  3.886,    0.212,
Ag I S Sb       ,   3.89,    0.212,
Br Cr Cu Se     ,  3.895,    0.213,
As Cl Cu O      ,  3.895,    0.213,
As Br Cd O      ,  3.896,    0.213,
In Mn S Se      ,    3.9,    0.214,
Cl O Se Zn      ,  3.904,    0.214,
Br Cl S Sb      ,  3.917,    0.216,
Cl Ga Sb Te     ,  3.925,    0.217,
Cl Cu In Te     ,  3.936,    0.218,
Br Co O Se      ,  3.937,    0.218,
Ag Br I Te      ,  3.942,    0.219,
Cd Cl S Sb      ,  3.946,     0.22,
Cl Ni O Se      ,  3.955,    0.221,
Ag Fe S Te      ,  3.959,    0.221,
Cd S Sn Te      ,  3.984,    0.225,
Ag O P Se       ,  3.991,    0.226,
As Br F Se      ,  3.992,    0.226,
Br Mn Sb Se     ,  3.995,    0.226,
Br S S V        ,  3.997,    0.226,
Cu I In Te      ,    4.0,    0.227,
Cl In In S      ,  4.006,    0.228,
I Sb Se Sn      ,  4.006,    0.228,
As Br In O      ,  4.009,    0.228,
Cd I S Sb       ,   4.01,    0.228,
Ag Cl In Te     ,  4.019,    0.229,
Ag I O Se       ,   4.02,     0.23,
La S S Se       ,  4.023,     0.23,
Cd Mn Se Te     ,  4.033,    0.231,
Ag As I O       ,  4.043,    0.233,
Cd I P S        ,  4.052,    0.234,
Cd Cr S Se      ,  4.057,    0.234,
Cl In S Sb      ,  4.058,    0.235,
Al Al I Te      ,   4.06,    0.235,
In S Sb Te      ,   4.06,    0.235,
Se Te Ti Ti     ,  4.062,    0.235,
Br Cd P P       ,  4.064,    0.235,
Cd Cl O Se      ,  4.074,    0.237,
Fe Mn S Se      ,  4.082,    0.238,
Ag I In Te      ,  4.083,    0.238,
Cu Nb Se Te     ,  4.086,    0.238,
Al Cd O S       ,  4.091,    0.239,
As Cd Cl O      ,  4.097,     0.24,
Cr Cu Se Te     ,  4.098,     0.24,
Br Cu O Sb      ,  4.109,    0.241,
Co Cr S Se      ,  4.119,    0.243,
Br Cu O Te      ,  4.119,    0.243,
Cr Se Te Zn     ,  4.129,    0.244,
Cl Co O Se      ,  4.135,    0.245,
Ag S Te V       ,  4.148,    0.247,
Br O Te Zn      ,   4.15,    0.247,
As F S S        ,  4.153,    0.247,
As Cl Co O      ,  4.158,    0.248,
Ag O S Te       ,   4.16,    0.248,
Ga Mo S Se      ,  4.169,    0.249,
Ag Au S Se      ,  4.176,     0.25,
Cl In O Se      ,  4.182,    0.251,
As Cl F Se      ,  4.189,    0.252,
As Br F S       ,  4.192,    0.252,
Br Mn S Sb      ,  4.194,    0.253,
Ag O S Si       ,  4.196,    0.253,
Br Ni O Te      ,  4.198,    0.253,
As Cl In O      ,  4.205,    0.254,
I S Sb Sn       ,  4.205,    0.254,
As Cl Pr S      ,  4.209,    0.255,
Ag Al Cl O      ,   4.21,    0.255,
O S Se Zr       ,  4.217,    0.256,
Br Cl I Sb      ,  4.217,    0.256,
Cl P S Ti       ,  4.224,    0.257,
Cu Mo S Se      ,  4.229,    0.257,
Cl O Sb Se      ,  4.232,    0.258,
Al I Sb Te      ,  4.233,    0.258,
As F I Se       ,  4.249,     0.26,
Cl Cu In O      ,  4.251,     0.26,
I Mn Sb Se      ,  4.251,     0.26,
Al Cl O S       ,  4.256,    0.261,
Al Cl Nb Se     ,  4.262,    0.262,
Cl O Se Sn      ,  4.266,    0.262,
Ga S Se Tl      ,  4.279,    0.264,
Ce O Se Se      ,  4.283,    0.264,
Cd Cr Se Te     ,  4.291,    0.265,
Cl Cu O Sb      ,    4.3,    0.267,
O Pr Se Se      ,  4.301,    0.267,
I In In Te      ,  4.302,    0.267,
As Br Hg Se     ,  4.303,    0.267,
Mo Ni S Se      ,  4.306,    0.267,
Ag Mo S Se      ,  4.307,    0.268,
Br O S Ti       ,  4.308,    0.268,
Cl Cu O Te      ,  4.309,    0.268,
As O Y Zn       ,  4.316,    0.269,
Al Cd O Te      ,  4.323,     0.27,
As As Br Hg     ,  4.325,     0.27,
Cu La S Te      ,  4.326,     0.27,
Cl O Sb Zn      ,   4.33,    0.271,
Nd O Se Se      ,  4.335,    0.271,
Cr Fe S Se      ,  4.337,    0.272,
Cl O Te Zn      ,  4.339,    0.272,
Br Cd O P       ,   4.34,    0.272,
Ge Pb S Se      ,  4.346,    0.273,
Br Cu Hg Se     ,  4.348,    0.273,
Fe O Se Te      ,  4.355,    0.274,
Fe Fe S Te      ,  4.356,    0.274,
Ag Nb S Te      ,  4.358,    0.274,
Br Co O Sb      ,  4.359,    0.275,
Cu S Sm Te      ,  4.367,    0.276,
Br Co O Te      ,  4.369,    0.276,
La O Se Se      ,  4.369,    0.276,
As Br Cu Hg     ,   4.37,    0.276,
As Br Li S      ,  4.376,    0.277,
Ga La O Se      ,  4.377,    0.277,
Br Hg Se Zn     ,  4.377,    0.277,
Ce O Se Zn      ,  4.379,    0.277,
As Cl F S       ,  4.379,    0.277,
Cl Mn S Sb      ,  4.381,    0.277,
Cl Ni O Te      ,  4.385,    0.278,
B O Se Zn       ,  4.386,    0.278,
Ag Cl O Te      ,  4.386,    0.278,
Br F Sb Se      ,  4.389,    0.278,
Br Ce S Sb      ,  4.391,    0.279,
Ga Mo Se Te     ,  4.397,     0.28,
O Se Se Sm      ,  4.409,    0.281,
Br In O Te      ,  4.413,    0.282,
Ag O P Te       ,  4.418,    0.282,
As Br F Te      ,  4.419,    0.282,
Ag Cl O Si      ,   4.42,    0.283,
As Cu Ho P      ,  4.428,    0.284,
As I Li Se      ,  4.431,    0.284,
Br Ce S Si      ,  4.434,    0.284,
Cu La O Se      ,  4.434,    0.285,
B Br P S        ,  4.436,    0.285,
As F I S        ,  4.437,    0.285,
Ag I O Te       ,  4.444,    0.286,
As Ce Ni O      ,  4.446,    0.286,
Br Cl Cr S      ,  4.449,    0.286,
Br Pr S Si      ,  4.451,    0.287,
As Nd O Zn      ,  4.451,    0.287,
Cl O S Sn       ,  4.453,    0.287,
La O Se Zn      ,  4.463,    0.288,
Cl Nb P Se      ,  4.465,    0.289,
As Cu Er P      ,  4.467,    0.289,
Ag I O P        ,  4.473,     0.29,
Cu O Se Sm      ,  4.474,     0.29,
Br La S Sb      ,  4.475,     0.29,
Ce Ga O S       ,  4.478,     0.29,
Cr Mn S Se      ,  4.481,    0.291,
Cd Cl O Sb      ,  4.484,    0.291,
As La O Zn      ,  4.484,    0.291,
Br Nd S Si      ,  4.484,    0.291,
As Br Hg S      ,  4.489,    0.292,
Cl O S Ti       ,   4.49,    0.292,
O P P S         ,  4.491,    0.292,
Cd Cl O Te      ,  4.493,    0.292,
I Nb Se Te      ,  4.494,    0.292,
As Cl Ga Hg     ,  4.494,    0.292,
As Cu O Sm      ,  4.495,    0.292,
I P P Sn        ,  4.498,    0.293,
Cl Mg O P       ,    4.5,    0.293,
Al Cl O Sn      ,  4.502,    0.294,
As Ni P Sr      ,  4.504,    0.294,
Br Ce Fe S      ,  4.507,    0.294,
In Mo S Se      ,  4.516,    0.295,
Br La S Si      ,  4.517,    0.295,
Cd Cl O P       ,  4.521,    0.296,
Ag Cl Mo Se     ,  4.526,    0.297,
Ga Nd O S       ,  4.528,    0.297,
As La Ni O      ,  4.529,    0.297,
Cl Cu Hg Se     ,  4.529,    0.297,
Cd Ce O Se      ,  4.531,    0.297,
Br Cu Hg S      ,  4.532,    0.298,
Ce Cu O S       ,  4.534,    0.298,
Cu Gd O Se      ,  4.537,    0.298,
As Hg I Se      ,  4.542,    0.299,
As Br O Pr      ,  4.544,    0.299,
Cd Cl I O       ,  4.547,    0.299,
Cl Co O Te      ,  4.549,      0.3,
As Br Cd Hg     ,  4.551,      0.3,
Cu O Pr S       ,  4.551,      0.3,
As Cd Ce O      ,  4.552,      0.3,
Br S Si Sm      ,  4.555,    0.301,
Ga La O S       ,   4.56,    0.301,
Ca O S Zn       ,  4.561,    0.301,
Ge Pb Se Te     ,  4.565,    0.302,
Bi Br Cu Se     ,  4.565,    0.302,
Br Fe O Sb      ,  4.566,    0.302,
Cl Mo S Se      ,  4.569,    0.302,
Br Ca Cu O      ,  4.569,    0.302,
Br F S Sb       ,  4.571,    0.303,
As La O S       ,  4.573,    0.303,
Br Fe O Te      ,  4.575,    0.303,
B Br Cu O       ,  4.576,    0.303,
Cl Co O P       ,  4.577,    0.303,
Br C Se Se      ,  4.581,    0.304,
Cu Nd O S       ,  4.583,    0.304,
Br Fe La S      ,  4.588,    0.305,
Cl Cu O V       ,  4.589,    0.305,
Br Cd O V       ,   4.59,    0.305,
Cl In O Te      ,  4.591,    0.305,
As Cl F Te      ,  4.597,    0.306,
