Phase fields,     scores,     Norm. scores,
As Ga Mn N      ,  0.574,      0.0,
As In Mn N      ,  0.576,    0.001,
As Cd P Zn      ,  0.586,    0.004,
As Cd Ge P      ,  0.593,    0.006,
As Ge P Zn      ,  0.602,    0.009,
As P Si Zn      ,  0.614,    0.012,
As Cd Ga Te     ,  0.692,    0.036,
As Cd In Te     ,  0.693,    0.036,
As Ga Te Zn     ,  0.699,    0.038,
As Cu Mn P      ,  0.706,     0.04,
Ga P Se Zn      ,  0.708,    0.041,
As Cd Ga Se     ,   0.72,    0.045,
As Cd In Se     ,  0.722,    0.045,
As Ga Se Zn     ,  0.727,    0.047,
As In Se Zn     ,  0.729,    0.047,
Ga P S Zn       ,  0.738,     0.05,
C Hg N Se       ,  0.739,     0.05,
As Cd Ga S      ,  0.749,    0.053,
As Cd In S      ,   0.75,    0.054,
Ga N O Zn       ,  0.751,    0.054,
As Ga S Zn      ,  0.756,    0.056,
N P Te Zn       ,  0.756,    0.056,
C N S Tl        ,  0.766,    0.059,
Al N O Si       ,  0.767,    0.059,
C Hg N S        ,  0.767,    0.059,
Cd Ge N O       ,  0.768,    0.059,
C N Pb S        ,  0.771,     0.06,
C Cd N S        ,  0.773,    0.061,
Ge N O Zn       ,  0.775,    0.061,
C N S Sn        ,  0.777,    0.062,
As Cu In Te     ,  0.779,    0.063,
C N S Zn        ,  0.779,    0.063,
N P Se Zn       ,  0.782,    0.064,
Ge N O Si       ,   0.79,    0.066,
C N S Si        ,  0.794,    0.067,
C N O Tl        ,  0.795,    0.068,
C Hg N O        ,  0.796,    0.068,
Cd N P S        ,  0.803,     0.07,
As Cu In Se     ,  0.805,     0.07,
Cu Ge P Se      ,  0.809,    0.072,
N P S Zn        ,  0.809,    0.072,
Hg N N O        ,   0.81,    0.072,
Cd Hg Se Te     ,  0.814,    0.073,
Cd Pb Se Te     ,  0.817,    0.074,
Mg N P S        ,  0.817,    0.074,
C N P Se        ,   0.82,    0.075,
C Co N S        ,  0.821,    0.076,
Pb Se Sn Te     ,  0.821,    0.076,
C N O Si        ,  0.822,    0.076,
Cd Se Sn Te     ,  0.823,    0.076,
Cd Se Te Zn     ,  0.825,    0.077,
As Cu Ge Se     ,  0.825,    0.077,
Ge Pb Se Te     ,  0.829,    0.078,
Se Sn Te Zn     ,  0.829,    0.078,
Cu Ge P S       ,  0.834,     0.08,
Ge Se Sn Te     ,  0.835,     0.08,
C N Ni S        ,  0.835,     0.08,
N O P Zn        ,  0.837,     0.08,
Cd Mn Se Te     ,  0.842,    0.082,
As Cd Hg I      ,  0.844,    0.083,
C N P S         ,  0.846,    0.083,
Pb S Sn Te      ,  0.847,    0.083,
As Hg I Sn      ,  0.849,    0.084,
Cd S Sn Te      ,  0.849,    0.084,
C Cu N S        ,  0.851,    0.084,
Ga S Se Tl      ,  0.852,    0.085,
Ge Pb S Te      ,  0.854,    0.086,
S Sn Te Zn      ,  0.855,    0.086,
S Se Tl Tl      ,  0.856,    0.086,
Cd Ga S Se      ,  0.858,    0.087,
Cd In S Se      ,  0.859,    0.087,
Al Cd O Te      ,  0.861,    0.088,
B I Mg N        ,  0.862,    0.088,
Br Hg P Sn      ,  0.863,    0.088,
In S Se Sn      ,  0.863,    0.088,
As Hg S Sb      ,  0.864,    0.088,
Al S Se Zn      ,  0.864,    0.089,
In S Se Zn      ,  0.865,    0.089,
Cd Pb S Se      ,  0.866,    0.089,
As Br Hg In     ,  0.867,    0.089,
Ag C N S        ,  0.867,    0.089,
As Co Ni S      ,   0.87,     0.09,
Pb S Se Sn      ,   0.87,     0.09,
Cd S Se Zn      ,  0.874,    0.092,
As Br Cd Hg     ,  0.875,    0.092,
S Se Sn Sn      ,  0.876,    0.092,
Ge Pb S Se      ,  0.877,    0.093,
Cd Ge S Se      ,  0.879,    0.093,
As Br Hg Sn     ,  0.879,    0.093,
In Mn S Se      ,  0.882,    0.094,
Cl Hg In P      ,  0.883,    0.094,
Cu Ga Se Te     ,  0.883,    0.094,
Cu In Se Te     ,  0.885,    0.095,
Cd S Se Si      ,  0.887,    0.096,
Fe In S Se      ,  0.892,    0.097,
B Br Mg N       ,  0.892,    0.097,
Ag C N O        ,  0.893,    0.097,
Fe S Se Tl      ,  0.895,    0.098,
Cl Hg P Sn      ,  0.895,    0.098,
As Cl Ga Hg     ,  0.897,    0.099,
Ag Ga Se Te     ,  0.899,    0.099,
Ag In Se Te     ,    0.9,      0.1,
As Cl Hg Tl     ,  0.901,      0.1,
As Cl Hg Hg     ,  0.902,      0.1,
Ga O S Tl       ,  0.902,      0.1,
I P P Sn        ,  0.905,    0.101,
Ga Ga I Te      ,  0.907,    0.102,
Al Al I Te      ,  0.907,    0.102,
Al Cd O S       ,  0.908,    0.102,
I In In Te      ,  0.909,    0.102,
Fe Fe S Te      ,   0.91,    0.102,
As Cl Hg Sn     ,   0.91,    0.103,
Al C Cl N       ,  0.912,    0.103,
In Sb Se Te     ,  0.912,    0.103,
In Ni S Se      ,  0.916,    0.104,
As Cd I P       ,  0.916,    0.104,
C Cl Hg N       ,  0.917,    0.105,
Fe Mn S Se      ,  0.922,    0.106,
B Cl Mg N       ,  0.923,    0.106,
B O Se Zn       ,  0.928,    0.108,
Cu Ga S Se      ,  0.929,    0.108,
Al Cu S Se      ,  0.929,    0.108,
Br C C N        ,   0.93,    0.109,
Bi In Se Te     ,   0.93,    0.109,
Br Cd P P       ,   0.93,    0.109,
Cu In S Se      ,   0.93,    0.109,
Ge Sb Se Te     ,  0.931,    0.109,
As As Cd I      ,  0.931,    0.109,
Bi Se Te Tl     ,  0.932,    0.109,
In S Sb Te      ,  0.935,     0.11,
Ag S Sn Te      ,  0.935,     0.11,
C N Se Se       ,  0.936,     0.11,
Cl Ga N P       ,  0.937,    0.111,
Al Cl N P       ,  0.938,    0.111,
As Bi Ni S      ,  0.942,    0.112,
Ag Ga S Se      ,  0.944,    0.113,
As Br Cu Hg     ,  0.945,    0.113,
