Phase fields,     scores,     Norm. scores,
As Cu Ge Se     ,  2.704,      0.0,
As Ga Se Zn     ,  2.817,    0.009,
As Cd Ga Se     ,   3.02,    0.026,
As Cu In Se     ,  3.356,    0.053,
As In Se Zn     ,  3.382,    0.055,
As As Cd Cl     ,   3.44,     0.06,
As Ga Te Zn     ,  3.482,    0.063,
Cu Ga Se Te     ,  3.532,    0.068,
As Cd In Se     ,  3.553,    0.069,
Ag Ga Se Te     ,   3.58,    0.071,
Br Cu In Se     ,  3.632,    0.076,
As Cd Ga Te     ,  3.648,    0.077,
As Ge P Zn      ,  3.668,    0.079,
Cl Ga Sb Se     ,  3.671,    0.079,
Ag Br In Se     ,  3.679,    0.079,
As Ga S Zn      ,  3.689,     0.08,
Cu Ge P Se      ,  3.717,    0.082,
Cu Ge I Se      ,  3.734,    0.084,
Cu Ga S Se      ,  3.737,    0.084,
Ge Sb Se Te     ,   3.78,    0.088,
Ag Ge I Se      ,   3.78,    0.088,
Ag Ga S Se      ,  3.782,    0.088,
Ga P Se Zn      ,  3.799,    0.089,
Br Cd Sb Se     ,  3.808,     0.09,
Ag Br Se Te     ,  3.812,     0.09,
Al Br Sb Se     ,  3.819,    0.091,
As Cd Ge P      ,  3.827,    0.091,
As Cd Ga S      ,  3.847,    0.093,
Cd Ge S Se      ,  3.858,    0.094,
Br Cu Ge S      ,  3.863,    0.094,
As As Cd I      ,  3.873,    0.095,
Ag Cl In Se     ,  3.882,    0.096,
As Br Cu S      ,  3.892,    0.097,
Cd Se Te Zn     ,    3.9,    0.097,
Ag Br Ge S      ,  3.907,    0.098,
Cd Ga S Se      ,  3.915,    0.099,
Br In Sb Se     ,   3.93,      0.1,
As Cu In Te     ,  3.931,      0.1,
Br In In Se     ,  3.937,      0.1,
Br Cu P Se      ,  3.997,    0.105,
Cu In Se Te     ,  3.998,    0.105,
Ag Cl Se Te     ,  4.008,    0.106,
Al Cl Sb Se     ,  4.015,    0.107,
Ag Sb Se Te     ,  4.034,    0.108,
Cl Ga P Se      ,  4.039,    0.109,
As Cr Cu Se     ,  4.039,    0.109,
Ag In Se Te     ,   4.04,    0.109,
As Cd P Zn      ,  4.057,     0.11,
Al Cu S Se      ,  4.076,    0.112,
Ge Se Sn Te     ,   4.08,    0.112,
As Cl Cu S      ,  4.085,    0.112,
Cd S Se Zn      ,  4.087,    0.113,
Al S Se Zn      ,  4.097,    0.113,
Ag Cl Ge S      ,  4.098,    0.114,
As Br Cd P      ,  4.099,    0.114,
As Cd In Te     ,    4.1,    0.114,
Br Ni O Se      ,  4.107,    0.114,
Br Nb Se Se     ,  4.119,    0.115,
As Br Cd O      ,  4.123,    0.116,
As Cl Cu O      ,  4.144,    0.117,
Br Cu In Te     ,  4.169,    0.119,
Ga Ga I Te      ,   4.17,    0.119,
Cu S Sb Se      ,  4.173,     0.12,
Cu In S Se      ,   4.18,     0.12,
Ag Br Cl Te     ,   4.18,     0.12,
Cl Cu P Se      ,  4.184,    0.121,
In S Se Zn      ,  4.201,    0.122,
Cl Ga Sb Te     ,  4.203,    0.122,
As Cd Cr Se     ,  4.204,    0.122,
Cl Cu O Se      ,  4.208,    0.123,
As Br F Se      ,   4.21,    0.123,
Ag Br In Te     ,   4.21,    0.123,
Ag S Sb Se      ,  4.214,    0.123,
Ag In S Se      ,   4.22,    0.124,
Cl O Se Zn      ,  4.229,    0.124,
Cu I In Se      ,   4.23,    0.124,
As Br In O      ,  4.236,    0.125,
In Ni S Se      ,  4.262,    0.127,
In Sb Se Te     ,   4.27,    0.128,
Ag I In Se      ,   4.27,    0.128,
Br Cr Cu Se     ,  4.272,    0.128,
As P Si Zn      ,  4.275,    0.128,
As Cd In S      ,  4.278,    0.128,
Cl Ni O Se      ,   4.29,    0.129,
Se Sn Te Zn     ,  4.297,     0.13,
As Cd Cl O      ,  4.305,     0.13,
Ag Br Te Te     ,  4.327,    0.132,
Cu I Se Si      ,  4.332,    0.133,
Ag S Se Te      ,  4.337,    0.133,
Cd In S Se      ,  4.339,    0.133,
Cl Cu In Te     ,   4.35,    0.134,
Al Cl P Se      ,  4.354,    0.134,
As As Br Hg     ,  4.362,    0.135,
