Phase fields,     scores,     Norm. scores,
As As Cd Cl     ,  6.536,      0.0,
As Cd Ge P      ,  6.593,    0.004,
Cd Ge S Se      ,  6.618,    0.006,
As Ge P Zn      ,  6.707,    0.012,
As Cd Ga Se     ,  6.761,    0.016,
Ge Sb Se Te     ,  6.788,    0.018,
As Ga Se Zn     ,  6.871,    0.024,
Cd S Se Si      ,  6.874,    0.025,
As P Si Zn      ,   6.96,    0.031,
Cl Ga P Se      ,  7.002,    0.034,
As Cd Ga S      ,  7.032,    0.036,
As Cd In Se     ,  7.042,    0.037,
Cd Ga S Se      ,  7.074,    0.039,
Cl Ga Sb Se     ,  7.079,    0.039,
As Cd P Zn      ,  7.081,     0.04,
Cd S Se Zn      ,  7.104,    0.041,
As Ga S Zn      ,  7.138,    0.044,
As In Se Zn     ,  7.149,    0.044,
Ge Se Sn Te     ,  7.166,    0.046,
Al Cl P Se      ,  7.177,    0.047,
Ga P Se Zn      ,  7.199,    0.048,
Ni P S Se       ,  7.248,    0.052,
Al Cl Sb Se     ,  7.252,    0.052,
Cd Cl S Sb      ,  7.264,    0.053,
As Cd Ga Te     ,  7.283,    0.054,
As Cd In S      ,  7.303,    0.056,
Cl Ga S Sb      ,  7.339,    0.058,
Cd In S Se      ,  7.344,    0.059,
Al S Se Zn      ,  7.351,    0.059,
Cd Se Te Zn     ,  7.353,    0.059,
As As Cd I      ,  7.361,     0.06,
As Br Cd P      ,  7.366,     0.06,
As Ga Te Zn     ,  7.386,    0.062,
Cl O Sb Se      ,  7.433,    0.065,
In S Se Zn      ,  7.446,    0.066,
Ga P S Zn       ,  7.455,    0.067,
Br P S S        ,  7.478,    0.068,
Br Cd Sb Se     ,  7.479,    0.068,
As Cd Cl O      ,  7.481,    0.069,
In Sb Se Te     ,  7.498,     0.07,
Cd Se Sn Te     ,  7.517,    0.071,
Cd Cl O Se      ,  7.521,    0.072,
O P P S         ,  7.536,    0.073,
S Se Sn Sn      ,  7.542,    0.073,
As Cd In Te     ,  7.545,    0.073,
As Cu Ge Se     ,  7.578,    0.076,
Cl Ga Sb Te     ,   7.58,    0.076,
Cl In S Sb      ,  7.599,    0.077,
