Phase fields,     scores,     Norm. scores,
As Cu Ge Se     ,  3.614,      0.0,
As Ga Se Zn     ,  3.937,    0.024,
As Cd Ga Se     ,  4.077,    0.034,
As Ge P Zn      ,  4.384,    0.057,
As Cu In Se     ,  4.403,    0.059,
Cu Ge P Se      ,  4.421,     0.06,
As In Se Zn     ,  4.434,    0.061,
As Cd Ge P      ,   4.51,    0.067,
As As Cd Cl     ,  4.549,    0.069,
As Cd In Se     ,  4.558,     0.07,
Ge Sb Se Te     ,  4.589,    0.072,
Cd Ge S Se      ,  4.618,    0.075,
Ag Ga Se Te     ,  4.627,    0.075,
Ag Ga S Se      ,  4.646,    0.077,
As Ga Te Zn     ,   4.65,    0.077,
As Ga S Zn      ,  4.668,    0.078,
Cu Ga Se Te     ,  4.685,     0.08,
Ga P Se Zn      ,  4.689,     0.08,
Cu Ga S Se      ,  4.703,    0.081,
As Cd Ga Te     ,  4.769,    0.086,
As Cd Ga S      ,  4.786,    0.087,
Ag Br Ge S      ,    4.8,    0.088,
Ag Br In Se     ,  4.805,    0.088,
Cl Ga Sb Se     ,  4.834,    0.091,
Ag Br Se Te     ,  4.844,    0.091,
Cd Ga S Se      ,  4.848,    0.092,
Br Cu Ge S      ,  4.855,    0.092,
As Br Cu S      ,  4.855,    0.092,
Br Cu In Se     ,   4.86,    0.093,
Br Cu P Se      ,  4.876,    0.094,
Br Cd Sb Se     ,  4.881,    0.094,
Al Br Sb Se     ,  4.881,    0.094,
Ag Ge I Se      ,  4.885,    0.094,
As P Si Zn      ,  4.909,    0.096,
Ge Se Sn Te     ,  4.917,    0.097,
Ag Sb Se Te     ,  4.938,    0.098,
Cu Ge I Se      ,  4.939,    0.098,
As Cd P Zn      ,  4.946,    0.099,
Ag S Sb Se      ,  4.955,      0.1,
As Br Cd P      ,  4.957,      0.1,
Cl Ga P Se      ,  4.971,    0.101,
Br In Sb Se     ,  4.991,    0.102,
Cu S Sb Se      ,  5.008,    0.104,
Al Cu S Se      ,  5.018,    0.104,
As As Cd I      ,  5.019,    0.104,
Cd Se Te Zn     ,  5.028,    0.105,
Cd S Se Zn      ,  5.045,    0.106,
Al S Se Zn      ,  5.045,    0.106,
As Cu In Te     ,   5.05,    0.107,
Ag In Se Te     ,  5.056,    0.107,
Ag Cl Ge S      ,  5.064,    0.108,
Ag Cl In Se     ,  5.069,    0.108,
Ag In S Se      ,  5.073,    0.108,
Cu Ge P S       ,  5.082,    0.109,
Ag Cl Se Te     ,  5.106,    0.111,
Br In In Se     ,  5.108,    0.111,
Cu In Se Te     ,  5.109,    0.111,
Ag S Se Te      ,   5.11,    0.111,
As Cl Cu S      ,  5.117,    0.112,
Cd S Se Si      ,  5.119,    0.112,
Cu In S Se      ,  5.125,    0.112,
Cl Cu P Se      ,  5.137,    0.113,
Cu P S Se       ,   5.14,    0.113,
Al Cl Sb Se     ,  5.141,    0.113,
In S Se Zn      ,  5.151,    0.114,
As As Br Hg     ,  5.172,    0.116,
As Cd In Te     ,  5.186,    0.117,
As Cd In S      ,  5.202,    0.118,
As Br Hg Se     ,  5.229,     0.12,
In Sb Se Te     ,  5.234,     0.12,
In Ni S Se      ,  5.252,    0.122,
Cd In S Se      ,  5.259,    0.122,
Ni P S Se       ,  5.266,    0.123,
Al Cl P Se      ,   5.27,    0.123,
Ga P S Zn       ,  5.317,    0.127,
Se Sn Te Zn     ,  5.319,    0.127,
Br Cu S Si      ,  5.334,    0.128,
Cu Rh S Se      ,  5.371,     0.13,
Ag Br In Te     ,  5.404,    0.133,
Cu I Se Si      ,  5.411,    0.133,
Ag Br In S      ,  5.419,    0.134,
Cd Se Sn Te     ,  5.424,    0.134,
Cl Ga Sb Te     ,   5.43,    0.135,
Ag Br Te Te     ,  5.438,    0.136,
Cl Ga S Sb      ,  5.445,    0.136,
Ag Br Cl Te     ,   5.45,    0.136,
Br Cu In Te     ,  5.453,    0.137,
Cu Cu S Te      ,  5.469,    0.138,
Br Cu P S       ,  5.482,    0.139,
