Phase fields,     scores,     Norm. scores,
As Cu Ge Se     ,   2.31,      0.0,
As Ga Se Zn     ,  2.419,    0.011,
Cu Ga S Se      ,  2.654,    0.034,
As Cd Ga Se     ,  2.685,    0.037,
As Ga S Zn      ,  2.736,    0.042,
Ag Ga S Se      ,  2.777,    0.046,
Cd Ge S Se      ,  2.898,    0.058,
As Cu In Se     ,  2.935,    0.062,
Cd Ga S Se      ,  2.943,    0.063,
Br Cu Ge S      ,  2.957,    0.064,
As Cd Ga S      ,  2.974,    0.066,
As In Se Zn     ,  2.978,    0.066,
Cu Ge P Se      ,  2.999,    0.069,
Cu Ga Se Te     ,    3.0,    0.069,
Al Cu S Se      ,  3.008,    0.069,
As Br Cu S      ,   3.02,    0.071,
Cu Ge I Se      ,  3.038,    0.072,
Al S Se Zn      ,   3.05,    0.074,
Ag Br Ge S      ,  3.068,    0.075,
Cd S Se Zn      ,  3.069,    0.076,
As Ge P Zn      ,  3.072,    0.076,
As Ga Te Zn     ,  3.073,    0.076,
Ga P Se Zn      ,  3.084,    0.077,
Ag Ga Se Te     ,  3.109,    0.079,
Ag Ge I Se      ,  3.146,    0.083,
Cu In S Se      ,  3.172,    0.086,
As Cd In Se     ,  3.198,    0.088,
In S Se Zn      ,  3.212,     0.09,
Br Cu In Se     ,  3.223,    0.091,
Cu S Sb Se      ,  3.238,    0.092,
Cu Ge P S       ,  3.261,    0.095,
In Ni S Se      ,  3.272,    0.096,
Ag In S Se      ,  3.275,    0.096,
As Cl Cu S      ,  3.275,    0.096,
As Cd Ge P      ,  3.286,    0.097,
As Cd Ga Te     ,  3.286,    0.097,
Cu P S Se       ,  3.289,    0.097,
Cu Ge I S       ,  3.296,    0.098,
As As Cd Cl     ,    3.3,    0.099,
Ag Cl Ge S      ,  3.319,      0.1,
Ag Br In Se     ,  3.325,    0.101,
Cu Cu S Te      ,  3.338,    0.102,
Br Cu P Se      ,  3.339,    0.102,
Ga P S Zn       ,  3.339,    0.102,
Ag S Sb Se      ,  3.339,    0.102,
Ag S Se Te      ,  3.351,    0.104,
As Cu I S       ,  3.353,    0.104,
Cd Se Te Zn     ,  3.372,    0.106,
As As Cd I      ,  3.377,    0.106,
Ni P S Se       ,  3.386,    0.107,
Ag Ge I S       ,  3.395,    0.108,
Ag Br Se Te     ,  3.399,    0.108,
Ge Sb Se Te     ,  3.416,     0.11,
