Phase fields,     scores,     Norm. scores,
Br Cu P S       ,  7.978,    0.134,
I S Sb Sn       ,   7.98,    0.134,
Al Cd O Te      ,  7.985,    0.135,
Cu I P Se       ,  7.985,    0.135,
Ag S Sn Te      ,  7.988,    0.135,
Ag O S Si       ,  7.989,    0.135,
Ag Br In Se     ,  8.004,    0.136,
Br Cu S Si      ,  8.006,    0.136,
Bi S Sb Se      ,  8.011,    0.137,
Cu I Se Si      ,  8.014,    0.137,
As Cd Cr Se     ,  8.025,    0.138,
Br Ni O Se      ,  8.043,    0.139,
Cl In O Te      ,  8.049,     0.14,
Cd Pb S Se      ,  8.059,     0.14,
Ag Cl O Si      ,  8.061,     0.14,
Br Cl I Sb      ,  8.069,    0.141,
Br O Te Zn      ,  8.072,    0.141,
Ag Br Cl Te     ,  8.077,    0.142,
Hg O Se Se      ,  8.088,    0.143,
Al I Sb Te      ,  8.088,    0.143,
Cu Ge I S       ,   8.09,    0.143,
Pb S Se Te      ,  8.104,    0.144,
As Cl Ga Hg     ,  8.112,    0.144,
Ag Cl In Te     ,  8.116,    0.145,
Bi S Se Te      ,  8.123,    0.145,
As Br F S       ,  8.124,    0.145,
Ag O S Te       ,  8.124,    0.145,
Ga Ga I Te      ,  8.127,    0.145,
As F I Se       ,  8.131,    0.146,
Ag O P Te       ,  8.138,    0.146,
Br Cu In Se     ,  8.141,    0.147,
Br Cu S Te      ,  8.142,    0.147,
Cd Hg Se Te     ,  8.142,    0.147,
Cl F P Sb       ,  8.148,    0.147,
Al Cl O Sn      ,  8.148,    0.147,
Cl Ni O Te      ,  8.155,    0.148,
Ag I S Sb       ,  8.182,     0.15,
Ag Br Te Te     ,  8.183,     0.15,
Bi Sb Se Te     ,  8.189,     0.15,
Ag Cl O Te      ,  8.195,    0.151,
Br F Sb Se      ,    8.2,    0.151,
Cl F Sb Sb      ,    8.2,    0.151,
Cl Cu O Sb      ,  8.221,    0.153,
Ge Pb S Te      ,  8.221,    0.153,
Cu Rh S Se      ,  8.222,    0.153,
Ag Br S Sn      ,  8.229,    0.153,
Bi Cl Ga Se     ,  8.234,    0.154,
Cd Pb Se Te     ,  8.236,    0.154,
As Br Hg S      ,  8.239,    0.154,
As F O S        ,  8.241,    0.154,
As Hg I Se      ,  8.246,    0.154,
Cl Cu In Te     ,  8.251,    0.155,
F O S Se        ,  8.251,    0.155,
Cd Cl I O       ,  8.253,    0.155,
S Sb Se Tl      ,  8.262,    0.156,
Cu I P S        ,  8.265,    0.156,
O S Se Zr       ,  8.273,    0.157,
Cl N S Se       ,  8.278,    0.157,
Cl Nb P Se      ,   8.28,    0.157,
Ag Br In S      ,  8.283,    0.157,
Ag I In Se      ,   8.29,    0.158,
Cu I S Si       ,  8.293,    0.158,
As Cl Hg Sn     ,  8.293,    0.158,
B O Se Zn       ,  8.297,    0.158,
As Br F Te      ,  8.299,    0.159,
Cl F Sb Te      ,  8.309,    0.159,
As Cl F O       ,  8.311,    0.159,
Cd Cr S Se      ,  8.313,     0.16,
Cr S Se Zn      ,  8.313,     0.16,
Cl Hg S Zn      ,  8.315,     0.16,
Cu I S Sb       ,  8.316,     0.16,
Pb S Se Sn      ,  8.325,    0.161,
Cl Cu O Te      ,  8.329,    0.161,
Br Nb Se Se     ,  8.331,    0.161,
B Br P S        ,  8.338,    0.162,
