Phase fields,     scores,     Norm. scores,
As Cu Ge Se     ,   3.76,      0.0,
As Ga Se Zn     ,  4.013,    0.018,
As Cd Ga Se     ,  4.108,    0.024,
As Ge P Zn      ,  4.439,    0.047,
As In Se Zn     ,  4.505,    0.052,
As Cd Ge P      ,  4.525,    0.053,
As Cu In Se     ,  4.528,    0.054,
Cu Ge P Se      ,  4.542,    0.055,
As As Cd Cl     ,  4.568,    0.057,
As Cd In Se     ,   4.59,    0.058,
Cd Ge S Se      ,  4.657,    0.063,
Ag Ga S Se      ,  4.698,    0.066,
As Ga S Zn      ,  4.731,    0.068,
Ag Ga Se Te     ,  4.752,    0.069,
Ga P Se Zn      ,  4.754,    0.069,
Ge Sb Se Te     ,  4.754,     0.07,
As Ga Te Zn     ,  4.784,    0.072,
As Cd Ga S      ,  4.812,    0.074,
Cu Ga S Se      ,  4.828,    0.075,
As Cd Ga Te     ,  4.864,    0.077,
Ag Br Ge S      ,  4.874,    0.078,
Cu Ga Se Te     ,   4.88,    0.078,
Ag Br In Se     ,  4.883,    0.079,
Cd Ga S Se      ,  4.885,    0.079,
Cl Ga Sb Se     ,  4.917,    0.081,
As P Si Zn      ,  4.956,    0.084,
Br Cd Sb Se     ,   4.99,    0.086,
As Cd P Zn      ,  4.993,    0.086,
Ag Br Se Te     ,  4.996,    0.086,
As Br Cu S      ,  4.997,    0.086,
Br Cu Ge S      ,  4.998,    0.087,
Al Br Sb Se     ,  5.002,    0.087,
Cl Ga P Se      ,  5.002,    0.087,
As Br Cd P      ,  5.003,    0.087,
Br Cu In Se     ,  5.007,    0.087,
Br Cu P Se      ,  5.018,    0.088,
Ag S Sb Se      ,  5.053,     0.09,
Ge Se Sn Te     ,  5.086,    0.093,
Ag Ge I Se      ,  5.096,    0.093,
Br In Sb Se     ,  5.103,    0.094,
Ag Sb Se Te     ,  5.103,    0.094,
Ag Cl Ge S      ,  5.107,    0.094,
Cd S Se Zn      ,  5.114,    0.095,
Ag Cl In Se     ,  5.116,    0.095,
Ag In S Se      ,  5.125,    0.095,
Al S Se Zn      ,  5.125,    0.095,
Al Cu S Se      ,  5.146,    0.097,
Cd S Se Si      ,  5.152,    0.097,
Cd Se Te Zn     ,  5.163,    0.098,
Cu S Sb Se      ,  5.173,    0.099,
Br In In Se     ,  5.174,    0.099,
Ag In Se Te     ,  5.175,    0.099,
Cu Ge P S       ,  5.187,      0.1,
As As Cd I      ,  5.199,    0.101,
Cu Ge I Se      ,  5.215,    0.102,
In S Se Zn      ,  5.224,    0.102,
As Cu In Te     ,  5.224,    0.102,
Ag Cl Se Te     ,  5.224,    0.102,
As As Br Hg     ,  5.225,    0.102,
As Cl Cu S      ,  5.225,    0.102,
As Cd In S      ,  5.229,    0.103,
Al Cl Sb Se     ,   5.23,    0.103,
Ag S Se Te      ,  5.233,    0.103,
Cu In S Se      ,  5.244,    0.104,
Cl Cu P Se      ,  5.246,    0.104,
Cu P S Se       ,  5.254,    0.105,
As Cd In Te     ,  5.277,    0.106,
Cu In Se Te     ,  5.292,    0.107,
As Br Hg Se     ,  5.293,    0.107,
Cd In S Se      ,  5.297,    0.107,
Al Cl P Se      ,   5.31,    0.108,
Ga P S Zn       ,  5.373,    0.113,
In Sb Se Te     ,  5.383,    0.113,
Br Cu S Si      ,  5.462,    0.119,
Ag Br In S      ,  5.488,    0.121,
Se Sn Te Zn     ,  5.507,    0.122,
Cu Rh S Se      ,  5.515,    0.123,
Cl Ga S Sb      ,  5.519,    0.123,
Ag Br In Te     ,  5.534,    0.124,
Ag Au S Se      ,  5.552,    0.125,
Cl Ga Sb Te     ,  5.565,    0.126,
Cd Se Sn Te     ,  5.577,    0.127,
Ag Br Cl Te     ,  5.581,    0.127,
Br Cd S Sb      ,  5.583,    0.128,
Ge Pb S Se      ,    5.6,    0.129,
Br Cu P S       ,  5.609,    0.129,
Br Cd P P       ,  5.614,     0.13,
In S Se Sn      ,  5.633,    0.131,
Ag Br Te Te     ,  5.634,    0.131,
As Cl Ga Hg     ,  5.641,    0.132,
Br Cu In Te     ,  5.644,    0.132,
Ge Pb Se Te     ,  5.645,    0.132,
As Br Cu Hg     ,  5.655,    0.133,
Cu I Se Si      ,  5.661,    0.133,
As Cr Cu Se     ,  5.666,    0.133,
Ag Ge I S       ,  5.678,    0.134,
Br Nb Se Se     ,  5.679,    0.134,
Br In S Sb      ,  5.685,    0.135,
Ag I In Se      ,  5.686,    0.135,
Ag Cl In S      ,  5.697,    0.135,
Br Cu S Te      ,  5.698,    0.136,
Br Hg Se Zn     ,    5.7,    0.136,
As Br Cd Hg     ,  5.704,    0.136,
Ag Cl P S       ,  5.706,    0.136,
Cu Cu S Te      ,  5.708,    0.136,
Ag Br S Sn      ,  5.714,    0.137,
As Cd Cr Se     ,  5.715,    0.137,
Br Cu Hg Se     ,  5.718,    0.137,
Br Cl S Sb      ,   5.73,    0.138,
Ag Cl In Te     ,  5.741,    0.139,
Ag As Cl Hg     ,  5.752,    0.139,
As Br Cd O      ,  5.754,    0.139,
As Cu I S       ,  5.784,    0.142,
Cu Ge I S       ,  5.786,    0.142,
Cd Cl S Sb      ,  5.789,    0.142,
As Cd I P       ,   5.79,    0.142,
Cu I In Se      ,  5.794,    0.142,
Ag Cl S Te      ,  5.794,    0.142,
Ga Ga I Te      ,  5.802,    0.143,
Cu I P Se       ,  5.803,    0.143,
As Br Hg In     ,  5.803,    0.143,
Br P S S        ,  5.811,    0.143,
Cl Cu P S       ,  5.813,    0.144,
Ga S Se V       ,  5.814,    0.144,
Ag O P Se       ,  5.827,    0.145,
Ag S Te Te      ,  5.846,    0.146,
Cl Cu In Te     ,  5.847,    0.146,
Ga S Se Tl      ,  5.852,    0.146,
As Br In O      ,  5.852,    0.146,
S Se Sn Sn      ,  5.853,    0.146,
Ag Bi Br Se     ,  5.855,    0.146,
As Br Hg S      ,  5.856,    0.147,
In Ni S Se      ,  5.858,    0.147,
Ni P S Se       ,  5.867,    0.147,
Cl In S Sb      ,  5.886,    0.149,
Cl Cu S Te      ,  5.899,     0.15,
As Cl Cu O      ,  5.906,     0.15,
Cl Cu Hg Se     ,  5.918,    0.151,
I S Sb Se       ,  5.928,    0.152,
In S Sb Te      ,  5.937,    0.152,
Bi Cl Ga Se     ,  5.946,    0.153,
As Hg S Sb      ,  5.947,    0.153,
Cl In In S      ,  5.949,    0.153,
Cl O Se Zn      ,  5.949,    0.153,
As Cd Cl O      ,  5.953,    0.153,
Bi Br Cu Se     ,  5.959,    0.154,
Ag S Sn Te      ,  5.965,    0.154,
Cl Cu O Se      ,  5.966,    0.154,
Bi Br Cd Se     ,  6.006,    0.157,
Cd Cl O Se      ,  6.013,    0.158,
Cd Hg Se Te     ,  6.016,    0.158,
As Br Hg Sn     ,  6.017,    0.158,
Cu S Se V       ,  6.025,    0.158,
As Hg I Se      ,  6.042,     0.16,
Cl O Sb Se      ,  6.046,     0.16,
As Cl In O      ,  6.048,     0.16,
Cd Pb S Se      ,  6.049,     0.16,
S Sn Te Zn      ,   6.05,     0.16,
Ag Bi Cl Se     ,  6.051,     0.16,
As Cl Hg S      ,  6.052,     0.16,
Br Cr Cu Se     ,  6.056,    0.161,
Ag Bi S Se      ,  6.058,    0.161,
Ag Br I S       ,  6.066,    0.161,
Cu Se Te V      ,  6.067,    0.161,
I Sb Se Sn      ,  6.088,    0.163,
Cd Pb Se Te     ,  6.091,    0.163,
Bi Br In Se     ,    6.1,    0.164,
Ag Bi Se Te     ,    6.1,    0.164,
Cl In O Se      ,  6.107,    0.164,
Ag Br I Te      ,  6.108,    0.164,
Cd S Sn Te      ,  6.114,    0.165,
S Sb Se Tl      ,   6.14,    0.166,
Ag Br Hg S      ,  6.143,    0.167,
Bi Cl Cu Se     ,  6.152,    0.167,
Ag I S Sb       ,  6.154,    0.167,
As Br F Se      ,  6.156,    0.168,
Ge Pb S Te      ,  6.176,    0.169,
Br Cu O Sb      ,   6.18,    0.169,
Cu I S Si       ,  6.191,     0.17,
Ag Cl O Si      ,  6.206,    0.171,
Al Bi Cl Se     ,  6.207,    0.171,
As Cl Hg Sn     ,  6.208,    0.171,
Ag O S Si       ,  6.213,    0.172,
Cu Nb S Se      ,  6.216,    0.172,
Hg O Se Se      ,  6.223,    0.172,
Pb S Se Te      ,  6.233,    0.173,
Cr S Se Zn      ,  6.236,    0.173,
Bi S Sb Se      ,  6.237,    0.173,
Br Cl I Sb      ,  6.237,    0.173,
Br Cu Hg S      ,  6.243,    0.174,
As Br Hg Ti     ,  6.246,    0.174,
Ag Al Cl O      ,  6.246,    0.174,
Cr Cu S Se      ,  6.253,    0.174,
Cu I S Sb       ,  6.254,    0.174,
Ag I In Te      ,  6.255,    0.174,
Cu Nb Se Te     ,  6.257,    0.175,
Ga Mo S Se      ,   6.26,    0.175,
Al Cl Nb Se     ,  6.264,    0.175,
Cr Se Te Zn     ,  6.277,    0.176,
Bi Sb Se Te     ,  6.277,    0.176,
Br Cd Hg S      ,  6.287,    0.177,
Br Cd O P       ,  6.293,    0.177,
Cr Cu Se Te     ,  6.293,    0.177,
Cd Cr S Se      ,  6.298,    0.177,
Cd I S Sb       ,  6.298,    0.177,
Ga Mo Se Te     ,    6.3,    0.178,
Ag As I O       ,  6.309,    0.178,
Cl O Se Sn      ,  6.311,    0.178,
Br O Te Zn      ,  6.312,    0.178,
Cu I P S        ,  6.321,    0.179,
Al Al I Te      ,  6.326,    0.179,
Br Cu O Te      ,  6.328,     0.18,
Au Cl P S       ,  6.328,     0.18,
Br Ni O Se      ,  6.331,     0.18,
Bi In Se Te     ,  6.336,     0.18,
Cd Cr Se Te     ,  6.338,     0.18,
As Cl F Se      ,  6.343,    0.181,
Pb S Se Sn      ,  6.345,    0.181,
Al I Sb Te      ,  6.348,    0.181,
Cl O Sb Zn      ,  6.349,    0.181,
Ag Cl Mo Se     ,  6.352,    0.181,
Cu I In Te      ,  6.352,    0.181,
Cl Nb P Se      ,  6.353,    0.181,
Se Te Ti Ti     ,  6.354,    0.181,
Ag Mo S Se      ,   6.36,    0.182,
Cd I P S        ,  6.365,    0.182,
Ag I O Se       ,  6.366,    0.182,
Cl Cu O Sb      ,  6.366,    0.182,
Ag Bi Br S      ,  6.368,    0.182,
Ag O P Te       ,  6.383,    0.183,
Bi S Se Te      ,  6.384,    0.183,
Pb Se Sn Te     ,  6.385,    0.184,
Cl P S Ti       ,  6.389,    0.184,
Al Cd O S       ,  6.395,    0.184,
Cu I S Te       ,    6.4,    0.185,
As Cd Hg I      ,  6.406,    0.185,
Cd Cl O Sb      ,   6.41,    0.185,
Cl Hg S Zn      ,  6.411,    0.185,
Ag Cl O Te      ,  6.415,    0.186,
As Cu Er P      ,  6.417,    0.186,
