phase fields,pareto front,leaf,mat2vec
Cl La Mg S      ,2,12.68,28.388
Ba I Mg N       ,2,12.692,29.213
Ba I Mg S       ,2,12.695,28.853
Br Mg S Zr      ,2,12.715,28.972
F Mg O Sr       ,2,12.719,28.557
Br Cl Mg Si     ,2,12.753,28.741
B I Mg S        ,2,12.758,29.019
Ca Cl Mg N      ,2,12.759,28.231
Ca Cl Mg S      ,2,12.762,27.858
La Mg N S       ,2,12.778,28.126
Cl F Mg P       ,2,12.814,28.527
Ba I Mg O       ,2,12.834,28.029
Br Mg N Si      ,2,12.85,28.482
Br Mg S Si      ,2,12.853,28.113
Br Mg O Zr      ,2,12.854,28.151
Cl F Mg Zr      ,2,12.862,29.234
Al F I Mg       ,2,12.895,29.265
B I Mg O        ,2,12.896,28.2
F Mg N P        ,2,12.911,28.266
F Mg P S        ,2,12.914,27.894
Br Ca Mg S      ,2,12.918,29.054
I Mg O Sr       ,2,12.953,28.856
F Mg N Zr       ,2,12.958,28.979
F Mg S Zr       ,2,12.961,28.617
Br La Mg O      ,2,12.974,28.759
Cl F Mg Si      ,2,12.998,28.382
Cl I Mg P       ,2,13.047,28.827
Br Ca Mg O      ,2,13.054,28.236
F La Mg S       ,2,13.08,29.214
F Mg N Si       ,2,13.094,28.12
I Mg N P        ,2,13.142,28.569
I Mg P S        ,2,13.145,28.201
Ca F Mg N       ,2,13.157,29.061
Ca F Mg S       ,2,13.16,28.7
I Mg S Zr       ,2,13.191,28.915
F La Mg O       ,2,13.215,28.401
Cl I Mg Si      ,2,13.227,28.683
Cl Mg N Y       ,2,13.248,27.827
Ca F Mg O       ,2,13.294,27.871
I Mg N Si       ,2,13.321,28.424
I Mg S Si       ,2,13.324,28.054
I Mg O Zr       ,2,13.325,28.093
Ca I Mg S       ,2,13.386,28.997
Br Mg N Y       ,2,13.398,29.024
Br Mg S Y       ,2,13.401,28.662
I La Mg O       ,2,13.441,28.702
Ca I Mg O       ,2,13.518,28.177
Br Mg O Y       ,2,13.532,27.832
Cl F Mg Y       ,2,13.54,28.927
F Mg N Y        ,2,13.631,28.669
F Mg S Y        ,2,13.634,28.303
Cl I Mg Y       ,2,13.76,29.222
I Mg N Y        ,2,13.85,28.968
I Mg S Y        ,2,13.853,28.605
I Mg O Y        ,2,13.981,27.773
Br Cl Li Mg     ,3,11.096,30.655
Br Li Mg N      ,3,11.208,30.412
Br Li Mg S      ,3,11.212,30.067
Br Cl Mg Sn     ,3,11.357,29.427
Br Li Mg O      ,3,11.369,29.277
Cl F Li Mg      ,3,11.377,30.319
F Li Mg N       ,3,11.486,30.074
F Li Mg S       ,3,11.49,29.724
Br F K Mg       ,3,11.533,30.015
Cl I Li Mg      ,3,11.639,30.601
I Li Mg N       ,3,11.745,30.358
I Li Mg S       ,3,11.749,30.012
Br Cl Mg Ta     ,3,11.781,30.415
Br I K Mg       ,3,11.791,30.299
Br F Mg Sn      ,3,11.802,30.225
Br Mg N Ta      ,3,11.886,30.171
Cl I Mg Sn      ,3,11.887,29.371
Br Mg S Ta      ,3,11.889,29.822
Cl F Mg Ta      ,3,12.046,30.076
Br I Mg Sn      ,3,12.054,30.508
F I K Mg        ,3,12.056,29.96
Ba Br Cl Mg     ,3,12.093,29.522
F Mg N Ta       ,3,12.149,29.829
F Mg S Ta       ,3,12.152,29.477
B Br Cl Mg      ,3,12.16,29.684
Br Cl Mg Sr     ,3,12.22,30.308
Cl I Mg Ta      ,3,12.293,30.361
F I Mg Sn       ,3,12.313,30.17
Br Mg N Sr      ,3,12.322,30.062
Br Mg S Sr      ,3,12.325,29.713
Br F Mg Zn      ,3,12.331,29.677
I Mg N Ta       ,3,12.394,30.116
I Mg S Ta       ,3,12.397,29.767
Al Br F Mg      ,3,12.408,29.321
B Cl F Mg       ,3,12.417,29.337
