Phase fields,     scores,     Norm. scores,
As Cu Ge Se     ,  5.743,      0.0,
As As Cd Cl     ,  5.901,    0.012,
Cd Ge S Se      ,  6.029,    0.022,
As Cd Ge P      ,  6.106,    0.027,
As Ge P Zn      ,  6.106,    0.027,
As Cd Ga Se     ,  6.137,     0.03,
As Ga Se Zn     ,  6.137,     0.03,
Cu Ge P Se      ,  6.158,    0.031,
Ag S Sb Se      ,  6.232,    0.037,
Cd S Se Zn      ,  6.283,    0.041,
Cd S Se Si      ,  6.298,    0.042,
Ag Cl Ge S      ,   6.31,    0.043,
Ge Sb Se Te     ,  6.316,    0.043,
As Cl Cu S      ,  6.326,    0.044,
Cu P S Se       ,   6.34,    0.045,
Ag S Se Te      ,   6.34,    0.045,
Cl Cu P Se      ,  6.357,    0.046,
As Cd P Zn      ,  6.357,    0.046,
Ag Cl Se Te     ,  6.357,    0.046,
As P Si Zn      ,  6.372,    0.048,
Ag Ga S Se      ,  6.375,    0.048,
Cu S Sb Se      ,  6.407,     0.05,
As Cd In Se     ,  6.445,    0.053,
As In Se Zn     ,  6.445,    0.053,
Ag Sb Se Te     ,  6.459,    0.054,
Cd Ga S Se      ,  6.476,    0.055,
Cl Ga P Se      ,  6.478,    0.055,
As Cd Ga S      ,  6.497,    0.057,
As Ga S Zn      ,  6.497,    0.057,
Cd Se Te Zn     ,  6.508,    0.058,
As Cu In Se     ,  6.515,    0.058,
Cu Ge P S       ,  6.517,    0.058,
Ga P Se Zn      ,  6.527,    0.059,
Ag Cl P S       ,  6.538,     0.06,
Cl Ga Sb Se     ,  6.544,     0.06,
Cu Ga S Se      ,  6.546,    0.061,
Ag Ga Se Te     ,  6.597,    0.064,
Al S Se Zn      ,  6.617,    0.066,
Al Cl P Se      ,  6.619,    0.066,
Ag In S Se      ,  6.672,     0.07,
Al Cl Sb Se     ,  6.683,    0.071,
Al Cu S Se      ,  6.685,    0.071,
Ag Cl In Se     ,  6.688,    0.071,
Cu Rh S Se      ,  6.695,    0.072,
Cd Cl S Sb      ,  6.701,    0.072,
Cl Cu P S       ,  6.705,    0.073,
Ag Cl S Te      ,  6.705,    0.073,
As Cd Ga Te     ,  6.715,    0.073,
As Ga Te Zn     ,  6.715,    0.073,
As As Cd I      ,  6.717,    0.074,
Ge Se Sn Te     ,  6.727,    0.074,
As Br Cd P      ,  6.737,    0.075,
Ag Br Ge S      ,  6.741,    0.075,
Ag Ge I Se      ,   6.75,    0.076,
As Br Cu S      ,  6.756,    0.076,
Cu Ga Se Te     ,  6.763,    0.077,
Cd In S Se      ,  6.768,    0.077,
In S Se Zn      ,  6.769,    0.077,
Br Cd Sb Se     ,  6.781,    0.078,
Br Cu P Se      ,  6.785,    0.079,
Ag Br Se Te     ,  6.785,    0.079,
As Cd In S      ,  6.788,    0.079,
Ni P S Se       ,    6.8,     0.08,
Ag O P Se       ,  6.833,    0.082,
Cu In S Se      ,  6.835,    0.082,
Ga P S Zn       ,  6.867,    0.085,
Cl Cu S Te      ,  6.868,    0.085,
Cl Ga S Sb      ,  6.882,    0.086,
Ag In Se Te     ,  6.885,    0.086,
Cd Cl O Se      ,  6.895,    0.087,
Cl O Se Zn      ,  6.895,    0.087,
Ag S Te Te      ,  6.901,    0.087,
Br Cu Ge S      ,  6.903,    0.088,
Cu Ge I Se      ,  6.912,    0.088,
As Cd Cl O      ,  6.914,    0.088,
Cl O Sb Se      ,  6.943,    0.091,
Cd Se Sn Te     ,  6.955,    0.092,
Se Sn Te Zn     ,  6.956,    0.092,
Cl Cu O Se      ,   6.96,    0.092,
As Cl Cu O      ,   6.98,    0.093,
Cu Cu S Te      ,   6.98,    0.093,
Br P S S        ,  6.986,    0.094,
As Cd In Te     ,  6.997,    0.095,
Ag Cl In S      ,   7.02,    0.096,
