Phase fields,     scores,     Norm. scores,
As Cu Ge Se     ,  2.843,      0.0,
As Ga Se Zn     ,  2.927,    0.007,
As Cd Ga Se     ,  3.123,    0.023,
As Cu In Se     ,   3.46,     0.05,
As In Se Zn     ,  3.474,    0.052,
As Ga Te Zn     ,  3.572,     0.06,
As As Cd Cl     ,  3.598,    0.062,
As Cd In Se     ,  3.641,    0.065,
Cu Ga Se Te     ,  3.659,    0.067,
Ag Ga Se Te     ,  3.706,     0.07,
As Cd Ga Te     ,  3.734,    0.073,
As Ge P Zn      ,  3.735,    0.073,
As Ga S Zn      ,  3.774,    0.076,
Br Cu In Se     ,  3.792,    0.078,
Cu Ge P Se      ,  3.819,     0.08,
Ag Br In Se     ,  3.837,    0.081,
Cl Ga Sb Se     ,  3.845,    0.082,
Cu Ga S Se      ,  3.857,    0.083,
Ga P Se Zn      ,  3.882,    0.085,
As Cd Ge P      ,   3.89,    0.086,
Cu Ge I Se      ,  3.898,    0.086,
Ag Ga S Se      ,  3.901,    0.086,
Ge Sb Se Te     ,  3.922,    0.088,
As Cd Ga S      ,  3.928,    0.089,
Ag Ge I Se      ,  3.942,     0.09,
Cd Ge S Se      ,  3.973,    0.092,
Br Cd Sb Se     ,  3.977,    0.093,
Al Br Sb Se     ,  3.987,    0.093,
Cd Se Te Zn     ,  4.007,    0.095,
As As Cd I      ,  4.014,    0.096,
Ag Br Se Te     ,  4.015,    0.096,
As Cu In Te     ,   4.02,    0.096,
Cd Ga S Se      ,   4.02,    0.096,
Br Cu Ge S      ,  4.021,    0.096,
Ag Cl In Se     ,  4.032,    0.097,
Ag Br Ge S      ,  4.063,      0.1,
As Br Cu S      ,  4.066,      0.1,
Br In In Se     ,  4.075,    0.101,
Br In Sb Se     ,  4.093,    0.102,
As Cd P Zn      ,   4.11,    0.104,
Cu In Se Te     ,   4.11,    0.104,
Ag In Se Te     ,  4.152,    0.107,
Br Cu P Se      ,  4.166,    0.108,
Ag Sb Se Te     ,  4.169,    0.108,
Al Cl Sb Se     ,  4.175,    0.109,
As Cd In Te     ,  4.177,    0.109,
Al Cu S Se      ,  4.186,     0.11,
Cd S Se Zn      ,  4.188,     0.11,
Ge Se Sn Te     ,  4.196,    0.111,
Cl Ga P Se      ,  4.197,    0.111,
Al S Se Zn      ,  4.198,    0.111,
Ag Cl Se Te     ,  4.202,    0.111,
As Br Cd P      ,  4.232,    0.113,
Ag Cl Ge S      ,  4.248,    0.115,
As Cl Cu S      ,  4.251,    0.115,
As Br Cd O      ,  4.279,    0.117,
Cu In S Se      ,  4.287,    0.118,
In S Se Zn      ,  4.299,    0.119,
Ga Ga I Te      ,    4.3,    0.119,
As Cr Cu Se     ,  4.303,    0.119,
Cu S Sb Se      ,  4.304,    0.119,
As Cl Cu O      ,  4.308,     0.12,
Br Cu In Te     ,  4.309,     0.12,
Br Ni O Se      ,  4.313,     0.12,
Ag In S Se      ,  4.327,    0.121,
As P Si Zn      ,  4.332,    0.122,
Ag S Sb Se      ,  4.344,    0.123,
Cl Cu P Se      ,  4.346,    0.123,
Ag Br In Te     ,  4.349,    0.123,
As Cd In S      ,  4.351,    0.123,
Cl Ga Sb Te     ,  4.356,    0.124,
Cu I In Se      ,  4.368,    0.125,
In Ni S Se      ,  4.384,    0.126,
As Br In O      ,  4.388,    0.126,
In Sb Se Te     ,   4.39,    0.126,
Cl Cu O Se      ,  4.393,    0.127,
Ag Br Cl Te     ,  4.397,    0.127,
Se Sn Te Zn     ,  4.401,    0.127,
Cl O Se Zn      ,  4.404,    0.128,
Ag I In Se      ,  4.407,    0.128,
Cd In S Se      ,  4.435,     0.13,
As Br F Se      ,  4.439,     0.13,
As Cd Cr Se     ,   4.45,    0.131,
As Cd Cl O      ,  4.455,    0.132,
Cu I Se Si      ,  4.474,    0.133,
Cl Cu In Te     ,  4.484,    0.134,
Ag S Se Te      ,  4.486,    0.134,
As As Br Hg     ,  4.487,    0.134,
Cl Ni O Se      ,  4.488,    0.134,
Cu Ge P S       ,  4.501,    0.135,
Al Cl P Se      ,  4.501,    0.135,
Ag Br Te Te     ,  4.507,    0.136,
Cu Cu S Te      ,   4.51,    0.136,
Ag Br In S      ,  4.517,    0.137,
Ag Cl In Te     ,  4.522,    0.137,
Cl Ga S Sb      ,  4.523,    0.137,
Br Nb Se Se     ,  4.524,    0.137,
Cd Se Sn Te     ,  4.533,    0.138,
Cd Cl O Se      ,  4.537,    0.138,
Cd S Se Si      ,  4.539,    0.139,
Br Cu O Sb      ,  4.549,    0.139,
Ga P S Zn       ,  4.554,     0.14,
As Cl In O      ,   4.56,     0.14,
As Br Hg Se     ,  4.568,    0.141,
Cu Ge I S       ,  4.569,    0.141,
Br Cr Cu Se     ,  4.575,    0.141,
Br Cu S Si      ,  4.582,    0.142,
Cu Rh S Se      ,  4.584,    0.142,
Ag Ge I S       ,  4.606,    0.144,
As Cu I S       ,  4.608,    0.144,
As Cl F Se      ,  4.609,    0.144,
Cu P S Se       ,  4.621,    0.145,
As Br Cu Hg     ,  4.629,    0.146,
Br Cu S Te      ,  4.632,    0.146,
Br Cd S Sb      ,  4.636,    0.146,
Cl In O Se      ,   4.64,    0.147,
Ag Al Cl O      ,  4.644,    0.147,
Cl O Sb Se      ,  4.655,    0.148,
As Cl Ga Hg     ,  4.657,    0.148,
Ag Cl In S      ,  4.683,     0.15,
Cu Se Te V      ,  4.685,     0.15,
Br Cu O Te      ,  4.685,     0.15,
Br O Te Zn      ,  4.696,    0.151,
Cu I P Se       ,  4.697,    0.151,
Ag As I O       ,  4.698,    0.152,
Cl Cu In O      ,    4.7,    0.152,
Ga S Se V       ,  4.707,    0.152,
Br Cu Hg Se     ,  4.708,    0.152,
Ag O P Se       ,  4.711,    0.153,
Ni P S Se       ,  4.712,    0.153,
Cl Cu O Sb      ,  4.715,    0.153,
Br Hg Se Zn     ,  4.719,    0.153,
Cl O Sb Zn      ,  4.726,    0.154,
Br In S Sb      ,  4.736,    0.155,
Ag Br I Te      ,  4.744,    0.155,
As Cd I P       ,  4.755,    0.156,
As Br Cd Hg     ,  4.766,    0.157,
Ag Br S Sn      ,  4.771,    0.158,
Br Ni O Te      ,  4.774,    0.158,
Ag I O Se       ,  4.776,    0.158,
Br Cl S Sb      ,  4.781,    0.158,
In S Se Sn      ,  4.794,    0.159,
Cl Cu S Te      ,  4.795,    0.159,
Cd Cl S Sb      ,  4.799,     0.16,
Br Cu P S       ,  4.799,     0.16,
Cu I In Te      ,  4.824,    0.162,
Ag As Cl Hg     ,  4.828,    0.162,
Ag Cl S Te      ,  4.831,    0.162,
Ag Cl O Si      ,  4.833,    0.163,
Br F Sb Se      ,  4.835,    0.163,
Cu S Se V       ,  4.841,    0.163,
Cr Cu Se Te     ,  4.842,    0.163,
Cl Cu O Te      ,  4.846,    0.164,
Al Cd O Te      ,  4.847,    0.164,
Cd Cl O Sb      ,   4.85,    0.164,
Cu Nb Se Te     ,  4.852,    0.164,
Cr Se Te Zn     ,  4.852,    0.164,
Br Cl I Sb      ,  4.854,    0.164,
Cl O Te Zn      ,  4.857,    0.164,
Ag I In Te      ,   4.86,    0.165,
