Phase fields,     scores,     Norm. scores,
As Ga Se Zn     ,  2.085,      0.0,
As Cu Ge Se     ,  2.127,    0.006,
As Ge P Zn      ,  2.166,    0.012,
As Ga S Zn      ,  2.254,    0.026,
Ga P Se Zn      ,  2.268,    0.028,
Cu Ge P Se      ,  2.307,    0.034,
As Cd Ga Se     ,  2.327,    0.037,
As P Si Zn      ,  2.381,    0.045,
Cu Ga S Se      ,   2.39,    0.046,
As Cd Ge P      ,  2.399,    0.048,
Ga P S Zn       ,  2.425,    0.051,
As In Se Zn     ,  2.429,    0.052,
Br Cu Ge S      ,  2.434,    0.053,
Cd Ge S Se      ,  2.443,    0.054,
As Br Cu S      ,  2.446,    0.055,
As Cu Mn P      ,  2.454,    0.056,
Br Cu P Se      ,  2.459,    0.057,
Cu Ge P S       ,  2.461,    0.057,
Br Nb Se Se     ,  2.466,    0.058,
As Cd P Zn      ,  2.478,     0.06,
As Cd Ga S      ,   2.48,     0.06,
As Cr Cu Se     ,  2.483,     0.06,
As Co Ni S      ,  2.485,    0.061,
Cu P S Se       ,    2.5,    0.063,
Al S Se Zn      ,  2.506,    0.064,
Ni P S Se       ,  2.506,    0.064,
Cd Ga S Se      ,  2.507,    0.064,
Ag Ga S Se      ,  2.509,    0.064,
Ga Mo S Se      ,  2.519,    0.066,
Fe Mn S Se      ,   2.52,    0.066,
Cd S Se Zn      ,   2.52,    0.066,
Ga S Se V       ,  2.523,    0.066,
As Cu In Se     ,  2.529,    0.067,
Cu Fe S Se      ,  2.529,    0.067,
As Br Cd P      ,  2.546,     0.07,
Ag Br Ge S      ,  2.551,    0.071,
Cu Rh S Se      ,  2.552,    0.071,
Cr S Se Zn      ,  2.558,    0.072,
As Cd Cr Se     ,  2.596,    0.077,
In S Se Zn      ,  2.602,    0.078,
Al Cu S Se      ,  2.602,    0.078,
Br Cu P S       ,  2.604,    0.079,
As Cr Mn P      ,  2.604,    0.079,
Br P S S        ,  2.613,     0.08,
Br Cr Cu Se     ,  2.614,     0.08,
Mn Mo S Se      ,   2.62,    0.081,
As Ga Te Zn     ,  2.623,    0.081,
Br Cu S Si      ,  2.627,    0.082,
Cu Mo S Se      ,  2.628,    0.082,
Cu S Se V       ,  2.632,    0.083,
Mo Ni S Se      ,  2.634,    0.083,
Cd S Se Si      ,  2.635,    0.083,
As Cd In Se     ,  2.639,    0.084,
Cu Nb S Se      ,   2.64,    0.084,
Cr Mn S Se      ,  2.644,    0.085,
Cr Cu S Se      ,  2.653,    0.086,
Co Cr S Se      ,  2.654,    0.086,
Br Cu In Se     ,  2.657,    0.087,
Cr Fe S Se      ,  2.675,    0.089,
Cl Ga P Se      ,  2.677,     0.09,
In Mn S Se      ,  2.687,    0.091,
Cu In S Se      ,  2.696,    0.092,
Br Cd P P       ,  2.698,    0.093,
In Ni S Se      ,  2.701,    0.093,
As As Cd Cl     ,  2.715,    0.095,
Fe In S Se      ,  2.718,    0.096,
Br Nb Nb Se     ,  2.731,    0.098,
Br Mn Sb Se     ,  2.734,    0.098,
Ag Mo S Se      ,  2.737,    0.099,
Br S S V        ,   2.74,    0.099,
Cu Ga Se Te     ,  2.741,    0.099,
Cd Cr S Se      ,  2.758,    0.102,
Ag Br In Se     ,  2.765,    0.103,
As Cl Cu S      ,  2.769,    0.104,
Cr Mo S Se      ,   2.77,    0.104,
As Cd In S      ,  2.775,    0.104,
Cu S Sb Se      ,   2.78,    0.105,
Cl Cu P Se      ,   2.78,    0.105,
Cd In S Se      ,    2.8,    0.108,
Ag In S Se      ,  2.802,    0.108,
In Mo S Se      ,  2.811,     0.11,
As Cd Ga Te     ,  2.819,    0.111,
Al Br Sb Se     ,  2.832,    0.113,
Br In In Se     ,  2.837,    0.114,
Cu Ge I Se      ,  2.843,    0.115,
Br Cd Sb Se     ,  2.845,    0.115,
Ag Ga Se Te     ,  2.845,    0.115,
Ga Mo Se Te     ,  2.854,    0.116,
Cd Se Te Zn     ,  2.855,    0.116,
Ag Cl Ge S      ,  2.863,    0.118,
Br Mn S Sb      ,  2.866,    0.118,
Al Cl P Se      ,  2.868,    0.119,
Ag S Sb Se      ,  2.883,    0.121,
Cr Se Te Zn     ,  2.888,    0.121,
Ge Se Sn Te     ,  2.893,    0.122,
Ag Br In S      ,  2.895,    0.123,
Cl Nb P Se      ,  2.903,    0.124,
Cl Mo S Se      ,  2.905,    0.124,
In S Se Sn      ,  2.905,    0.124,
Cl Cu P S       ,  2.909,    0.125,
Ag Br Se Te     ,  2.916,    0.126,
Br In Sb Se     ,  2.918,    0.126,
Ag Br S Sn      ,  2.926,    0.127,
As As Cd I      ,  2.928,    0.128,
Cd Mn Se Te     ,  2.933,    0.128,
S Se Sn Sn      ,  2.937,    0.129,
Cl Ga Sb Se     ,   2.94,    0.129,
Ge Sb Se Te     ,   2.94,    0.129,
Br Cu S Te      ,  2.942,     0.13,
Ag Ge I Se      ,  2.944,     0.13,
Ag S Se Te      ,  2.951,    0.131,
Cu Se Te V      ,  2.954,    0.131,
Mo Ru Se Te     ,  2.955,    0.132,
Se Sn Te Zn     ,  2.959,    0.132,
Cu Nb Se Te     ,  2.961,    0.133,
As Br F Se      ,  2.962,    0.133,
Cu Cu S Te      ,  2.968,    0.134,
Cu Ge I S       ,  2.969,    0.134,
Br Cd S Sb      ,  2.971,    0.134,
Cr Cu Se Te     ,  2.972,    0.134,
As Cu I S       ,  2.979,    0.135,
As Cu In Te     ,  2.988,    0.137,
Cu I P Se       ,  2.989,    0.137,
Al Cl Nb Se     ,  2.991,    0.137,
Ag Cl Mo Se     ,  2.995,    0.138,
Cl Mo Mo Se     ,  3.004,    0.139,
Cl P S Ti       ,  3.007,    0.139,
Fe Fe S Te      ,  3.008,     0.14,
Ag Cl P S       ,  3.008,     0.14,
Cu I Se Si      ,   3.01,     0.14,
Cu In Se Te     ,  3.011,     0.14,
Br Cl Cr S      ,  3.016,    0.141,
Cl Nb Nb Se     ,  3.024,    0.142,
Cl Nb P S       ,  3.027,    0.142,
Cl Mo S S       ,  3.029,    0.143,
Se Te Ti Ti     ,  3.037,    0.144,
Br In S Sb      ,  3.041,    0.145,
Ag Cl In Se     ,  3.054,    0.147,
As Cd I P       ,  3.061,    0.148,
Cl Ga S Sb      ,  3.063,    0.148,
Ag Ge I S       ,  3.066,    0.148,
Cd Cr Se Te     ,  3.067,    0.149,
S Sn Te Zn      ,   3.08,    0.151,
As Cd In Te     ,  3.082,    0.151,
As Br F S       ,  3.083,    0.151,
Ag Fe S Te      ,  3.084,    0.151,
Br Cu In Te     ,  3.097,    0.153,
Cr Cr Se Te     ,  3.098,    0.153,
Ag In Se Te     ,  3.106,    0.155,
Cu I P S        ,   3.11,    0.155,
Al Cl Sb Se     ,  3.115,    0.156,
As F S S        ,  3.116,    0.156,
Br Cl S Sb      ,  3.128,    0.158,
Cu I S Si       ,  3.129,    0.158,
Cd Se Sn Te     ,  3.134,    0.159,
Cl Mn S Sb      ,  3.146,    0.161,
Cu I In Se      ,  3.155,    0.162,
Ag S Te V       ,  3.169,    0.164,
Ag Cl In S      ,  3.172,    0.165,
Ag Nb S Te      ,  3.176,    0.165,
Ag Sb Se Te     ,  3.179,    0.166,
Ag Br I S       ,  3.182,    0.166,
B Br P S        ,  3.183,    0.166,
Ag Br In Te     ,   3.19,    0.167,
Ag Cl Se Te     ,  3.192,    0.167,
Cd I P S        ,    3.2,    0.169,
Cl Cu S Te      ,  3.215,    0.171,
I Nb Nb Se      ,  3.217,    0.171,
