Phase fields,     scores,     Norm. scores,
As Cu Ge Se     ,  5.199,      0.0,
As Cd Ga Se     ,  5.334,     0.01,
As Ga Se Zn     ,  5.335,     0.01,
As Cd Ge P      ,    5.5,    0.022,
As Ge P Zn      ,  5.501,    0.022,
As As Cd Cl     ,   5.57,    0.027,
Cd Ge S Se      ,   5.61,     0.03,
Cu Ge P Se      ,  5.655,    0.033,
As Cd In Se     ,  5.685,    0.035,
As In Se Zn     ,  5.686,    0.035,
Ag Ga S Se      ,  5.702,    0.037,
As Cd Ga S      ,  5.745,     0.04,
As Ga S Zn      ,  5.746,     0.04,
As Cu In Se     ,  5.766,    0.041,
Ga P Se Zn      ,   5.78,    0.042,
As P Si Zn      ,  5.795,    0.043,
Cd Ga S Se      ,  5.814,    0.045,
Cl Ga P Se      ,  5.819,    0.045,
Cl Ga Sb Se     ,  5.891,     0.05,
Cu Ga S Se      ,  5.893,    0.051,
Cd S Se Si      ,  5.899,    0.051,
Ag Cl Ge S      ,   5.91,    0.052,
Ge Sb Se Te     ,  5.919,    0.052,
Ag Ga Se Te     ,  5.949,    0.055,
As Cd P Zn      ,   5.96,    0.055,
Al S Se Zn      ,  5.971,    0.056,
Al Cl P Se      ,  5.975,    0.057,
As Cd Ga Te     ,   5.99,    0.058,
As Ga Te Zn     ,  5.991,    0.058,
Ag S Sb Se      ,   6.01,    0.059,
Ag In S Se      ,  6.032,    0.061,
Cu Ge P S       ,  6.044,    0.062,
Al Cl Sb Se     ,  6.046,    0.062,
Al Cu S Se      ,  6.047,    0.062,
Ag Cl In Se     ,  6.049,    0.062,
Cd S Se Zn      ,  6.061,    0.063,
As Cd In S      ,  6.072,    0.064,
As Cl Cu S      ,  6.107,    0.066,
Cu P S Se       ,  6.123,    0.067,
Cu Ga Se Te     ,  6.132,    0.068,
Cd In S Se      ,  6.138,    0.068,
In S Se Zn      ,  6.139,    0.068,
Cl Cu P Se      ,  6.139,    0.069,
Ga P S Zn       ,  6.161,     0.07,
Ge Se Sn Te     ,  6.184,    0.072,
Cu S Sb Se      ,  6.192,    0.072,
Ag S Se Te      ,   6.21,    0.074,
Cu In S Se      ,  6.213,    0.074,
Ag Cl Se Te     ,  6.226,    0.075,
Ag Sb Se Te     ,  6.245,    0.076,
Cl Ga S Sb      ,  6.265,    0.078,
Ag In Se Te     ,  6.266,    0.078,
Cd Se Te Zn     ,  6.293,     0.08,
As Cd In Te     ,  6.305,    0.081,
Ag Cl P S       ,  6.327,    0.082,
Ag Br Ge S      ,  6.368,    0.085,
Ag Ge I Se      ,  6.377,    0.086,
As Cu In Te     ,  6.377,    0.086,
Ag Cl In S      ,  6.414,    0.089,
In Sb Se Te     ,  6.422,    0.089,
As As Cd I      ,  6.428,     0.09,
Cu In Se Te     ,   6.44,     0.09,
In S Se Sn      ,  6.447,    0.091,
As Br Cd P      ,  6.449,    0.091,
Cu Rh S Se      ,  6.487,    0.094,
Cl Ga Sb Te     ,  6.491,    0.094,
Al Br Sb Se     ,  6.494,    0.094,
Cd Cl S Sb      ,  6.494,    0.094,
Ag Br In Se     ,  6.497,    0.095,
Cl Cu P S       ,  6.499,    0.095,
Br Cu Ge S      ,  6.539,    0.098,
Cu Ge I Se      ,  6.548,    0.098,
As Br Cu S      ,  6.551,    0.099,
Cl In S Sb      ,  6.567,      0.1,
Br Cd Sb Se     ,  6.576,      0.1,
Br Cu P Se      ,  6.581,    0.101,
Ag Cl S Te      ,  6.581,    0.101,
Cl In In S      ,  6.587,    0.101,
Cd Se Sn Te     ,  6.595,    0.102,
Se Sn Te Zn     ,  6.595,    0.102,
Ni P S Se       ,  6.598,    0.102,
Ag O P Se       ,  6.632,    0.104,
Ag Cl In Te     ,  6.634,    0.105,
Br In Sb Se     ,  6.648,    0.106,
Ag Br Se Te     ,  6.662,    0.107,
Br Cu In Se     ,  6.665,    0.107,
Br In In Se     ,  6.668,    0.107,
S Se Sn Sn      ,  6.671,    0.107,
In Ni S Se      ,  6.682,    0.108,
As Cd Cl O      ,  6.715,     0.11,
Ag Ge I S       ,  6.724,    0.111,
Cl Cu S Te      ,  6.747,    0.113,
In S Sb Te      ,  6.767,    0.114,
Cd Cl O Se      ,  6.774,    0.115,
Cl O Se Zn      ,  6.775,    0.115,
Cu Cu S Te      ,  6.781,    0.115,
Ag S Te Te      ,  6.781,    0.115,
As Cl Cu O      ,  6.783,    0.115,
As Cl In O      ,  6.785,    0.116,
Br Cu S Si      ,  6.789,    0.116,
Cu I Se Si      ,  6.797,    0.116,
Cl Cu In Te     ,  6.799,    0.117,
As Cd I P       ,  6.801,    0.117,
Br Cd P P       ,  6.822,    0.118,
Cl O Sb Se      ,  6.825,    0.119,
Ag S Sn Te      ,  6.837,    0.119,
Ag O S Si       ,  6.838,    0.119,
Ag Br In S      ,  6.838,    0.119,
Cl Cu O Se      ,  6.842,     0.12,
Cl In O Se      ,  6.844,     0.12,
Ag I In Se      ,  6.847,     0.12,
Ag Cl O Si      ,  6.853,    0.121,
As Cd Cr Se     ,  6.867,    0.122,
Br P S S        ,   6.87,    0.122,
Cu Ge I S       ,  6.887,    0.123,
As Cu I S       ,  6.898,    0.124,
Br Cd S Sb      ,  6.913,    0.125,
Ag Al Cl O      ,  6.915,    0.125,
Br Cu P S       ,  6.918,    0.125,
Cu I P Se       ,  6.927,    0.126,
Cd S Sn Te      ,  6.931,    0.126,
S Sn Te Zn      ,  6.932,    0.126,
As Cr Cu Se     ,  6.934,    0.126,
I S Sb Se       ,   6.94,    0.127,
Br Cl S Sb      ,  6.946,    0.127,
Br In S Sb      ,  6.982,     0.13,
Ga Ga I Te      ,  6.987,     0.13,
Al Cd O S       ,  6.994,    0.131,
Cu I In Se      ,  7.006,    0.132,
Ag Br Cl Te     ,   7.01,    0.132,
Al Cl O S       ,  7.026,    0.133,
Ag Br In Te     ,  7.045,    0.135,
O P P S         ,  7.048,    0.135,
Ag Br S Sn      ,   7.05,    0.135,
Cl O Se Sn      ,  7.056,    0.135,
Cd Cl O P       ,  7.073,    0.137,
Ga S Se V       ,  7.098,    0.138,
As Cl F Se      ,  7.101,    0.139,
As Br Cd O      ,  7.121,     0.14,
Cl O P Sb       ,  7.122,     0.14,
Cu I S Si       ,  7.124,     0.14,
Cd Cl O Sb      ,  7.133,    0.141,
Cl O Sb Zn      ,  7.134,    0.141,
Br Cu S Te      ,  7.152,    0.142,
Ag I S Sb       ,  7.153,    0.142,
Ga Mo S Se      ,  7.167,    0.143,
Ag O P Te       ,   7.17,    0.144,
Ge Pb S Se      ,   7.18,    0.144,
Cd I P S        ,  7.184,    0.145,
As Br In O      ,  7.188,    0.145,
Al Cd O Te      ,  7.196,    0.146,
Cl Cu O Sb      ,  7.197,    0.146,
I Sb Se Sn      ,  7.197,    0.146,
Ag Br Te Te     ,  7.198,    0.146,
Ag O S Te       ,  7.199,    0.146,
Br Cu In Te     ,  7.201,    0.146,
Al Cl Nb Se     ,  7.201,    0.146,
