Phase fields,     scores,     Norm. scores,
Cd I S Sb       ,  7.673,    0.131,
Cu I P S        ,  7.677,    0.131,
Cl Mg O P       ,  7.679,    0.131,
Cd Cl O Te      ,  7.687,    0.132,
Cl O Te Zn      ,  7.687,    0.132,
Cl Nb P Se      ,  7.693,    0.132,
Ag Au S Se      ,  7.696,    0.132,
Ag Br In S      ,  7.697,    0.132,
Ag I In Se      ,  7.705,    0.133,
Cu I S Si       ,  7.707,    0.133,
Al Cl O S       ,  7.709,    0.133,
Br In S Sb      ,  7.711,    0.134,
Ge Pb S Se      ,  7.728,    0.135,
Cd Cr S Se      ,  7.729,    0.135,
Cr S Se Zn      ,  7.729,    0.135,
Cu I S Sb       ,  7.732,    0.135,
As Cl F S       ,  7.741,    0.136,
Cl Cu O Te      ,  7.746,    0.136,
Br Nb Se Se     ,  7.748,    0.136,
Cl In In S      ,  7.757,    0.137,
Ag Mo S Se      ,  7.759,    0.137,
Ag Al Cl O      ,  7.765,    0.138,
Al Cd O S       ,  7.773,    0.138,
Ag As I O       ,  7.778,    0.139,
Cl Mo S Se      ,  7.778,    0.139,
Cl O S Sn       ,  7.782,    0.139,
Cr Cu S Se      ,  7.787,    0.139,
Ag I O Se       ,  7.788,    0.139,
Cl O P Sn       ,  7.797,     0.14,
Cu Nb S Se      ,  7.802,     0.14,
As Br F Se      ,   7.81,    0.141,
Br In In Se     ,  7.826,    0.142,
Ag Cl Mo Se     ,  7.834,    0.143,
Cu S Se V       ,  7.838,    0.143,
Cu I In Se      ,  7.847,    0.144,
Cu I S Te       ,  7.848,    0.144,
Cl Cl O Sn      ,  7.857,    0.145,
As Hg S Sb      ,  7.857,    0.145,
As Cl Hg S      ,  7.862,    0.145,
Ga S Se V       ,  7.868,    0.145,
Br Cd O P       ,  7.878,    0.146,
Ag Br In Te     ,  7.882,    0.146,
As Br In O      ,  7.898,    0.148,
Cu Mo S Se      ,    7.9,    0.148,
Ge Pb Se Te     ,  7.912,    0.149,
I P P Sn        ,  7.913,    0.149,
Cd Cr Se Te     ,  7.913,    0.149,
Cr Se Te Zn     ,  7.913,    0.149,
Ag As Cl Hg     ,  7.917,    0.149,
As As Br Hg     ,   7.92,    0.149,
As Cl F Te      ,  7.925,     0.15,
Ga Mo S Se      ,   7.93,     0.15,
As Br Hg Se     ,   7.93,     0.15,
Cl P S Ti       ,   7.94,    0.151,
I S Sb Sn       ,  7.952,    0.152,
Ag Br I S       ,  7.955,    0.152,
Al Cd O Te      ,  7.957,    0.152,
Ag Bi S Se      ,   7.97,    0.153,
Cr Cu Se Te     ,   7.97,    0.153,
Cl Nb P S       ,  7.983,    0.154,
Bi S Sb Se      ,  7.984,    0.154,
Cu Nb Se Te     ,  7.984,    0.154,
Br Cu O Sb      ,  7.989,    0.155,
Br Ni O Se      ,  8.015,    0.157,
Au Cl P S       ,  8.019,    0.157,
Cu Se Te V      ,   8.02,    0.157,
Br Cu In Te     ,  8.021,    0.157,
Al Cl Nb Se     ,  8.021,    0.157,
Cl In O Te      ,  8.021,    0.157,
Cd Pb S Se      ,  8.032,    0.158,
Cl Cu In O      ,  8.033,    0.158,
Br Cl I Sb      ,  8.042,    0.159,
Ag Bi Cl Se     ,  8.043,    0.159,
Br O Te Zn      ,  8.045,    0.159,
Hg O Se Se      ,  8.061,     0.16,
Al I Sb Te      ,  8.061,     0.16,
Cl Cu Hg Se     ,  8.065,     0.16,
Cl Mo S S       ,  8.065,     0.16,
Pb S Se Te      ,  8.077,    0.161,
As Cl Ga Hg     ,  8.084,    0.162,
Ag I O P        ,  8.089,    0.162,
Bi S Se Te      ,  8.096,    0.163,
As Br F S       ,  8.096,    0.163,
Ga Ga I Te      ,  8.099,    0.163,
Br Cu O Te      ,  8.101,    0.163,
As F I Se       ,  8.104,    0.163,
Ga Mo Se Te     ,   8.11,    0.164,
Cd Hg Se Te     ,  8.115,    0.164,
Al Cl O Sn      ,  8.121,    0.165,
Cl F P Sb       ,  8.121,    0.165,
Cl Ni O Te      ,  8.127,    0.165,
Ag Nb S Te      ,  8.129,    0.165,
Ag Br I Te      ,  8.134,    0.166,
Ag Bi Se Te     ,  8.149,    0.167,
Bi Sb Se Te     ,  8.162,    0.168,
Ag S Te V       ,  8.164,    0.168,
In Mo S Se      ,   8.17,    0.168,
Br F Sb Se      ,  8.173,    0.168,
Ag I In Te      ,  8.173,    0.168,
Cl F Sb Sb      ,  8.173,    0.168,
Bi Cl Cu Se     ,  8.179,    0.169,
Ge Pb S Te      ,  8.195,     0.17,
As Cu Mn P      ,  8.203,    0.171,
Bi Cl Ga Se     ,  8.207,    0.171,
Cd Pb Se Te     ,   8.21,    0.171,
Br Cr Cu Se     ,  8.212,    0.171,
As Br Hg S      ,  8.212,    0.171,
As F O S        ,  8.214,    0.172,
As Hg I Se      ,  8.219,    0.172,
F O S Se        ,  8.224,    0.172,
Cd Cl I O       ,  8.226,    0.172,
S Sb Se Tl      ,  8.235,    0.173,
O S Se Zr       ,  8.246,    0.174,
Cl N S Se       ,  8.251,    0.174,
Ag I O Te       ,  8.252,    0.174,
Au Cl O Se      ,   8.26,    0.175,
As Cl Hg Sn     ,  8.266,    0.176,
B O Se Zn       ,   8.27,    0.176,
As Br F Te      ,  8.272,    0.176,
Mo Ni S Se      ,  8.274,    0.176,
Cl F Sb Te      ,  8.283,    0.177,
As Cl F O       ,  8.284,    0.177,
Cl Hg S Zn      ,  8.288,    0.177,
Pb S Se Sn      ,  8.299,    0.178,
As Cu Er P      ,  8.303,    0.178,
Cl Li P S       ,  8.304,    0.178,
Cu I In Te      ,  8.307,    0.179,
B Br P S        ,  8.311,    0.179,
As Cu Ho P      ,  8.313,    0.179,
Cl Pb S Sb      ,  8.315,    0.179,
Cl N Sb Se      ,  8.316,    0.179,
Cd Mn Se Te     ,  8.318,    0.179,
Al Bi Cl Se     ,  8.319,    0.179,
Cl Mo O Se      ,  8.319,     0.18,
Ag Bi Cl S      ,  8.321,     0.18,
Al Al I Te      ,  8.324,     0.18,
N P Se Zn       ,  8.325,     0.18,
Cl Cu Hg S      ,  8.342,    0.181,
As Br Cd Hg     ,  8.342,    0.181,
As Cd F O       ,  8.344,    0.181,
As Br Li S      ,  8.345,    0.181,
Br S S V        ,  8.348,    0.182,
Br Hg Se Zn     ,  8.353,    0.182,
As I Li Se      ,  8.353,    0.182,
Br In O Te      ,  8.365,    0.183,
Br Cl Cr S      ,  8.371,    0.183,
As F I S        ,  8.379,    0.184,
Ga S Se Tl      ,  8.383,    0.184,
Ag Bi Br Se     ,  8.385,    0.185,
As Br Cu Hg     ,  8.397,    0.185,
As Cl Hg O      ,  8.397,    0.185,
Bi Cd Cl S      ,  8.398,    0.185,
Br Cu Hg Se     ,  8.407,    0.186,
Cl F Ge O       ,  8.409,    0.186,
Cl Mn S Sb      ,  8.423,    0.187,
Br F S Sb       ,  8.446,    0.189,
Bi Cl Cu S      ,  8.452,     0.19,
F I Sb Se       ,  8.454,     0.19,
Cl F P Rh       ,  8.454,     0.19,
Cl O S Ti       ,  8.457,     0.19,
In Mn S Se      ,  8.459,     0.19,
Bi Br Cd Se     ,  8.462,     0.19,
As Bi Ni S      ,  8.463,     0.19,
Cl Ga N Se      ,  8.463,     0.19,
Br Ni O Te      ,  8.466,    0.191,
Pb Se Sn Te     ,  8.471,    0.191,
Cl O P Ti       ,  8.471,    0.191,
Br Mn Sb Se     ,  8.486,    0.192,
As Cl O Pb      ,  8.489,    0.192,
As Hg I S       ,  8.491,    0.193,
I Nb Se Te      ,  8.493,    0.193,
Cl Nb O P       ,  8.511,    0.194,
Bi Br Cu Se     ,  8.516,    0.194,
Bi Cl O Se      ,  8.516,    0.194,
Cl N S S        ,  8.522,    0.195,
F O P P         ,  8.523,    0.195,
Mo Ru Se Te     ,  8.524,    0.195,
Cl Cr O Si      ,  8.525,    0.195,
Ca O P Se       ,  8.533,    0.196,
Ag Cl Cr O      ,  8.535,    0.196,
Bi In Se Te     ,  8.541,    0.196,
Ag Br Hg S      ,  8.545,    0.197,
Ag F O S        ,  8.547,    0.197,
As F I Te       ,   8.55,    0.197,
