Phase fields,     scores,     Norm. scores,
As Ga Se Zn     ,  1.615,      0.0,
As Cu Ge Se     ,  1.664,    0.009,
As Ge P Zn      ,  1.694,    0.015,
Ga P Se Zn      ,  1.737,    0.023,
As Ga S Zn      ,  1.737,    0.023,
As Cu Mn P      ,  1.747,    0.025,
Cu Ge P Se      ,  1.782,    0.032,
As Cd Ga Se     ,  1.792,    0.034,
As Co Ni S      ,  1.797,    0.035,
As In Se Zn     ,  1.815,    0.038,
Cu Ga S Se      ,  1.823,     0.04,
As P Si Zn      ,  1.842,    0.043,
Fe Mn S Se      ,  1.842,    0.043,
As Cu In Se     ,  1.848,    0.044,
Ga P S Zn       ,  1.851,    0.045,
Cu Fe S Se      ,  1.852,    0.045,
As Cd P Zn      ,   1.86,    0.047,
As Ga Te Zn     ,  1.861,    0.047,
As Cd Ge P      ,  1.864,    0.048,
As Cr Cu Se     ,  1.872,    0.049,
Cu Ge P S       ,  1.893,    0.053,
Br Cu Ge S      ,  1.902,    0.055,
As Cd Ga S      ,  1.903,    0.055,
As Cr Mn P      ,   1.92,    0.058,
Br Cu P Se      ,  1.938,    0.062,
As Br Cu S      ,  1.938,    0.062,
Cu Ga Se Te     ,  1.941,    0.062,
Al S Se Zn      ,  1.945,    0.063,
Cd Ga S Se      ,  1.952,    0.064,
Cd S Se Zn      ,  1.958,    0.066,
Cd Ge S Se      ,  1.962,    0.066,
Br Cu In Se     ,  1.963,    0.067,
Ni P S Se       ,  1.973,    0.068,
In S Se Zn      ,  1.973,    0.068,
Ag Ga S Se      ,  1.974,    0.069,
As Cd In Se     ,  1.975,    0.069,
Al Cu S Se      ,  1.975,    0.069,
Cu P S Se       ,  1.977,    0.069,
Br Cr Cu Se     ,  1.987,    0.071,
Fe In S Se      ,  1.993,    0.072,
In Mn S Se      ,  1.994,    0.072,
Cr S Se Zn      ,  1.996,    0.073,
As Cd Cr Se     ,  1.998,    0.073,
In Ni S Se      ,  1.998,    0.073,
Cu In S Se      ,  2.003,    0.074,
Ga S Se V       ,  2.011,    0.076,
As Br Cd P      ,  2.013,    0.076,
Cu Rh S Se      ,  2.014,    0.076,
Cr Fe S Se      ,  2.016,    0.077,
Cr Mn S Se      ,  2.016,    0.077,
As Cd Ga Te     ,  2.017,    0.077,
Co Cr S Se      ,  2.018,    0.077,
Ga Mo S Se      ,  2.023,    0.078,
Cr Cu S Se      ,  2.025,    0.078,
Cu Ge I Se      ,  2.031,    0.079,
Br Cu S Si      ,  2.035,     0.08,
Br Cu P S       ,   2.04,    0.081,
Br Mn Sb Se     ,  2.041,    0.081,
Cu S Se V       ,  2.047,    0.083,
Ag Br Ge S      ,  2.047,    0.083,
Mn Mo S Se      ,   2.05,    0.083,
Mo Ni S Se      ,  2.054,    0.084,
Cu Mo S Se      ,  2.059,    0.085,
Fe Fe S Te      ,  2.061,    0.085,
As Cu In Te     ,  2.066,    0.086,
Cd Se Te Zn     ,  2.069,    0.087,
As Cd In S      ,  2.076,    0.088,
Cu Cu S Te      ,  2.079,    0.089,
Ag Ga Se Te     ,  2.084,     0.09,
Cu S Sb Se      ,  2.087,     0.09,
Cd Mn Se Te     ,  2.089,    0.091,
Cd S Se Si      ,  2.091,    0.091,
Cu Nb S Se      ,  2.092,    0.091,
Br In In Se     ,  2.097,    0.092,
Ag Br In Se     ,  2.104,    0.094,
Cr Se Te Zn     ,  2.105,    0.094,
Se Sn Te Zn     ,  2.106,    0.094,
Br Nb Se Se     ,  2.108,    0.094,
Ge Se Sn Te     ,   2.11,    0.095,
Cu In Se Te     ,  2.111,    0.095,
Br Cd P P       ,  2.112,    0.095,
Cd In S Se      ,  2.121,    0.097,
Cu Ge I S       ,  2.129,    0.098,
Ga Mo Se Te     ,  2.131,    0.099,
Cr Cu Se Te     ,  2.133,    0.099,
As As Cd I      ,  2.135,    0.099,
Br Mn S Sb      ,  2.139,      0.1,
Ag In S Se      ,  2.141,    0.101,
Cd Cr S Se      ,  2.142,    0.101,
Br C Se Se      ,   2.15,    0.102,
Al Br Sb Se     ,  2.153,    0.103,
Cu Se Te V      ,  2.153,    0.103,
Cu I Se Si      ,  2.155,    0.103,
In S Se Sn      ,  2.157,    0.104,
Cu I P Se       ,  2.161,    0.104,
As Cu I S       ,  2.161,    0.104,
Br Cd Sb Se     ,  2.165,    0.105,
Ag Ge I Se      ,  2.167,    0.105,
Ge Sb Se Te     ,  2.168,    0.106,
Br Cu In Te     ,   2.17,    0.106,
Br In Sb Se     ,  2.178,    0.108,
S Se Sn Sn      ,  2.179,    0.108,
As Cd In Te     ,   2.18,    0.108,
Cu I In Se      ,  2.184,    0.109,
In Mo S Se      ,  2.187,    0.109,
Ga Ga I Te      ,  2.189,     0.11,
Br P S S        ,   2.19,     0.11,
Br Cu S Te      ,  2.191,     0.11,
Ag Mo S Se      ,  2.193,    0.111,
Cu Nb Se Te     ,  2.196,    0.111,
Ag Br In S      ,  2.199,    0.112,
S Sn Te Zn      ,  2.201,    0.112,
Ag Fe S Te      ,  2.204,    0.113,
Cr Mo S Se      ,  2.207,    0.113,
As Ga Mn N      ,  2.218,    0.115,
Ag S Sb Se      ,   2.22,    0.116,
Ag Br S Sn      ,  2.221,    0.116,
Ag Br Se Te     ,  2.228,    0.117,
As Cd I P       ,  2.228,    0.117,
Ag In Se Te     ,  2.243,     0.12,
