Phase fields,     scores,     Norm. scores,
As Cu Ge Se     ,  4.007,      0.0,
As Cd Ga Se     ,  4.197,    0.013,
As Ga Se Zn     ,  4.197,    0.013,
As Cd Ge P      ,  4.609,    0.041,
As Ge P Zn      ,  4.609,    0.041,
As As Cd Cl     ,  4.626,    0.042,
As Cd In Se     ,  4.635,    0.043,
As In Se Zn     ,  4.635,    0.043,
Cd Ge S Se      ,  4.699,    0.047,
As Cu In Se     ,  4.725,    0.049,
Cu Ge P Se      ,  4.764,    0.052,
Ag Ga S Se      ,   4.81,    0.055,
Ge Sb Se Te     ,  4.865,    0.059,
As Cd Ga S      ,  4.886,     0.06,
As Ga S Zn      ,  4.886,     0.06,
Ag Ga Se Te     ,  4.925,    0.063,
Ga P Se Zn      ,  4.925,    0.063,
Cd Ga S Se      ,  4.948,    0.065,
Cl Ga Sb Se     ,  4.985,    0.067,
As Cd Ga Te     ,    5.0,    0.068,
As Ga Te Zn     ,    5.0,    0.068,
Cu Ga S Se      ,  5.033,     0.07,
Cl Ga P Se      ,  5.072,    0.073,
As P Si Zn      ,  5.124,    0.077,
Cu Ga Se Te     ,  5.143,    0.078,
Ag S Sb Se      ,   5.15,    0.078,
As Cd P Zn      ,  5.155,    0.079,
Ag Cl Ge S      ,  5.186,    0.081,
Ag Cl In Se     ,  5.186,    0.081,
Ag In S Se      ,  5.196,    0.082,
Ge Se Sn Te     ,  5.197,    0.082,
Cd S Se Si      ,  5.205,    0.082,
Cd S Se Zn      ,  5.235,    0.084,
Ag Sb Se Te     ,  5.257,    0.086,
As Cd In S      ,  5.267,    0.086,
Al S Se Zn      ,  5.291,    0.088,
Ag In Se Te     ,  5.303,    0.089,
Cd In S Se      ,  5.324,     0.09,
In S Se Zn      ,  5.324,     0.09,
Al Cl Sb Se     ,  5.325,     0.09,
Cd Se Te Zn     ,  5.341,    0.091,
Ag Cl Se Te     ,  5.352,    0.092,
Cu S Sb Se      ,  5.358,    0.093,
Ag S Se Te      ,  5.362,    0.093,
Al Cu S Se      ,   5.37,    0.093,
As Cd In Te     ,  5.372,    0.094,
Cu Ge P S       ,  5.381,    0.094,
As Cl Cu S      ,  5.395,    0.095,
Ag Ge I Se      ,  5.397,    0.095,
Cu In S Se      ,  5.403,    0.096,
Al Cl P Se      ,  5.407,    0.096,
Cl Cu P Se      ,  5.431,    0.098,
Cu P S Se       ,   5.44,    0.098,
As Cu In Te     ,   5.45,    0.099,
As As Cd I      ,  5.468,      0.1,
In Sb Se Te     ,  5.471,      0.1,
Cu In Se Te     ,  5.506,    0.103,
Ga P S Zn       ,  5.524,    0.104,
Ag Br Ge S      ,  5.549,    0.106,
Ag Br In Se     ,  5.549,    0.106,
Cl Ga S Sb      ,  5.577,    0.108,
Cu Ge I Se      ,  5.597,    0.109,
Ge Pb S Se      ,  5.627,    0.111,
Br Cd Sb Se     ,  5.627,    0.111,
As Br Cd P      ,  5.651,    0.113,
In S Se Sn      ,   5.67,    0.114,
Ag Au S Se      ,  5.673,    0.114,
Cl Ga Sb Te     ,  5.677,    0.114,
Al Br Sb Se     ,  5.679,    0.115,
Cd Se Sn Te     ,  5.686,    0.115,
Se Sn Te Zn     ,  5.686,    0.115,
As Cl Ga Hg     ,  5.692,    0.116,
Ag Br Se Te     ,  5.705,    0.116,
Br In Sb Se     ,   5.71,    0.117,
Ge Pb Se Te     ,  5.726,    0.118,
Br Cu Ge S      ,  5.743,    0.119,
Br Cu In Se     ,  5.743,    0.119,
As Br Cu S      ,  5.745,    0.119,
Br In In Se     ,  5.752,     0.12,
Ag Cl In S      ,  5.758,     0.12,
Br Cu P Se      ,  5.778,    0.121,
Cu Rh S Se      ,   5.79,    0.122,
