Phase fields,     scores,     Norm. scores,
As Ga Se Zn     ,  0.758,      0.0,
As Cu Ge Se     ,  0.857,    0.025,
As Ge P Zn      ,  0.916,     0.04,
Ga P Se Zn      ,  0.993,     0.06,
As Ga S Zn      ,  0.993,     0.06,
As Cu Mn P      ,  1.011,    0.064,
Cu Ge P Se      ,   1.07,    0.079,
As Cd Ga Se     ,  1.086,    0.083,
As Co Ni S      ,  1.095,    0.085,
As In Se Zn     ,  1.123,    0.093,
Cu Ga S Se      ,  1.137,    0.096,
As P Si Zn      ,  1.167,    0.104,
Fe Mn S Se      ,  1.167,    0.104,
As Cu In Se     ,  1.175,    0.106,
Ga P S Zn       ,  1.181,    0.108,
Cu Fe S Se      ,  1.183,    0.108,
As Cd P Zn      ,  1.194,    0.111,
As Ga Te Zn     ,  1.196,    0.111,
As Cd Ge P      ,  1.201,    0.112,
As Ga Mn N      ,  1.206,    0.114,
As Cr Cu Se     ,  1.214,    0.116,
Cu Ge P S       ,  1.247,    0.124,
As Cd Ga S      ,  1.261,    0.128,
Br Cu Ge S      ,  1.261,    0.128,
As Cr Mn P      ,  1.288,    0.135,
Br Cu P Se      ,  1.314,    0.141,
As Br Cu S      ,  1.314,    0.141,
Cu Ga Se Te     ,  1.318,    0.142,
Al S Se Zn      ,  1.324,    0.144,
Cd Ga S Se      ,  1.333,    0.146,
Cd S Se Zn      ,  1.343,    0.149,
Cd Ge S Se      ,  1.349,     0.15,
Br Cu In Se     ,  1.351,     0.15,
In S Se Zn      ,  1.364,    0.154,
Ni P S Se       ,  1.364,    0.154,
Ag Ga S Se      ,  1.366,    0.154,
As Cd In Se     ,  1.366,    0.154,
Al Cu S Se      ,  1.368,    0.155,
Cu P S Se       ,  1.371,    0.156,
Br Cr Cu Se     ,  1.385,    0.159,
Cl Ga P Se      ,  1.391,    0.161,
Fe In S Se      ,  1.394,    0.161,
In Mn S Se      ,  1.394,    0.161,
Cr S Se Zn      ,  1.398,    0.162,
As Cd Cr Se     ,    1.4,    0.163,
In Ni S Se      ,    1.4,    0.163,
As As Cd Cl     ,  1.402,    0.163,
Cu In S Se      ,  1.407,    0.165,
Ga S Se V       ,   1.42,    0.168,
As Br Cd P      ,  1.422,    0.169,
Cu Rh S Se      ,  1.423,    0.169,
As Cd Ga Te     ,  1.426,     0.17,
Cr Fe S Se      ,  1.427,     0.17,
Cr Mn S Se      ,  1.427,     0.17,
Co Cr S Se      ,  1.429,     0.17,
Ga Mo S Se      ,  1.436,    0.172,
Cr Cu S Se      ,   1.44,    0.173,
Cl Cu P Se      ,  1.442,    0.174,
As Cl Cu S      ,  1.442,    0.174,
Cu Ge I Se      ,  1.446,    0.175,
Br Cu S Si      ,  1.453,    0.177,
Br Mn Sb Se     ,  1.461,    0.178,
Br Cu P S       ,  1.462,    0.179,
As In Mn N      ,  1.463,    0.179,
N P Se Zn       ,  1.466,     0.18,
Cu S Se V       ,   1.47,    0.181,
Ag Br Ge S      ,   1.47,    0.181,
Mn Mo S Se      ,  1.473,    0.182,
Mo Ni S Se      ,  1.479,    0.183,
Cu Mo S Se      ,  1.486,    0.185,
Fe Fe S Te      ,  1.489,    0.186,
As Cu In Te     ,  1.495,    0.187,
Cd Se Te Zn     ,  1.499,    0.188,
As Cd In S      ,  1.509,    0.191,
Cu Cu S Te      ,  1.514,    0.192,
Ag Ga Se Te     ,   1.52,    0.193,
Cu S Sb Se      ,  1.525,    0.195,
Cd Mn Se Te     ,  1.526,    0.195,
Cd S Se Si      ,  1.531,    0.196,
Cu Nb S Se      ,  1.532,    0.196,
Br In In Se     ,  1.539,    0.198,
Cl Ga Sb Se     ,  1.542,    0.199,
Ag Br In Se     ,  1.548,    0.201,
Cr Se Te Zn     ,  1.549,    0.201,
Se Sn Te Zn     ,   1.55,    0.201,
Br Nb Se Se     ,  1.554,    0.202,
Ge Se Sn Te     ,  1.555,    0.202,
Cu In Se Te     ,  1.557,    0.203,
Br Cd P P       ,   1.56,    0.204,
Cd In S Se      ,   1.57,    0.206,
Cl Cu P S       ,  1.578,    0.208,
Br Co O Se      ,   1.58,    0.209,
Cu Ge I S       ,  1.582,    0.209,
Ga Mo Se Te     ,  1.584,     0.21,
Cl Ga N Se      ,  1.584,     0.21,
Br Ni O Se      ,  1.584,     0.21,
Al Cl P Se      ,  1.585,     0.21,
Ag Cl Ge S      ,  1.586,     0.21,
Cr Cu Se Te     ,  1.587,     0.21,
As As Cd I      ,  1.589,    0.211,
Br Mn S Sb      ,  1.595,    0.212,
Ag In S Se      ,  1.597,    0.213,
Cd Cr S Se      ,  1.599,    0.214,
N P S Zn        ,    1.6,    0.214,
Ga N O Zn       ,  1.608,    0.216,
Cl Mn Mn O      ,  1.608,    0.216,
Br C Se Se      ,   1.61,    0.216,
Cu Se Te V      ,  1.614,    0.217,
Al Br Sb Se     ,  1.614,    0.217,
Cu I Se Si      ,  1.617,    0.218,
Cl Fe N Se      ,  1.618,    0.218,
In S Se Sn      ,  1.618,    0.218,
Ge N O Zn       ,  1.621,    0.219,
Cu I P Se       ,  1.624,     0.22,
As Cu I S       ,  1.624,     0.22,
Br Cd Sb Se     ,   1.63,    0.221,
As Cl Co O      ,  1.632,    0.222,
Ag Ge I Se      ,  1.632,    0.222,
Ge Sb Se Te     ,  1.633,    0.222,
Br Cu In Te     ,  1.637,    0.223,
As Cl Cu O      ,  1.641,    0.224,
Br In Sb Se     ,  1.647,    0.226,
S Se Sn Sn      ,  1.648,    0.226,
As Cd In Te     ,   1.65,    0.226,
Cl Ga N P       ,  1.653,    0.227,
Al Br N Se      ,  1.654,    0.227,
Cu I In Se      ,  1.654,    0.228,
As Br F Se      ,  1.656,    0.228,
Ag Cl In Se     ,  1.658,    0.229,
In Mo S Se      ,  1.658,    0.229,
Cl N P Zn       ,   1.66,    0.229,
Ga Ga I Te      ,  1.662,    0.229,
Cl O Se Zn      ,  1.662,     0.23,
Br P S S        ,  1.664,     0.23,
Br Cu S Te      ,  1.664,     0.23,
Ag Mo S Se      ,  1.667,    0.231,
Cl Ga S Sb      ,   1.67,    0.232,
Cu Nb Se Te     ,  1.671,    0.232,
Ag Br In S      ,  1.676,    0.233,
S Sn Te Zn      ,  1.677,    0.233,
As Br Cd O      ,  1.681,    0.234,
Ag Fe S Te      ,  1.681,    0.234,
Cr Mo S Se      ,  1.686,    0.236,
Cl Co O Se      ,  1.688,    0.236,
Cl Ni O Se      ,  1.692,    0.237,
Cl Cu O Se      ,  1.697,    0.238,
As Br In O      ,  1.698,    0.239,
Cl Mn S Sb      ,  1.702,     0.24,
Ag S Sb Se      ,  1.702,     0.24,
Ag Br S Sn      ,  1.704,     0.24,
Cl Ga N S       ,  1.709,    0.241,
Ag Br Se Te     ,  1.712,    0.242,
As Cd I P       ,  1.713,    0.242,
Al Cl Sb Se     ,   1.72,    0.244,
Ag Cl Mo Se     ,  1.726,    0.246,
Al Cl Nb Se     ,  1.726,    0.246,
Cl Nb P Se      ,  1.729,    0.246,
Ag In Se Te     ,  1.731,    0.247,
Cd Cr Se Te     ,  1.733,    0.247,
N P Te Zn       ,  1.733,    0.247,
Cd Se Sn Te     ,  1.734,    0.248,
Cu I S Si       ,  1.739,    0.249,
Cl Fe N S       ,   1.74,    0.249,
Cl Cu In Te     ,  1.741,     0.25,
Cl Mo S Se      ,  1.743,     0.25,
I Mn Sb Se      ,  1.745,    0.251,
Br S S V        ,  1.746,    0.251,
Cu I P S        ,  1.746,    0.251,
Ag Cl P S       ,   1.75,    0.252,
Cl Cu N S       ,   1.75,    0.252,
Cl Fe O P       ,  1.751,    0.252,
Br Cd S Sb      ,  1.751,    0.252,
Cl Mn O P       ,  1.751,    0.252,
Ag O P Se       ,  1.751,    0.252,
Cl Co O P       ,  1.753,    0.252,
Ag Ge I S       ,  1.753,    0.253,
Br Cu Mo O      ,  1.754,    0.253,
Ag S Se Te      ,  1.757,    0.253,
Fe O Se Te      ,  1.758,    0.254,
As Cl F Se      ,  1.759,    0.254,
B O Se Zn       ,   1.76,    0.254,
Br Nb Nb Se     ,  1.761,    0.255,
C Fe O Se       ,  1.761,    0.255,
Cl Cu S Te      ,  1.767,    0.256,
Br In S Sb      ,  1.767,    0.256,
Cl In In S      ,  1.769,    0.257,
C N Se Se       ,   1.77,    0.257,
As Br F S       ,  1.775,    0.258,
Cr Cr Se Te     ,  1.776,    0.258,
Br Fe O Sb      ,  1.777,    0.259,
Br Mn O Sb      ,  1.777,    0.259,
Br Cl Cr S      ,  1.777,    0.259,
Ag Cl In S      ,  1.778,    0.259,
Cd N P S        ,  1.778,    0.259,
Br Co O Sb      ,  1.779,    0.259,
Ge N O Si       ,  1.779,    0.259,
N O P Zn        ,  1.781,     0.26,
Cl Mo Mo Se     ,  1.782,     0.26,
As Cd Cl O      ,  1.783,     0.26,
Br Cu O Sb      ,  1.787,    0.261,
F Mn Ni O       ,  1.789,    0.262,
Cl Cu In O      ,  1.789,    0.262,
C N S Zn        ,   1.79,    0.262,
C F Ge Se       ,  1.794,    0.263,
Mg N P S        ,  1.795,    0.263,
Cd Ge N O       ,  1.797,    0.264,
Cu Mo O S       ,  1.798,    0.264,
Cl Ga Sb Te     ,  1.798,    0.264,
As Cl In O      ,  1.799,    0.264,
Br Cd O P       ,  1.799,    0.264,
As F Fe O       ,  1.803,    0.265,
Ag Br In Te     ,  1.803,    0.265,
Br O Te Zn      ,  1.807,    0.266,
Mo Ru Se Te     ,  1.808,    0.266,
As F N Se       ,  1.812,    0.267,
Ag Cl Se Te     ,  1.812,    0.268,
Cl N S Se       ,  1.813,    0.268,
Br Fe N O       ,  1.813,    0.268,
C Co N S        ,  1.814,    0.268,
B Br P S        ,  1.817,    0.269,
C N Ni S        ,  1.818,    0.269,
As F S S        ,  1.819,    0.269,
Ag I In Se      ,  1.819,    0.269,
Al Cl N P       ,  1.819,    0.269,
In Sb Se Te     ,   1.82,     0.27,
C Cu N S        ,  1.823,     0.27,
Ag Sb Se Te     ,  1.828,    0.272,
Br Fe O Te      ,  1.829,    0.272,
O P P S         ,   1.83,    0.272,
Br Co O Te      ,  1.831,    0.272,
B Br O Zn       ,  1.831,    0.272,
C N P Se        ,  1.832,    0.273,
Br C Mn O       ,  1.833,    0.273,
Br Cr O Si      ,  1.834,    0.273,
Br Ni O Te      ,  1.834,    0.273,
Cd Cl O Se      ,  1.835,    0.273,
Al Cd O S       ,  1.839,    0.274,
Cl Cu O V       ,  1.839,    0.274,
Br Cu O Te      ,  1.839,    0.274,
Br Cr O P       ,   1.84,    0.275,
Cl Fe Mo O      ,  1.842,    0.275,
Cl Nb P S       ,  1.844,    0.276,
Br Cl S Sb      ,  1.847,    0.276,
Cd S Sn Te      ,  1.849,    0.277,
Cd Cl S Sb      ,  1.849,    0.277,
Cl In O Se      ,   1.85,    0.277,
Cl O Sb Zn      ,  1.852,    0.278,
Br N S V        ,  1.853,    0.278,
B Br Fe O       ,  1.853,    0.278,
B Br Mn O       ,  1.853,    0.278,
F Fe O Se       ,  1.855,    0.278,
B Br Co O       ,  1.855,    0.278,
Cl P S Ti       ,  1.855,    0.278,
Fe N O S        ,  1.856,    0.279,
Cl Mo S S       ,  1.857,    0.279,
B Br Ni O       ,  1.858,    0.279,
Ag O S Si       ,  1.859,    0.279,
Cl Nb Nb Se     ,  1.859,    0.279,
B Br Cu O       ,  1.863,    0.281,
Br C F Ge       ,  1.863,    0.281,
Cl In S Sb      ,  1.865,    0.281,
C Cl Co N       ,  1.868,    0.282,
Cu I S Sb       ,  1.869,    0.282,
Al Cl N S       ,   1.87,    0.282,
