phases,target,natom
Ag Mg Nd,0,3
Ag Mg Pd,0,3
Ag Mg Pr,0,3
Ag Mg Sb,0,3
Ag Mg Sm,0,3
Ag Mg Sn,0,3
Ag Mg Sr,0,3
Ag Mg Tb,0,3
Ag Mg Tm,0,3
Ag Mg Y,0,3
Ag Mg Yb,0,3
Ag Mg Zn,0,3
Ag Mn,0,2
Ag Mn Sb Yb,0,4
Ag Mn Sn,0,3
Ag Mn Zn,0,3
Ag Na,0,2
Ag Na Sb,0,3
Ag Nd,0,2
Ag Nd Pb,0,3
Ag Nd Sn,0,3
Ag Ni,0,2
Ag Pb,0,2
Ag Pb Pd,0,3
Ag Pb Pr,0,3
Ag Pb Sm,0,3
Ag Pb Tb,0,3
Ag Pb Tm,0,3
Ag Pb Y,0,3
Ag Pb Yb,0,3
Ag Pb Zr,0,3
Ag Pd,0,2
Ag Pd Sn,0,3
Ag Pd Sr,0,3
Ag Pd Tb,0,3
Ag Pd Th,0,3
Ag Pd Yb,0,3
Ag Pd Zr,0,3
Ag Pr,0,2
Ag Pr Sb,0,3
Ag Pr Sn,0,3
Ag Pt,0,2
Ag Pu,0,2
Ag Rb Sb,0,3
Ag Rh,0,2
Ag Sb,0,2
Ag Sb Sn,0,3
Ag Sb Sr,0,3
Ag Sb Y,0,3
Ag Sb Yb,0,3
Ag Sb Zr,0,3
Ag Sc,0,2
Ag Sm,0,2
Ag Sm Sn,0,3
Ag Sn,0,2
Ag Sn Sr,0,3
Ag Sn Tb,0,3
Ag Sn Tm,0,3
Ag Sn Y,0,3
Ag Sn Yb,0,3
Ag Sr,0,2
Ag Sr Zn,0,3
Ag Tb,0,2
Ag Tb Zn,0,3
Ag Th,0,2
Ag Ti,0,2
Ag Tl,0,2
Ag Tm,0,2
Ag Y,0,2
Ag Yb,0,2
Ag Zn,0,2
Ag Zn Zr,0,3
Ag Zr,0,2
Al Am Pd,0,3
Al Au,0,2
Al Au Ba,0,3
Al Au Ca,0,3
Al Au Ca Cr,0,4
Al Au Ca Hf,0,4
Al Au Ca Mo,0,4
Al Au Ca Nb,0,4
Al Au Ca Ti,0,4
Al Au Ca V,0,4
Al Au Ca W,0,4
Al Au Ca Zr,0,4
Al Au Ce,0,3
Al Au Ce Cu,0,4
Al Au Ce Ge,0,4
Al Au Ce Pd,0,4
Al Au Cr Eu,0,4
Al Au Cu,0,3
Al Au Cu La,0,4
Al Au Dy,0,3
Al Au Er,0,3
Al Au Er Ge,0,4
Al Au Eu,0,3
Al Au Eu Ge,0,4
Al Au Eu Hf,0,4
Al Au Eu Mn,0,4
Al Au Eu Re,0,4
Al Au Eu Ti,0,4
Al Au Eu V,0,4
Al Au Eu Zr,0,4
Al Au Fe La,0,4
Al Au Ga,0,3
Al Au Gd,0,3
Al Au Gd Ge,0,4
Al Au Ge Nd,0,4
Al Au Hf,0,3
Al Au Hf Yb,0,4
Al Au Ho,0,3
Al Au In,0,3
Al Au Ir,0,3
Al Au La,0,3
Al Au Lu,0,3
Al Au Mn,0,3
Al Au Mn Sr,0,4
Al Au Na,0,3
Al Au Nb Sr,0,4
Al Au Nb Yb,0,4
Al Au Nd,0,3
Al Au Pd Sc,0,4
Al Au Pr,0,3
Al Au Sc,0,3
Al Au Sm,0,3
Al Au Sr,0,3
Al Au Sr Ti,0,4
Al Au Ta Yb,0,4
Al Au Tb,0,3
Al Au Th,0,3
Al Au Ti,0,3
Al Au Ti Yb,0,4
Al Au Tm,0,3
Al Au U,0,3
Al Au V,0,3
Al Au V Yb,0,4
Al Au Yb,0,3
Al Au Yb Zr,0,4
Al Au Zr,0,3
Al Ba,0,2
Al Ba Ca,0,3
Al Ba Ca Sb,0,4
Al Ba Co,0,3
Al Ba Cu,0,3
Al Ba Fe,0,3
Al Ba Ga,0,3
Al Ba Ga Ge,0,4
Al Ba Ge,0,3
Al Ba In,0,3
Al Ba K Sn,0,4
Al Ba Mg,0,3
Al Ba Ni,0,3
Al Ba Pb,0,3
Al Ba Pt,0,3
Al Ba Sb,0,3
Al Ba Sn,0,3
Al Ba Sr,0,3
Al Ba Zn,0,3
Al Be Ce,0,3
Al Be Cr,0,3
Al Be Cu,0,3
Al Be Fe,0,3
Al Be La,0,3
Al Be Mn,0,3
Al Be Ni,0,3
Al Be U,0,3
Al Bi,0,2
Al Bi Ca,0,3
Al Bi Ca La,0,4
Al Bi Ca Lu,0,4
Al Bi Ca Tm,0,4
Al Bi Fe La,0,4
Al Bi Gd,0,3
Al Bi Pd,0,3
Al Ca,0,2
Al Ca Cd,0,3
Al Ca Co,0,3
Al Ca Cr,0,3
Al Ca Cu,0,3
Al Ca Dy,0,3
Al Ca Er,0,3
Al Ca Fe,0,3
Al Ca Ga,0,3
Al Ca Gd,0,3
Al Ca Ge,0,3
Al Ca In,0,3
Al Ca Ir,0,3
Al Ca La,0,3
Al Ca Li,0,3
Al Ca Mg,0,3
Al Ca Mn,0,3
Al Ca Mn Sb,0,4
Al Ca Na Sb,0,4
Al Ca Ni,0,3
Al Ca Pb,0,3
Al Ca Pd,0,3
Al Ca Pt,0,3
Al Ca Rh,0,3
Al Ca Sb,0,3
Al Ca Sb Yb,0,4
Al Ca Sm,0,3
Al Ca Sn,0,3
Al Ca Sr,0,3
Al Ca Yb,0,3
Al Ca Zn,0,3
Al Cd Ti,0,3
Al Ce,0,2
Al Ce Co,0,3
Al Ce Co Fe,0,4
Al Ce Co Ge,0,4
Al Ce Co Mn,0,4
Al Ce Co Ni,0,4
Al Ce Cr,0,3
Al Ce Cu,0,3
Al Ce Cu Ga,0,4
Al Ce Cu Mn,0,4
Al Ce Cu Ni,0,4
Al Ce Eu,0,3
Al Ce Fe,0,3
Al Ce Fe Mg,0,4
Al Ce Ga,0,3
Al Ce Ga Ni,0,4
Al Ce Ga Pd,0,4
Al Ce Ge,0,3
Al Ce Ge Ir,0,4
Al Ce Ge Ni,0,4
Al Ce Ge Pd,0,4
Al Ce Ge Pt,0,4
Al Ce Ir,0,3
Al Ce Ir Os,0,4
Al Ce La,0,3
Al Ce La Ni,0,4
Al Ce Lu,0,3
Al Ce Mg,0,3
Al Ce Mn,0,3
Al Ce Mn Zn,0,4
Al Ce Mo,0,3
Al Ce Nd,0,3
Al Ce Ni,0,3
Al Ce Ni Ru,0,4
Al Ce Ni U,0,4
Al Ce Pd,0,3
Al Ce Pd Pt,0,4
Al Ce Pd Y,0,4
Al Ce Pr,0,3
Al Ce Pt,0,3
Al Ce Re,0,3
Al Ce Rh,0,3
Al Ce Ru,0,3
Al Ce Sc,0,3
Al Ce Sn,0,3
Al Ce Sr,0,3
Al Ce Th,0,3
Al Ce Ti,0,3
Al Ce U,0,3
Al Ce V,0,3
Al Ce Y,0,3
Al Ce Zn,0,3
Al Co,0,2
Al Co Cr,0,3
Al Co Cr Fe,0,4
Al Co Cr La,0,4
Al Co Cr Mn,0,4
Al Co Cr Os,0,4
Al Co Cr Ru,0,4
Al Co Cr Ti,0,4
Al Co Cr Y,0,4
Al Co Cu,0,3
Al Co Cu Y,0,4
Al Co Dy,0,3
Al Co Er,0,3
Al Co Er Ti,0,4
Al Co Eu,0,3
Al Co Fe,0,3
Al Co Fe La,0,4
Al Co Fe Mn,0,4
Al Co Fe Ni,0,4
Al Co Fe Pr,0,4
Al Co Fe Sm,0,4
Al Co Fe Ti,0,4
Al Co Fe V,0,4
Al Co Ga,0,3
Al Co Gd,0,3
Al Co Gd Ge,0,4
Al Co Ge Nd,0,4
Al Co Ge Pd,0,4
Al Co Ge Pr,0,4
Al Co Hf,0,3
Al Co Hf V,0,4
Al Co Ho,0,3
Al Co Ho Y,0,4
Al Co Ir,0,3
Al Co Ir Nb,0,4
Al Co Ir Ta,0,4
Al Co La,0,3
Al Co La Sb,0,4
Al Co Li Nb,0,4
Al Co Li Ta,0,4
Al Co Lu,0,3
Al Co Lu Y,0,4
Al Co Mn,0,3
Al Co Mn Ni,0,4
Al Co Mn Rh,0,4
Al Co Mn V,0,4
Al Co Mo,0,3
Al Co Nb,0,3
Al Co Nd,0,3
Al Co Ni,0,3
Al Co Ni Ti,0,4
Al Co Ni U,0,4
Al Co Os,0,3
Al Co Pd,0,3
Al Co Pr,0,3
Al Co Pt,0,3
Al Co Pt U,0,4
Al Co Pu,0,3
Al Co Re,0,3
Al Co Rh,0,3
Al Co Rh U,0,4
Al Co Ru,0,3
Al Co Ru U,0,4
Al Co Ru V,0,4
Al Co Sc,0,3
Al Co Sc Y,0,4
Al Co Sm,0,3
Al Co Sr,0,3
Al Co Ta,0,3
Al Co Tb,0,3
Al Co Tc,0,3
Al Co Th,0,3
Al Co Ti,0,3
Al Co Ti V,0,4
Al Co Ti Y,0,4
Al Co Ti Zr,0,4
Al Co Tm,0,3
Al Co U,0,3
Al Co V,0,3
Al Co V Zr,0,4
Al Co W,0,3
Al Co Y,0,3
Al Co Yb,0,3
Al Co Zn,0,3
Al Co Zr,0,3
Al Cr,0,2
Al Cr Cu,0,3
Al Cr Dy,0,3
Al Cr Er,0,3
Al Cr Eu,0,3
Al Cr Fe,0,3
Al Cr Fe Gd,0,4
Al Cr Fe Hf,0,4
Al Cr Fe Nb,0,4
Al Cr Fe Ru,0,4
Al Cr Fe Ti,0,4
Al Cr Fe Y,0,4
Al Cr Fe Yb,0,4
Al Cr Fe Zr,0,4
Al Cr Gd,0,3
Al Cr Ge,0,3
Al Cr Hf,0,3
Al Cr Hf Os,0,4
Al Cr Hf Ru,0,4
Al Cr Hf V,0,4
Al Cr Ho,0,3
Al Cr La,0,3
Al Cr La Ni,0,4
Al Cr Lu,0,3
Al Cr Mg,0,3
Al Cr Mn,0,3
Al Cr Mn Nb,0,4
Al Cr Mn Ni,0,4
Al Cr Mn Ta,0,4
Al Cr Mn Ti,0,4
Al Cr Mn V,0,4
Al Cr Mo,0,3
Al Cr Nb,0,3
Al Cr Nd,0,3
Al Cr Ni,0,3
Al Cr Ni Re,0,4
Al Cr Ni Sc,0,4
Al Cr Np,0,3
Al Cr Os Zr,0,4
Al Cr Pr,0,3
Al Cr Pt,0,3
Al Cr Rh,0,3
Al Cr Ru,0,3
Al Cr Ru Zr,0,4
Al Cr Sc,0,3
Al Cr Sm,0,3
Al Cr Ta,0,3
Al Cr Tb,0,3
Al Cr Th,0,3
Al Cr Ti,0,3
Al Cr Ti V,0,4
Al Cr Tm,0,3
Al Cr U,0,3
Al Cr V,0,3
Al Cr V Zr,0,4
Al Cr Y,0,3
Al Cr Yb,0,3
Al Cr Zn,0,3
Al Cr Zr,0,3
Al Cs K Sb,0,4
Al Cs Sb,0,3
Al Cs Tl,0,3
Al Cu,0,2
Al Cu Dy,0,3
Al Cu Er,0,3
Al Cu Er Ni,0,4
Al Cu Eu,0,3
Al Cu Eu Ga,0,4
Al Cu Fe,0,3
Al Cu Fe La,0,4
Al Cu Fe U,0,4
Al Cu Ga,0,3
Al Cu Ga La,0,4
Al Cu Ga Pr,0,4
Al Cu Gd,0,3
Al Cu Gd Th,0,4
Al Cu Ge,0,3
Al Cu Ge Tb,0,4
Al Cu Hf,0,3
Al Cu Ho,0,3
Al Cu In,0,3
Al Cu Ir,0,3
Al Cu La,0,3
Al Cu La Ni,0,4
Al Cu Li,0,3
Al Cu Li Mg,0,4
Al Cu Lu,0,3
Al Cu Mg,0,3
Al Cu Mn,0,3
Al Cu Mn Ni,0,4
Al Cu Mn Pd,0,4
Al Cu Mn Sn,0,4
Al Cu Mo,0,3
