Phase fields,     scores,     Norm. scores,
As Cu Ge Se     ,  2.854,      0.0,
As Ga Se Zn     ,  2.927,    0.006,
As Cd Ga Se     ,  3.166,    0.025,
As Cu In Se     ,  3.501,    0.052,
As In Se Zn     ,  3.507,    0.053,
As Ga Te Zn     ,  3.593,     0.06,
As As Cd Cl     ,  3.658,    0.065,
Cu Ga Se Te     ,  3.689,    0.068,
As Cd In Se     ,  3.708,    0.069,
As Ge P Zn      ,  3.747,    0.072,
Ag Ga Se Te     ,  3.765,    0.074,
As Ga S Zn      ,  3.789,    0.076,
As Cd Ga Te     ,   3.79,    0.076,
Br Cu In Se     ,   3.83,    0.079,
Cu Ge P Se      ,  3.838,     0.08,
Cu Ga S Se      ,   3.88,    0.083,
Cl Ga Sb Se     ,  3.888,    0.084,
Ga P Se Zn      ,  3.893,    0.084,
Ag Br In Se     ,  3.904,    0.085,
Cu Ge I Se      ,  3.928,    0.087,
As Cd Ge P      ,  3.936,    0.088,
Ag Ga S Se      ,  3.953,    0.089,
Ge Sb Se Te     ,  3.963,     0.09,
As Cd Ga S      ,  3.977,    0.091,
Ag Ge I Se      ,    4.0,    0.093,
Al Br Sb Se     ,  4.008,    0.093,
Cd Ge S Se      ,  4.021,    0.094,
Br Cd Sb Se     ,  4.031,    0.095,
Br Cu Ge S      ,  4.043,    0.096,
Cd Se Te Zn     ,  4.059,    0.098,
Cd Ga S Se      ,  4.068,    0.098,
As As Cd I      ,  4.068,    0.098,
Ag Br Se Te     ,   4.07,    0.098,
As Cu In Te     ,  4.075,    0.099,
As Br Cu S      ,  4.088,      0.1,
Ag Br Ge S      ,  4.113,    0.102,
Ag Cl In Se     ,  4.116,    0.102,
Br In In Se     ,  4.131,    0.103,
Br In Sb Se     ,  4.141,    0.104,
As Cd P Zn      ,  4.154,    0.105,
Cu In Se Te     ,  4.164,    0.106,
Br Cu P Se      ,  4.184,    0.108,
Al Cu S Se      ,  4.207,    0.109,
Al S Se Zn      ,  4.212,     0.11,
Al Cl Sb Se     ,  4.214,     0.11,
Cl Ga P Se      ,  4.227,    0.111,
Ag In Se Te     ,  4.231,    0.111,
Ge Se Sn Te     ,  4.234,    0.112,
Cd S Se Zn      ,  4.234,    0.112,
Ag Sb Se Te     ,  4.242,    0.112,
As Cd In Te     ,  4.254,    0.113,
Ag Cl Se Te     ,  4.274,    0.115,
As Br Cd P      ,  4.274,    0.115,
As Cl Cu S      ,  4.291,    0.116,
Ag Cl Ge S      ,  4.315,    0.118,
As Cr Cu Se     ,   4.33,    0.119,
Cu In S Se      ,  4.334,     0.12,
Ga Ga I Te      ,  4.337,     0.12,
In S Se Zn      ,  4.339,     0.12,
Cu S Sb Se      ,  4.344,    0.121,
As P Si Zn      ,  4.348,    0.121,
Br Cu In Te     ,   4.36,    0.122,
Cl Cu P Se      ,  4.382,    0.124,
Ag In S Se      ,  4.399,    0.125,
Ag S Sb Se      ,  4.409,    0.126,
Cl Ga Sb Te     ,  4.411,    0.126,
Cu I In Se      ,  4.421,    0.127,
As Cd In S      ,  4.421,    0.127,
In Ni S Se      ,  4.424,    0.127,
Ag Br In Te     ,  4.425,    0.127,
Se Sn Te Zn     ,  4.437,    0.128,
In Sb Se Te     ,  4.451,    0.129,
Ag Br Cl Te     ,  4.466,     0.13,
As Br Cd O      ,  4.473,    0.131,
Br Ni O Se      ,  4.476,    0.131,
Ag I In Se      ,  4.484,    0.132,
As As Br Hg     ,  4.495,    0.133,
As Cl Cu O      ,  4.496,    0.133,
As Cd Cr Se     ,  4.499,    0.133,
Cd In S Se      ,  4.503,    0.133,
Cu I Se Si      ,  4.505,    0.134,
Al Cl P Se      ,  4.529,    0.135,
Cu Ge P S       ,   4.53,    0.136,
Ag S Se Te      ,  4.548,    0.137,
Cl Cu In Te     ,  4.551,    0.137,
Cu Cu S Te      ,  4.554,    0.138,
Cl Ga S Sb      ,  4.572,    0.139,
Ag Br Te Te     ,  4.573,    0.139,
As Br In O      ,  4.573,    0.139,
As Br Hg Se     ,  4.576,    0.139,
Ga P S Zn       ,  4.577,    0.139,
Cl Cu O Se      ,  4.577,    0.139,
Cl O Se Zn      ,  4.581,     0.14,
Cd S Se Si      ,  4.586,     0.14,
Ag Br In S      ,  4.586,     0.14,
Cd Se Sn Te     ,  4.598,    0.141,
Br Cr Cu Se     ,    4.6,    0.141,
Br Cu S Si      ,  4.606,    0.142,
Cu Ge I S       ,  4.606,    0.142,
Ag Cl In Te     ,  4.613,    0.142,
Br Nb Se Se     ,  4.624,    0.143,
