Phase fields,     scores,     Norm. scores,
As Cu Ge Se     ,   3.84,      0.0,
As Ga Se Zn     ,   4.07,    0.016,
As Cd Ga Se     ,  4.129,     0.02,
As Ge P Zn      ,   4.48,    0.044,
As Cd Ge P      ,  4.534,    0.048,
As In Se Zn     ,  4.547,    0.049,
As As Cd Cl     ,  4.577,    0.051,
As Cu In Se     ,  4.595,    0.052,
As Cd In Se     ,    4.6,    0.052,
Cu Ge P Se      ,  4.608,    0.053,
Cd Ge S Se      ,  4.668,    0.057,
Ag Ga S Se      ,  4.732,    0.061,
As Ga S Zn      ,  4.779,    0.065,
Ga P Se Zn      ,  4.801,    0.066,
Ge Sb Se Te     ,  4.827,    0.068,
As Cd Ga S      ,   4.83,    0.068,
Ag Ga Se Te     ,  4.831,    0.068,
As Ga Te Zn     ,  4.877,    0.071,
Cu Ga S Se      ,    4.9,    0.073,
Cd Ga S Se      ,  4.904,    0.073,
Ag Br Ge S      ,  4.908,    0.074,
Ag Br In Se     ,  4.918,    0.074,
As Cd Ga Te     ,  4.926,    0.075,
Cl Ga Sb Se     ,  4.951,    0.076,
Cu Ga Se Te     ,  4.995,    0.079,
As P Si Zn      ,  4.996,     0.08,
Cl Ga P Se      ,  5.014,    0.081,
As Br Cd P      ,  5.023,    0.081,
Br Cd Sb Se     ,  5.033,    0.082,
As Cd P Zn      ,  5.036,    0.082,
Al Br Sb Se     ,  5.057,    0.084,
As Br Cu S      ,  5.069,    0.085,
Br Cu Ge S      ,   5.07,    0.085,
Ag Br Se Te     ,  5.074,    0.085,
Br Cu In Se     ,  5.079,    0.085,
Br Cu P Se      ,   5.09,    0.086,
Ag S Sb Se      ,  5.098,    0.087,
Ag Cl Ge S      ,  5.129,    0.089,
Ag Cl In Se     ,  5.138,    0.089,
Br In Sb Se     ,  5.139,    0.089,
Ag In S Se      ,  5.148,     0.09,
Cd S Se Zn      ,  5.157,    0.091,
Ge Se Sn Te     ,  5.165,    0.091,
Cd S Se Si      ,  5.166,    0.091,
Al S Se Zn      ,  5.181,    0.092,
Br In In Se     ,  5.188,    0.093,
Ag Sb Se Te     ,   5.19,    0.093,
Al Cu S Se      ,  5.224,    0.095,
As Cd In S      ,  5.238,    0.096,
Ag In Se Te     ,  5.239,    0.096,
As As Br Hg     ,  5.239,    0.096,
Cu Ge P S       ,  5.245,    0.097,
Cd Se Te Zn     ,  5.248,    0.097,
Ag Ge I Se      ,  5.249,    0.097,
Cu S Sb Se      ,  5.254,    0.097,
In S Se Zn      ,  5.261,    0.098,
Al Cl Sb Se     ,  5.272,    0.099,
As Cl Cu S      ,  5.283,    0.099,
Ag Cl Se Te     ,  5.288,      0.1,
Ag S Se Te      ,  5.298,      0.1,
Cu In S Se      ,  5.303,    0.101,
Cl Cu P Se      ,  5.303,    0.101,
Cd In S Se      ,  5.307,    0.101,
As Br Hg Se     ,  5.308,    0.101,
Cu P S Se       ,  5.313,    0.101,
As Cu In Te     ,  5.323,    0.102,
As Cd In Te     ,  5.327,    0.102,
Al Cl P Se      ,   5.33,    0.103,
As As Cd I      ,  5.336,    0.103,
Cu In Se Te     ,  5.391,    0.107,
Cu Ge I Se      ,  5.401,    0.107,
Ga P S Zn       ,  5.416,    0.108,
In Sb Se Te     ,  5.447,    0.111,
Ag Br In S      ,  5.519,    0.116,
Br Cu S Si      ,  5.532,    0.116,
Cl Ga S Sb      ,  5.549,    0.118,
Ag Au S Se      ,  5.589,     0.12,
Ag Br In Te     ,  5.604,    0.121,
Cu Rh S Se      ,  5.604,    0.121,
Ge Pb S Se      ,   5.61,    0.122,
Se Sn Te Zn     ,  5.611,    0.122,
Br Cd S Sb      ,  5.622,    0.123,
Br Cd P P       ,  5.632,    0.123,
Cl Ga Sb Te     ,  5.633,    0.123,
Ag Br Cl Te     ,   5.65,    0.125,
As Cl Ga Hg     ,   5.65,    0.125,
Cd Se Sn Te     ,  5.654,    0.125,
In S Se Sn      ,  5.666,    0.126,
Br Cu P S       ,  5.673,    0.126,
Ge Pb Se Te     ,  5.693,    0.128,
Br Nb Se Se     ,  5.703,    0.128,
Ag Cl In S      ,  5.716,    0.129,
Br In S Sb      ,  5.717,    0.129,
As Br Cu Hg     ,  5.719,    0.129,
As Br Cd Hg     ,  5.722,     0.13,
Ag Cl P S       ,  5.726,     0.13,
Ag Br Te Te     ,  5.742,    0.131,
Br Hg Se Zn     ,  5.743,    0.131,
Br Cu In Te     ,  5.746,    0.131,
Br Cl S Sb      ,  5.762,    0.132,
As Cr Cu Se     ,  5.769,    0.133,
Ag As Cl Hg     ,  5.771,    0.133,
Ag Br S Sn      ,  5.773,    0.133,
As Cd Cr Se     ,  5.773,    0.133,
Br Cu Hg Se     ,  5.782,    0.134,
Ag Cl In Te     ,  5.798,    0.135,
Br Cu S Te      ,    5.8,    0.135,
Cd Cl S Sb      ,  5.815,    0.136,
As Br Hg In     ,  5.816,    0.136,
Ag Ge I S       ,  5.816,    0.136,
Ag I In Se      ,  5.824,    0.137,
Br P S S        ,  5.825,    0.137,
Cu I Se Si      ,  5.836,    0.137,
As Br Cd O      ,  5.838,    0.137,
Cu Cu S Te      ,  5.849,    0.138,
Ag Cl S Te      ,  5.851,    0.138,
Ga S Se V       ,   5.86,    0.139,
Cl Cu P S       ,  5.865,    0.139,
Ga S Se Tl      ,  5.865,    0.139,
As Br Hg S      ,  5.869,     0.14,
Cl In S Sb      ,  5.907,    0.142,
Ag Bi Br Se     ,   5.91,    0.142,
Ag O P Se       ,  5.912,    0.143,
As Cd I P       ,  5.913,    0.143,
S Se Sn Sn      ,  5.914,    0.143,
In Ni S Se      ,  5.917,    0.143,
Ni P S Se       ,  5.926,    0.144,
As Br In O      ,  5.929,    0.144,
Cl Cu In Te     ,  5.935,    0.144,
Ag S Te Te      ,   5.94,    0.145,
Cl In In S      ,   5.95,    0.145,
As Cu I S       ,  5.953,    0.145,
Cu Ge I S       ,  5.953,    0.145,
Cu I In Se      ,  5.961,    0.146,
As Hg S Sb      ,  5.969,    0.147,
Cl Cu Hg Se     ,   5.97,    0.147,
Cu I P Se       ,  5.971,    0.147,
Ga Ga I Te      ,  5.971,    0.147,
Bi Cl Ga Se     ,  5.981,    0.147,
Cl Cu S Te      ,  5.988,    0.148,
In S Sb Te      ,  5.995,    0.148,
As Cl Cu O      ,  6.021,     0.15,
As Cd Cl O      ,  6.024,     0.15,
Cl O Se Zn      ,  6.044,    0.152,
Bi Br Cu Se     ,  6.045,    0.152,
Ag S Sn Te      ,  6.049,    0.152,
Bi Br Cd Se     ,  6.049,    0.152,
As Cl Hg S      ,  6.055,    0.152,
As Br Hg Sn     ,  6.057,    0.153,
Cd Hg Se Te     ,  6.061,    0.153,
Cd Pb S Se      ,  6.063,    0.153,
I S Sb Se       ,  6.064,    0.153,
Cl Cu O Se      ,  6.081,    0.154,
Cd Cl O Se      ,  6.084,    0.154,
Ag Bi Cl Se     ,  6.095,    0.155,
Ag Bi S Se      ,  6.103,    0.156,
Cu S Se V       ,   6.11,    0.156,
As Cl In O      ,  6.113,    0.156,
Cl O Sb Se      ,   6.13,    0.158,
Bi Br In Se     ,  6.137,    0.158,
Cd Pb Se Te     ,   6.14,    0.158,
S Sn Te Zn      ,  6.145,    0.159,
As Hg I Se      ,  6.157,    0.159,
Br Cr Cu Se     ,  6.162,     0.16,
S Sb Se Tl      ,  6.164,     0.16,
Ag Br Hg S      ,  6.172,     0.16,
Cl In O Se      ,  6.172,    0.161,
Ag Bi Se Te     ,   6.18,    0.161,
Cd S Sn Te      ,  6.184,    0.161,
Cu Se Te V      ,  6.187,    0.162,
Ag Br I S       ,  6.205,    0.163,
Ge Pb S Te      ,   6.22,    0.164,
As Br F Se      ,  6.226,    0.164,
Bi Cl Cu Se     ,  6.226,    0.164,
As Cl Hg Sn     ,  6.237,    0.165,
I Sb Se Sn      ,  6.246,    0.166,
Al Bi Cl Se     ,  6.249,    0.166,
As Br Hg Ti     ,  6.271,    0.167,
Cu Nb S Se      ,  6.275,    0.168,
Pb S Se Te      ,  6.277,    0.168,
Ag Br I Te      ,   6.28,    0.168,
Bi S Sb Se      ,  6.283,    0.168,
Ag Cl O Si      ,  6.287,    0.168,
Ga Mo S Se      ,  6.288,    0.168,
Hg O Se Se      ,  6.289,    0.169,
Al Cl Nb Se     ,  6.289,    0.169,
Ag O S Si       ,  6.296,    0.169,
Ag I S Sb       ,    6.3,    0.169,
Br Cu Hg S      ,  6.301,    0.169,
Br Cd Hg S      ,  6.304,     0.17,
Cr S Se Zn      ,  6.312,     0.17,
Br Cu O Sb      ,  6.317,     0.17,
Ag Al Cl O      ,  6.339,    0.172,
Au Cl P S       ,  6.344,    0.172,
Cr Cu S Se      ,  6.347,    0.173,
Cu Nb Se Te     ,  6.349,    0.173,
Cd Cr S Se      ,  6.351,    0.173,
Cu I S Si       ,  6.351,    0.173,
Bi Sb Se Te     ,  6.357,    0.173,
Ga Mo Se Te     ,  6.362,    0.174,
Cl Nb P Se      ,  6.364,    0.174,
Br Cd O P       ,  6.369,    0.174,
Br Cl I Sb      ,  6.373,    0.174,
Pb S Se Sn      ,   6.38,    0.175,
Cr Se Te Zn     ,  6.386,    0.175,
