Phase fields,     scores,     Norm. scores,
As Cu Ge Se     ,  4.168,      0.0,
As Cd Ga Se     ,  4.336,    0.011,
As Ga Se Zn     ,  4.337,    0.011,
As Cd Ge P      ,  4.718,    0.038,
As Ge P Zn      ,  4.719,    0.038,
As Cd In Se     ,  4.761,     0.04,
As In Se Zn     ,  4.762,     0.04,
As As Cd Cl     ,  4.799,    0.043,
Cd Ge S Se      ,  4.845,    0.046,
As Cu In Se     ,  4.857,    0.047,
Cu Ge P Se      ,  4.898,     0.05,
Ag Ga S Se      ,  4.952,    0.053,
As Cd Ga S      ,  5.001,    0.057,
As Ga S Zn      ,  5.002,    0.057,
Ge Sb Se Te     ,  5.038,    0.059,
Ga P Se Zn      ,  5.041,     0.06,
Ag Ga Se Te     ,  5.073,    0.062,
Cd Ga S Se      ,  5.081,    0.062,
As Cd Ga Te     ,  5.121,    0.065,
As Ga Te Zn     ,  5.122,    0.065,
Cl Ga Sb Se     ,  5.169,    0.068,
Cu Ga S Se      ,  5.171,    0.068,
As P Si Zn      ,  5.221,    0.072,
As Cd P Zn      ,  5.247,    0.073,
Cl Ga P Se      ,  5.247,    0.074,
Cu Ga Se Te     ,  5.287,    0.076,
Ag S Sb Se      ,  5.304,    0.077,
Ag In S Se      ,  5.329,    0.079,
Cd S Se Si      ,  5.335,     0.08,
Ge Se Sn Te     ,  5.346,     0.08,
Ag Cl In Se     ,  5.348,     0.08,
Ag Cl Ge S      ,  5.348,     0.08,
Cd S Se Zn      ,  5.361,    0.081,
As Cd In S      ,  5.374,    0.082,
Al S Se Zn      ,  5.416,    0.085,
Ag Sb Se Te     ,  5.417,    0.085,
Ag In Se Te     ,  5.441,    0.087,
Cd In S Se      ,  5.449,    0.087,
In S Se Zn      ,  5.449,    0.087,
Cd Se Te Zn     ,  5.473,    0.089,
As Cd In Te     ,  5.486,     0.09,
Cu Ge P S       ,  5.495,     0.09,
Al Cl Sb Se     ,  5.498,    0.091,
Al Cu S Se      ,  5.499,    0.091,
Cu S Sb Se      ,  5.508,    0.091,
Ag S Se Te      ,  5.529,    0.093,
Cu In S Se      ,  5.532,    0.093,
