Phase fields,     scores,     Norm. scores,
As Cu Ge Se     ,  3.143,      0.0,
As Ga Se Zn     ,  3.406,    0.021,
As Cd Ga Se     ,  3.611,    0.038,
As Cu In Se     ,  3.941,    0.064,
As In Se Zn     ,  3.942,    0.064,
As As Cd Cl     ,  3.971,    0.067,
As Ge P Zn      ,  3.973,    0.067,
As Ga Te Zn     ,  4.022,    0.071,
Cu Ge P Se      ,  4.055,    0.074,
Cu Ga Se Te     ,  4.104,    0.077,
As Cd In Se     ,  4.121,    0.079,
Ge Sb Se Te     ,  4.138,     0.08,
Cu Ge I Se      ,  4.139,     0.08,
As Cd Ge P      ,  4.151,    0.081,
As Ga S Zn      ,  4.169,    0.083,
Ag Ga Se Te     ,  4.176,    0.083,
As Cd Ga Te     ,  4.198,    0.085,
As As Cd I      ,  4.206,    0.086,
Ag Ge I Se      ,   4.21,    0.086,
Cd Ge S Se      ,  4.217,    0.087,
Cu Ga S Se      ,  4.248,    0.089,
Br Cd Sb Se     ,  4.259,     0.09,
Ga P Se Zn      ,  4.262,     0.09,
As Br Cu S      ,   4.28,    0.092,
Ag Br Se Te     ,  4.287,    0.092,
Br Cu In Se     ,  4.292,    0.093,
Cd Se Te Zn     ,  4.303,    0.093,
Br Cu Ge S      ,  4.307,    0.094,
Ag Ga S Se      ,  4.317,    0.095,
As Cd Ga S      ,  4.339,    0.096,
Cl Ga Sb Se     ,   4.35,    0.097,
Ag Br In Se     ,   4.36,    0.098,
Br Cu P Se      ,  4.371,    0.099,
Ag Br Ge S      ,  4.375,    0.099,
As Cd P Zn      ,  4.378,      0.1,
Cd Ga S Se      ,  4.415,    0.102,
Al Br Sb Se     ,  4.417,    0.103,
Ag Sb Se Te     ,  4.433,    0.104,
Cd S Se Zn      ,  4.441,    0.105,
As Br Cd P      ,  4.459,    0.106,
Ge Se Sn Te     ,  4.464,    0.106,
As Cu In Te     ,  4.485,    0.108,
Cu S Sb Se      ,  4.501,    0.109,
Br In Sb Se     ,  4.518,    0.111,
As P Si Zn      ,  4.549,    0.113,
As Cl Cu S      ,  4.557,    0.114,
Cu In Se Te     ,  4.559,    0.114,
Ag Cl Se Te     ,  4.564,    0.115,
Ag S Sb Se      ,  4.566,    0.115,
Al Cu S Se      ,  4.591,    0.117,
Al S Se Zn      ,  4.592,    0.117,
As As Br Hg     ,  4.608,    0.118,
Cl Ga P Se      ,  4.619,    0.119,
Ag In Se Te     ,  4.623,    0.119,
Ag Cl In Se     ,  4.633,     0.12,
Cl Cu P Se      ,  4.643,    0.121,
As Cd In Te     ,  4.644,    0.121,
As Cr Cu Se     ,  4.646,    0.121,
Ag Cl Ge S      ,  4.647,    0.121,
Se Sn Te Zn     ,  4.676,    0.124,
As Br Hg Se     ,   4.68,    0.124,
Ag S Se Te      ,  4.685,    0.124,
Al Cl Sb Se     ,  4.686,    0.124,
Cu In S Se      ,  4.688,    0.125,
In S Se Zn      ,  4.689,    0.125,
Cu I Se Si      ,  4.695,    0.125,
Br In In Se     ,  4.705,    0.126,
Cu Ge P S       ,  4.715,    0.127,
