Phase fields,     scores,     Norm. scores,
As As Cd Cl     ,  6.344,      0.0,
As Cd Ge P      ,  6.413,    0.005,
As Ge P Zn      ,  6.413,    0.005,
Cd Ge S Se      ,  6.421,    0.006,
Ge Sb Se Te     ,  6.493,    0.011,
As Cd Ga Se     ,  6.553,    0.016,
As Ga Se Zn     ,  6.553,    0.016,
As P Si Zn      ,  6.667,    0.024,
Cd S Se Si      ,  6.675,    0.025,
Cl Ga P Se      ,   6.81,    0.035,
As Cd P Zn      ,  6.833,    0.037,
Cd S Se Zn      ,  6.841,    0.037,
As Cd In Se     ,  6.842,    0.037,
As In Se Zn     ,  6.842,    0.037,
Cl Ga Sb Se     ,  6.873,     0.04,
As Cd Ga S      ,  6.891,    0.041,
As Ga S Zn      ,  6.891,    0.041,
Ge Se Sn Te     ,  6.907,    0.042,
Cd Ga S Se      ,  6.909,    0.042,
Ga P Se Zn      ,  6.919,    0.043,
Al Cl P Se      ,  6.944,    0.045,
Al Cl Sb Se     ,  7.005,     0.05,
Al S Se Zn      ,  7.041,    0.052,
Cd Se Te Zn     ,  7.049,    0.053,
Ni P S Se       ,   7.08,    0.055,
As Cd Ga Te     ,  7.097,    0.056,
As Ga Te Zn     ,  7.097,    0.056,
As As Cd I      ,  7.109,    0.057,
As Br Cd P      ,  7.128,    0.059,
Cd Cl S Sb      ,   7.13,    0.059,
As Cd In S      ,  7.166,    0.062,
Cd In S Se      ,  7.184,    0.063,
In S Se Zn      ,  7.184,    0.063,
Cl Ga S Sb      ,  7.196,    0.064,
Br Cd Sb Se     ,  7.206,    0.065,
Cl O Sb Se      ,  7.214,    0.065,
Ga P S Zn       ,   7.24,    0.067,
In Sb Se Te     ,  7.248,    0.068,
Br P S S        ,  7.256,    0.068,
Cd Se Sn Te     ,  7.299,    0.072,
Se Sn Te Zn     ,  7.299,    0.072,
I S Sb Se       ,  7.323,    0.073,
As Cd Cl O      ,  7.331,    0.074,
S Se Sn Sn      ,  7.347,    0.075,
Cd Cl O Se      ,  7.349,    0.075,
Cl O Se Zn      ,  7.349,    0.075,
As Cd In Te     ,  7.365,    0.077,
O P P S         ,  7.376,    0.077,
As Cu Ge Se     ,  7.382,    0.078,
Cl Ga Sb Te     ,  7.394,    0.079,
Al Br Sb Se     ,  7.396,    0.079,
Br Cl S Sb      ,  7.414,     0.08,
In S Se Sn      ,   7.43,    0.081,
As Cd I P       ,  7.448,    0.083,
Cl In S Sb      ,   7.46,    0.084,
Br Cd P P       ,  7.467,    0.084,
Br Cd S Sb      ,  7.514,    0.088,
Cl O P Sb       ,  7.531,    0.089,
Br In Sb Se     ,  7.532,    0.089,
In S Sb Te      ,  7.555,    0.091,
As Cl F Se      ,  7.558,    0.091,
Cl O Se Sn      ,  7.589,    0.093,
In Ni S Se      ,    7.6,    0.094,
Cd S Sn Te      ,  7.604,    0.094,
S Sn Te Zn      ,  7.604,    0.094,
As Cl In O      ,  7.653,    0.098,
Cd Cl O P       ,  7.661,    0.099,
Cl In O Se      ,  7.669,    0.099,
As Br Cd O      ,  7.705,    0.102,
Cu Ge P Se      ,  7.709,    0.102,
Cl O Sb Te      ,  7.712,    0.103,
Cd Cl O Sb      ,  7.717,    0.103,
Cl O Sb Zn      ,  7.717,    0.103,
Cl Ni O Se      ,  7.756,    0.106,
I Sb Se Sn      ,  7.758,    0.106,
As F S S        ,  7.759,    0.106,
Cd I P S        ,  7.764,    0.106,
Ag S Sb Se      ,   7.79,    0.108,
Ge Pb S Se      ,  7.812,     0.11,
Cd I S Sb       ,  7.819,    0.111,
Cl Mg O P       ,  7.824,    0.111,
Br In S Sb      ,  7.828,    0.111,
Al Cl O S       ,  7.831,    0.111,
Cd Cl O Te      ,  7.838,    0.112,
Cl O Te Zn      ,  7.838,    0.112,
As Cl F S       ,  7.853,    0.113,
Cu P S Se       ,  7.876,    0.115,
Cl O S Sn       ,  7.883,    0.115,
Cl O P Sn       ,  7.892,    0.116,
Cl In In S      ,  7.901,    0.117,
Ag S Se Te      ,   7.91,    0.117,
As Br F Se      ,  7.922,    0.118,
Al Cd O S       ,  7.926,    0.119,
Cu S Sb Se      ,   7.93,    0.119,
Ag Cl Ge S      ,  7.943,     0.12,
As Cl Cu S      ,  7.943,     0.12,
Cl Cu P Se      ,  7.968,    0.122,
Br In In Se     ,   7.97,    0.122,
Ag Sb Se Te     ,  7.973,    0.122,
Ag Ga S Se      ,  7.974,    0.122,
Cl Cl O Sn      ,  7.975,    0.122,
As Hg S Sb      ,  7.975,    0.122,
Ge Pb Se Te     ,  7.995,    0.124,
Cu Ge P S       ,  7.998,    0.124,
I P P Sn        ,  8.001,    0.124,
Ag Cl Se Te     ,  8.002,    0.124,
As Cl Hg S      ,  8.004,    0.124,
As Br In O      ,  8.012,    0.125,
Br Cd O P       ,   8.02,    0.126,
As Cl F Te      ,  8.035,    0.127,
I S Sb Sn       ,  8.045,    0.128,
Bi S Sb Se      ,  8.051,    0.128,
As Cu In Se     ,  8.054,    0.128,
As As Br Hg     ,  8.056,    0.128,
Ga S Se V       ,  8.071,    0.129,
As Br Hg Se     ,  8.071,    0.129,
Al Cd O Te      ,  8.106,    0.132,
Br Ni O Se      ,  8.111,    0.132,
Cu Ga S Se      ,  8.111,    0.132,
Ag Cl P S       ,  8.114,    0.133,
Cl In O Te      ,  8.139,    0.135,
Ag Ga Se Te     ,  8.153,    0.136,
Pb S Se Te      ,  8.156,    0.136,
Cd Pb S Se      ,  8.161,    0.136,
Bi S Se Te      ,  8.167,    0.137,
Br Cl I Sb      ,  8.169,    0.137,
Al I Sb Te      ,  8.173,    0.137,
Hg O Se Se      ,  8.187,    0.138,
Br O Te Zn      ,  8.189,    0.138,
Cl P S Ti       ,  8.191,    0.138,
As Br F S       ,  8.203,    0.139,
As F I Se       ,  8.211,     0.14,
Ag In S Se      ,  8.213,     0.14,
Cl Ni O Te      ,  8.221,    0.141,
Cl F P Sb       ,  8.222,    0.141,
Al Cu S Se      ,  8.224,    0.141,
Bi Sb Se Te     ,  8.228,    0.141,
Ga Ga I Te      ,  8.238,    0.142,
Al Cl O Sn      ,  8.239,    0.142,
As Cl Ga Hg     ,  8.244,    0.142,
Cl Cu P S       ,  8.248,    0.143,
Ge Pb S Te      ,  8.274,    0.145,
Cl F Sb Sb      ,  8.274,    0.145,
Ag O P Se       ,  8.278,    0.145,
Br F Sb Se      ,  8.279,    0.145,
Ag Cl S Te      ,  8.281,    0.145,
Cu Ga Se Te     ,  8.287,    0.146,
Cd Hg Se Te     ,  8.289,    0.146,
Ag Br Ge S      ,  8.289,    0.146,
As Br Cu S      ,   8.29,    0.146,
Ag Ge I Se      ,  8.297,    0.146,
As F O S        ,  8.301,    0.147,
Ag Cl In Se     ,  8.302,    0.147,
Br Cu P Se      ,  8.314,    0.148,
F O S Se        ,  8.317,    0.148,
Bi Cl Ga Se     ,  8.317,    0.148,
S Sb Se Tl      ,  8.327,    0.149,
Cd Pb Se Te     ,  8.336,    0.149,
Cl N S Se       ,  8.339,     0.15,
Ag Br Se Te     ,  8.346,     0.15,
Cu In S Se      ,  8.347,     0.15,
As Br Hg S      ,  8.348,     0.15,
As Hg I Se      ,  8.356,    0.151,
Ag S Te Te      ,  8.367,    0.152,
Pb S Se Sn      ,  8.377,    0.152,
As Br F Te      ,  8.378,    0.152,
Cd Cl I O       ,  8.385,    0.153,
Ag In Se Te     ,  8.387,    0.153,
Cl F Sb Te      ,  8.388,    0.153,
As Cl F O       ,  8.389,    0.153,
Cl N Sb Se      ,  8.398,    0.154,
As Cl Hg Sn     ,  8.404,    0.154,
Cl Pb S Sb      ,  8.405,    0.154,
B O Se Zn       ,  8.413,    0.155,
Cl Cu S Te      ,  8.413,    0.155,
B Br P S        ,  8.419,    0.156,
Br Cu Ge S      ,  8.422,    0.156,
Al Bi Cl Se     ,  8.427,    0.156,
Cu Ge I Se      ,  8.429,    0.156,
N P Se Zn       ,  8.437,    0.157,
Al Al I Te      ,  8.458,    0.158,
Cd Mn Se Te     ,  8.461,    0.159,
As Cl Cu O      ,  8.474,     0.16,
O S Se Zr       ,  8.475,     0.16,
Cl Hg S Zn      ,  8.475,     0.16,
Br In O Te      ,  8.478,     0.16,
As Cd F O       ,  8.478,     0.16,
As F I S        ,  8.483,     0.16,
Cl Cu O Se      ,  8.489,    0.161,
Ga S Se Tl      ,  8.499,    0.162,
As Cu In Te     ,  8.503,    0.162,
Cu In Se Te     ,  8.518,    0.163,
Cl F Ge O       ,  8.519,    0.163,
As Br Cd Hg     ,  8.524,    0.163,
As Bi Ni S      ,  8.525,    0.163,
Cl Mn S Sb      ,  8.529,    0.164,
As Cl Hg O      ,  8.531,    0.164,
Bi Cd Cl S      ,  8.531,    0.164,
Br S S V        ,  8.536,    0.164,
Br Hg Se Zn     ,  8.539,    0.165,
Pb Se Sn Te     ,  8.548,    0.165,
Br F S Sb       ,   8.55,    0.165,
Br Ni O Te      ,  8.557,    0.166,
F I Sb Se       ,  8.557,    0.166,
Ag Ge I S       ,  8.567,    0.167,
As Cu I S       ,  8.567,    0.167,
Cl Ga N Se      ,  8.569,    0.167,
Ag Cl In S      ,  8.571,    0.167,
In Mn S Se      ,  8.574,    0.167,
As Cl O Pb      ,  8.576,    0.167,
Ag O S Si       ,  8.582,    0.168,
Br Cu P S       ,  8.583,    0.168,
Ag S Sn Te      ,  8.583,    0.168,
Cu I P Se       ,   8.59,    0.168,
Br Mn Sb Se     ,  8.592,    0.169,
Bi Br Cd Se     ,  8.595,    0.169,
Bi Cl O Se      ,  8.601,    0.169,
F O P P         ,  8.602,    0.169,
Cl N S S        ,  8.607,     0.17,
Br Cu S Si      ,  8.616,     0.17,
As Hg I S       ,  8.623,    0.171,
Cu I Se Si      ,  8.624,    0.171,
Bi In Se Te     ,   8.63,    0.171,
Ag Br In Se     ,  8.634,    0.172,
F O S Sb        ,  8.643,    0.172,
Ca O P Se       ,  8.646,    0.173,
F O P Sb        ,  8.652,    0.173,
As F I Te       ,  8.652,    0.173,
Cl N S Sb       ,  8.665,    0.174,
Ag Cl O Si      ,  8.667,    0.174,
Bi Ga S Te      ,  8.669,    0.174,
Cl F O S        ,   8.67,    0.174,
Cl F O P        ,  8.678,    0.175,
As Cd Cr Se     ,   8.69,    0.176,
B I P S         ,  8.692,    0.176,
Cl Hg P Sn      ,  8.693,    0.176,
Al Bi Cl S      ,  8.693,    0.176,
Cu Ge I S       ,  8.694,    0.176,
I In In Te      ,  8.696,    0.176,
Cl O S Ti       ,  8.698,    0.176,
Ag Br Cl Te     ,  8.699,    0.176,
Cd N P S        ,  8.702,    0.177,
N P S Zn        ,  8.702,    0.177,
Cl Ge O Pb      ,  8.703,    0.177,
Br C Se Se      ,  8.706,    0.177,
Cl O P Ti       ,  8.706,    0.177,
Ag O S Te       ,  8.707,    0.177,
As Ca Cl O      ,  8.708,    0.177,
Br Cl Hg S      ,  8.715,    0.178,
Ag O P Te       ,  8.715,    0.178,
As Br F O       ,  8.718,    0.178,
Cl F O Sb       ,  8.728,    0.179,
As Br Hg Sn     ,  8.732,    0.179,
Ag Cl In Te     ,  8.738,    0.179,
Br Cu S Te      ,  8.741,     0.18,
Er O Se Si      ,  8.744,     0.18,
Ho O Se Si      ,  8.749,     0.18,
Dy O Se Si      ,  8.749,     0.18,
F O S Te        ,  8.752,    0.181,
F Ge Mg O       ,  8.752,    0.181,
