Phase fields,     scores,     Norm. scores,
As As Cd Cl     ,  6.497,      0.0,
As Ge P Zn      ,  6.569,    0.005,
As Cd Ge P      ,  6.569,    0.005,
Cd Ge S Se      ,  6.587,    0.007,
As Ga Se Zn     ,  6.741,    0.018,
As Cd Ga Se     ,  6.741,    0.018,
Ge Sb Se Te     ,  6.769,    0.021,
As P Si Zn      ,  6.826,    0.025,
Cd S Se Si      ,  6.843,    0.026,
As Cd P Zn      ,  6.952,    0.034,
Cl Ga P Se      ,   6.96,    0.035,
Cd S Se Zn      ,   6.97,    0.036,
As Ga S Zn      ,  7.008,    0.038,
As Cd Ga S      ,  7.008,    0.038,
As In Se Zn     ,  7.022,     0.04,
As Cd In Se     ,  7.022,     0.04,
Cd Ga S Se      ,  7.048,    0.041,
Cl Ga Sb Se     ,  7.048,    0.042,
Ga P Se Zn      ,  7.071,    0.043,
Al Cl P Se      ,  7.135,    0.048,
Ge Se Sn Te     ,  7.149,    0.049,
Ni P S Se       ,  7.211,    0.054,
Al S Se Zn      ,  7.221,    0.054,
Al Cl Sb Se     ,  7.221,    0.054,
Cd Cl S Sb      ,  7.228,    0.055,
Cd Se Te Zn     ,  7.234,    0.056,
As Ga Te Zn     ,  7.271,    0.058,
As Cd Ga Te     ,  7.271,    0.058,
As Cd In S      ,  7.279,    0.059,
Cl Ga S Sb      ,  7.304,    0.061,
In S Se Zn      ,  7.318,    0.062,
Cd In S Se      ,  7.318,    0.062,
Ga P S Zn       ,  7.326,    0.062,
As Br Cd P      ,  7.333,    0.063,
As As Cd I      ,   7.34,    0.063,
Cl O Sb Se      ,  7.375,    0.066,
Br P S S        ,  7.425,     0.07,
As Cd Cl O      ,  7.426,     0.07,
Br Cd Sb Se     ,  7.455,    0.072,
Cl O Se Zn      ,  7.465,    0.073,
Cd Cl O Se      ,  7.465,    0.073,
O P P S         ,  7.472,    0.073,
In Sb Se Te     ,  7.483,    0.074,
Se Sn Te Zn     ,  7.503,    0.076,
Cd Se Sn Te     ,  7.504,    0.076,
S Se Sn Sn      ,  7.517,    0.077,
As Cd In Te     ,  7.533,    0.078,
As Cu Ge Se     ,  7.555,     0.08,
Cl Ga Sb Te     ,  7.557,     0.08,
Cl In S Sb      ,  7.565,     0.08,
I S Sb Se       ,  7.574,    0.081,
In S Se Sn      ,  7.584,    0.082,
Br Cl S Sb      ,  7.595,    0.083,
Br Cd P P       ,  7.638,    0.086,
Cl O P Sb       ,  7.642,    0.086,
As Cd I P       ,  7.645,    0.086,
Al Br Sb Se     ,   7.69,     0.09,
Br Cd S Sb      ,  7.697,     0.09,
As Cl F Se      ,  7.704,    0.091,
In Ni S Se      ,  7.716,    0.092,
In S Sb Te      ,  7.724,    0.092,
Cl O Se Sn      ,  7.726,    0.092,
Cd Cl O P       ,  7.728,    0.093,
S Sn Te Zn      ,  7.744,    0.094,
Cd S Sn Te      ,  7.744,    0.094,
As Cl In O      ,  7.754,    0.095,
Br In Sb Se     ,  7.782,    0.097,
Cl In O Se      ,  7.791,    0.097,
Cl O Sb Zn      ,  7.807,    0.099,
Cd Cl O Sb      ,  7.807,    0.099,
Cu Ge P Se      ,  7.852,    0.102,
As F S S        ,  7.854,    0.102,
Cl Ni O Se      ,  7.855,    0.102,
Cl O Sb Te      ,  7.863,    0.103,
As Br Cd O      ,  7.884,    0.104,
Cd I P S        ,  7.917,    0.107,
Al Cl O S       ,  7.934,    0.108,
Ag S Sb Se      ,  7.936,    0.108,
As Cl F S       ,  7.938,    0.108,
Cl O Te Zn      ,  7.947,    0.109,
Cd Cl O Te      ,  7.947,    0.109,
Cl O S Sn       ,   7.96,     0.11,
Cl Mg O P       ,   7.96,     0.11,
Cl In In S      ,  7.971,    0.111,
Cl O P Sn       ,   7.98,    0.112,
Cd I S Sb       ,  7.995,    0.113,
Cu P S Se       ,  7.997,    0.113,
Ag Cl Ge S      ,  8.007,    0.114,
I Sb Se Sn      ,  8.013,    0.114,
Br In S Sb      ,  8.014,    0.114,
As Cl Cu S      ,  8.024,    0.115,
Al Cd O S       ,  8.032,    0.116,
Cl Cl O Sn      ,  8.043,    0.116,
Ag S Se Te      ,  8.074,    0.119,
Cu S Sb Se      ,  8.074,    0.119,
Cl Cu P Se      ,   8.08,    0.119,
Cu Ge P S       ,  8.082,    0.119,
Ag Ga S Se      ,  8.088,     0.12,
As Br F Se      ,  8.145,    0.124,
Ag Cl Se Te     ,  8.155,    0.125,
Br Cd O P       ,  8.168,    0.126,
Ag Sb Se Te     ,   8.17,    0.126,
Ag Cl P S       ,   8.17,    0.126,
As Cl F Te      ,  8.172,    0.126,
Br In In Se     ,  8.177,    0.126,
I P P Sn        ,  8.184,    0.127,
As Br In O      ,  8.193,    0.128,
As Cu In Se     ,  8.201,    0.128,
Ga S Se V       ,  8.206,    0.129,
Cu Ga S Se      ,  8.223,     0.13,
I S Sb Sn       ,  8.239,    0.131,
Cl In O Te      ,  8.254,    0.132,
Al Cd O Te      ,  8.263,    0.133,
Cl P S Ti       ,  8.284,    0.134,
Br Ni O Se      ,  8.288,    0.135,
Cl Cu P S       ,  8.304,    0.136,
Cl Ni O Te      ,  8.314,    0.137,
Cl F P Sb       ,  8.315,    0.137,
Ag Ga Se Te     ,  8.317,    0.137,
Ag In S Se      ,  8.324,    0.137,
Al Cl O Sn      ,  8.355,     0.14,
As Br F S       ,  8.368,    0.141,
Al Cu S Se      ,  8.371,    0.141,
Br O Te Zn      ,  8.376,    0.141,
Ag Cl S Te      ,  8.377,    0.142,
Cl F Sb Sb      ,  8.389,    0.142,
As F O S        ,   8.39,    0.142,
Ag O P Se       ,  8.394,    0.143,
Ag Cl In Se     ,  8.403,    0.143,
Br Cl I Sb      ,  8.408,    0.144,
F O S Se        ,  8.424,    0.145,
As F I Se       ,  8.427,    0.145,
Ag Br Ge S      ,  8.433,    0.146,
Ga Ga I Te      ,  8.438,    0.146,
Al I Sb Te      ,  8.441,    0.146,
Cu Ga Se Te     ,  8.448,    0.147,
As Br Cu S      ,  8.449,    0.147,
Cu In S Se      ,  8.455,    0.147,
Cl N S Se       ,  8.457,    0.147,
As Cl F O       ,  8.469,    0.148,
Ge Pb S Se      ,  8.472,    0.149,
Ag Ge I Se      ,  8.492,     0.15,
Br F Sb Se      ,  8.494,     0.15,
Br Cu P Se      ,  8.502,    0.151,
As Cl Hg S      ,  8.502,    0.151,
Cl Cu S Te      ,  8.508,    0.151,
Cd Cl I O       ,  8.508,    0.151,
As Hg S Sb      ,  8.516,    0.152,
Cl F Sb Te      ,  8.519,    0.152,
Ag S Te Te      ,  8.521,    0.152,
Ag In Se Te     ,  8.547,    0.154,
Cl N Sb Se      ,  8.548,    0.154,
As Cl Cu O      ,  8.549,    0.154,
As Cd F O       ,   8.56,    0.155,
Br Cu Ge S      ,  8.563,    0.155,
B O Se Zn       ,  8.564,    0.156,
N P Se Zn       ,  8.567,    0.156,
Ag Br Se Te     ,  8.574,    0.156,
Cl F Ge O       ,  8.582,    0.157,
Cl Cu O Se      ,  8.582,    0.157,
As Br F Te      ,  8.589,    0.157,
B Br P S        ,  8.607,    0.159,
Cl Mn S Sb      ,  8.608,    0.159,
O S Se Zr       ,  8.613,    0.159,
Cd Mn Se Te     ,  8.613,    0.159,
Ag Cl In S      ,  8.619,     0.16,
Cu Ge I Se      ,  8.621,     0.16,
As Cu In Te     ,  8.642,    0.161,
As F I S        ,  8.642,    0.161,
Ag O S Si       ,  8.657,    0.163,
As As Br Hg     ,  8.663,    0.163,
Br In O Te      ,  8.668,    0.163,
Cl N S S        ,  8.671,    0.164,
Cu In Se Te     ,  8.675,    0.164,
F O P P         ,  8.677,    0.164,
Br S S V        ,   8.68,    0.164,
In Mn S Se      ,  8.683,    0.164,
Cl Ga N Se      ,  8.689,    0.165,
Ge Pb Se Te     ,  8.691,    0.165,
As Br Hg Se     ,  8.696,    0.165,
Ag S Sn Te      ,  8.701,    0.166,
Ag Ge I S       ,  8.706,    0.166,
Br F S Sb       ,  8.707,    0.166,
Br Cu P S       ,  8.715,    0.167,
Cl F O S        ,  8.715,    0.167,
As Cu I S       ,  8.721,    0.167,
Br Ni O Te      ,  8.725,    0.168,
Al Al I Te      ,  8.725,    0.168,
F O S Sb        ,  8.729,    0.168,
Ag Cl O Si      ,  8.733,    0.168,
As Cl Ga Hg     ,  8.734,    0.168,
Cl F O P        ,  8.734,    0.168,
F O P Sb        ,  8.748,    0.169,
Hg O Se Se      ,   8.75,     0.17,
Cl N S Sb       ,  8.761,     0.17,
Br Cu S Si      ,  8.762,     0.17,
Bi S Sb Se      ,  8.762,     0.17,
F I Sb Se       ,  8.764,    0.171,
Cu I P Se       ,  8.772,    0.171,
Cd Pb S Se      ,  8.773,    0.171,
Cl O S Ti       ,  8.775,    0.171,
N P S Zn        ,  8.779,    0.172,
Cd N P S        ,  8.779,    0.172,
Cl O P Ti       ,  8.793,    0.173,
Br Mn Sb Se     ,  8.799,    0.173,
Cl F O Sb       ,  8.805,    0.174,
Ag O S Te       ,  8.807,    0.174,
Ag Br In Se     ,   8.81,    0.174,
Cu I Se Si      ,  8.819,    0.175,
Pb S Se Te      ,  8.822,    0.175,
F O P Zn        ,  8.823,    0.175,
Cd F O P        ,  8.823,    0.175,
Ag O P Te       ,  8.825,    0.175,
Ca O P Se       ,  8.827,    0.175,
As Cd Cr Se     ,  8.827,    0.175,
Cu Ge I S       ,  8.831,    0.176,
Ag Cl In Te     ,  8.834,    0.176,
Cd Hg Se Te     ,  8.842,    0.176,
B Cl O Zn       ,  8.851,    0.177,
As Ca Cl O      ,  8.852,    0.177,
F O S Te        ,  8.854,    0.177,
