phases,leaf,mat2vec
Cd Co Mg,0.35,2.13
Co In Mg,0.335,1.698
Co Cs Mg,0.959,2.629
Ba Co Mg,0.667,1.874
Co Hf Mg,0.936,2.425
Co Mg Ta,0.473,2.055
Co Mg W,1.034,2.377
Co Mg Os,0.862,3.286
Co Ir Mg,1.107,2.52
Co Mg Pt,0.587,1.991
Au Co Mg,0.556,1.758
Co Hg Mg,0.596,2.86
Co Mg Tl,0.764,2.92
Co Mg Pb,0.683,1.725
Bi Co Mg,0.869,1.736
Mg Ni Rb,0.591,3.109
Mg Ni Sr,0.717,1.915
Mg Ni Zr,0.375,1.261
Mg Nb Ni,0.674,1.719
Mg Mo Ni,0.743,1.457
Ag Mg Ni,0.965,1.494
Cd Mg Ni,0.241,1.939
Cs Mg Ni,0.879,2.449
Ba Mg Ni,0.575,1.677
Hf Mg Ni,0.855,2.241
Mg Ni Ta,0.371,1.862
Mg Ni W,0.956,2.191
Mg Ni Os,0.777,3.118
Ir Mg Ni,1.031,2.337
Mg Ni Pt,0.491,1.796
Au Mg Ni,0.458,1.558
Hg Mg Ni,0.5,2.684
Mg Ni Tl,0.675,2.745
Mg Ni Pb,0.591,1.524
Cu Mg Rb,0.796,3.092
Cu Mg Zr,0.601,1.24
Cu Mg Nb,0.871,1.699
Cu Mg Mo,0.935,1.436
Cd Cu Mg,0.483,1.919
Cs Cu Mg,1.06,2.431
Ba Cu Mg,0.781,1.657
Cu Hf Mg,1.038,2.222
Cu Mg Ta,0.598,1.842
Cu Mg W,1.132,2.172
Cu Mg Os,0.966,3.101
Cu Ir Mg,1.202,2.319
Cu Mg Pt,0.705,1.776
Cu Hg Mg,0.713,2.666
Cu Mg Tl,0.873,2.728
Cu Mg Pb,0.796,1.503
Ga Mg Zn,0.36,1.923
Mg Rb Zn,0.603,3.339
Mg Sr Zn,0.728,2.178
Mg Nb Zn,0.685,1.988
Mg Mo Zn,0.754,1.735
Cd Mg Zn,0.255,2.201
In Mg Zn,0.239,1.772
Mg Sn Zn,0.195,1.47
Cs Mg Zn,0.889,2.696
Ba Mg Zn,0.587,1.947
Mg Ta Zn,0.384,2.126
Mg W Zn,0.966,2.446
Mg Os Zn,0.788,3.348
Ir Mg Zn,1.041,2.588
Au Mg Zn,0.471,1.832
Hg Mg Zn,0.513,2.925
Mg Tl Zn,0.687,2.985
Mg Pb Zn,0.603,1.799
Bi Mg Zn,0.796,1.811
Ga Mg Rb,0.703,3.804
Ga Mg Sr,0.822,2.702
Ga Mg Zr,0.498,2.109
Ga Mg Nb,0.781,2.523
Ga Mg Mo,0.847,2.286
Cd Ga Mg,0.374,2.724
Ga In Mg,0.359,2.321
Ga Mg Sn,0.317,2.038
Cs Ga Mg,0.977,3.192
Ba Ga Mg,0.687,2.485
Ga Hf Mg,0.954,3.0
Ga Mg Ta,0.495,2.653
Ga Mg W,1.051,2.955
Ga Mg Os,0.88,3.812
Ga Ir Mg,1.123,3.089
Ga Mg Pt,0.608,2.593
Ga Mg Tl,0.782,3.466
Ga Mg Pb,0.703,2.346
Bi Ga Mg,0.887,2.357
Mg Rb Sr,1.02,4.012
Mg Rb Y,0.789,3.435
Mg Rb Zr,0.726,3.499
Mg Nb Rb,0.983,3.857
Mg Mo Rb,1.043,3.651
Ag Mg Rb,1.241,3.68
Cd Mg Rb,0.615,4.032
Mg Rb Sn,0.566,3.438
Cs Mg Rb,1.164,4.443
Ba Mg Rb,0.897,3.823
Hf Mg Rb,1.142,4.274
Mg Rb Ta,0.723,3.97
Mg Rb W,1.233,4.234
Mg Os Rb,1.074,4.995
Ir Mg Rb,1.3,4.352
Mg Pt Rb,0.825,3.918
Au Mg Rb,0.797,3.73
Hg Mg Rb,0.833,4.636
Mg Rb Tl,0.984,4.686
Mg Pb Rb,0.911,3.703
Bi Mg Rb,1.08,3.712
Mg Sr Y,0.904,2.286
Mg Sr Zr,0.845,2.358
Mg Nb Sr,1.089,2.761
Mg Mo Sr,1.147,2.53
Cd Mg Sr,0.74,2.957
Cs Mg Sr,1.263,3.414
Ba Mg Sr,1.007,2.724
Hf Mg Sr,1.242,3.226
Mg Sr Ta,0.841,2.888
Mg Sr W,1.33,3.182
Mg Os Sr,1.176,4.021
Ir Mg Sr,1.395,3.313
Au Mg Sr,0.912,2.619
Hg Mg Sr,0.946,3.626
Mg Sr Tl,1.09,3.682
Mg Y Zr,0.593,1.663
Mg Nb Y,0.864,2.099
Mg Mo Y,0.927,1.849
Cs Mg Y,1.053,2.799
Ba Mg Y,0.773,2.058
Hf Mg Y,1.031,2.598
Mg Ta Y,0.589,2.235
Mg W Y,1.126,2.551
Mg Os Y,0.959,3.444
Au Mg Y,0.668,1.945
Hg Mg Y,0.706,3.025
Mg Pb Y,0.789,1.913
Bi Mg Y,0.966,1.924
Mg Nb Zr,0.804,2.173
Mg Mo Zr,0.869,1.925
Ag Mg Zr,1.081,1.96
Cd Mg Zr,0.402,2.381
In Mg Zr,0.387,1.962
Mg Sn Zr,0.346,1.666
Cs Mg Zr,0.998,2.867
Ba Mg Zr,0.711,2.133
Hf Mg Zr,0.975,2.668
Mg Ta Zr,0.521,2.308
Mg W Zr,1.072,2.621
Mg Os Zr,0.902,3.508
Ir Mg Zr,1.143,2.76
Mg Pt Zr,0.633,2.246
Au Mg Zr,0.602,2.02
Hg Mg Zr,0.641,3.092
Mg Tl Zr,0.805,3.15
Mg Pb Zr,0.726,1.988
Bi Mg Zr,0.909,1.999
Mg Mo Nb,1.111,2.348
Ag Mg Nb,1.304,2.382
Cd Mg Nb,0.697,2.783
In Mg Nb,0.684,2.383
Mg Nb Sn,0.649,2.102
Cs Mg Nb,1.228,3.248
Ba Mg Nb,0.969,2.546
Hf Mg Nb,1.208,3.058
Mg Nb Ta,0.801,2.713
Mg Nb W,1.296,3.013
Mg Nb Os,1.141,3.865
Ir Mg Nb,1.362,3.146
Mg Nb Pt,0.899,2.654
Au Mg Nb,0.872,2.438
Hg Mg Nb,0.907,3.465
Mg Nb Tl,1.054,3.521
Mg Nb Pb,0.983,2.408
Bi Mg Nb,1.147,2.419
Ag Mg Mo,1.358,2.14
Cd Mg Mo,0.765,2.553
In Mg Mo,0.753,2.141
Mg Mo Sn,0.719,1.853
Cs Mg Mo,1.284,3.029
Ba Mg Mo,1.03,2.309
Hf Mg Mo,1.263,2.834
Mg Mo Ta,0.866,2.481
Mg Mo W,1.35,2.788
Mg Mo Os,1.198,3.66
Ir Mg Mo,1.415,2.925
Mg Mo Pt,0.962,2.42
Au Mg Mo,0.936,2.198
Hg Mg Mo,0.969,3.25
Mg Mo Tl,1.113,3.308
Mg Mo Pb,1.043,2.167
Bi Mg Mo,1.204,2.178
Ag Cs Mg,1.465,3.06
Ag Ba Mg,1.229,2.343
Ag Hf Mg,1.446,2.866
Ag Mg Ta,1.078,2.514
Ag Mg W,1.528,2.82
Ag Mg Os,1.385,3.689
Ag Ir Mg,1.588,2.956
Ag Mg Pt,1.166,2.453
Ag Au Mg,1.142,2.232
Ag Hg Mg,1.173,3.281
Ag Mg Tl,1.306,3.338
Ag Mg Pb,1.241,2.202
Ag Bi Mg,1.391,2.212
Cd Mg Sn,0.21,2.313
Cd Cs Mg,0.9,3.434
Ba Cd Mg,0.599,2.746
Cd Hf Mg,0.876,3.247
Cd Mg Ta,0.398,2.91
Cd Mg W,0.977,3.203
Cd Mg Os,0.799,4.04
Cd Ir Mg,1.051,3.334
Cd Mg Pt,0.516,2.851
Cd Hg Mg,0.525,3.646
Cd Mg Tl,0.699,3.702
Cd Mg Pb,0.615,2.611
Bi Cd Mg,0.807,2.621
In Mg Sn,0.193,1.889
Cs In Mg,0.888,3.062
Hf In Mg,0.864,2.867
In Mg Ta,0.383,2.515
In Mg W,0.965,2.821
In Mg Os,0.787,3.69
In Mg Pt,0.502,2.454
Au In Mg,0.47,2.234
Hg In Mg,0.511,3.282
In Mg Tl,0.686,3.339
In Mg Pb,0.602,2.203
Bi In Mg,0.795,2.214
Cs Mg Sn,0.856,2.802
Hf Mg Sn,0.832,2.602
Mg Sn Ta,0.342,2.239
Mg Sn W,0.934,2.554
Mg Os Sn,0.754,3.447
Hg Mg Sn,0.473,3.028
Mg Sn Tl,0.651,3.087
Mg Pb Sn,0.566,1.916
Bi Mg Sn,0.762,1.927
Ba Cs Mg,1.151,3.213
Cs Hf Mg,1.374,3.691
Cs Mg Ta,0.995,3.369
Cs Mg W,1.458,3.649
Cs Mg Os,1.311,4.451
Cs Ir Mg,1.52,3.774
Cs Mg Pt,1.086,3.313
Au Cs Mg,1.061,3.113
Cs Hg Mg,1.093,4.073
Cs Mg Tl,1.23,4.126
Cs Mg Pb,1.164,3.085
Bi Cs Mg,1.318,3.095
Ba Hf Mg,1.129,3.022
Ba Mg Ta,0.708,2.676
Ba Mg W,1.22,2.977
Ba Mg Os,1.06,3.832
Ba Ir Mg,1.288,3.11
Ba Mg Pt,0.81,2.616
Au Ba Mg,0.782,2.4
Ba Hg Mg,0.818,3.43
Ba Mg Tl,0.97,3.486
Hf Mg Ta,0.972,3.18
Hf Mg W,1.438,3.466
Hf Mg Os,1.291,4.282
Hf Ir Mg,1.501,3.593
Hf Mg Pt,1.064,3.124
Au Hf Mg,1.039,2.92
Hf Hg Mg,1.071,3.898
Hf Mg Tl,1.209,3.952
Hf Mg Pb,1.142,2.891
Bi Hf Mg,1.297,2.901
Mg Ta W,1.069,3.136
Mg Os Ta,0.899,3.978
Ir Mg Ta,1.141,3.268
Mg Pt Ta,0.629,2.782
Au Mg Ta,0.599,2.57
Hg Mg Ta,0.638,3.582
Mg Ta Tl,0.802,3.638
Mg Pb Ta,0.723,2.54
Bi Mg Ta,0.906,2.55
Mg Os W,1.377,4.242
Ir Mg W,1.581,3.551
Mg Pt W,1.157,3.079
Au Mg W,1.133,2.874
Hg Mg W,1.164,3.857
Mg Tl W,1.297,3.911
Mg Pb W,1.233,2.845
Bi Mg W,1.383,2.855
Ir Mg Os,1.441,4.36
Mg Os Pt,0.993,3.926
Au Mg Os,0.967,3.738
Hg Mg Os,1.0,4.644
Mg Os Tl,1.142,4.694
Mg Os Pb,1.074,3.712
Bi Mg Os,1.233,3.721
Ir Mg Pt,1.226,3.212
Au Ir Mg,1.203,3.009
Hg Ir Mg,1.233,3.979
Ir Mg Tl,1.363,4.032
Ir Mg Pb,1.3,2.981
Bi Ir Mg,1.447,2.991
Au Mg Pt,0.706,2.509
Hg Mg Pt,0.743,3.528
Mg Pt Tl,0.9,3.584
Mg Pb Pt,0.825,2.479
Bi Mg Pt,1.0,2.49
Au Mg Tl,0.874,3.389
Au Mg Pb,0.797,2.26
Au Bi Mg,0.974,2.27
Hg Mg Tl,0.908,4.325
Hg Mg Pb,0.833,3.305
Bi Hg Mg,1.007,3.314
Mg Pb Tl,0.984,3.362
Bi Mg Tl,1.149,3.371
Bi Mg Pb,1.08,2.239
Al Ca K,3.19,2.437
Al K Sc,2.665,2.388
Al K Ti,2.761,1.85
Al K V,2.607,2.869
Al Cr K,2.719,1.877
Al K Mn,2.667,1.834
Al Fe K,2.833,1.4
Al Co K,2.581,1.682
Al K Ni,2.533,1.48
Al Cu K,2.642,1.459
Al K Zn,2.539,1.757
Al Ga K,2.591,2.306
Al K Rb,2.706,3.669
Al K Sr,2.769,2.55
Al K Y,2.637,1.87
Al K Zr,2.604,1.946
Al K Nb,2.747,2.368
Al K Mo,2.783,2.126
Ag Al K,2.902,2.161
Al Cd K,2.545,2.572
Al In K,2.538,2.162
Al Cs K,2.855,3.048
Al Ba K,2.698,2.329
Al Hf K,2.842,2.853
Al K Ta,2.602,2.501
Al K W,2.897,2.807
Al K Os,2.801,3.677
Al Ir K,2.939,2.943
Al K Pt,2.657,2.44
Al Au K,2.642,2.219
Al Hg K,2.662,3.269
Al K Tl,2.748,3.326
Al K Pb,2.706,2.188
Al Bi K,2.805,2.199
Al Ca Sc,1.672,2.241
Al Ca Ti,1.798,1.694
Al Ca V,1.595,2.73
Al Ca Rb,1.726,3.541
Al Ca Y,1.636,1.714
Al Ca Zr,1.591,1.792
Al Ca Nb,1.779,2.221
Al Ca Mo,1.825,1.975
Al Ca Cs,1.918,2.912
Al Ca Hf,1.901,2.714
Al Ca Ta,1.588,2.356
Al Ca W,1.972,2.667
Al Ca Os,1.848,3.549
Al Ca Hg,1.668,3.135
Al Ca Tl,1.78,3.194
Al Sc Ti,0.99,1.64
Al Sc Zn,0.583,1.544
Al Rb Sc,0.894,3.497
Al Sc Sr,1.004,2.357
Al Sc Y,0.77,1.661
Al Nb Sc,0.966,2.171
Al Mo Sc,1.027,1.923
Al Cd Sc,0.596,2.38
Al In Sc,0.582,1.96
Al Sc Sn,0.545,1.665
Al Cs Sc,1.148,2.865
Al Ba Sc,0.879,2.131
Al Hf Sc,1.127,2.666
Al Sc Ta,0.704,2.306
Al Sc W,1.218,2.62
Al Hg Sc,0.815,3.09
Al Sc Tl,0.967,3.149
Al Pb Sc,0.894,1.986
Al Bi Sc,1.064,1.997
Al Rb Ti,1.059,3.023
Al Sr Ti,1.162,1.817
Al Ti Y,0.944,1.071
Al Cs Ti,1.298,2.357
Al Ba Ti,1.045,1.576
Al Ti W,1.364,2.097
Al Hg Ti,0.985,2.595
Al Bi Ti,1.219,1.433
Al Cu V,0.669,1.787
Al V Zn,0.463,2.073
Al Rb V,0.79,3.926
Al Sr V,0.905,2.839
Ag Al V,1.136,2.463
Al Cd V,0.476,2.861
Al In V,0.462,2.464
Al Cs V,1.055,3.322
Al Ba V,0.775,2.626
Al Hf V,1.033,3.133
Al Os V,0.961,3.935
Al Ir V,1.197,3.221
Al Pt V,0.699,2.732
Al Hg V,0.708,3.537
Al Tl V,0.867,3.593
Al Pb V,0.791,2.489
Al Bi V,0.968,2.499
Al Cr Ga,0.786,1.577
Al Cr Rb,0.987,3.046
Al Cr Sr,1.093,1.843
Ag Al Cr,1.308,1.419
Al Cd Cr,0.702,1.867
Al Cr In,0.689,1.42
Al Cr Sn,0.654,1.103
Al Cr Cs,1.233,2.382
Al Ba Cr,0.973,1.603
Al Cr W,1.3,2.122
Al Cr Os,1.145,3.055
Al Cr Ir,1.366,2.269
Al Au Cr,0.877,1.482
Al Cr Hg,0.911,2.619
Al Cr Tl,1.058,2.68
Al Cr Pb,0.987,1.448
Al Bi Cr,1.152,1.46
Al Mn Rb,0.898,3.009
Al Mn Sr,1.008,1.801
Al Cd Mn,0.6,1.825
Al In Mn,0.587,1.375
Al Mn Sn,0.55,1.057
Al Cs Mn,1.152,2.342
Al Ba Mn,0.883,1.559
Al Mn W,1.221,2.081
Al Hg Mn,0.819,2.58
Al Mn Tl,0.971,2.642
Al Mn Pb,0.898,1.404
Al Bi Mn,1.068,1.416
Al Fe Rb,1.177,2.632
Al Fe Sr,1.276,1.365
Al Cd Fe,0.915,1.39
Al Fe In,0.903,0.914
Al Fe Sn,0.872,0.574
Al Cs Fe,1.407,1.934
Al Fe Os,1.324,2.642
Al Fe Ir,1.532,1.816
Al Au Fe,1.075,0.981
Al Fe Hg,1.107,2.184
Al Fe Tl,1.243,2.249
Al Fe Pb,1.177,0.944
Al Bi Fe,1.331,0.957
Al Co Rb,0.742,2.876
Al Cd Co,0.42,1.672
Al Co In,0.406,1.213
Al Co Sn,0.365,0.888
Al Co Cs,1.012,2.198
Al Au Co,0.619,1.278
Al Co Hg,0.658,2.44
Al Co Tl,0.821,2.503
Al Co Pb,0.743,1.243
Al Bi Co,0.924,1.255
Al Ni Rb,0.653,2.701
Ag Al Ni,1.018,0.997
Al Cd Ni,0.315,1.47
Al Cs Ni,0.933,2.009
Al Ni Os,0.834,2.71
Al Ir Ni,1.082,1.891
Al Au Ni,0.524,1.064
Al Hg Ni,0.565,2.256
Al Ni Tl,0.735,2.32
Al Ni Pb,0.653,1.028
Al Bi Ni,0.842,1.041
Al Cu Rb,0.853,2.682
Al Cd Cu,0.548,1.449
Al Cs Cu,1.111,1.989
Al Cu Os,1.019,2.692
Al Cu Hg,0.772,2.237
Al Cu Tl,0.927,2.301
Al Cu Pb,0.853,1.006
Al Bi Cu,1.026,1.019
Al Ga Zn,0.43,1.453
Al Rb Zn,0.665,2.941
Al Sr Zn,0.786,1.722
Al Mo Zn,0.812,1.253
Ag Al Zn,1.028,1.291
Al Cd Zn,0.329,1.747
Al In Zn,0.314,1.293
Al Sn Zn,0.271,0.971
Al Cs Zn,0.944,2.269
Al W Zn,1.019,2.005
Al Os Zn,0.845,2.95
Al Ir Zn,1.092,2.154
Al Au Zn,0.537,1.356
Al Hg Zn,0.577,2.509
Al Tl Zn,0.746,2.571
Al Pb Zn,0.665,1.322
Al Bi Zn,0.852,1.334
Al Ga Rb,0.762,3.424
Al Ga Mo,0.902,1.836
Ag Al Ga,1.111,1.872
Al Cd Ga,0.443,2.297
Al Ga In,0.428,1.873
Al Ga Sn,0.388,1.575
Al Cs Ga,1.029,2.787
Al Ga Hf,1.007,2.587
Al Ga Ta,0.56,2.223
Al Ga W,1.102,2.539
Al Ga Os,0.934,3.433
Al Ga Ir,1.173,2.68
Al Ga Pt,0.669,2.16
Al Ga Hg,0.678,3.014
Al Ga Tl,0.839,3.073
Al Ga Pb,0.762,1.9
Al Bi Ga,0.941,1.911
Al Rb Sr,1.072,3.641
Al Rb Y,0.845,3.041
Al Rb Zr,0.785,3.107
Al Nb Rb,1.035,3.48
Al Mo Rb,1.094,3.266
Ag Al Rb,1.289,3.296
Al Cd Rb,0.677,3.661
Al In Rb,0.664,3.297
Al Cs Rb,1.212,4.087
Al Ba Rb,0.951,3.445
Al Hf Rb,1.191,3.912
Al Rb Ta,0.782,3.597
Al Rb W,1.28,3.871
Al Os Rb,1.124,4.657
Al Ir Rb,1.347,3.993
Al Pt Rb,0.881,3.543
Al Au Rb,0.854,3.347
Al Hg Rb,0.888,4.286
Al Rb Tl,1.036,4.338
Al Pb Rb,0.965,3.32
Al Bi Rb,1.131,3.329
Al Sr Y,0.958,1.837
Al Sr Zr,0.9,1.913
Al Nb Sr,1.139,2.337
Al Mo Sr,1.196,2.094
Al Cd Sr,0.798,2.541
Al Cs Sr,1.31,3.019
Al Hf Sr,1.29,2.823
Al Sr Ta,0.897,2.469
Al Sr W,1.376,2.777
Al Os Sr,1.225,3.65
Al Ir Sr,1.44,2.914
Al Hg Sr,0.999,3.24
Al Sr Tl,1.141,3.298
Al Bi Sr,1.231,2.166
Al Y Zr,0.655,1.176
Al Nb Y,0.919,1.639
Al Cd Y,0.54,1.861
Al In Y,0.526,1.413
Al Sn Y,0.488,1.096
Al Cs Y,1.104,2.376
Al Ba Y,0.831,1.596
Al Hf Y,1.082,2.165
Al Ta Y,0.651,1.783
Al Au Y,0.728,1.476
Al Hg Y,0.764,2.613
Al Tl Y,0.92,2.675
Al Pb Y,0.845,1.442
Al Bi Y,1.019,1.454
Al Cd Zr,0.47,1.937
Al In Zr,0.456,1.494
Al Cs Zr,1.05,2.447
Al Ba Zr,0.77,1.675
Al Hf Zr,1.028,2.239
Al Ta Zr,0.585,1.86
Al Hg Zr,0.702,2.683
Al Tl Zr,0.862,2.744
Al Bi Zr,0.963,1.534
Ag Al Nb,1.351,1.937
Al Cd Nb,0.756,2.36
Al In Nb,0.743,1.939
Al Cs Nb,1.276,2.846
Al Ba Nb,1.021,2.11
Al Hf Nb,1.256,2.647
Al Nb Os,1.19,3.488
Al Nb Pt,0.953,2.224
Al Au Nb,0.927,1.997
Al Hg Nb,0.961,3.072
Al Nb Tl,1.104,3.13
Al Nb Pb,1.035,1.965
Al Bi Nb,1.196,1.976
Ag Al Mo,1.403,1.683
Al Cd Mo,0.823,2.117
Al In Mo,0.811,1.684
Al Mo Sn,0.777,1.378
Al Cs Mo,1.33,2.617
Al Ba Mo,1.081,1.861
Al Mo W,1.395,2.365
Al Mo Os,1.246,3.275
Al Ir Mo,1.459,2.508
Al Mo Pt,1.014,1.978
Al Au Mo,0.989,1.744
Al Hg Mo,1.022,2.848
Al Mo Tl,1.162,2.908
Al Mo Pb,1.094,1.712
Al Bi Mo,1.252,1.723
Ag Al Cd,1.038,2.152
Ag Al In,1.027,1.72
Ag Al Cs,1.509,2.65
Ag Al Ta,1.128,2.077
Ag Al W,1.571,2.398
Ag Al Os,1.43,3.305
Ag Al Ir,1.631,2.541
Ag Al Pt,1.215,2.013
Ag Al Au,1.191,1.78
Ag Al Hg,1.221,2.88
Ag Al Tl,1.352,2.94
Ag Al Pb,1.289,1.748
Ag Al Bi,1.436,1.759
Al Cd In,0.328,2.153
Al Cd Sn,0.286,1.865
Al Cd Cs,0.954,3.04
Al Ba Cd,0.661,2.32
Al Cd Hf,0.931,2.845
Al Cd Ta,0.466,2.492
Al Cd W,1.029,2.799
Al Cd Os,0.856,3.67
Al Cd Ir,1.102,2.935
Al Cd Pt,0.581,2.431
Al Au Cd,0.549,2.21
Al Cd Hg,0.589,3.261
Al Cd Tl,0.758,3.318
Al Cd Pb,0.677,2.179
Al Bi Cd,0.863,2.19
Al In Sn,0.27,1.417
Al Cs In,0.943,2.651
Al Hf In,0.919,2.447
Al In Ta,0.452,2.078
Al In W,1.018,2.399
Al In Os,0.844,3.306
Al In Ir,1.091,2.542
Al In Pt,0.567,2.014
Al Hg In,0.576,2.881
Al In Tl,0.745,2.941
Al In Pb,0.664,1.749
Al Bi In,0.851,1.76
Al Cs Sn,0.911,2.379
Al Hf Sn,0.888,2.169
Al Sn Ta,0.412,1.787
Al Sn W,0.988,2.119
Al Os Sn,0.811,3.053
Al Ir Sn,1.062,2.266
Al Pt Sn,0.53,1.721
Al Au Sn,0.498,1.48
Al Hg Sn,0.539,2.616
Al Sn Tl,0.711,2.678
Al Pb Sn,0.629,1.446
Al Bi Sn,0.819,1.457
Al Ba Cs,1.2,2.809
Al Cs Hf,1.419,3.307
Al Cs Ta,1.047,2.972
Al Cs W,1.502,3.264
Al Cs Os,1.358,4.095
Al Cs Ir,1.563,3.393
Al Cs Pt,1.136,2.914
Al Au Cs,1.112,2.705
Al Cs Hg,1.143,3.704
Al Cs Pb,1.212,2.676
Al Bi Cs,1.364,2.686
Al Ba Hf,1.179,2.609
Al Ba Ta,0.766,2.247
Al Ba W,1.268,2.562
Al Ba Os,1.111,3.454
Al Ba Ir,1.334,2.702
Al Ba Hg,0.874,3.036
Al Ba Tl,1.023,3.094
Al Ba Bi,1.118,1.936
Al Hf Ta,1.025,2.775
Al Hf Hg,1.121,3.522
Al Hf Tl,1.257,3.578
Al Hf Pb,1.191,2.473
Al Bi Hf,1.344,2.483
Al Os Ta,0.953,3.606
Al Ir Ta,1.19,2.866
Al Pt Ta,0.69,2.358
Al Au Ta,0.661,2.135
Al Hg Ta,0.698,3.194
Al Ta Tl,0.859,3.252
Al Pb Ta,0.782,2.104
Al Bi Ta,0.96,2.115
Al Os W,1.422,3.879
Al Ir W,1.623,3.161
Al Pt W,1.206,2.67
Al Au W,1.182,2.455
Al Hg W,1.213,3.479
Al Tl W,1.344,3.536
Al Pb W,1.28,2.425
Al Bi W,1.428,2.435
Al Ir Os,1.485,4.002
Al Os Pt,1.045,3.552
Al Au Os,1.02,3.356
Al Hg Os,1.052,4.294
Al Os Tl,1.191,4.346
Al Os Pb,1.124,3.329
Al Bi Os,1.28,3.338
Al Ir Pt,1.274,2.808
Al Hg Ir,1.281,3.606
Al Ir Tl,1.409,3.662
Al Ir Pb,1.347,2.567
Al Bi Ir,1.491,2.577
Al Au Pt,0.765,2.072
Al Hg Pt,0.801,3.138
Al Pt Tl,0.955,3.196
Al Pb Pt,0.881,2.04
Al Bi Pt,1.052,2.051
Al Au Hg,0.773,2.934
Al Au Tl,0.928,2.993
Al Au Pb,0.854,1.809
Al Au Bi,1.027,1.82
Al Hg Tl,0.962,3.964
Al Hg Pb,0.888,2.905
Al Bi Hg,1.059,2.915
Al Pb Tl,1.036,2.965
Al Bi Tl,1.198,2.975
Al Bi Pb,1.131,1.787
Ca K Sc,3.213,3.205
Ca K Ti,3.298,2.716
Ca K V,3.162,3.647
Ca Cr K,3.261,2.74
Ca K Mn,3.215,2.702
Ca Fe K,3.362,2.311
Ca Co K,3.139,2.564
Ca K Ni,3.097,2.382
Ca Cu K,3.192,2.363
Ca K Zn,3.102,2.631
Ca Ga K,3.148,3.13
Ca K Rb,3.249,4.389
Ca K Sr,3.305,3.354
Ca K Y,3.189,2.734
Ca K Zr,3.159,2.803
Ca K Nb,3.286,3.187
Ca K Mo,3.317,2.967
Ag Ca K,3.424,2.998
Ca Cd K,3.108,3.374
Ca In K,3.102,2.999
Ca K Sn,3.085,2.737
Ca Cs K,3.381,3.812
Ba Ca K,3.242,3.152
Ca Hf K,3.37,3.632
Ca K Ta,3.158,3.308
Ca K W,3.419,3.59
Ca K Os,3.333,4.397
Ca Ir K,3.457,3.716
Ca K Pt,3.206,3.253
Au Ca K,3.193,3.051
Ca Hg K,3.21,4.017
Ca K Tl,3.286,4.07
Ca K Pb,3.249,3.023
K Sc Ti,2.787,2.669
K Sc V,2.633,3.604
Cr K Sc,2.745,2.693
K Mn Sc,2.693,2.654
Fe K Sc,2.858,2.262
Co K Sc,2.607,2.516
K Ni Sc,2.56,2.333
Cu K Sc,2.668,2.314
K Sc Zn,2.566,2.583
Ga K Sc,2.617,3.085
K Rb Sc,2.732,4.349
K Sc Sr,2.795,3.309
K Sc Y,2.664,2.687
K Sc Zr,2.63,2.756
K Nb Sc,2.773,3.142
K Mo Sc,2.808,2.92
Ag K Sc,2.927,2.952
Cd K Sc,2.572,3.33
In K Sc,2.565,2.953
Cs K Sc,2.88,3.77
Ba K Sc,2.724,3.106
Hf K Sc,2.867,3.589
K Sc Ta,2.628,3.264
K Sc W,2.922,3.547
K Os Sc,2.826,4.357
Ir K Sc,2.963,3.673
K Pt Sc,2.684,3.208
Au K Sc,2.668,3.005
Hg K Sc,2.688,3.975
K Sc Tl,2.773,4.029
Bi K Sc,2.83,2.987
K Ti V,2.73,3.135
Cr K Ti,2.839,2.174
K Mn Ti,2.789,2.133
Fe K Ti,2.95,1.715
Co K Ti,2.705,1.986
K Ni Ti,2.658,1.792
Cu K Ti,2.764,1.771
K Ti Zn,2.664,2.058
Ga K Ti,2.715,2.589
K Rb Ti,2.826,3.914
K Sr Ti,2.888,2.826
K Ti Y,2.76,2.168
K Ti Zr,2.727,2.241
K Nb Ti,2.866,2.649
K Mo Ti,2.901,2.415
Ag K Ti,3.017,2.449
Cd K Ti,2.67,2.847
In K Ti,2.664,2.45
K Sn Ti,2.646,2.172
Cs K Ti,2.971,3.309
Ba K Ti,2.819,2.612
Hf K Ti,2.958,3.12
K Ta Ti,2.725,2.778
K Ti W,3.012,3.075
K Os Ti,2.918,3.923
Ir K Ti,3.053,3.208
K Pt Ti,2.779,2.719
Au K Ti,2.764,2.505
Hg K Ti,2.784,3.524
K Ti Tl,2.867,3.58
K Pb Ti,2.826,2.475
Bi K Ti,2.922,2.485
Cr K V,2.688,3.158
K Mn V,2.636,3.122
Fe K V,2.803,2.749
Co K V,2.548,2.99
K Ni V,2.5,2.817
Cu K V,2.61,2.799
K V Zn,2.506,3.054
Ga K V,2.559,3.532
K Rb V,2.675,4.745
K Sr V,2.738,3.746
K V Y,2.606,3.153
K V Zr,2.572,3.218
K Nb V,2.716,3.586
K Mo V,2.752,3.375
Ag K V,2.872,3.405
Cd K V,2.512,3.766
In K V,2.506,3.406
K Sn V,2.487,3.156
Cs K V,2.824,4.188
Ba K V,2.666,3.552
Hf K V,2.811,4.015
K Ta V,2.57,3.703
K V W,2.867,3.974
K Os V,2.77,4.753
Ir K V,2.909,4.095
K Pt V,2.626,3.649
Au K V,2.61,3.456
Hg K V,2.63,4.385
K Tl V,2.717,4.437
K Pb V,2.675,3.429
Bi K V,2.774,3.438
Cr K Mn,2.747,2.158
Cr Fe K,2.91,1.742
