phases,scores,norm
Mg Mo Sc,142.017,2.368
Ag Mg Sc,142.56,2.402
Cd Mg Sc,149.084,2.802
Mg Sc Sn,138.024,2.123
Cs Mg Sc,156.644,3.267
Ba Mg Sc,145.23,2.565
Hf Mg Sc,153.545,3.076
Mg Sc Ta,147.946,2.732
Mg Sc W,152.816,3.032
Mg Os Sc,166.668,3.882
Ir Mg Sc,154.981,3.164
Mg Pt Sc,146.981,2.673
Au Mg Sc,143.483,2.458
Hg Mg Sc,160.155,3.482
Mg Sc Tl,161.072,3.539
Mg Pb Sc,142.992,2.428
Bi Mg Sc,143.161,2.438
Mg Ti V,145.732,2.596
Cr Mg Ti,129.02,1.57
Mg Mn Ti,128.307,1.526
Fe Mg Ti,120.947,1.074
Co Mg Ti,125.723,1.367
Cu Mg Ti,121.939,1.135
Mg Rb Ti,159.111,3.418
Mg Sr Ti,140.373,2.267
Mg Ti Y,128.915,1.563
Mg Ti Zr,130.199,1.642
Mg Nb Ti,137.316,2.079
Mg Mo Ti,133.24,1.829
Ag Mg Ti,133.819,1.865
Cd Mg Ti,140.749,2.29
Cs Mg Ti,148.733,2.781
Ba Mg Ti,136.659,2.039
Hf Mg Ti,145.466,2.58
Mg Ta Ti,139.543,2.216
Mg Ti W,144.696,2.533
Mg Os Ti,159.256,3.427
Ir Mg Ti,146.981,2.673
Mg Pt Ti,138.519,2.153
Au Mg Ti,134.801,1.925
Hg Mg Ti,152.427,3.008
Mg Ti Tl,153.389,3.067
Mg Pb Ti,134.279,1.893
Bi Mg Ti,134.459,1.904
Cr Mg V,146.121,2.62
Mg Mn V,145.492,2.582
Fe Mg V,139.045,2.186
Co Mg V,143.219,2.442
Mg Ni V,140.218,2.258
Cu Mg V,139.909,2.239
Mg V Zn,144.331,2.51
Mg Rb V,173.268,4.288
Mg Sr V,156.237,3.242
Mg V Y,146.029,2.615
Mg V Zr,147.164,2.684
Mg Nb V,153.496,3.073
Mg Mo V,149.861,2.85
Ag Mg V,150.376,2.882
Cd Mg V,156.574,3.262
Mg Sn V,146.083,2.618
Cs Mg V,163.789,3.706
Ba Mg V,152.909,3.037
Hf Mg V,160.828,3.524
Mg Ta V,155.491,3.196
Mg V W,160.132,3.481
Mg Os V,173.4,4.296
Ir Mg V,162.199,3.608
Mg Pt V,154.573,3.139
Au Mg V,151.251,2.935
Hg Mg V,167.15,3.912
Mg Tl V,168.028,3.966
Mg Pb V,150.785,2.907
Bi Mg V,150.945,2.917
Cr Mg Mn,128.748,1.553
Cr Fe Mg,121.415,1.103
Co Cr Mg,126.174,1.395
Cr Mg Ni,122.757,1.185
Cr Cu Mg,122.404,1.163
Cr Mg Zn,127.435,1.472
Cr Ga Mg,136.682,2.04
Cr Mg Rb,159.467,3.44
Cr Mg Sr,140.777,2.292
Cr Mg Y,129.354,1.59
Cr Mg Zr,130.635,1.669
Cr Mg Nb,137.729,2.105
Cr Mg Mo,133.666,1.855
Ag Cr Mg,134.242,1.891
Cd Cr Mg,141.151,2.315
Cr In Mg,134.265,1.892
Cr Mg Sn,129.416,1.594
Cr Cs Mg,149.114,2.804
Ba Cr Mg,137.074,2.065
Cr Hf Mg,145.855,2.604
Cr Mg Ta,139.949,2.241
Cr Mg W,145.088,2.557
Cr Mg Os,159.612,3.449
Cr Ir Mg,147.366,2.697
Cr Mg Pt,138.929,2.178
Au Cr Mg,135.222,1.951
Cr Hg Mg,152.799,3.03
Cr Mg Tl,153.759,3.089
Cr Mg Pb,134.701,1.919
Bi Cr Mg,134.88,1.93
Fe Mg Mn,120.657,1.056
Co Mg Mn,125.445,1.35
Cu Mg Mn,121.652,1.117
Mg Mn Zn,126.713,1.428
Ga Mg Mn,136.009,1.999
Mg Mn Rb,158.891,3.405
Mg Mn Sr,140.123,2.252
Mg Mn Y,128.643,1.547
Mg Mn Zr,129.93,1.626
Mg Mn Nb,137.061,2.064
Mg Mn Mo,132.977,1.813
Ag Mg Mn,133.557,1.849
Cd Mg Mn,140.5,2.275
In Mg Mn,133.58,1.85
Mg Mn Sn,128.705,1.55
Cs Mg Mn,148.498,2.766
Ba Mg Mn,136.403,2.023
Hf Mg Mn,145.225,2.565
Mg Mn Ta,139.292,2.201
Mg Mn W,144.454,2.518
Mg Mn Os,159.036,3.414
Ir Mg Mn,146.742,2.658
Mg Mn Pt,138.267,2.138
Au Mg Mn,134.542,1.909
Hg Mg Mn,152.197,2.993
Mg Mn Tl,153.161,3.053
Mg Mn Pb,134.018,1.877
Bi Mg Mn,134.199,1.888
Co Fe Mg,117.906,0.887
Fe Mg Ni,114.242,0.662
Cu Fe Mg,113.862,0.639
Fe Mg Zn,119.254,0.97
Fe Ga Mg,129.089,1.574
Fe Mg Rb,153.009,3.043
Fe Mg Sr,133.417,1.84
Fe Mg Y,121.304,1.096
Fe Mg Zr,122.668,1.18
Fe Mg Nb,130.197,1.642
Fe Mg Mo,125.891,1.378
Ag Fe Mg,126.503,1.415
Cd Fe Mg,133.812,1.864
Fe In Mg,126.527,1.417
Fe Mg Sn,121.369,1.1
Cs Fe Mg,142.187,2.379
Ba Fe Mg,129.504,1.6
Fe Hf Mg,138.765,2.168
Fe Mg Ta,132.543,1.786
Fe Mg W,137.958,2.119
Fe Mg Os,153.16,3.053
Fe Ir Mg,140.352,2.266
Fe Mg Pt,131.465,1.72
Au Fe Mg,127.542,1.479
Fe Hg Mg,146.046,2.616
Fe Mg Tl,147.05,2.677
Fe Mg Pb,126.99,1.445
Bi Fe Mg,127.18,1.457
Co Cu Mg,118.924,0.95
Co Mg Rb,156.812,3.277
Co Mg Sr,137.762,2.107
Co Mg Zr,127.38,1.469
Co Mg Nb,134.646,1.915
Co Mg Mo,130.487,1.66
Ag Co Mg,131.077,1.696
Cd Co Mg,138.145,2.13
Co In Mg,131.1,1.698
Co Cs Mg,146.272,2.629
Ba Co Mg,133.976,1.874
Co Hf Mg,142.948,2.425
Co Mg Ta,136.916,2.055
Co Mg W,142.165,2.377
Co Mg Os,156.959,3.286
Co Ir Mg,144.489,2.52
Co Mg Pt,135.873,1.991
Au Co Mg,132.08,1.758
Co Hg Mg,150.026,2.86
Co Mg Tl,151.003,2.92
Co Mg Pb,131.547,1.725
Bi Co Mg,131.731,1.736
Mg Ni Rb,154.076,3.109
Mg Ni Sr,134.639,1.915
Mg Ni Zr,123.996,1.261
Mg Nb Ni,131.449,1.719
Mg Mo Ni,127.185,1.457
Ag Mg Ni,127.791,1.494
Cd Mg Ni,135.031,1.939
Cs Mg Ni,143.334,2.449
Ba Mg Ni,130.763,1.677
Hf Mg Ni,139.941,2.241
Mg Ni Ta,133.774,1.862
Mg Ni W,139.141,2.191
Mg Ni Os,154.225,3.118
Ir Mg Ni,141.515,2.337
Mg Ni Pt,132.706,1.796
Au Mg Ni,128.82,1.558
Hg Mg Ni,147.163,2.684
Mg Ni Tl,148.16,2.745
Mg Ni Pb,128.273,1.524
Cu Mg Rb,153.795,3.092
Cu Mg Zr,123.646,1.24
Cu Mg Nb,131.119,1.699
Cu Mg Mo,126.844,1.436
Cd Cu Mg,134.71,1.919
Cs Cu Mg,143.032,2.431
Ba Cu Mg,130.431,1.657
Cu Hf Mg,139.631,2.222
Cu Mg Ta,133.45,1.842
Cu Mg W,138.829,2.172
Cu Mg Os,153.945,3.101
Cu Ir Mg,141.209,2.319
Cu Mg Pt,132.379,1.776
Cu Hg Mg,146.869,2.666
Cu Mg Tl,147.867,2.728
Cu Mg Pb,127.935,1.503
Ga Mg Zn,134.766,1.923
Mg Rb Zn,157.829,3.339
Mg Sr Zn,138.917,2.178
Mg Nb Zn,135.828,1.988
Mg Mo Zn,131.706,1.735
Cd Mg Zn,139.297,2.201
In Mg Zn,132.314,1.772
Mg Sn Zn,127.391,1.47
Cs Mg Zn,147.36,2.696
Ba Mg Zn,135.164,1.947
Mg Ta Zn,138.079,2.126
Mg W Zn,143.285,2.446
Mg Os Zn,157.974,3.348
Ir Mg Zn,145.591,2.588
Au Mg Zn,133.285,1.832
Hg Mg Zn,151.087,2.925
Mg Tl Zn,152.058,2.985
Mg Pb Zn,132.757,1.799
Bi Mg Zn,132.939,1.811
Ga Mg Rb,165.385,3.804
Ga Mg Sr,147.446,2.702
Ga Mg Zr,137.796,2.109
Ga Mg Nb,144.539,2.523
Ga Mg Mo,140.673,2.286
Cd Ga Mg,147.804,2.724
Ga In Mg,141.242,2.321
Ga Mg Sn,136.641,2.038
Cs Ga Mg,155.426,3.192
Ba Ga Mg,143.915,2.485
Ga Hf Mg,152.303,3.0
Ga Mg Ta,146.656,2.653
Ga Mg W,151.568,2.955
Ga Mg Os,165.524,3.812
Ga Ir Mg,153.75,3.089
Ga Mg Pt,145.683,2.593
Ga Mg Tl,159.888,3.466
Ga Mg Pb,141.657,2.346
Bi Ga Mg,141.827,2.357
Mg Rb Sr,168.785,4.012
Mg Rb Y,159.383,3.435
Mg Rb Zr,160.423,3.499
Mg Nb Rb,166.251,3.857
Mg Mo Rb,162.901,3.651
Ag Mg Rb,163.375,3.68
Cd Mg Rb,169.097,4.032
Mg Rb Sn,159.432,3.438
Cs Mg Rb,175.799,4.443
Ba Mg Rb,165.709,3.823
Hf Mg Rb,173.044,4.274
Mg Rb Ta,168.095,3.97
Mg Rb W,172.397,4.234
Mg Os Rb,184.787,4.995
Ir Mg Rb,174.319,4.352
Mg Pt Rb,167.246,3.918
Au Mg Rb,164.18,3.73
Hg Mg Rb,178.935,4.636
Mg Rb Tl,179.755,4.686
Mg Pb Rb,163.752,3.703
Bi Mg Rb,163.899,3.712
Mg Sr Y,140.68,2.286
Mg Sr Zr,141.859,2.358
Mg Nb Sr,148.417,2.761
Mg Mo Sr,144.654,2.53
Cd Mg Sr,151.599,2.957
Cs Mg Sr,159.039,3.414
Ba Mg Sr,147.81,2.724
Hf Mg Sr,155.988,3.226
Mg Sr Ta,150.48,2.888
Mg Sr W,155.271,3.182
Mg Os Sr,168.921,4.021
Ir Mg Sr,157.402,3.313
Au Mg Sr,146.094,2.619
Hg Mg Sr,162.499,3.626
Mg Sr Tl,163.402,3.682
Mg Y Zr,130.531,1.663
Mg Nb Y,137.631,2.099
Mg Mo Y,133.564,1.849
Cs Mg Y,149.024,2.799
Ba Mg Y,136.975,2.058
Hf Mg Y,145.763,2.598
Mg Ta Y,139.852,2.235
Mg W Y,144.995,2.551
Mg Os Y,159.527,3.444
Au Mg Y,135.122,1.945
Hg Mg Y,152.71,3.025
Mg Pb Y,134.601,1.913
Bi Mg Y,134.78,1.924
Mg Nb Zr,138.835,2.173
Mg Mo Zr,134.805,1.925
Ag Mg Zr,135.377,1.96
Cd Mg Zr,142.23,2.381
In Mg Zr,135.399,1.962
Mg Sn Zr,130.592,1.666
Cs Mg Zr,150.136,2.867
Ba Mg Zr,138.185,2.133
Hf Mg Zr,146.9,2.668
Mg Ta Zr,141.037,2.308
Mg W Zr,146.138,2.621
Mg Os Zr,160.567,3.508
Ir Mg Zr,148.4,2.76
Mg Pt Zr,140.025,2.246
Au Mg Zr,136.348,2.02
Hg Mg Zr,153.796,3.092
Mg Tl Zr,154.75,3.15
Mg Pb Zr,135.832,1.988
Bi Mg Zr,136.009,1.999
Mg Mo Nb,141.69,2.348
Ag Mg Nb,142.235,2.382
Cd Mg Nb,148.773,2.783
In Mg Nb,142.256,2.383
Mg Nb Sn,137.688,2.102
Cs Mg Nb,156.348,3.248
Ba Mg Nb,144.91,2.546
Hf Mg Nb,153.243,3.058
Mg Nb Ta,147.633,2.713
Mg Nb W,152.513,3.013
Mg Nb Os,166.39,3.865
Ir Mg Nb,154.682,3.146
Mg Nb Pt,146.666,2.654
Au Mg Nb,143.159,2.438
Hg Mg Nb,159.866,3.465
Mg Nb Tl,160.784,3.521
Mg Nb Pb,142.668,2.408
Bi Mg Nb,142.837,2.419
Ag Mg Mo,138.304,2.14
Cd Mg Mo,145.019,2.553
In Mg Mo,138.325,2.141
Mg Mo Sn,133.624,1.853
Cs Mg Mo,152.781,3.029
Ba Mg Mo,141.054,2.309
Hf Mg Mo,149.602,2.834
Mg Mo Ta,143.849,2.481
Mg Mo W,148.854,2.788
Mg Mo Os,163.042,3.66
Ir Mg Mo,151.075,2.925
Mg Mo Pt,142.857,2.42
Au Mg Mo,139.255,2.198
Hg Mg Mo,156.379,3.25
Mg Mo Tl,157.317,3.308
Mg Mo Pb,138.749,2.167
Bi Mg Mo,138.923,2.178
Ag Cs Mg,153.286,3.06
Ag Ba Mg,141.6,2.343
Ag Hf Mg,150.117,2.866
Ag Mg Ta,144.385,2.514
Ag Mg W,149.372,2.82
Ag Mg Os,163.515,3.689
Ag Ir Mg,151.586,2.956
Ag Mg Pt,143.396,2.453
Ag Au Mg,139.808,2.232
Ag Hg Mg,156.872,3.281
Ag Mg Tl,157.807,3.338
Ag Mg Pb,139.305,2.202
Ag Bi Mg,139.478,2.212
Cd Mg Sn,141.112,2.313
Cd Cs Mg,159.371,3.434
Ba Cd Mg,148.167,2.746
Cd Hf Mg,156.326,3.247
Cd Mg Ta,150.83,2.91
Cd Mg W,155.61,3.203
Cd Mg Os,169.233,4.04
Cd Ir Mg,157.737,3.334
Cd Mg Pt,149.884,2.851
Cd Hg Mg,162.824,3.646
Cd Mg Tl,163.725,3.702
Cd Mg Pb,145.974,2.611
Bi Cd Mg,146.14,2.621
In Mg Sn,134.223,1.889
Cs In Mg,153.305,3.062
Hf In Mg,150.137,2.867
In Mg Ta,144.406,2.515
In Mg W,149.392,2.821
In Mg Os,163.534,3.69
In Mg Pt,143.417,2.454
Au In Mg,139.83,2.234
Hg In Mg,156.891,3.282
In Mg Tl,157.826,3.339
In Mg Pb,139.326,2.203
Bi In Mg,139.5,2.214
Cs Mg Sn,149.077,2.802
Hf Mg Sn,145.817,2.602
Mg Sn Ta,139.909,2.239
Mg Sn W,145.049,2.554
Mg Os Sn,159.577,3.447
Hg Mg Sn,152.762,3.028
Mg Sn Tl,153.722,3.087
Mg Pb Sn,134.66,1.916
Bi Mg Sn,134.839,1.927
Ba Cs Mg,155.772,3.213
Cs Hf Mg,163.552,3.691
Cs Mg Ta,158.307,3.369
Cs Mg W,162.868,3.649
Cs Mg Os,175.93,4.451
Cs Ir Mg,164.901,3.774
Cs Mg Pt,157.406,3.313
Au Cs Mg,154.144,3.113
Cs Hg Mg,169.773,4.073
Cs Mg Tl,170.638,4.126
Cs Mg Pb,153.688,3.085
Bi Cs Mg,153.845,3.095
Ba Hf Mg,152.655,3.022
Ba Mg Ta,147.022,2.676
Ba Mg W,151.922,2.977
Ba Mg Os,165.848,3.832
Ba Ir Mg,154.099,3.11
Ba Mg Pt,146.051,2.616
Au Ba Mg,142.529,2.4
Ba Hg Mg,159.302,3.43
Ba Mg Tl,160.223,3.486
Hf Mg Ta,155.242,3.18
Hf Mg W,159.89,3.466
Hf Mg Os,173.176,4.282
Hf Ir Mg,161.96,3.593
Hf Mg Pt,154.322,3.124
Au Hf Mg,150.994,2.92
Hf Hg Mg,166.918,3.898
Hf Mg Tl,167.797,3.952
Hf Mg Pb,150.528,2.891
Bi Hf Mg,150.688,2.901
Mg Ta W,154.521,3.136
Mg Os Ta,168.232,3.978
Ir Mg Ta,156.662,3.268
Mg Pt Ta,148.752,2.782
Au Mg Ta,145.297,2.57
Hg Mg Ta,161.782,3.582
Mg Ta Tl,162.69,3.638
Mg Pb Ta,144.812,2.54
Bi Mg Ta,144.979,2.55
Mg Os W,172.531,4.242
Ir Mg W,161.269,3.551
Mg Pt W,153.597,3.079
Au Mg W,150.253,2.874
Hg Mg W,166.248,3.857
Mg Tl W,167.131,3.911
Mg Pb W,149.784,2.845
Bi Mg W,149.945,2.855
Ir Mg Os,174.451,4.36
Mg Os Pt,167.384,3.926
Au Mg Os,164.32,3.738
Hg Mg Os,179.063,4.644
Mg Os Tl,179.883,4.694
Mg Os Pb,163.892,3.712
Bi Mg Os,164.04,3.721
Ir Mg Pt,155.751,3.212
Au Ir Mg,152.454,3.009
Hg Ir Mg,168.24,3.979
Ir Mg Tl,169.112,4.032
Ir Mg Pb,151.992,2.981
Bi Ir Mg,152.151,2.991
Au Mg Pt,144.314,2.509
Hg Mg Pt,160.9,3.528
Mg Pt Tl,161.812,3.584
Mg Pb Pt,143.826,2.479
Bi Mg Pt,143.994,2.49
Au Mg Tl,158.641,3.389
Au Mg Pb,140.249,2.26
Au Bi Mg,140.421,2.27
Hg Mg Tl,173.867,4.325
Hg Mg Pb,157.265,3.305
Bi Hg Mg,157.418,3.314
Mg Pb Tl,158.198,3.362
Bi Mg Tl,158.35,3.371
Bi Mg Pb,139.92,2.239
Al Ca K,143.141,2.437
Al K Sc,142.345,2.388
Al K Ti,133.589,1.85
Al K V,150.171,2.869
Al Cr K,134.014,1.877
Al K Mn,133.327,1.834
Al Fe K,126.26,1.4
Al Co K,130.843,1.682
Al K Ni,127.551,1.48
Al Cu K,127.211,1.459
Al K Zn,132.059,1.757
Al Ga K,141.003,2.306
Al K Rb,163.187,3.669
Al K Sr,144.976,2.55
Al K Y,133.913,1.87
Al K Zr,135.15,1.946
Al K Nb,142.019,2.368
Al K Mo,138.082,2.126
Ag Al K,138.64,2.161
Al Cd K,145.34,2.572
Al In K,138.662,2.162
Al Cs K,153.085,3.048
Al Ba K,141.384,2.329
Al Hf K,149.913,2.853
Al K Ta,144.173,2.501
Al K W,149.166,2.807
Al K Os,163.328,3.677
Al Ir K,151.383,2.943
Al K Pt,143.182,2.44
Al Au K,139.589,2.219
Al Hg K,156.676,3.269
Al K Tl,157.613,3.326
Al K Pb,139.084,2.188
Al Bi K,139.258,2.199
Al Ca Sc,139.954,2.241
Al Ca Ti,131.039,1.694
Al Ca V,147.907,2.73
Al Ca Rb,161.106,3.541
Al Ca Y,131.369,1.714
Al Ca Zr,132.63,1.792
Al Ca Nb,139.623,2.221
Al Ca Mo,135.616,1.975
Al Ca Cs,150.865,2.912
Al Ca Hf,147.645,2.714
Al Ca Ta,141.813,2.356
Al Ca W,146.887,2.667
Al Ca Os,161.248,3.549
Al Ca Hg,154.508,3.135
Al Ca Tl,155.457,3.194
Al Sc Ti,130.169,1.64
Al Sc Zn,128.598,1.544
Al Rb Sc,160.399,3.497
Al Sc Sr,141.831,2.357
Al Sc Y,130.501,1.661
Al Nb Sc,138.806,2.171
Al Mo Sc,134.775,1.923
Al Cd Sc,142.203,2.38
Al In Sc,135.37,1.96
Al Sc Sn,130.562,1.665
Al Cs Sc,150.11,2.865
Al Ba Sc,138.157,2.131
Al Hf Sc,146.873,2.666
Al Sc Ta,141.009,2.306
Al Sc W,146.111,2.62
Al Hg Sc,153.77,3.09
Al Sc Tl,154.725,3.149
Al Pb Sc,135.803,1.986
Al Bi Sc,135.98,1.997
Al Rb Ti,152.683,3.023
Al Sr Ti,133.042,1.817
Al Ti Y,120.891,1.071
Al Cs Ti,141.835,2.357
Al Ba Ti,129.118,1.576
Al Ti W,137.596,2.097
Al Hg Ti,145.704,2.595
Al Bi Ti,126.786,1.433
Al Cu V,132.552,1.787
Al V Zn,137.212,2.073
Al Rb V,167.384,3.926
Al Sr V,149.685,2.839
Ag Al V,143.556,2.463
Al Cd V,150.037,2.861
Al In V,143.577,2.464
Al Cs V,157.552,3.322
Al Ba V,146.208,2.626
Al Hf V,154.471,3.133
Al Os V,167.521,3.935
Al Ir V,155.898,3.221
Al Pt V,147.948,2.732
Al Hg V,161.043,3.537
Al Tl V,161.954,3.593
Al Pb V,143.986,2.489
Al Bi V,144.153,2.499
Al Cr Ga,129.142,1.577
Al Cr Rb,153.054,3.046
Al Cr Sr,133.468,1.843
Ag Al Cr,126.557,1.419
Al Cd Cr,133.863,1.867
Al Cr In,126.581,1.42
Al Cr Sn,121.425,1.103
Al Cr Cs,142.235,2.382
Al Ba Cr,129.557,1.603
Al Cr W,138.008,2.122
Al Cr Os,153.204,3.055
Al Cr Ir,140.401,2.269
Al Au Cr,127.595,1.482
Al Cr Hg,146.093,2.619
Al Cr Tl,147.096,2.68
Al Cr Pb,127.043,1.448
Al Bi Cr,127.233,1.46
Al Mn Rb,152.453,3.009
Al Mn Sr,132.779,1.801
Al Cd Mn,133.176,1.825
Al In Mn,125.854,1.375
Al Mn Sn,120.667,1.057
Al Cs Mn,141.588,2.342
Al Ba Mn,128.847,1.559
Al Mn W,137.341,2.081
Al Hg Mn,145.463,2.58
Al Mn Tl,146.471,2.642
Al Mn Pb,126.319,1.404
Al Bi Mn,126.51,1.416
Al Fe Rb,146.313,2.632
Al Fe Sr,125.681,1.365
Al Cd Fe,126.1,1.39
Al Fe In,118.341,0.914
Al Fe Sn,112.81,0.574
Al Cs Fe,134.954,1.934
Al Fe Os,146.47,2.642
Al Fe Ir,133.02,1.816
Al Au Fe,119.426,0.981
Al Fe Hg,139.014,2.184
Al Fe Tl,140.069,2.249
Al Fe Pb,118.836,0.944
Al Bi Fe,119.039,0.957
Al Co Rb,150.286,2.876
Al Cd Co,130.689,1.672
Al Co In,123.219,1.213
Al Co Sn,117.917,0.888
Al Co Cs,139.252,2.198
Al Au Co,124.261,1.278
Al Co Hg,143.19,2.44
Al Co Tl,144.214,2.503
Al Co Pb,123.694,1.243
Al Bi Co,123.89,1.255
Al Ni Rb,147.428,2.701
Ag Al Ni,119.692,0.997
Al Cd Ni,127.393,1.47
Al Cs Ni,136.163,2.009
Al Ni Os,147.584,2.71
Al Ir Ni,134.246,1.891
Al Au Ni,120.79,1.064
Al Hg Ni,140.188,2.256
Al Ni Tl,141.234,2.32
Al Ni Pb,120.207,1.028
Al Bi Ni,120.407,1.041
Al Cu Rb,147.134,2.682
Al Cd Cu,127.053,1.449
Al Cs Cu,135.845,1.989
Al Cu Os,147.291,2.692
Al Cu Hg,139.879,2.237
Al Cu Tl,140.927,2.301
Al Cu Pb,119.846,1.006
Al Bi Cu,120.047,1.019
Al Ga Zn,127.112,1.453
Al Rb Zn,151.345,2.941
Al Sr Zn,131.505,1.722
Al Mo Zn,123.863,1.253
Ag Al Zn,124.485,1.291
Al Cd Zn,131.906,1.747
Al In Zn,124.509,1.293
Al Sn Zn,119.264,0.971
Al Cs Zn,140.395,2.269
Al W Zn,136.111,2.005
Al Os Zn,151.497,2.95
Al Ir Zn,138.537,2.154
Al Au Zn,125.541,1.356
Al Hg Zn,144.302,2.509
Al Tl Zn,145.318,2.571
Al Pb Zn,124.98,1.322
Al Bi Zn,125.173,1.334
Al Ga Rb,159.21,3.424
Al Ga Mo,133.358,1.836
Ag Al Ga,133.936,1.872
Al Cd Ga,140.86,2.297
Al Ga In,133.959,1.873
Al Ga Sn,129.098,1.575
Al Cs Ga,148.839,2.787
Al Ga Hf,145.574,2.587
Al Ga Ta,139.656,2.223
Al Ga W,144.805,2.539
Al Ga Os,159.354,3.433
Al Ga Ir,147.088,2.68
Al Ga Pt,138.633,2.16
Al Ga Hg,152.53,3.014
Al Ga Tl,153.492,3.073
Al Ga Pb,134.396,1.9
Al Bi Ga,134.576,1.911
Al Rb Sr,162.739,3.641
Al Rb Y,152.966,3.041
Al Rb Zr,154.05,3.107
Al Nb Rb,160.11,3.48
Al Mo Rb,156.628,3.266
Ag Al Rb,157.121,3.296
Al Cd Rb,163.063,3.661
Al In Rb,157.14,3.297
Al Cs Rb,170.003,4.087
Al Ba Rb,159.547,3.445
Al Hf Rb,167.152,3.912
Al Rb Ta,162.024,3.597
Al Rb W,166.482,3.871
Al Os Rb,179.281,4.657
Al Ir Rb,168.472,3.993
Al Pt Rb,161.143,3.543
Al Au Rb,157.958,3.347
Al Hg Rb,173.243,4.286
Al Rb Tl,174.091,4.338
Al Pb Rb,157.513,3.32
Al Bi Rb,157.666,3.329
Al Sr Y,133.367,1.837
Al Sr Zr,134.609,1.913
Al Nb Sr,141.504,2.337
Al Mo Sr,137.552,2.094
Al Cd Sr,144.837,2.541
Al Cs Sr,152.608,3.019
Al Hf Sr,149.425,2.823
Al Sr Ta,143.666,2.469
Al Sr W,148.676,2.777
Al Os Sr,162.88,3.65
Al Ir Sr,150.9,2.914
Al Hg Sr,156.21,3.24
Al Sr Tl,157.149,3.298
Al Bi Sr,138.733,2.166
Al Y Zr,122.613,1.176
Al Nb Y,130.146,1.639
Al Cd Y,133.762,1.861
Al In Y,126.474,1.413
Al Sn Y,121.314,1.096
Al Cs Y,142.14,2.376
Al Ba Y,129.452,1.596
Al Hf Y,138.717,2.165
Al Ta Y,132.493,1.783
Al Au Y,127.489,1.476
Al Hg Y,146.0,2.613
Al Tl Y,147.005,2.675
Al Pb Y,126.937,1.442
Al Bi Y,127.127,1.454
Al Cd Zr,135.0,1.937
Al In Zr,127.783,1.494
Al Cs Zr,143.306,2.447
Al Ba Zr,130.732,1.675
Al Hf Zr,139.912,2.239
Al Ta Zr,133.743,1.86
Al Hg Zr,147.135,2.683
Al Tl Zr,148.132,2.744
Al Bi Zr,128.43,1.534
Ag Al Nb,135.005,1.937
Al Cd Nb,141.877,2.36
Al In Nb,135.027,1.939
Al Cs Nb,149.801,2.846
Al Ba Nb,137.821,2.11
Al Hf Nb,146.557,2.647
Al Nb Os,160.253,3.488
Al Nb Pt,139.665,2.224
Al Au Nb,135.979,1.997
Al Hg Nb,153.469,3.072
Al Nb Tl,154.425,3.13
Al Nb Pb,135.461,1.965
Al Bi Nb,135.639,1.976
Ag Al Mo,130.857,1.683
Al Cd Mo,137.935,2.117
Al In Mo,130.88,1.684
Al Mo Sn,125.9,1.378
Al Cs Mo,146.074,2.617
Al Ba Mo,133.76,1.861
Al Mo W,141.961,2.365
Al Mo Os,156.775,3.275
Al Ir Mo,144.289,2.508
Al Mo Pt,135.66,1.978
Al Au Mo,131.861,1.744
Al Hg Mo,149.833,2.848
Al Mo Tl,150.812,2.908
Al Mo Pb,131.327,1.712
Al Bi Mo,131.511,1.723
Ag Al Cd,138.494,2.152
Ag Al In,131.469,1.72
Ag Al Cs,146.602,2.65
Ag Al Ta,137.269,2.077
Ag Al W,142.505,2.398
Ag Al Os,157.267,3.305
Ag Al Ir,144.823,2.541
Ag Al Pt,136.228,2.013
Ag Al Au,132.446,1.78
Ag Al Hg,150.348,2.88
Ag Al Tl,151.323,2.94
Ag Al Pb,131.914,1.748
Ag Al Bi,132.097,1.759
Al Cd In,138.516,2.153
Al Cd Sn,133.821,1.865
Al Cd Cs,152.954,3.04
Al Ba Cd,141.241,2.32
Al Cd Hf,149.778,2.845
Al Cd Ta,144.033,2.492
Al Cd W,149.031,2.799
Al Cd Os,163.204,3.67
Al Cd Ir,151.25,2.935
Al Cd Pt,143.041,2.431
Al Au Cd,139.444,2.21
Al Cd Hg,156.548,3.261
Al Cd Tl,157.485,3.318
Al Cd Pb,138.939,2.179
Al Bi Cd,139.113,2.19
Al In Sn,126.536,1.417
Al Cs In,146.622,2.651
Al Hf In,143.307,2.447
Al In Ta,137.291,2.078
Al In W,142.526,2.399
Al In Os,157.286,3.306
Al In Ir,144.844,2.542
Al In Pt,136.25,2.014
Al Hg In,150.368,2.881
Al In Tl,151.343,2.941
Al In Pb,131.937,1.749
Al Bi In,132.12,1.76
Al Cs Sn,142.195,2.379
Al Hf Sn,138.774,2.169
Al Sn Ta,132.552,1.787
Al Sn W,137.967,2.119
Al Os Sn,153.168,3.053
Al Ir Sn,140.361,2.266
Al Pt Sn,131.475,1.721
Al Au Sn,127.551,1.48
Al Hg Sn,146.054,2.616
Al Sn Tl,147.058,2.678
Al Pb Sn,126.999,1.446
Al Bi Sn,127.189,1.457
Al Ba Cs,149.199,2.809
Al Cs Hf,157.305,3.307
Al Cs Ta,151.845,2.972
Al Cs W,156.594,3.264
Al Cs Os,170.138,4.095
Al Cs Ir,158.707,3.393
Al Cs Pt,150.905,2.914
Al Au Cs,147.499,2.705
Al Cs Hg,163.764,3.704
Al Cs Pb,147.022,2.676
Al Bi Cs,147.186,2.686
