phases,leaf,mat2vec,if_pareto,pareto_front,elements
Al Ga In,0.428,1.873,-,23,Al
Sc Y Zn,0.581,1.873,-,15,Sc
Ba Co Mg,0.667,1.874,-,29,Ba
Co Ni W,0.911,1.875,-,9,Co
Sc Sn Zn,0.332,1.877,-,6,Sc
Au Ba Cu,0.844,1.878,-,30,Au
Ca Fe In,1.766,1.879,-,30,Ca
Cd Ni Zr,0.233,1.879,-,11,Cd
Ag Nb Ni,1.193,1.879,-,24,Ag
Cd Co Zn,0.191,1.884,-,10,Cd
Co Mn Ta,0.596,1.884,-,18,Co
Be Cu Ni,3.583,1.885,-,18,Be
Co In Pb,0.549,1.886,-,10,Co
Au Fe Sc,1.117,1.886,-,23,Au
Bi Mg Mn,1.016,1.888,-,19,Bi
Ba Mn Y,0.881,1.888,-,8,Ba
Au Cr Zr,0.815,1.891,-,6,Au
Co K Zn,2.479,1.894,-,15,Co
Ag Bi Co,1.353,1.896,-,20,Ag
In Mo Zn,0.625,1.896,-,23,In
Ca Cu Mo,1.829,1.897,-,6,Ca
Bi Co In,0.746,1.897,-,20,Bi
Ag Ni Sc,1.061,1.9,-,16,Ag
Cu Mo Pt,1.019,1.9,-,18,Cu
Bi Mg Ti,1.17,1.904,-,10,Bi
Nb Ni Pb,0.856,1.907,-,7,Nb
Cr Ga Sn,0.56,1.909,-,21,Cr
Mg Pb Y,0.789,1.913,-,21,Mg
Ba Fe Ga,1.089,1.914,-,29,Ba
Co Mg Nb,0.762,1.915,-,22,Co
Au Co In,0.413,1.918,-,10,Au
Co Fe Li,1.009,1.922,-,18,Co
Ga Mg Zn,0.36,1.923,-,29,Ga
Mg Mo Zr,0.869,1.925,-,27,Mg
Bi Mg Sn,0.762,1.927,-,19,Bi
Pt Y Zn,0.565,1.928,-,11,Pt
Mn Sc Ti,1.038,1.93,-,13,Mn
Co Pt Zr,0.58,1.931,-,15,Co
Bi Mo Zn,1.099,1.934,-,9,Bi
Co Mg Sc,0.602,1.937,-,17,Co
Au Nb Ni,0.739,1.939,-,21,Au
Au Co Pb,0.749,1.945,-,19,Au
K Mg Ni,2.5,1.948,-,20,K
Ag Ni Pt,1.049,1.955,-,30,Ag
Mn Ta Zn,0.513,1.957,-,21,Mn
Al In Sc,0.582,1.96,-,12,Al
In Mg Zr,0.387,1.962,-,8,In
Nb Sn Y,0.707,1.968,-,24,Nb
Ag Mn Mo,1.444,1.971,-,21,Ag
Co Sr Y,0.857,1.973,-,14,Co
Co Sn Sr,0.642,1.976,-,9,Co
Co Cu Li,0.658,1.976,-,15,Co
Cd Co Ti,0.674,1.977,-,12,Cd
Co Cr Sr,0.999,1.979,-,21,Co
Ba Fe Nb,1.331,1.979,-,13,Ba
Ba Ti Zr,0.987,1.98,-,11,Ba
Cd Fe Mo,1.155,1.987,-,26,Cd
Mg Nb Zn,0.685,1.988,-,25,Mg
Bi Ca Ni,1.721,1.991,-,26,Bi
Fe Li Zn,0.94,1.994,-,19,Fe
Co Li Ni,0.439,1.996,-,22,Co
Sn Ta Zn,0.182,1.996,-,23,Sn
Al Cd Mg,0.477,1.997,-,26,Al
Fe In Sr,1.123,1.999,-,27,Fe
Cu In Ta,0.458,2.001,-,27,Cu
Cd Co Cr,0.589,2.003,-,16,Cd
Mn Nb Zr,0.91,2.004,-,16,Mn
Mn Pt Y,0.809,2.004,-,22,Mn
Ba Cr Zr,0.914,2.005,-,12,Ba
Co K Y,2.579,2.006,-,13,Co
Al K Mg,2.607,2.006,-,12,Al
Ag Mo Y,1.402,2.007,-,4,Ag
Ag Co Ga,1.017,2.007,-,14,Ag
Co Cr K,2.662,2.012,-,23,Co
Ag Cr Mo,1.517,2.013,-,23,Ag
Cr In Mo,0.952,2.014,-,3,Cr
Ni V Zn,0.225,2.016,-,13,Ni
Fe Mn V,1.065,2.018,-,15,Fe
Au Pb Zn,0.671,2.018,-,23,Au
Ag Ni Ta,0.957,2.019,-,17,Ag
Mn Sc Zr,0.761,2.025,-,9,Mn
Cu Pb Ta,0.787,2.027,-,23,Cu
Ba Co In,0.532,2.033,-,20,Ba
Cd Mn Zn,0.393,2.033,-,20,Cd
Mo Pb Y,1.092,2.034,-,8,Mo
Co Ga Pb,0.652,2.035,-,26,Co
Mo Ni Sr,1.029,2.037,-,24,Mo
Ga Mg Sn,0.317,2.038,-,8,Ga
Bi Co Ga,0.84,2.046,-,16,Bi
Ca Cr Sn,1.589,2.046,-,12,Ca
Co Sr Zr,0.797,2.048,-,28,Co
Cd Fe Pb,1.029,2.049,-,25,Cd
In Pb Ti,0.892,2.051,-,10,In
Au Co Ga,0.523,2.066,-,21,Au
Ta Zn Zr,0.377,2.067,-,24,Ta
Li Ni Zn,0.348,2.068,-,24,Li
Ag Ni Sr,1.228,2.071,-,26,Ag
Al Au Pt,0.765,2.072,-,14,Al
Cd Cr Zn,0.506,2.075,-,27,Cd
Ag Cd Cu,1.043,2.076,-,25,Ag
Cr In Pb,0.815,2.076,-,25,Cr
Ag Al Ta,1.128,2.077,-,28,Ag
Ag Ga Zn,0.948,2.079,-,15,Ag
Ag Bi Y,1.434,2.08,-,16,Ag
Ga In Zn,0.2,2.08,-,11,Ga
Al Mn W,1.221,2.081,-,25,Al
Bi In Y,0.849,2.081,-,11,Bi
Au Cd Fe,0.921,2.081,-,29,Au
Cr K Zn,2.621,2.084,-,11,Cr
Cu In K,2.541,2.086,-,12,Cu
Bi Cr In,0.991,2.087,-,16,Bi
Au Fe K,2.836,2.09,-,30,Au
Au Ba Co,0.733,2.09,-,3,Au
Mn Ni V,0.511,2.091,-,14,Mn
Ca Ti Zr,1.753,2.092,-,28,Ca
Au Mn Pb,0.904,2.093,-,17,Au
Al Ti W,1.364,2.097,-,13,Al
Be Co Ni,3.533,2.097,-,13,Be
Mg Sc Ti,0.937,2.1,-,8,Mg
Ga Pb Zn,0.571,2.107,-,26,Ga
Cu Fe Hg,1.111,2.108,-,28,Cu
Hf Ni Y,0.907,2.109,-,18,Hf
Ca Fe Sc,1.922,2.112,-,4,Ca
Cr Hf Ni,1.046,2.115,-,27,Cr
Fe Ir Ti,1.698,2.115,-,29,Fe
Ga Mn Mo,0.951,2.12,-,13,Ga
Cr Pt Zr,0.842,2.12,-,21,Cr
Mn Sr Y,1.006,2.12,-,28,Mn
Cu Li Mn,0.819,2.124,-,30,Cu
Mg Ta Zn,0.384,2.126,-,17,Mg
Au Ni Sr,0.781,2.13,-,14,Au
Au Cd Cu,0.555,2.134,-,22,Au
Al Au Ta,0.661,2.135,-,30,Al
Ag Ca Co,1.909,2.143,-,15,Ag
In Nb Zn,0.551,2.144,-,17,In
Ag Co Pt,1.124,2.146,-,13,Ag
Cu Nb Pt,0.958,2.148,-,15,Cu
Ca Mg Ti,1.758,2.151,-,29,Ca
K Mn Y,2.666,2.153,-,13,K
Ag Bi Zr,1.386,2.154,-,27,Ag
K Mn Sn,2.549,2.156,-,29,K
Ta Ti Zr,0.821,2.158,-,19,Ta
Cd Ti Y,0.78,2.159,-,28,Cd
Al Ga Pt,0.669,2.16,-,15,Al
Ca Fe Pt,1.913,2.166,-,28,Ca
Al Bi Sr,1.231,2.166,-,9,Al
Mg Mo Pb,1.043,2.167,-,26,Mg
Al Hf Sn,0.888,2.169,-,26,Al
Ba Fe Sr,1.364,2.169,-,19,Ba
Ba Cu Ta,0.771,2.171,-,14,Ba
Cu Mg W,1.132,2.172,-,30,Cu
Ca Cr Mg,1.702,2.176,-,12,Ca
Ta Y Zr,0.583,2.177,-,11,Ta
Li Ni Y,0.557,2.178,-,18,Li
Bi Nb Zn,1.039,2.181,-,29,Bi
Cu Mn Na,3.271,2.183,-,20,Cu
Ca Ni Sc,1.532,2.185,-,15,Ca
Ga Pb Ti,0.98,2.197,-,23,Ga
Al Li Mn,0.814,2.199,-,21,Al
Ba Fe K,2.889,2.202,-,28,Ba
In Mg Pb,0.602,2.203,-,22,In
Au Co Pt,0.656,2.204,-,27,Au
Mn Mo Sc,1.074,2.204,-,13,Mn
Be Fe Sn,3.729,2.208,-,10,Be
Bi In Mg,0.795,2.214,-,28,Bi
Ba In Y,0.645,2.214,-,16,Ba
Ca In Zn,1.363,2.215,-,28,Ca
Al Li Ti,0.981,2.215,-,22,Al
Ga Pb Y,0.759,2.216,-,16,Ga
Al Au K,2.642,2.219,-,29,Al
Mo Sc Ti,1.224,2.219,-,5,Mo
Cu Hf Mg,1.038,2.222,-,26,Cu
Cr Cu Na,3.317,2.224,-,30,Cr
Co Mo Sr,1.105,2.226,-,10,Co
Cs Fe Ti,1.579,2.23,-,28,Cs
Cu Sc Ta,0.71,2.231,-,14,Cu
Au In Mg,0.47,2.234,-,19,Au
In Nb Ti,0.964,2.234,-,12,In
Bi Mg Pb,1.08,2.239,-,29,Bi
Cr Mg Ta,0.748,2.241,-,16,Cr
Hf Mg Ni,0.855,2.241,-,19,Hf
Mo Sc Sn,0.825,2.242,-,15,Mo
Cr Na Ni,3.223,2.243,-,20,Cr
Mg Pt Zr,0.633,2.246,-,24,Mg
Co W Y,1.083,2.247,-,17,Co
Cd Co Mo,0.716,2.249,-,22,Cd
Al Hg Ni,0.565,2.256,-,18,Al
In Nb Sn,0.513,2.257,-,24,In
Co Hf Mn,1.037,2.262,-,15,Co
K Sn Zr,2.483,2.264,-,29,K
Mn Pb Sc,0.943,2.265,-,9,Mn
Ag Sc Sn,1.04,2.275,-,30,Ag
Be Fe Zr,3.794,2.278,-,21,Be
Ca Fe Sr,2.048,2.279,-,16,Ca
Co Mn V,0.606,2.279,-,19,Co
Be Ni Sn,3.484,2.28,-,18,Be
Pb Sc Ti,1.101,2.28,-,19,Pb
Cr Nb Pb,1.165,2.285,-,10,Cr
Mg Sr Y,0.904,2.286,-,18,Mg
Ag Ca Mn,2.012,2.287,-,23,Ag
Ca In Mn,1.542,2.289,-,20,Ca
Cd Mg Ti,0.724,2.29,-,16,Cd
Fe Mg Na,3.388,2.295,-,16,Fe
Co Hf Y,0.987,2.296,-,17,Co
Al Cr Na,3.314,2.298,-,21,Al
Co Cr Hf,1.121,2.302,-,24,Co
Ag Ca Ti,2.123,2.303,-,24,Ag
Cd Nb Ni,0.553,2.304,-,21,Cd
Al Sc Ta,0.704,2.306,-,13,Al
Au Nb Y,0.924,2.309,-,29,Au
Ga Sc Zn,0.486,2.309,-,11,Ga
K Nb Ni,2.644,2.313,-,6,K
Ba Co Pt,0.762,2.315,-,25,Ba
Ag Cu W,1.574,2.324,-,17,Ag
Pb Pt Ti,1.089,2.332,-,19,Pb
Ba Sc Zn,0.699,2.332,-,22,Ba
K Ni Sc,2.56,2.333,-,28,K
Au Cr Sc,0.923,2.335,-,26,Au
Ir Mg Ni,1.031,2.337,-,20,Ir
Ba Ga Ti,0.966,2.338,-,21,Ba
Ag Ni W,1.425,2.343,-,20,Ag
Ag Sc Zr,1.172,2.344,-,23,Ag
Au Co K,2.584,2.349,-,11,Au
Ca Mo Zr,1.781,2.36,-,17,Ca
Bi Cr Pt,1.181,2.367,-,12,Bi
Ba Co Ta,0.657,2.376,-,19,Ba
Cs Fe Mg,1.361,2.379,-,18,Cs
Ag Mg Nb,1.304,2.382,-,21,Ag
Ba Mn Nb,1.068,2.385,-,22,Ba
Bi Cd Zn,0.682,2.389,-,22,Bi
W Zn Zr,0.96,2.389,-,5,W
Cr In Ta,0.618,2.393,-,26,Cr
Li Mn Zn,0.629,2.399,-,20,Li
Cr Mo Sr,1.318,2.408,-,18,Cr
Ag Au Bi,1.441,2.42,-,17,Ag
Bi Ta Y,0.958,2.423,-,21,Bi
Ba Cr Nb,1.152,2.424,-,27,Ba
Mo Ta Zr,0.86,2.424,-,18,Mo
Al Pb W,1.28,2.425,-,20,Al
Sn W Y,0.985,2.427,-,23,Sn
Au Cu Hf,1.094,2.429,-,19,Au
Bi Cr Ta,1.093,2.429,-,8,Bi
Cd Mo Sn,0.601,2.429,-,20,Cd
Co Ga K,2.532,2.435,-,6,Co
Ag Sr Y,1.382,2.436,-,21,Ag
K Mo Sn,2.667,2.437,-,30,K
Ir Mo Ni,1.308,2.453,-,24,Ir
Ba Mn Pt,0.916,2.456,-,22,Ba
Mn Na Zn,3.183,2.456,-,20,Mn
Nb Sc Ti,1.167,2.458,-,20,Nb
Au Ni V,0.458,2.465,-,18,Au
Be Co Cr,3.683,2.466,-,13,Be
Ca Cr Ga,1.681,2.47,-,29,Ca
Ti V Y,0.889,2.47,-,26,Ti
Fe Na Pb,3.471,2.471,-,25,Fe
Bi Sr Y,1.229,2.473,-,27,Bi
Cr In K,2.62,2.474,-,27,Cr
Mo Sr Zr,1.142,2.474,-,27,Mo
Bi Cu Li,1.06,2.476,-,12,Bi
Pb Ta Zr,0.717,2.484,-,25,Pb
Ca Co Ta,1.51,2.484,-,26,Ca
Co Cs Ti,1.21,2.485,-,28,Co
Ba Mo Pb,1.188,2.485,-,23,Ba
Bi Mg Pt,1.0,2.49,-,27,Bi
Co Li Mg,0.591,2.492,-,19,Co
Ag Ba In,1.123,2.493,-,24,Ag
Be Mn Zn,3.608,2.495,-,17,Be
Cr Na Zn,3.229,2.496,-,18,Cr
Fe Sc W,1.506,2.496,-,24,Fe
Al K Ta,2.602,2.501,-,16,Al
Bi Cd Cr,1.002,2.501,-,18,Bi
Be Cu Mo,3.783,2.502,-,14,Be
K Mo Zr,2.749,2.505,-,3,K
Ba Ni W,1.106,2.508,-,21,Ba
Al Ir Mo,1.459,2.508,-,21,Al
Au Mg Pt,0.706,2.509,-,25,Au
Au Cd Y,0.547,2.515,-,20,Au
Ag Cd Zr,0.98,2.529,-,30,Ag
Be Cr Zn,3.651,2.534,-,29,Be
Ca Ga Zr,1.526,2.535,-,21,Ca
Na Ni Pb,3.212,2.541,-,28,Na
Ti V Zr,0.829,2.541,-,28,Ti
Ag Al Ir,1.631,2.541,-,22,Ag
Cu Hg Y,0.77,2.541,-,28,Cu
Ca Fe W,2.202,2.545,-,12,Ca
Al Bi Li,1.055,2.549,-,26,Al
Ba Fe Li,1.196,2.552,-,29,Ba
Ba Hf Ni,1.01,2.555,-,26,Ba
Cr Mg W,1.253,2.557,-,24,Cr
Mo W Zn,1.25,2.56,-,23,Mo
Au Bi Ga,0.947,2.561,-,30,Au
Ca Mn Pt,1.699,2.563,-,28,Ca
Hf Mg Mn,1.08,2.565,-,19,Hf
Co K Pt,2.599,2.566,-,27,Co
Cd Ga Mn,0.503,2.566,-,19,Cd
Cr Mn Na,3.339,2.567,-,27,Cr
Al Au Li,0.768,2.568,-,27,Al
Ag Al Na,3.475,2.569,-,22,Ag
Cr Cs Zn,1.078,2.577,-,28,Cr
Cr Ga Sr,1.016,2.582,-,13,Cr
Ga Li Ni,0.461,2.598,-,28,Ga
Co Li Mo,0.92,2.606,-,27,Co
Al Be In,3.585,2.609,-,24,Al
Sc Sn Ta,0.469,2.611,-,29,Sc
Be Ti Y,3.762,2.614,-,23,Be
Mg V Y,0.599,2.615,-,29,Mg
Co Pb V,0.682,2.615,-,29,Co
Nb Sr Ti,1.328,2.619,-,14,Nb
Bi Co V,0.868,2.625,-,25,Bi
Ba K Y,2.696,2.63,-,30,Ba
Co Hg Zn,0.457,2.634,-,20,Co
Al Fe Os,1.324,2.642,-,24,Al
Fe Li Pt,1.133,2.659,-,24,Fe
Ca Sn Ta,1.426,2.659,-,25,Ca
Cd Sc Ti,0.83,2.66,-,25,Cd
Co Mo Na,3.321,2.662,-,22,Co
Ag Mn W,1.609,2.664,-,6,Ag
Ag Mo Sr,1.587,2.676,-,25,Ag
Ba Mg Ta,0.708,2.676,-,25,Ba
In Ti W,1.216,2.68,-,28,In
Al Hg Zr,0.702,2.683,-,17,Al
Mg V Zr,0.531,2.684,-,15,Mg
Be Fe Nb,3.906,2.684,-,17,Be
Co Ir Pb,1.261,2.692,-,26,Co
Bi In Ta,0.785,2.697,-,26,Bi
Ag Cd Mo,1.268,2.698,-,27,Ag
Be Co Mo,3.735,2.7,-,27,Be
Bi Co Ir,1.409,2.702,-,23,Bi
Ga Mo Pt,0.934,2.706,-,23,Ga
Al Li Nb,0.956,2.712,-,29,Al
Fe Li Ta,1.044,2.719,-,27,Fe
Co Nb W,1.256,2.725,-,13,Co
Cd Pt Y,0.578,2.728,-,24,Cd
Cd Nb Zr,0.69,2.729,-,28,Cd
Hf Mn Pb,1.235,2.736,-,18,Hf
Ag Cr Hf,1.601,2.748,-,26,Ag
Hf Pb Ti,1.377,2.75,-,16,Hf
Ca Ir Ni,1.899,2.753,-,29,Ca
Ba W Zn,1.115,2.754,-,28,Ba
K Ni W,2.797,2.755,-,14,K
Ag V Y,1.134,2.759,-,26,Ag
Mg Sc Sr,0.951,2.78,-,26,Mg
Ni Sr V,0.716,2.787,-,25,Ni
Au Ga Pt,0.676,2.793,-,19,Au
Au Hf Sn,0.893,2.801,-,15,Au
Mo Na Ti,3.474,2.813,-,26,Mo
Cs Ni Sc,0.978,2.813,-,21,Cs
Al Hf Sr,1.29,2.823,-,29,Al
Ca Mo Pt,1.848,2.831,-,30,Ca
Bi Nb Pt,1.225,2.833,-,27,Bi
Cr Mo Na,3.438,2.836,-,26,Cr
Al Sr V,0.905,2.839,-,8,Al
Ag Cd Ga,0.959,2.866,-,28,Ag
Be Mo Y,3.779,2.867,-,27,Be
Ag Be Mn,3.9,2.867,-,28,Ag
Cr Tl Zn,0.892,2.869,-,28,Cr
Cr In Na,3.228,2.869,-,9,Cr
Al Co Rb,0.742,2.876,-,29,Al
Ag Be Ti,3.972,2.881,-,17,Ag
Be Mn Pb,3.741,2.892,-,15,Be
Ba Ca Ga,1.653,2.894,-,14,Ba
Ba Hf Sn,0.989,2.904,-,22,Ba
Mn Ti Tl,1.172,2.915,-,20,Mn
Al Bi Hg,1.059,2.915,-,18,Al
Mo Pt Sr,1.225,2.939,-,30,Mo
Cu Ga Hg,0.683,2.945,-,21,Cu
Be Co Sc,3.639,2.945,-,19,Be
Sn Ti Tl,0.934,2.95,-,28,Sn
Bi Sc Sr,1.271,2.957,-,12,Bi
Bi Mo W,1.629,2.965,-,29,Bi
Bi K Nb,2.909,2.968,-,29,Bi
Cd Pb Sc,0.727,2.969,-,30,Cd
Au Cs Ti,1.303,2.976,-,24,Au
Ba Mg W,1.22,2.977,-,27,Ba
Ca Hf Y,1.9,3.002,-,22,Ca
Au In W,1.023,3.016,-,24,Au
Cd Mo Ta,0.756,3.018,-,30,Cd
Ca W Zr,1.93,3.024,-,29,Ca
Be Mg Pb,3.694,3.045,-,21,Be
Al Cr Rb,0.987,3.046,-,21,Al
Ag Hg Zn,1.066,3.065,-,28,Ag
Cu Hf V,1.037,3.065,-,28,Cu
Ca V Zr,1.548,3.084,-,29,Ca
Ga Ir Mg,1.123,3.089,-,20,Ga
Ca Ir Y,2.023,3.091,-,18,Ca
Be Co Sr,3.724,3.098,-,23,Be
Bi Hg Zn,0.893,3.099,-,20,Bi
Be Ta Zn,3.555,3.115,-,25,Be
Ir Ta Ti,1.375,3.133,-,28,Ir
Ba Mg Na,3.268,3.137,-,30,Ba
Bi K Sr,2.93,3.138,-,30,Bi
Mg Pt V,0.639,3.139,-,29,Mg
Be Nb Zr,3.724,3.157,-,15,Be
Ga Sr Ta,0.813,3.16,-,15,Ga
Bi Hg Ti,1.254,3.18,-,20,Bi
Co Hg Nb,0.86,3.19,-,30,Co
Pb Sc W,1.319,3.194,-,16,Pb
Au Be Bi,3.801,3.244,-,26,Au
Ir Mg Ta,1.141,3.268,-,11,Ir
Be Li Ni,3.597,3.278,-,19,Be
Mn Rb Y,0.896,3.289,-,16,Mn
Al Cs Hf,1.419,3.307,-,20,Al
Li Pb Pt,0.916,3.345,-,21,Li
Ca Cd Sr,1.69,3.346,-,23,Ca
Ba Cu Os,1.115,3.388,-,25,Ba
Li W Y,1.207,3.411,-,24,Li
Bi Co Rb,1.038,3.445,-,25,Bi
Al Nb Os,1.19,3.488,-,22,Al
Fe Ir Tl,1.68,3.551,-,16,Fe
Cd Cu Rb,0.682,3.596,-,22,Cd
Hg Mo Pt,1.052,3.63,-,28,Hg
Al Hg Na,3.264,3.632,-,28,Al
Cd Li Sc,0.636,3.64,-,29,Cd
Cr Ga Os,1.069,3.706,-,22,Cr
Be Cd Nb,3.678,3.708,-,22,Be
Cs Ir Zr,1.515,3.725,-,17,Cs
Li Mo Na,3.387,3.778,-,25,Li
Ir Tl Zn,1.264,3.833,-,30,Ir
K Os Ti,2.918,3.923,-,23,K
Ba Mo Rb,1.188,3.923,-,23,Ba
Au Ba Rb,0.957,3.999,-,23,Au
Cd Ir Na,3.431,4.178,-,26,Cd
