phases,leaf,mat2vec,if_pareto,pareto_front,elements
Cu Mg Zr,0.601,1.24,-,9,Cu
Al Co Pb,0.743,1.243,-,13,Al
Al Mg Sn,0.424,1.246,-,4,Al
Ag Fe Ti,1.646,1.248,-,22,Ag
Bi Cu Zn,0.857,1.249,-,16,Bi
Cu Mn Mo,1.035,1.252,-,17,Cu
Al Mo Zn,0.812,1.253,-,14,Al
Al Bi Co,0.924,1.255,-,17,Al
Ba Co Fe,1.072,1.258,-,18,Ba
Ni Pb Zn,0.452,1.259,-,5,Ni
Mg Ni Zr,0.375,1.261,-,3,Mg
Fe Mn Pb,1.221,1.261,-,19,Fe
Mn Ti Zn,0.823,1.261,-,15,Mn
Ag Fe Y,1.476,1.269,-,21,Ag
Cu Mo Ti,1.188,1.269,-,19,Cu
Fe In Y,0.901,1.27,-,17,Fe
Bi Ni Zn,0.658,1.271,-,11,Bi
Ag Fe Sn,1.309,1.273,-,20,Ag
Bi Fe Mn,1.372,1.273,-,20,Bi
Mn Mo Ni,0.852,1.273,-,16,Mn
Fe In Sn,0.69,1.274,-,12,Fe
Ag Cr Fe,1.589,1.276,-,22,Ag
Cr Fe In,1.04,1.277,-,18,Cr
Al Au Co,0.619,1.278,-,10,Al
Fe Pb Ti,1.364,1.278,-,21,Fe
Cu Fe Sr,1.28,1.281,-,20,Cu
Mn Y Zn,0.585,1.282,-,9,Mn
Mn Sn Zn,0.338,1.286,-,3,Mn
Cr Mn Zn,0.744,1.289,-,14,Cr
Ag Cu Mn,1.234,1.29,-,20,Ag
Cu Mo Y,0.986,1.29,-,18,Cu
Ag Al Zn,1.028,1.291,-,19,Ag
Al In Zn,0.314,1.293,-,3,Al
Cu Mo Sn,0.783,1.294,-,15,Cu
Au Fe Mn,1.121,1.296,-,20,Au
Cr Cu Mo,1.12,1.297,-,20,Cr
Fe Pb Y,1.175,1.299,-,21,Fe
Ti Y Zn,0.769,1.299,-,15,Ti
Fe Ni Sr,1.114,1.302,-,20,Fe
Fe Pb Sn,0.988,1.303,-,19,Fe
Cr Fe Pb,1.3,1.306,-,22,Cr
Cr Ti Zn,0.915,1.306,-,18,Cr
Cd Cu Fe,0.92,1.307,-,19,Cd
Fe Ga Zn,0.82,1.31,-,16,Fe
Bi Fe Y,1.329,1.311,-,23,Bi
Ag Mn Ni,1.065,1.311,-,20,Ag
Mo Ni Y,0.798,1.312,-,16,Mo
Au Fe Ti,1.269,1.313,-,22,Au
Bi Fe Sn,1.152,1.315,-,21,Bi
Mo Ni Sn,0.576,1.316,-,7,Mo
Cu Fe K,2.836,1.317,-,24,Cu
Ba Co Cu,0.732,1.317,-,13,Ba
Bi Cr Fe,1.447,1.318,-,24,Bi
Cu Mn Pb,0.903,1.32,-,18,Cu
Al Pb Zn,0.665,1.322,-,12,Al
Al Mg Zr,0.596,1.324,-,10,Al
Co Fe Sc,1.018,1.325,-,20,Co
