Phase fields,     scores,     Norm. scores,
As Cu Ge Se     ,  3.471,      0.0,
As Ga Se Zn     ,  3.869,     0.03,
As Cd Ga Se     ,  4.055,    0.044,
As Cu In Se     ,  4.283,    0.061,
Cu Ge P Se      ,  4.304,    0.062,
As Ge P Zn      ,  4.336,    0.065,
As In Se Zn     ,  4.369,    0.067,
Ge Sb Se Te     ,  4.426,    0.072,
Cu Ga Se Te     ,  4.488,    0.076,
As Cd Ge P      ,  4.503,    0.077,
Ag Ga Se Te     ,  4.506,    0.078,
As Ga Te Zn     ,  4.518,    0.078,
As Cd In Se     ,  4.535,     0.08,
As As Cd Cl     ,  4.538,     0.08,
Cu Ga S Se      ,  4.581,    0.083,
Cd Ge S Se      ,  4.586,    0.084,
Ag Ga S Se      ,  4.599,    0.085,
As Ga S Zn      ,  4.611,    0.085,
Ga P Se Zn      ,  4.631,    0.087,
Cu Ge I Se      ,  4.654,    0.089,
Ag Ge I Se      ,  4.672,     0.09,
As Cd Ga Te     ,  4.678,     0.09,
Ag Br Se Te     ,  4.694,    0.092,
Br Cu Ge S      ,  4.715,    0.093,
Br Cu In Se     ,  4.715,    0.093,
As Br Cu S      ,  4.717,    0.093,
Ag Br Ge S      ,  4.732,    0.095,
Ag Br In Se     ,  4.733,    0.095,
Br Cu P Se      ,  4.737,    0.095,
Ge Se Sn Te     ,  4.749,    0.096,
Cl Ga Sb Se     ,  4.757,    0.096,
Al Br Sb Se     ,  4.764,    0.097,
As Cd Ga S      ,  4.768,    0.097,
Ag Sb Se Te     ,  4.774,    0.098,
Br Cd Sb Se     ,  4.777,    0.098,
Cd Ga S Se      ,  4.817,    0.101,
As As Cd I      ,   4.84,    0.103,
Cu S Sb Se      ,  4.845,    0.103,
Ag S Sb Se      ,  4.862,    0.104,
As P Si Zn      ,  4.869,    0.105,
As Cu In Te     ,  4.877,    0.105,
Br In Sb Se     ,  4.884,    0.106,
Al Cu S Se      ,  4.894,    0.107,
Cd Se Te Zn     ,  4.896,    0.107,
As Cd P Zn      ,  4.905,    0.107,
As Br Cd P      ,  4.917,    0.108,
Cu In Se Te     ,  4.925,    0.109,
Ag In Se Te     ,  4.942,     0.11,
Cl Ga P Se      ,  4.946,    0.111,
Al S Se Zn      ,  4.969,    0.112,
Cd S Se Zn      ,  4.981,    0.113,
Cu Ge P S       ,  4.982,    0.113,
Ag S Se Te      ,  4.991,    0.114,
Ag Cl Se Te     ,  4.993,    0.114,
Cu In S Se      ,  5.011,    0.115,
As Cl Cu S      ,  5.013,    0.116,
Ag In S Se      ,  5.027,    0.117,
Ag Cl Ge S      ,  5.028,    0.117,
Ag Cl In Se     ,  5.029,    0.117,
Cu P S Se       ,  5.031,    0.117,
Cl Cu P Se      ,  5.032,    0.117,
Br In In Se     ,  5.049,    0.118,
Al Cl Sb Se     ,  5.058,    0.119,
In S Se Zn      ,  5.084,    0.121,
In Sb Se Te     ,  5.088,    0.121,
Cd S Se Si      ,  5.092,    0.121,
As Cd In Te     ,    5.1,    0.122,
In Ni S Se      ,  5.123,    0.124,
As As Br Hg     ,  5.127,    0.124,
Se Sn Te Zn     ,  5.132,    0.124,
Ni P S Se       ,  5.142,    0.125,
Cu I Se Si      ,  5.154,    0.126,
As Br Hg Se     ,  5.173,    0.128,
As Cd In S      ,  5.182,    0.128,
Br Cu S Si      ,  5.209,     0.13,
Cu Cu S Te      ,  5.224,    0.131,
Cd In S Se      ,  5.227,    0.132,
Cu Rh S Se      ,  5.229,    0.132,
Al Cl P Se      ,  5.236,    0.132,
Ag Br Te Te     ,  5.242,    0.133,
Br Cu In Te     ,  5.261,    0.134,
Ga P S Zn       ,  5.267,    0.135,
Cd Se Sn Te     ,  5.273,    0.135,
Ag Br In Te     ,  5.277,    0.135,
Cu Ge I S       ,  5.287,    0.136,
Cu I In Se      ,  5.287,    0.136,
As Cu I S       ,  5.288,    0.136,
Cl Ga Sb Te     ,  5.298,    0.137,
Ag Ge I S       ,  5.302,    0.137,
Ag I In Se      ,  5.303,    0.137,
Cu I P Se       ,  5.306,    0.138,
Br Cu S Te      ,  5.307,    0.138,
Ag Br Cl Te     ,  5.324,    0.139,
Ga Ga I Te      ,  5.331,    0.139,
As Cr Cu Se     ,  5.333,    0.139,
Ag Br In S      ,  5.356,    0.141,
Br Cu P S       ,  5.359,    0.142,
Cl Ga S Sb      ,  5.378,    0.143,
Br Ni O Se      ,  5.383,    0.143,
Br Cd S Sb      ,  5.395,    0.144,
As Br Cu Hg     ,  5.414,    0.146,
Ge Pb Se Te     ,  5.419,    0.146,
As Br Cd O      ,  5.439,    0.147,
In S Se Sn      ,  5.449,    0.148,
Ag Au S Se      ,  5.451,    0.148,
Br Cu Hg Se     ,  5.457,    0.149,
